Date,Quarter,Close,PE,Median_PE_90,Median_PE_180,Median_PE_365
2005-01-03,2005-Q1,38.523472,5.558942568542569,,,
2005-01-04,2005-Q1,38.909479,5.614643434343434,,,
2005-01-05,2005-Q1,37.433003,5.401587734487735,,,
2005-01-06,2005-Q1,36.347359,5.244929148629148,,,
2005-01-07,2005-Q1,35.642897,5.143275180375181,,,
2005-01-10,2005-Q1,34.214672,4.937182106782107,,,
2005-01-11,2005-Q1,34.398025,4.963639971139971,,,
2005-01-12,2005-Q1,32.743021,4.724822655122655,,,
2005-01-13,2005-Q1,34.595853,4.99218658008658,,,
2005-01-14,2005-Q1,33.022876,4.765205772005772,,,
2005-01-17,2005-Q1,34.552428,4.985920346320347,,,
2005-01-18,2005-Q1,36.255682,5.231700144300144,,,
2005-01-19,2005-Q1,35.594646,5.136312554112554,,,
2005-01-20,2005-Q1,34.798507,5.021429581529582,,,
2005-01-21,2005-Q1,34.798507,5.021429581529582,,,
2005-01-24,2005-Q1,33.476434,4.830654256854257,,,
2005-01-25,2005-Q1,33.283431,4.802803896103896,,,
2005-01-26,2005-Q1,33.283431,4.802803896103896,,,
2005-01-27,2005-Q1,33.901041,4.8919251082251085,,,
2005-01-28,2005-Q1,36.443861,5.258854401154401,,,
2005-01-31,2005-Q1,37.157973,5.361900865800866,,,
2005-02-01,2005-Q1,36.651339,5.288793506493507,,,
2005-02-02,2005-Q1,37.794884,5.453807215007216,,,
2005-02-03,2005-Q1,38.13264,5.502545454545455,,,
2005-02-04,2005-Q1,38.118165,5.50045670995671,,,
2005-02-07,2005-Q1,37.674257,5.436400721500721,,,
2005-02-08,2005-Q1,38.002363,5.483746464646465,,,
2005-02-09,2005-Q1,37.833485,5.459377344877345,,,
2005-02-10,2005-Q1,38.784027,5.596540692640693,,,
2005-02-11,2005-Q1,39.507789,5.700979653679655,,,
2005-02-14,2005-Q1,39.425763,5.68914329004329,,,
2005-02-15,2005-Q1,40.617558,5.8611194805194815,,,
2005-02-16,2005-Q1,40.130225,5.790797258297259,,,
2005-02-17,2005-Q1,40.366654,5.824913997113997,,,
2005-02-18,2005-Q1,39.86967,5.753199134199134,,,
2005-02-21,2005-Q1,39.551215,5.707246031746032,,,
2005-02-22,2005-Q1,39.541565,5.705853535353535,,,
2005-02-23,2005-Q1,39.102482,5.642493795093795,,,
2005-02-24,2005-Q1,38.885353,5.61116204906205,,,
2005-02-25,2005-Q1,38.7213,5.587489177489178,,,
2005-02-28,2005-Q1,39.372687,5.681484415584416,,,
2005-03-01,2005-Q1,38.185716,4.435042508710802,,,
2005-03-02,2005-Q1,38.369069,4.4563378629500585,,,
2005-03-03,2005-Q1,38.948079,4.523586411149826,,,
2005-03-04,2005-Q1,38.952904,4.5241468060394885,,,
2005-03-07,2005-Q1,38.716475,4.496686991869919,,,
2005-03-08,2005-Q1,38.619974,4.485478977932637,,,
2005-03-09,2005-Q1,38.12299,4.427757259001162,,,
2005-03-10,2005-Q1,38.195366,4.436163298490128,,,
2005-03-11,2005-Q1,37.949287,4.407582694541231,,,
2005-03-14,2005-Q1,37.54398,4.360508710801394,,,
2005-03-15,2005-Q1,37.032521,4.30110580720093,,,
2005-03-16,2005-Q1,36.69959,4.262437862950058,,,
2005-03-17,2005-Q1,36.554838,4.245625783972125,,,
2005-03-18,2005-Q1,36.583788,4.248988153310105,,,
