Date,Quarter,Close,PE,Median_PE_90,Median_PE_180,Median_PE_365
2005-01-03,2005-Q1,34.216341,3.784993473451328,,,
2005-01-04,2005-Q1,33.723736,3.730501769911505,,,
2005-01-05,2005-Q1,33.122758,3.6640219026548673,,,
2005-01-06,2005-Q1,32.364146,3.5801046460177,,,
2005-01-07,2005-Q1,32.088287,3.549589269911505,,,
2005-01-10,2005-Q1,31.58583,3.4940077433628325,,,
2005-01-11,2005-Q1,31.319823,3.464582190265487,,,
2005-01-12,2005-Q1,29.526741,3.266232411504425,,,
2005-01-13,2005-Q1,30.17698,3.338161504424779,,,
2005-01-14,2005-Q1,29.75334,3.291298672566372,,,
2005-01-17,2005-Q1,29.625262,3.27713075221239,,,
2005-01-18,2005-Q1,29.526741,3.266232411504425,,,
2005-01-19,2005-Q1,29.585854,3.272771460176992,,,
2005-01-20,2005-Q1,29.063693,3.21501028761062,,,
2005-01-21,2005-Q1,29.063693,3.21501028761062,,,
2005-01-24,2005-Q1,29.684375,3.283669800884956,,,
2005-01-25,2005-Q1,30.314909,3.353419137168142,,,
2005-01-26,2005-Q1,30.314909,3.353419137168142,,,
2005-01-27,2005-Q1,30.571064,3.381754867256637,,,
2005-01-28,2005-Q1,31.359232,3.468941592920354,,,
2005-01-31,2005-Q1,33.122758,3.6640219026548673,,,
2005-02-01,2005-Q1,32.777934,3.625877654867257,,,
2005-02-02,2005-Q1,32.423259,3.586643694690266,,,
2005-02-03,2005-Q1,33.290243,3.6825490044247786,,,
2005-02-04,2005-Q1,32.80749,3.629147123893806,,,
2005-02-07,2005-Q1,32.896159,3.63895564159292,,,
2005-02-08,2005-Q1,32.482371,3.593182632743363,,,
2005-02-09,2005-Q1,32.413406,3.585553761061948,,,
2005-02-10,2005-Q1,32.344442,3.5779250000000005,,,
2005-02-11,2005-Q1,32.127696,3.553948672566372,,,
2005-02-14,2005-Q1,32.896159,3.63895564159292,,,
2005-02-15,2005-Q1,32.305033,3.573565597345133,,,
2005-02-16,2005-Q1,32.38385,3.582284292035399,,,
2005-02-17,2005-Q1,32.314885,3.574655420353982,,,
2005-02-18,2005-Q1,32.117844,3.552858849557522,,,
2005-02-21,2005-Q1,32.226217,3.5648470132743366,,,
2005-02-22,2005-Q1,32.33459,3.5768351769911506,,,
2005-02-23,2005-Q1,32.216365,3.563757190265487,,,
2005-02-24,2005-Q1,32.275477,3.570296128318585,,,
2005-02-25,2005-Q1,31.891245,3.527792588495576,,,
2005-02-28,2005-Q1,32.157252,3.5572181415929207,,,
2005-03-01,2005-Q1,31.871541,2.68053330529857,,,
2005-03-02,2005-Q1,32.088287,2.698762573591253,,,
2005-03-03,2005-Q1,32.206512,2.7087058031959628,,,
2005-03-04,2005-Q1,32.1474,2.703734230445753,,,
2005-03-07,2005-Q1,33.881369,2.849568460891505,,,
2005-03-08,2005-Q1,33.940482,2.854540117746005,,,
2005-03-09,2005-Q1,32.876455,2.765050883095037,,,
2005-03-10,2005-Q1,34.669537,2.91585677039529,,,
2005-03-11,2005-Q1,37.753244,3.175209756097561,,,
2005-03-14,2005-Q1,41.53645,3.493393608074012,,,
2005-03-15,2005-Q1,43.615243,3.668229015979815,,,
2005-03-16,2005-Q1,45.802409,3.8521790580319593,,,
2005-03-17,2005-Q1,43.900954,3.6922585365853657,,,
2005-03-18,2005-Q1,46.097972,3.877037174095879,,,
2005-03-21,2005-Q1,46.363979,3.899409503784693,,,
2005-03-22,2005-Q1,45.162023,3.798319848612279,,,
2005-03-23,2005-Q1,43.142343,3.628456097560975,,,
2005-03-24,2005-Q1,42.570921,3.5803970563498737,,,
2005-03-25,2005-Q1,42.570921,3.5803970563498737,,,
2005-03-28,2005-Q1,42.393583,3.565482169890664,,,
2005-03-29,2005-Q1,40.304938,3.3898181665264926,,,
2005-03-30,2005-Q1,40.679318,3.4213051303616484,,,
2005-03-31,2005-Q1,40.620205,3.4163334735071484,,,
2005-04-01,2005-Q2,42.65959,3.5878544995794783,,,
2005-04-04,2005-Q2,41.171923,3.462735323801513,,,
2005-04-05,2005-Q2,41.221183,3.466878301093356,,,
2005-04-06,2005-Q2,43.290124,3.640885113540792,,,
2005-04-07,2005-Q2,42.89604,3.607740958788898,,,
2005-04-08,2005-Q2,42.452696,3.570453826745164,,,
2005-04-11,2005-Q2,44.088144,3.708002018502944,,,
2005-04-12,2005-Q2,43.950215,3.696401597981497,,,
2005-04-13,2005-Q2,43.112786,3.625970227081581,,,
2005-04-14,2005-Q2,43.112786,3.625970227081581,,,
2005-04-15,2005-Q2,41.664528,3.504165517241379,,,
2005-04-18,2005-Q2,41.290148,3.472678553406224,,,
2005-04-19,2005-Q2,40.679318,3.4213051303616484,,,
2005-04-20,2005-Q2,42.698998,3.591168881412952,,,
2005-04-21,2005-Q2,43.88125,3.690601345668629,,,
2005-04-22,2005-Q2,42.373879,3.563824978973928,,,
2005-04-25,2005-Q2,42.728554,3.593654667788057,,,
2005-04-26,2005-Q2,41.940386,3.5273663582842723,,,
2005-04-27,2005-Q2,41.309852,3.47433574432296,,,
