Date,Quarter,Close,PE,Median_PE_90,Median_PE_180,Median_PE_365
2005-01-03,2005-Q1,202.895124,26.350016103896102,,,
2005-01-04,2005-Q1,206.975919,26.87998948051948,,,
2005-01-05,2005-Q1,211.156245,27.42288896103896,,,
2005-01-06,2005-Q1,215.386337,27.97225155844156,,,
2005-01-07,2005-Q1,219.715961,28.534540389610388,,,
2005-01-10,2005-Q1,224.145116,29.109755324675323,,,
2005-01-11,2005-Q1,228.624037,29.691433376623376,,,
2005-01-12,2005-Q1,233.102958,30.27311142857143,,,
2005-01-13,2005-Q1,232.505769,30.19555441558441,,,
2005-01-14,2005-Q1,230.067245,29.878862987012987,,,
2005-01-17,2005-Q1,225.488792,29.2842587012987,,,
2005-01-18,2005-Q1,221.009871,28.70258064935065,,,
2005-01-19,2005-Q1,216.630482,28.13382883116883,,,
2005-01-20,2005-Q1,212.300858,27.57154,,,
2005-01-21,2005-Q1,212.300858,27.57154,,,
2005-01-24,2005-Q1,208.61819,27.093271428571427,,,
2005-01-25,2005-Q1,212.798516,27.63617090909091,,,
2005-01-26,2005-Q1,212.798516,27.63617090909091,,,
2005-01-27,2005-Q1,217.078374,28.19199662337662,,,
2005-01-28,2005-Q1,221.457763,28.76074844155844,,,
2005-01-31,2005-Q1,225.886919,29.335963506493503,,,
2005-02-01,2005-Q1,230.415606,29.92410467532468,,,
2005-02-02,2005-Q1,235.043824,30.52517194805195,,,
2005-02-03,2005-Q1,239.771574,31.13916545454545,,,
2005-02-04,2005-Q1,244.54909,31.75962207792208,,,
2005-02-07,2005-Q1,241.911503,31.41707831168831,,,
2005-02-08,2005-Q1,237.382816,30.82893714285714,,,
2005-02-09,2005-Q1,233.003427,30.260185324675323,,,
2005-02-10,2005-Q1,228.375208,29.65911792207792,,,
2005-02-11,2005-Q1,223.896287,29.07743987012987,,,
2005-02-14,2005-Q1,222.20425,28.857694805194804,,,
2005-02-15,2005-Q1,219.218303,28.46990948051948,,,
2005-02-16,2005-Q1,223.597692,29.038661298701296,,,
2005-02-17,2005-Q1,227.927316,29.600950129870128,,,
2005-02-18,2005-Q1,231.958345,30.12446038961039,,,
2005-02-21,2005-Q1,236.636329,30.731990779220776,,,
2005-02-22,2005-Q1,241.364079,31.345984285714284,,,
2005-02-23,2005-Q1,246.191361,31.972904025974024,,,
2005-02-24,2005-Q1,251.118174,32.61274987012987,,,
2005-02-25,2005-Q1,253.457166,32.91651506493506,,,
2005-02-28,2005-Q1,251.018642,32.59982363636364,,,
2005-03-01,2005-Q1,246.042063,600.1025926829269,,,
2005-03-02,2005-Q1,241.165016,588.207356097561,,,
2005-03-03,2005-Q1,236.337734,576.4334975609756,,,
2005-03-04,2005-Q1,239.871106,585.0514780487805,,,
2005-03-07,2005-Q1,242.0608,590.3921951219512,,,
2005-03-08,2005-Q1,245.942532,599.8598341463415,,,
2005-03-09,2005-Q1,241.463611,588.9356365853658,,,
2005-03-10,2005-Q1,240.567827,586.7507975609757,,,
2005-03-11,2005-Q1,241.314313,588.5714951219512,,,
2005-03-14,2005-Q1,236.885158,577.7686780487805,,,
2005-03-15,2005-Q1,233.600616,569.7576,,,
2005-03-16,2005-Q1,238.2786,581.1673170731708,,,
2005-03-17,2005-Q1,243.056116,592.8197951219513,,,
2005-03-18,2005-Q1,247.933163,604.7150317073172,,,
2005-03-21,2005-Q1,252.909742,616.8530292682927,,,
2005-03-22,2005-Q1,257.637492,628.3841268292683,,,
2005-03-23,2005-Q1,253.606463,618.5523487804878,,,
2005-03-24,2005-Q1,248.580119,606.2929731707318,,,
2005-03-25,2005-Q1,248.580119,606.2929731707318,,,
2005-03-28,2005-Q1,244.200729,595.6115341463415,,,
2005-03-29,2005-Q1,239.323682,583.7162975609756,,,
2005-03-30,2005-Q1,234.546166,572.0638195121952,,,
2005-03-31,2005-Q1,230.564903,562.3534219512195,,,
2005-04-01,2005-Q2,231.261624,564.0527414634147,,,
2005-04-04,2005-Q2,231.510453,564.6596414634147,,,
2005-04-05,2005-Q2,230.963029,563.3244609756098,,,
2005-04-06,2005-Q2,228.922632,558.3478829268292,,,
2005-04-07,2005-Q2,233.501084,569.5148390243903,,,
2005-04-08,2005-Q2,238.179069,580.9245585365854,,,
2005-04-11,2005-Q2,242.956584,592.5770341463415,,,
2005-04-12,2005-Q2,244.748153,596.9467146341464,,,
2005-04-13,2005-Q2,249.674966,608.9633317073171,,,
2005-04-14,2005-Q2,249.674966,608.9633317073171,,,
2005-04-15,2005-Q2,262.166179,639.4297048780488,,,
2005-04-18,2005-Q2,275.304348,671.4740195121951,,,
2005-04-19,2005-Q2,289.089471,705.0962707317074,,,
2005-04-20,2005-Q2,303.571316,740.4178439024391,,,
2005-04-21,2005-Q2,318.749882,777.438736585366,,,
2005-04-22,2005-Q2,316.460656,771.8552585365853,,,
2005-04-25,2005-Q2,330.992266,807.2982097560975,,,
2005-04-26,2005-Q2,336.566035,820.892768292683,,,
2005-04-27,2005-Q2,335.819548,819.072068292683,,,
2005-04-28,2005-Q2,335.520953,818.3437878048782,,,
2005-04-29,2005-Q2,340.746361,831.0886853658536,,,
2005-05-02,2005-Q2,353.088277,861.1909195121951,,,
2005-05-03,2005-Q2,360.453614,879.1551560975611,,,
2005-05-04,2005-Q2,366.624571,894.2062707317074,,,
2005-05-05,2005-Q2,365.878085,892.3855731707317,,,
2005-05-06,2005-Q2,383.744003,935.9609829268294,564.3561914634147,,
2005-05-09,2005-Q2,388.969411,948.7058804878048,567.0872402439024,,
2005-05-10,2005-Q2,384.590021,938.0244414634146,569.6362195121951,,
2005-05-11,2005-Q2,398.67374,972.3749756097562,570.9107097560976,,
2005-05-12,2005-Q2,407.233456,993.2523317073172,574.2486585365855,,
2005-05-13,2005-Q2,427.637429,1043.0181195121952,577.101087804878,,
2005-05-16,2005-Q2,449.036719,1095.2115097560977,579.3466182926829,,
2005-05-17,2005-Q2,445.055456,1085.501112195122,581.0459378048781,,
2005-05-18,2005-Q2,445.254519,1085.9866317073172,582.4418073170732,,
2005-05-19,2005-Q2,435.749253,1062.803056097561,584.383887804878,,
2005-05-20,2005-Q2,418.082398,1019.7131658536588,585.9011378048781,,
2005-05-23,2005-Q2,408.378069,996.0440707317072,587.4790768292684,,
2005-05-24,2005-Q2,419.077714,1022.1407658536586,588.3894256097561,,
2005-05-25,2005-Q2,416.091766,1014.8579658536586,588.7535658536585,,
2005-05-26,2005-Q2,414.1509,1010.1241463414634,589.6639158536585,,
2005-05-27,2005-Q2,414.698324,1011.4593268292684,591.4846146341463,,
2005-05-30,2005-Q2,409.42315,998.593048780488,592.6984146341464,,
2005-05-31,2005-Q2,412.956521,1007.2110268292683,594.2156646341464,,
2005-06-01,2005-Q2,417.883335,21.462934514637904,594.2156646341464,,
2005-06-02,2005-Q2,413.603477,21.24311643554186,594.2156646341464,,
2005-06-03,2005-Q2,412.707693,21.19710801232666,594.2156646341464,,
2005-06-04,2005-Q2,415.146216,21.322353158705702,594.2156646341464,,
2005-06-06,2005-Q2,401.808985,20.637338726245503,594.2156646341464,,
2005-06-07,2005-Q2,398.225848,20.453304982023628,594.2156646341464,,
2005-06-08,2005-Q2,398.07655,20.445636877247047,594.2156646341464,,
2005-06-09,2005-Q2,414.200666,21.27378870056497,594.2156646341464,,
2005-06-10,2005-Q2,411.015656,21.11020318438624,594.2156646341464,,
2005-06-13,2005-Q2,407.681348,20.93894956343092,594.2156646341464,,
2005-06-14,2005-Q2,411.762143,21.148543554185927,594.2156646341464,,
2005-06-15,2005-Q2,414.200666,21.27378870056497,594.2156646341464,,
2005-06-16,2005-Q2,434.853469,22.33453872624551,594.2156646341464,,
2005-06-17,2005-Q2,443.910843,22.799735130970724,594.2156646341464,,
2005-06-20,2005-Q2,444.4085,22.825295326142783,594.2156646341464,,
2005-06-21,2005-Q2,446.797258,22.94798448895737,594.2156646341464,,
2005-06-22,2005-Q2,446.399132,22.927536312275297,594.2156646341464,,
2005-06-23,2005-Q2,445.602879,22.88663990755008,594.2156646341464,,
2005-06-24,2005-Q2,448.78789,23.050225475089885,594.2156646341464,,
2005-06-27,2005-Q2,446.647961,22.94031643554186,594.2156646341464,,
2005-06-28,2005-Q2,451.873369,23.20869897277864,594.2156646341464,,
2005-06-29,2005-Q2,447.145619,22.96587668207499,594.2156646341464,,
2005-06-30,2005-Q2,443.263887,22.76650677966101,594.2156646341464,,
2005-07-01,2005-Q3,446.100537,22.912200154083205,594.2156646341464,,
2005-07-04,2005-Q3,440.6263,22.631037493579868,592.6984146341464,,
2005-07-05,2005-Q3,437.739885,22.48278813559322,592.6984146341464,,
2005-07-06,2005-Q3,459.636832,23.60743872624551,592.6984146341464,,
2005-07-07,2005-Q3,452.520324,23.24192727272728,592.6984146341464,,
2005-07-08,2005-Q3,444.657329,22.83807544940935,592.6984146341464,,
2005-07-11,2005-Q3,444.557798,22.832963430919364,590.7563353658536,,
2005-07-12,2005-Q3,431.668458,22.1709531587057,590.5742646341464,,
2005-07-13,2005-Q3,421.914364,21.669972470467386,590.5742646341464,,
2005-07-14,2005-Q3,424.253356,21.790105598356448,588.1466658536585,,
2005-07-15,2005-Q3,424.751014,21.815665844889576,588.1466658536585,,
2005-07-18,2005-Q3,419.674903,21.55495136106831,588.1466658536585,,
2005-07-19,2005-Q3,413.255116,21.225224242424243,588.1466658536585,,
2005-07-20,2005-Q3,403.202427,20.70890739599384,582.3204280487805,,
2005-07-21,2005-Q3,403.799616,20.73957966101695,576.4941890243904,,
2005-07-22,2005-Q3,408.825961,20.99773810991269,570.7893292682927,,
2005-07-25,2005-Q3,403.650319,20.73191160760144,567.0872402439024,,
2005-07-26,2005-Q3,398.026785,20.44308089368259,564.3561914634147,,
2005-07-27,2005-Q3,396.484045,20.36384411915768,563.6886012195123,,
2005-07-28,2005-Q3,396.484045,20.36384411915768,562.8389414634146,,
2005-07-29,2005-Q3,403.152661,20.70635136106831,560.3506524390243,,
2005-08-01,2005-Q3,403.550787,20.726799537750388,290.9776608265374,,
2005-08-02,2005-Q3,407.731114,20.941505598356446,23.4246829994864,,
2005-08-03,2005-Q3,409.07479,21.01051823317925,23.22531312275296,,
2005-08-04,2005-Q3,410.318935,21.07441884951207,23.12946222393426,,
2005-08-05,2005-Q3,414.399729,21.284012788906008,23.00805107858244,,
2005-08-08,2005-Q3,409.821277,21.048858602978942,22.95693058551618,,
2005-08-09,2005-Q3,402.157345,20.655230868002057,22.944150462249617,,
2005-08-10,2005-Q3,406.088843,20.85715680534156,22.933926373908577,,
2005-08-11,2005-Q3,409.025024,21.00796219825372,22.91986823317925,,
2005-08-12,2005-Q3,435.799019,22.38310318438624,22.899420030816643,,
2005-08-15,2005-Q3,435.799019,22.38310318438624,22.862357678479714,,
2005-08-16,2005-Q3,442.865761,22.746058602978945,22.835519440164354,,
2005-08-17,2005-Q3,444.806627,22.84574355418593,22.835519440164354,,
2005-08-18,2005-Q3,432.71354,22.224629686697487,22.82912937853107,,
2005-08-19,2005-Q3,443.413185,22.7741748844376,22.812515228556755,,
2005-08-22,2005-Q3,428.085321,21.986919414483825,22.78695500770416,,
2005-08-23,2005-Q3,409.224087,21.01818628659476,22.770340832049307,,
2005-08-24,2005-Q3,399.96765,20.542765793528503,22.75628269131997,,
2005-08-25,2005-Q3,402.8043,20.688459167950697,22.688548048279408,,
2005-08-26,2005-Q3,398.126316,20.448192912172573,22.556912814586543,,
2005-08-29,2005-Q3,398.375145,20.46097303543914,22.43294565998973,,
2005-08-30,2005-Q3,403.003364,20.6986833076528,22.38310318438624,,
2005-08-31,2005-Q3,403.501021,20.72424350282486,22.35882095531588,,
2005-09-01,2005-Q3,431.220566,47.33485905598244,22.35882095531588,,
2005-09-02,2005-Q3,427.3886,46.91422612513721,22.35882095531588,,
2005-09-05,2005-Q3,438.685435,48.15427387486279,22.35882095531588,,
2005-09-06,2005-Q3,442.218806,48.54213018660812,22.35882095531588,,
2005-09-07,2005-Q3,442.218806,48.54213018660812,22.35882095531588,,
2005-09-08,2005-Q3,437.938948,48.0723323819978,22.35882095531588,29.67527564935065,
2005-09-09,2005-Q3,448.140935,49.192199231613614,22.35882095531588,29.78514818181818,
2005-09-12,2005-Q3,448.290232,49.208587486278816,22.35882095531588,29.901483831168832,
2005-09-13,2005-Q3,448.041403,49.18127365532382,22.35882095531588,30.02428253246753,
2005-09-14,2005-Q3,478.896193,52.56818803512624,22.35882095531588,30.1600074025974,
2005-09-15,2005-Q3,481.533779,52.8577144895719,22.35882095531588,30.227869870129865,
2005-09-16,2005-Q3,494.920777,54.32719835345774,22.35882095531588,30.266648376623376,
2005-09-19,2005-Q3,479.493382,52.633741163556536,22.35882095531588,30.399141688311687,
2005-09-20,2005-Q3,468.544908,51.43193282107575,22.35882095531588,30.628581363636364,
2005-09-21,2005-Q3,447.046087,49.07201833150385,22.35882095531588,30.78046396103896,
2005-09-22,2005-Q3,436.893866,47.95761427003293,22.35882095531588,30.984051298701296,
2005-09-23,2005-Q3,421.36694,46.25323161361142,22.35882095531588,31.242574870129864,
2005-09-26,2005-Q3,436.047848,47.86474731064765,22.35882095531588,31.381531298701297,
2005-09-27,2005-Q3,438.635669,48.1488110867179,22.35882095531588,31.588350194805194,
2005-09-28,2005-Q3,432.564243,47.4823537870472,22.35882095531588,31.866263051948053,
2005-09-29,2005-Q3,423.556635,46.49359330406148,22.35882095531588,32.28636383116883,
2005-09-30,2005-Q3,444.06014,48.7442524698134,22.35882095531588,32.60628675324675,
2005-10-03,2005-Q4,467.798422,51.34999143798024,22.35882095531588,32.764632467532465,
2005-10-04,2005-Q4,468.296079,51.40461899012075,22.38310318438624,39.58487333927325,
2005-10-05,2005-Q4,462.821843,50.80371492864984,22.43294565998973,46.37341245883645,
2005-10-06,2005-Q4,449.683674,49.36154489571899,22.556912814586543,46.70390971459935,
2005-10-07,2005-Q4,441.522085,48.46565148188804,22.688548048279408,47.12454259055983,
2005-10-10,2005-Q4,440.228174,48.323619538968174,22.75628269131997,47.40860642151482,
2005-10-11,2005-Q4,433.65909,47.60253457738749,22.770340832049307,47.54244418221735,
2005-10-12,2005-Q4,433.65909,47.60253457738749,22.78695500770416,47.60253457738749,
2005-10-13,2005-Q4,429.428998,47.13819956092206,22.812515228556755,47.60253457738749,
2005-10-14,2005-Q4,418.928416,45.98555609220637,22.82912937853107,47.60253457738749,
2005-10-17,2005-Q4,412.210035,45.248082875960485,22.835519440164354,47.60253457738749,
2005-10-18,2005-Q4,408.328303,44.821987156970366,22.84190950179764,47.60253457738749,
2005-10-19,2005-Q4,388.720582,42.66965773874863,22.866191730868003,47.60253457738749,
2005-10-20,2005-Q4,374.238737,41.079993084522506,22.899420030816643,47.60253457738749,
2005-10-21,2005-Q4,374.885692,41.1510090010977,22.91986823317925,47.60253457738749,
2005-10-24,2005-Q4,373.293187,40.97620054884742,22.933926373908577,47.60253457738749,
2005-10-25,2005-Q4,377.821874,41.473312184412734,22.933926373908577,47.60253457738749,
2005-10-26,2005-Q4,375.234053,41.189248408342486,22.953096558808426,47.60253457738749,
2005-10-27,2005-Q4,369.112861,40.5173283205269,23.00805107858244,47.60253457738749,
2005-10-28,2005-Q4,358.114621,39.31005718990121,23.087287827426813,47.60253457738749,
2005-10-31,2005-Q4,393.896224,43.237785290889136,23.22531312275296,47.60253457738749,
2005-11-01,2005-Q4,404.098211,44.35765214050494,23.4246829994864,47.60253457738749,
2005-11-02,2005-Q4,418.679587,45.95824226125138,31.45874795807336,47.60253457738749,
2005-11-03,2005-Q4,418.679587,45.95824226125138,39.91369275521406,47.60253457738749,
2005-11-04,2005-Q4,418.679587,45.95824226125138,40.746764434687165,47.60253457738749,
2005-11-07,2005-Q4,415.942469,45.65779023051592,41.028096816684965,47.54244418221735,
2005-11-08,2005-Q4,445.204753,48.86989604829857,41.1155010428101,47.54244418221735,
2005-11-09,2005-Q4,445.801943,48.935449286498354,41.17012870472009,47.54244418221735,
2005-11-10,2005-Q4,445.95124,48.95183754116356,41.331280296377614,47.54244418221735,
2005-11-11,2005-Q4,454.909082,49.93513523600439,42.07148496158068,47.54244418221735,
2005-11-14,2005-Q4,448.339998,49.21405027442371,42.95372151481888,47.54244418221735,
2005-11-15,2005-Q4,448.339998,49.21405027442371,43.79771871569704,47.54244418221735,
2005-11-16,2005-Q4,447.344682,49.10479495060373,44.58981964873765,47.54244418221735,
2005-11-17,2005-Q4,448.140935,49.192199231613614,45.03503501646543,47.54244418221735,
2005-11-18,2005-Q4,438.337074,48.116034467618,45.4529365532382,47.54244418221735,
2005-11-21,2005-Q4,434.057216,47.64623666300768,45.80801624588365,47.54244418221735,
2005-11-22,2005-Q4,429.130403,47.10542294182218,45.95824226125138,47.40860642151482,
2005-11-23,2005-Q4,437.78965,48.05594401756312,45.95824226125138,47.40860642151482,
2005-11-24,2005-Q4,441.870445,48.50389077936334,45.97189917672888,47.40860642151482,
2005-11-25,2005-Q4,435.450658,47.79919407244786,46.1193938529089,47.40860642151482,
2005-11-26,2005-Q4,439.33239,48.22528979143798,46.37341245883645,47.40860642151482,
2005-11-28,2005-Q4,436.49574,47.91391218441274,46.70390971459935,47.40860642151482,
2005-11-29,2005-Q4,434.156748,47.65716223929748,47.009824533479694,47.40860642151482,
2005-11-30,2005-Q4,432.414945,47.46596542261251,47.12181125137212,47.40041223929748,
2005-12-01,2005-Q4,432.564243,46.61252618534483,47.12181125137212,47.23652930845225,
2005-12-02,2005-Q4,432.962369,46.65542769396552,47.12181125137212,47.12181125137212,
2005-12-05,2005-Q4,428.085321,46.12988372844829,47.12181125137212,47.009824533479694,
2005-12-06,2005-Q4,439.282624,47.336489655172414,47.23652930845225,47.009824533479694,
2005-12-07,2005-Q4,441.57185,47.58317349137931,47.335674355577424,47.009824533479694,
2005-12-08,2005-Q4,444.010374,47.845945474137935,47.40122753889246,47.009824533479694,
2005-12-09,2005-Q4,446.797258,48.14625625,47.47415960482986,47.009824533479694,
2005-12-12,2005-Q4,445.901474,48.04972780172415,47.53276363921326,47.009824533479694,
2005-12-13,2005-Q4,438.38684,47.23996120689655,47.53276363921326,47.009824533479694,
2005-12-14,2005-Q4,437.739885,47.17024622844828,47.53276363921326,47.009824533479694,
2005-12-15,2005-Q4,443.214122,47.76014245689655,47.5928540343834,47.009824533479694,
2005-12-16,2005-Q4,442.915527,47.72796627155173,47.60253457738749,47.009824533479694,
2005-12-19,2005-Q4,428.135087,46.13524644396552,47.60253457738749,46.78482690955137,
2005-12-20,2005-Q4,429.628061,46.29612726293104,47.60253457738749,46.63397693965517,
2005-12-21,2005-Q4,424.900311,45.78667144396552,47.60253457738749,46.55305974470315,
