Date,Quarter,Close,PE,Median_PE_90,Median_PE_180,Median_PE_365
2005-01-03,2005-Q1,20.385,8.86304347826087,,,
2005-01-04,2005-Q1,20.18,8.773913043478261,,,
2005-01-05,2005-Q1,20.125,8.75,,,
2005-01-06,2005-Q1,20.0,8.695652173913045,,,
2005-01-07,2005-Q1,19.84,8.626086956521739,,,
2005-01-10,2005-Q1,20.065,8.723913043478262,,,
2005-01-11,2005-Q1,19.555,8.502173913043478,,,
2005-01-12,2005-Q1,19.37,8.421739130434784,,,
2005-01-13,2005-Q1,19.91,8.656521739130435,,,
2005-01-14,2005-Q1,19.015,8.267391304347827,,,
2005-01-17,2005-Q1,19.205,8.35,,,
2005-01-18,2005-Q1,19.415,8.441304347826087,,,
2005-01-19,2005-Q1,19.41,8.439130434782609,,,
2005-01-20,2005-Q1,19.16,8.330434782608696,,,
2005-01-21,2005-Q1,19.16,8.330434782608696,,,
2005-01-24,2005-Q1,19.405,8.436956521739132,,,
2005-01-25,2005-Q1,20.405,8.871739130434785,,,
2005-01-26,2005-Q1,20.405,8.871739130434785,,,
2005-01-27,2005-Q1,20.415,8.876086956521739,,,
2005-01-28,2005-Q1,20.455,8.893478260869566,,,
2005-01-31,2005-Q1,21.405,9.306521739130435,,,
2005-02-01,2005-Q1,21.45,9.32608695652174,,,
2005-02-02,2005-Q1,21.16,9.2,,,
2005-02-03,2005-Q1,21.355,9.284782608695654,,,
2005-02-04,2005-Q1,21.35,9.282608695652176,,,
2005-02-07,2005-Q1,20.515,8.919565217391305,,,
2005-02-08,2005-Q1,21.29,9.256521739130434,,,
2005-02-09,2005-Q1,22.2,9.652173913043478,,,
2005-02-10,2005-Q1,22.77,9.9,,,
2005-02-11,2005-Q1,24.09,10.473913043478262,,,
2005-02-14,2005-Q1,23.065,10.02826086956522,,,
2005-02-15,2005-Q1,22.345,9.715217391304348,,,
2005-02-16,2005-Q1,22.47,9.769565217391303,,,
2005-02-17,2005-Q1,22.51,9.786956521739132,,,
2005-02-18,2005-Q1,22.5,9.782608695652174,,,
2005-02-21,2005-Q1,22.51,9.786956521739132,,,
2005-02-22,2005-Q1,22.605,9.828260869565218,,,
2005-02-23,2005-Q1,22.63,9.839130434782607,,,
2005-02-24,2005-Q1,22.32,9.704347826086956,,,
2005-02-25,2005-Q1,22.03,9.578260869565218,,,
2005-02-28,2005-Q1,22.495,9.780434782608696,,,
2005-03-01,2005-Q1,22.195,3.2166666666666663,,,
2005-03-02,2005-Q1,22.295,3.231159420289856,,,
2005-03-03,2005-Q1,22.435,3.2514492753623183,,,
2005-03-04,2005-Q1,22.335,3.2369565217391303,,,
2005-03-07,2005-Q1,23.13,3.352173913043478,,,
2005-03-08,2005-Q1,23.325,3.380434782608696,,,
2005-03-09,2005-Q1,23.31,3.378260869565217,,,
2005-03-10,2005-Q1,23.585,3.4181159420289853,,,
2005-03-11,2005-Q1,23.105,3.348550724637681,,,
2005-03-14,2005-Q1,23.55,3.4130434782608696,,,
2005-03-15,2005-Q1,22.885,3.316666666666667,,,
2005-03-16,2005-Q1,22.75,3.2971014492753623,,,
2005-03-17,2005-Q1,21.995,3.18768115942029,,,
2005-03-18,2005-Q1,22.75,3.2971014492753623,,,
2005-03-21,2005-Q1,22.52,3.2637681159420286,,,
2005-03-22,2005-Q1,22.21,3.218840579710145,,,
2005-03-23,2005-Q1,22.015,3.190579710144928,,,
2005-03-24,2005-Q1,21.375,3.097826086956521,,,
2005-03-25,2005-Q1,21.375,3.097826086956521,,,
2005-03-28,2005-Q1,21.58,3.1275362318840574,,,
2005-03-29,2005-Q1,21.705,3.145652173913043,,,
2005-03-30,2005-Q1,22.305,3.2326086956521736,,,
2005-03-31,2005-Q1,22.89,3.317391304347826,,,
2005-04-01,2005-Q2,23.505,3.4065217391304343,,,
