Date,Quarter,Close,PE,Median_PE_90,Median_PE_180,Median_PE_365
2005-01-03,2005-Q1,15.85,,,,
2005-01-04,2005-Q1,15.6,,,,
2005-01-05,2005-Q1,15.5,,,,
2005-01-06,2005-Q1,14.75,,,,
2005-01-07,2005-Q1,14.75,,,,
2005-01-10,2005-Q1,15.05,,,,
2005-01-11,2005-Q1,14.25,,,,
2005-01-12,2005-Q1,13.25,,,,
2005-01-13,2005-Q1,13.45,,,,
2005-01-14,2005-Q1,13.2,,,,
2005-01-17,2005-Q1,12.25,,,,
2005-01-18,2005-Q1,13.25,,,,
2005-01-19,2005-Q1,12.85,,,,
2005-01-20,2005-Q1,13.55,,,,
2005-01-21,2005-Q1,13.55,,,,
2005-01-24,2005-Q1,12.9,,,,
2005-01-25,2005-Q1,12.75,,,,
2005-01-26,2005-Q1,12.75,,,,
2005-01-27,2005-Q1,13.2,,,,
2005-01-28,2005-Q1,13.1,,,,
2005-01-31,2005-Q1,13.1,,,,
2005-02-01,2005-Q1,12.75,,,,
2005-02-02,2005-Q1,12.5,,,,
2005-02-03,2005-Q1,13.2,,,,
2005-02-04,2005-Q1,14.05,,,,
2005-02-07,2005-Q1,14.4,,,,
2005-02-08,2005-Q1,14.5,,,,
2005-02-09,2005-Q1,14.35,,,,
2005-02-10,2005-Q1,14.7,,,,
2005-02-11,2005-Q1,14.25,,,,
2005-02-14,2005-Q1,13.75,,,,
2005-02-15,2005-Q1,13.35,,,,
2005-02-16,2005-Q1,14.15,,,,
2005-02-17,2005-Q1,13.4,,,,
2005-02-18,2005-Q1,13.85,,,,
2005-02-21,2005-Q1,13.25,,,,
2005-02-22,2005-Q1,12.85,,,,
2005-02-23,2005-Q1,13.5,,,,
2005-02-24,2005-Q1,13.6,,,,
2005-02-25,2005-Q1,13.25,,,,
2005-02-28,2005-Q1,13.75,,,,
2005-03-01,2005-Q1,13.3,13.571428571428571,,,
2005-03-02,2005-Q1,13.05,13.316326530612246,,,
2005-03-03,2005-Q1,13.5,13.775510204081632,,,
2005-03-04,2005-Q1,13.75,14.03061224489796,,,
2005-03-07,2005-Q1,13.5,13.775510204081632,,,
2005-03-08,2005-Q1,13.45,13.724489795918366,,,
2005-03-09,2005-Q1,13.0,13.26530612244898,,,
2005-03-10,2005-Q1,13.15,13.418367346938776,,,
2005-03-11,2005-Q1,13.5,13.775510204081632,,,
2005-03-14,2005-Q1,12.8,13.06122448979592,,,
2005-03-15,2005-Q1,12.85,13.112244897959185,,,
2005-03-16,2005-Q1,12.8,13.06122448979592,,,
2005-03-17,2005-Q1,12.8,13.06122448979592,,,
2005-03-18,2005-Q1,12.7,12.959183673469386,,,
2005-03-21,2005-Q1,12.05,12.29591836734694,,,
2005-03-22,2005-Q1,11.5,11.73469387755102,,,
2005-03-23,2005-Q1,11.45,11.683673469387754,,,
2005-03-24,2005-Q1,10.6,10.816326530612244,,,
2005-03-25,2005-Q1,10.6,10.816326530612244,,,
2005-03-28,2005-Q1,10.25,10.459183673469388,,,
2005-03-29,2005-Q1,10.3,10.510204081632654,,,
2005-03-30,2005-Q1,10.3,10.510204081632654,,,
2005-03-31,2005-Q1,10.25,10.459183673469388,,,
2005-04-01,2005-Q2,11.0,11.224489795918368,,,
2005-04-04,2005-Q2,11.9,12.142857142857144,,,
2005-04-05,2005-Q2,13.1,13.36734693877551,,,
2005-04-06,2005-Q2,13.05,13.316326530612246,,,
2005-04-07,2005-Q2,13.7,13.979591836734691,,,
2005-04-08,2005-Q2,13.4,13.673469387755103,,,
2005-04-11,2005-Q2,12.8,13.06122448979592,,,
2005-04-12,2005-Q2,13.35,13.622448979591836,,,
2005-04-13,2005-Q2,12.7,12.959183673469386,,,
2005-04-14,2005-Q2,12.7,12.959183673469386,,,
2005-04-15,2005-Q2,13.35,13.622448979591836,,,
2005-04-18,2005-Q2,13.05,13.316326530612246,,,
2005-04-19,2005-Q2,12.4,12.653061224489797,,,
2005-04-20,2005-Q2,12.1,12.346938775510203,,,
2005-04-21,2005-Q2,12.75,13.010204081632653,,,
2005-04-22,2005-Q2,13.15,13.418367346938776,,,
2005-04-25,2005-Q2,13.0,13.26530612244898,,,
2005-04-26,2005-Q2,13.5,13.775510204081632,,,
2005-04-27,2005-Q2,13.2,13.46938775510204,,,
2005-04-28,2005-Q2,13.2,13.46938775510204,,,
2005-04-29,2005-Q2,12.55,12.806122448979592,,,
2005-05-02,2005-Q2,12.75,13.010204081632653,,,
2005-05-03,2005-Q2,12.65,12.908163265306124,,,
2005-05-04,2005-Q2,12.65,12.908163265306124,,,
2005-05-05,2005-Q2,12.5,12.755102040816327,,,
2005-05-06,2005-Q2,12.5,12.755102040816327,,,
2005-05-09,2005-Q2,12.3,12.551020408163266,,,
2005-05-10,2005-Q2,12.85,13.112244897959185,,,
2005-05-11,2005-Q2,12.85,13.112244897959185,,,
2005-05-12,2005-Q2,13.35,13.622448979591836,,,
2005-05-13,2005-Q2,13.25,13.520408163265309,,,
2005-05-16,2005-Q2,13.95,14.23469387755102,,,
2005-05-17,2005-Q2,13.5,13.775510204081632,,,
2005-05-18,2005-Q2,14.2,14.489795918367346,,,
2005-05-19,2005-Q2,14.95,15.255102040816324,,,
2005-05-20,2005-Q2,15.15,15.459183673469388,,,
2005-05-23,2005-Q2,15.95,16.275510204081634,,,
2005-05-24,2005-Q2,16.75,17.091836734693878,,,
2005-05-25,2005-Q2,17.6,17.95918367346939,,,
2005-05-26,2005-Q2,18.5,18.877551020408163,,,
2005-05-27,2005-Q2,19.4,19.79591836734694,,,
2005-05-30,2005-Q2,18.45,18.8265306122449,,,
2005-05-31,2005-Q2,17.55,17.908163265306122,,,
2005-06-01,2005-Q2,16.9,46.94444444444444,,,
2005-06-02,2005-Q2,16.25,45.13888888888889,,,
2005-06-03,2005-Q2,17.1,47.50000000000001,,,
2005-06-04,2005-Q2,18.0,50.0,,,
2005-06-06,2005-Q2,18.25,50.69444444444444,,,
2005-06-07,2005-Q2,17.85,49.583333333333336,,,
2005-06-08,2005-Q2,17.5,48.61111111111112,,,
2005-06-09,2005-Q2,18.05,50.13888888888889,,,
2005-06-10,2005-Q2,17.85,49.583333333333336,,,
2005-06-13,2005-Q2,17.35,48.19444444444445,,,
2005-06-14,2005-Q2,18.0,50.0,,,
2005-06-15,2005-Q2,17.65,49.02777777777778,,,
2005-06-16,2005-Q2,16.85,46.80555555555557,,,
2005-06-17,2005-Q2,16.3,45.27777777777778,,,
2005-06-20,2005-Q2,15.55,43.19444444444445,,,
2005-06-21,2005-Q2,15.3,42.5,,,
2005-06-22,2005-Q2,16.1,44.72222222222223,,,
2005-06-23,2005-Q2,16.5,45.833333333333336,,,
2005-06-24,2005-Q2,16.3,45.27777777777778,,,
2005-06-27,2005-Q2,16.0,44.44444444444444,,,
2005-06-28,2005-Q2,15.45,42.91666666666666,,,
2005-06-29,2005-Q2,15.45,42.91666666666666,,,
2005-06-30,2005-Q2,15.45,42.91666666666666,,,
2005-07-01,2005-Q3,15.1,41.94444444444444,13.622448979591836,,
2005-07-04,2005-Q3,15.75,43.75,13.64795918367347,,
2005-07-05,2005-Q3,15.75,43.75,13.698979591836736,,
2005-07-06,2005-Q3,15.65,43.47222222222222,13.698979591836736,,
2005-07-07,2005-Q3,15.4,42.77777777777778,13.698979591836736,,
2005-07-08,2005-Q3,15.85,44.02777777777778,13.698979591836736,,
2005-07-11,2005-Q3,15.7,43.61111111111112,13.724489795918368,,
2005-07-12,2005-Q3,16.45,45.69444444444444,13.775510204081632,,
2005-07-13,2005-Q3,16.0,44.44444444444444,13.775510204081632,,
2005-07-14,2005-Q3,15.55,43.19444444444445,13.877551020408164,,
2005-07-15,2005-Q3,16.35,45.41666666666667,14.107142857142856,,
2005-07-18,2005-Q3,16.3,45.27777777777778,14.362244897959185,,
2005-07-19,2005-Q3,15.8,43.88888888888889,14.872448979591834,,
2005-07-20,2005-Q3,16.55,45.97222222222223,15.357142857142856,,
2005-07-21,2005-Q3,16.35,45.41666666666667,15.867346938775512,,
2005-07-22,2005-Q3,16.65,46.25,16.683673469387756,,
2005-07-25,2005-Q3,16.6,46.11111111111112,17.5,,
2005-07-26,2005-Q3,16.2,45.0,17.933673469387756,,
2005-07-27,2005-Q3,17.05,47.36111111111112,18.392857142857142,,
2005-07-28,2005-Q3,17.05,47.36111111111112,18.85204081632653,,
2005-07-29,2005-Q3,17.5,48.61111111111112,19.33673469387756,,
2005-08-01,2005-Q3,17.0,47.22222222222222,30.870181405895693,,
2005-08-02,2005-Q3,17.0,47.22222222222222,42.22222222222222,,
2005-08-03,2005-Q3,17.7,49.16666666666666,42.638888888888886,,
2005-08-04,2005-Q3,18.6,51.66666666666667,42.84722222222221,,
2005-08-05,2005-Q3,19.55,54.30555555555556,42.91666666666666,,
2005-08-08,2005-Q3,19.0,52.77777777777778,42.91666666666666,,
2005-08-09,2005-Q3,18.1,50.277777777777786,43.05555555555556,,
2005-08-10,2005-Q3,18.45,51.25,43.19444444444445,,
2005-08-11,2005-Q3,20.3,56.38888888888889,43.333333333333336,,
2005-08-12,2005-Q3,22.35,62.08333333333334,43.54166666666667,,
2005-08-15,2005-Q3,22.35,62.08333333333334,43.68055555555556,,
2005-08-16,2005-Q3,24.6,68.33333333333334,43.75,,
2005-08-17,2005-Q3,25.85,71.80555555555556,43.81944444444444,,
2005-08-18,2005-Q3,24.85,69.02777777777779,43.958333333333336,,
2005-08-19,2005-Q3,24.3,67.5,44.23611111111112,,
2005-08-22,2005-Q3,24.5,68.05555555555556,44.44444444444444,,
2005-08-23,2005-Q3,23.5,65.27777777777779,44.583333333333336,,
2005-08-24,2005-Q3,22.95,63.75,44.86111111111112,,
2005-08-25,2005-Q3,24.1,66.94444444444446,45.06944444444444,,
2005-08-26,2005-Q3,25.35,70.41666666666667,45.208333333333336,,
2005-08-29,2005-Q3,25.85,71.80555555555556,45.27777777777778,,
2005-08-30,2005-Q3,25.4,70.55555555555556,45.27777777777778,,
2005-08-31,2005-Q3,26.7,74.16666666666667,45.34722222222223,,
2005-09-01,2005-Q3,28.05,935.0,45.41666666666667,,
2005-09-02,2005-Q3,29.45,981.6666666666666,45.55555555555556,,
2005-09-05,2005-Q3,30.95,1031.6666666666667,45.763888888888886,,
