Date,Quarter,Close,PE,Median_PE_90,Median_PE_180,Median_PE_365
2005-01-03,2005-Q1,,,,,
2005-01-04,2005-Q1,,,,,
2005-01-05,2005-Q1,,,,,
2005-01-06,2005-Q1,,,,,
2005-01-07,2005-Q1,,,,,
2005-01-10,2005-Q1,,,,,
2005-01-11,2005-Q1,,,,,
2005-01-12,2005-Q1,,,,,
2005-01-13,2005-Q1,,,,,
2005-01-14,2005-Q1,,,,,
2005-01-17,2005-Q1,,,,,
2005-01-18,2005-Q1,,,,,
2005-01-19,2005-Q1,,,,,
2005-01-20,2005-Q1,,,,,
2005-01-21,2005-Q1,,,,,
2005-01-24,2005-Q1,,,,,
2005-01-25,2005-Q1,,,,,
2005-01-26,2005-Q1,,,,,
2005-01-27,2005-Q1,,,,,
2005-01-28,2005-Q1,,,,,
2005-01-31,2005-Q1,,,,,
2005-02-01,2005-Q1,,,,,
2005-02-02,2005-Q1,,,,,
2005-02-03,2005-Q1,,,,,
2005-02-04,2005-Q1,,,,,
2005-02-07,2005-Q1,,,,,
2005-02-08,2005-Q1,,,,,
2005-02-09,2005-Q1,,,,,
2005-02-10,2005-Q1,,,,,
2005-02-11,2005-Q1,,,,,
2005-02-14,2005-Q1,,,,,
2005-02-15,2005-Q1,,,,,
2005-02-16,2005-Q1,,,,,
2005-02-17,2005-Q1,,,,,
2005-02-18,2005-Q1,,,,,
2005-02-21,2005-Q1,,,,,
2005-02-22,2005-Q1,,,,,
2005-02-23,2005-Q1,,,,,
2005-02-24,2005-Q1,,,,,
2005-02-25,2005-Q1,,,,,
2005-02-28,2005-Q1,,,,,
2005-03-01,2005-Q1,,,,,
2005-03-02,2005-Q1,,,,,
2005-03-03,2005-Q1,,,,,
2005-03-04,2005-Q1,,,,,
2005-03-07,2005-Q1,,,,,
2005-03-08,2005-Q1,,,,,
2005-03-09,2005-Q1,206.2,81.82539682539682,,,
2005-03-10,2005-Q1,200.35,79.50396825396825,,,
2005-03-11,2005-Q1,193.2,76.66666666666666,,,
2005-03-14,2005-Q1,187.6,74.44444444444444,,,
2005-03-15,2005-Q1,185.9,73.76984126984127,,,
2005-03-16,2005-Q1,190.05,75.41666666666667,,,
2005-03-17,2005-Q1,187.4,74.36507936507937,,,
2005-03-18,2005-Q1,185.85,73.75,,,
2005-03-21,2005-Q1,187.1,74.24603174603175,,,
2005-03-22,2005-Q1,182.2,72.30158730158729,,,
2005-03-23,2005-Q1,183.15,72.67857142857143,,,
2005-03-24,2005-Q1,176.8,70.15873015873017,,,
2005-03-25,2005-Q1,176.8,70.15873015873017,,,
2005-03-28,2005-Q1,178.95,71.01190476190476,,,
2005-03-29,2005-Q1,173.7,68.92857142857143,,,
2005-03-30,2005-Q1,173.7,68.92857142857143,,,
2005-03-31,2005-Q1,179.1,71.07142857142857,,,
2005-04-01,2005-Q2,180.05,71.4484126984127,,,
2005-04-04,2005-Q2,180.25,71.52777777777777,,,
2005-04-05,2005-Q2,188.45,74.78174603174602,,,
2005-04-06,2005-Q2,194.6,77.22222222222221,,,
2005-04-07,2005-Q2,195.0,77.38095238095238,,,
2005-04-08,2005-Q2,192.4,76.34920634920636,,,
2005-04-11,2005-Q2,188.35,74.7420634920635,,,
2005-04-12,2005-Q2,201.5,79.96031746031746,,,
2005-04-13,2005-Q2,195.05,77.40079365079366,,,
2005-04-14,2005-Q2,195.05,77.40079365079366,,,
2005-04-15,2005-Q2,185.2,73.4920634920635,,,
2005-04-18,2005-Q2,183.5,72.81746031746032,,,
2005-04-19,2005-Q2,185.8,73.73015873015873,,,
2005-04-20,2005-Q2,182.2,72.30158730158729,,,
2005-04-21,2005-Q2,191.95,76.17063492063491,,,
2005-04-22,2005-Q2,188.45,74.78174603174602,,,
