Date,Quarter,Close,PE,Median_PE_90,Median_PE_180,Median_PE_365
2005-01-03,2005-Q1,27.4,35.58441558441558,,,
2005-01-04,2005-Q1,27.466667,35.6709961038961,,,
2005-01-05,2005-Q1,26.166667,33.982684415584416,,,
2005-01-06,2005-Q1,25.8,33.506493506493506,,,
2005-01-07,2005-Q1,25.433333,33.0303025974026,,,
2005-01-10,2005-Q1,25.7,33.37662337662338,,,
2005-01-11,2005-Q1,25.233333,32.770562337662334,,,
2005-01-12,2005-Q1,24.4,31.68831168831169,,,
2005-01-13,2005-Q1,24.666667,32.03463246753247,,,
2005-01-14,2005-Q1,24.866667,32.29437272727272,,,
2005-01-17,2005-Q1,23.7,30.77922077922078,,,
2005-01-18,2005-Q1,24.366667,31.645022077922075,,,
2005-01-19,2005-Q1,24.4,31.68831168831169,,,
2005-01-20,2005-Q1,24.0,31.16883116883117,,,
2005-01-21,2005-Q1,24.0,31.16883116883117,,,
2005-01-24,2005-Q1,24.033333,31.212120779220776,,,
2005-01-25,2005-Q1,24.333333,31.60173116883117,,,
2005-01-26,2005-Q1,24.333333,31.60173116883117,,,
2005-01-27,2005-Q1,24.9,32.33766233766234,,,
2005-01-28,2005-Q1,25.133333,32.640692207792206,,,
2005-01-31,2005-Q1,25.366667,32.943723376623375,,,
2005-02-01,2005-Q1,25.033333,32.51082207792208,,,
2005-02-02,2005-Q1,25.2,32.72727272727273,,,
2005-02-03,2005-Q1,25.333333,32.90043246753247,,,
2005-02-04,2005-Q1,25.033333,32.51082207792208,,,
2005-02-07,2005-Q1,25.4,32.98701298701298,,,
2005-02-08,2005-Q1,25.633333,33.29004285714286,,,
2005-02-09,2005-Q1,25.866667,33.593074025974026,,,
2005-02-10,2005-Q1,25.6,33.24675324675325,,,
2005-02-11,2005-Q1,25.966667,33.722944155844154,,,
2005-02-14,2005-Q1,25.5,33.11688311688312,,,
2005-02-15,2005-Q1,25.133333,32.640692207792206,,,
2005-02-16,2005-Q1,25.233333,32.770562337662334,,,
2005-02-17,2005-Q1,25.1,32.5974025974026,,,
2005-02-18,2005-Q1,24.9,32.33766233766234,,,
2005-02-21,2005-Q1,24.633333,31.99134155844156,,,
2005-02-22,2005-Q1,24.7,32.077922077922075,,,
2005-02-23,2005-Q1,24.6,31.948051948051948,,,
2005-02-24,2005-Q1,29.533333,38.35497792207792,,,
2005-02-25,2005-Q1,28.533333,37.05627662337662,,,
2005-02-28,2005-Q1,29.133333,37.835497402597404,,,
2005-03-01,2005-Q1,27.766667,3.894343197755961,,,
2005-03-02,2005-Q1,30.0,4.207573632538569,,,
2005-03-03,2005-Q1,32.0,4.488078541374474,,,
2005-03-04,2005-Q1,32.133333,4.506778821879383,,,
2005-03-07,2005-Q1,31.066667,4.357176297335204,,,
2005-03-08,2005-Q1,29.166667,4.090696633941094,,,
2005-03-09,2005-Q1,28.633333,4.0158952314165495,,,
2005-03-10,2005-Q1,32.366667,4.539504488078541,,,
2005-03-11,2005-Q1,31.466667,4.413277279102385,,,
2005-03-14,2005-Q1,31.033333,4.352501122019636,,,
2005-03-15,2005-Q1,30.1,4.221598877980365,,,
2005-03-16,2005-Q1,30.166667,4.230949088359046,,,
2005-03-17,2005-Q1,29.5,4.137447405329594,,,
2005-03-18,2005-Q1,29.166667,4.090696633941094,,,
2005-03-21,2005-Q1,28.633333,4.0158952314165495,,,
2005-03-22,2005-Q1,28.266667,3.964469424964937,,,
2005-03-23,2005-Q1,27.6,3.870967741935484,,,
2005-03-24,2005-Q1,26.5,3.716690042075737,,,
2005-03-25,2005-Q1,26.5,3.716690042075737,,,
2005-03-28,2005-Q1,27.366667,3.83824221598878,,,
2005-03-29,2005-Q1,26.066667,3.655914025245442,,,
2005-03-30,2005-Q1,27.4,3.842917251051893,,,
2005-03-31,2005-Q1,27.633333,3.8756427769985975,,,
2005-04-01,2005-Q2,28.166667,3.9504441795231418,,,
2005-04-04,2005-Q2,28.533333,4.001869985974754,,,
2005-04-05,2005-Q2,27.9,3.9130434782608696,,,
2005-04-06,2005-Q2,29.566667,4.146797615708275,,,
2005-04-07,2005-Q2,29.333333,4.114071949509117,,,
2005-04-08,2005-Q2,28.766667,4.0345956521739135,,,
2005-04-11,2005-Q2,29.033333,4.071996213183731,,,
2005-04-12,2005-Q2,29.166667,4.090696633941094,,,
2005-04-13,2005-Q2,28.8,4.0392706872370265,,,
2005-04-14,2005-Q2,28.8,4.0392706872370265,,,
2005-04-15,2005-Q2,28.333333,3.973819495091164,,,
2005-04-18,2005-Q2,27.666667,3.8803179523141655,,,
2005-04-19,2005-Q2,27.533333,3.861617531556802,,,
2005-04-20,2005-Q2,27.333333,3.833567040673212,,,
2005-04-21,2005-Q2,28.1,3.94109396914446,,,
2005-04-22,2005-Q2,28.133333,3.9457690042075737,,,
2005-04-25,2005-Q2,28.033333,3.931743758765778,,,
2005-04-26,2005-Q2,28.133333,3.9457690042075737,,,
2005-04-27,2005-Q2,28.0,3.9270687237026647,,,
2005-04-28,2005-Q2,27.566667,3.86629270687237,,,
2005-04-29,2005-Q2,27.733333,3.889668022440393,,,
2005-05-02,2005-Q2,27.666667,3.8803179523141655,,,
2005-05-03,2005-Q2,27.7,3.884992987377279,,,
2005-05-04,2005-Q2,27.933333,3.917718513323984,,,
2005-05-05,2005-Q2,27.9,3.9130434782608696,,,
2005-05-06,2005-Q2,27.933333,3.917718513323984,4.3852267882187945,,
2005-05-09,2005-Q2,28.7,4.025245441795232,4.35483870967742,,
2005-05-10,2005-Q2,28.8,4.0392706872370265,4.291725105189341,,
2005-05-11,2005-Q2,28.5,3.997194950911641,4.226273983169706,,
2005-05-12,2005-Q2,28.966667,4.062646143057504,4.214586255259468,,
2005-05-13,2005-Q2,30.7,4.305750350631136,4.214586255259468,,
2005-05-16,2005-Q2,30.266667,4.244974333800842,4.214586255259468,,
2005-05-17,2005-Q2,29.9,4.193548387096774,4.200561009817672,,
2005-05-18,2005-Q2,30.933333,4.33847587657784,4.200561009817672,,
2005-05-19,2005-Q2,30.366667,4.258999579242637,4.200561009817672,,
2005-05-20,2005-Q2,30.566667,4.287050070126227,4.200561009817672,,
2005-05-23,2005-Q2,32.633333,4.576905049088359,4.200561009817672,,
2005-05-24,2005-Q2,31.733333,4.450677840112202,4.200561009817672,,
2005-05-25,2005-Q2,31.766667,4.455353015427771,4.200561009817672,,
2005-05-26,2005-Q2,31.2,4.3758765778401125,4.200561009817672,,
2005-05-27,2005-Q2,30.5,4.277699859747545,4.200561009817672,,
2005-05-30,2005-Q2,29.966667,4.202898597475456,4.198223492286115,,
2005-05-31,2005-Q2,30.0,4.207573632538569,4.198223492286115,,
2005-06-01,2005-Q2,30.533333,51.75141186440678,4.198223492286115,,
2005-06-02,2005-Q2,31.1,52.71186440677967,4.198223492286115,,
2005-06-03,2005-Q2,31.066667,52.65536779661017,4.198223492286115,,
2005-06-04,2005-Q2,30.766667,52.14689322033899,4.198223492286115,,
2005-06-06,2005-Q2,30.833333,52.25988644067797,4.198223492286115,,
2005-06-07,2005-Q2,30.633333,51.920903389830514,4.198223492286115,,
2005-06-08,2005-Q2,30.833333,52.25988644067797,4.198223492286115,,
2005-06-09,2005-Q2,31.233333,52.93785254237288,4.198223492286115,,
2005-06-10,2005-Q2,33.266667,56.384181355932206,4.198223492286115,,
2005-06-13,2005-Q2,33.2,56.27118644067797,4.198223492286115,,
2005-06-14,2005-Q2,31.666667,53.67231694915255,4.198223492286115,,
2005-06-15,2005-Q2,31.7,53.72881355932204,4.198223492286115,,
2005-06-16,2005-Q2,30.533333,51.75141186440678,4.198223492286115,,
2005-06-17,2005-Q2,29.633333,50.22598813559323,4.198223492286115,,
2005-06-20,2005-Q2,28.833333,48.87005593220339,4.198223492286115,,
2005-06-21,2005-Q2,28.733333,48.70056440677966,4.198223492286115,,
2005-06-22,2005-Q2,28.6,48.47457627118644,4.198223492286115,,
2005-06-23,2005-Q2,28.833333,48.87005593220339,4.198223492286115,,
2005-06-24,2005-Q2,29.066667,49.2655372881356,4.198223492286115,,
2005-06-27,2005-Q2,28.566667,48.41807966101695,4.198223492286115,,
2005-06-28,2005-Q2,28.666667,48.58757118644069,4.198223492286115,,
2005-06-29,2005-Q2,29.2,49.49152542372882,4.198223492286115,,
2005-06-30,2005-Q2,29.366667,49.77401186440678,4.198223492286115,,
2005-07-01,2005-Q3,29.866667,50.621469491525424,4.198223492286115,,
2005-07-04,2005-Q3,29.733333,50.39547966101695,4.205236115007013,,
2005-07-05,2005-Q3,29.4,49.83050847457627,4.205236115007013,,
2005-07-06,2005-Q3,29.566667,50.11299491525424,4.205236115007013,,
2005-07-07,2005-Q3,29.1,49.32203389830509,4.205236115007013,,
2005-07-08,2005-Q3,29.066667,49.2655372881356,4.205236115007013,,
2005-07-11,2005-Q3,29.5,50.0,4.214586255259468,,
2005-07-12,2005-Q3,29.5,50.0,4.226273983169706,,
2005-07-13,2005-Q3,29.2,49.49152542372882,4.226273983169706,,
2005-07-14,2005-Q3,29.1,49.32203389830509,4.226273983169706,,
2005-07-15,2005-Q3,29.433333,49.887005084745766,4.226273983169706,,
2005-07-18,2005-Q3,30.533333,51.75141186440678,4.237961711079944,,
2005-07-19,2005-Q3,31.166667,52.8248593220339,4.25198695652174,,
2005-07-20,2005-Q3,32.0,54.237288135593225,4.268349719495092,,
2005-07-21,2005-Q3,31.0,52.54237288135594,4.282374964936887,,
2005-07-22,2005-Q3,31.166667,52.8248593220339,4.296400210378682,,
2005-07-25,2005-Q3,30.8,52.20338983050848,4.322113113604488,,
2005-07-26,2005-Q3,30.366667,51.46892711864407,4.357176227208976,,
2005-07-27,2005-Q3,30.466667,51.6384186440678,4.413277208976157,,
2005-07-28,2005-Q3,30.466667,51.6384186440678,4.453015427769986,,
2005-07-29,2005-Q3,29.9,50.67796610169491,4.516129032258065,,
2005-08-01,2005-Q3,28.466667,48.24858813559322,26.41274659234079,,
2005-08-02,2005-Q3,29.333333,49.71751355932204,48.333333898305085,,
2005-08-03,2005-Q3,29.533333,50.05649661016949,48.44632796610169,,
2005-08-04,2005-Q3,29.033333,49.209038983050846,48.53107372881357,,
2005-08-05,2005-Q3,29.333333,49.71751355932204,48.64406779661017,,
2005-08-08,2005-Q3,28.7,48.64406779661017,48.67231610169492,,
2005-08-09,2005-Q3,28.966667,49.09604576271187,48.78531016949152,,
2005-08-10,2005-Q3,28.933333,49.03954745762712,48.87005593220339,,
2005-08-11,2005-Q3,29.3,49.66101694915255,48.95480169491526,,
2005-08-12,2005-Q3,29.566667,50.11299491525424,49.067796610169495,,
2005-08-15,2005-Q3,29.566667,50.11299491525424,49.15254237288136,,
2005-08-16,2005-Q3,30.866667,52.31638474576271,49.23728813559322,,
2005-08-17,2005-Q3,34.9,59.15254237288136,49.2655372881356,,
2005-08-18,2005-Q3,33.433333,56.66666610169492,49.29378559322034,,
2005-08-19,2005-Q3,35.2,59.66101694915255,49.32203389830509,,
2005-08-22,2005-Q3,36.0,61.01694915254237,49.40677966101696,,
2005-08-23,2005-Q3,34.5,58.47457627118644,49.49152542372882,,
2005-08-24,2005-Q3,34.5,58.47457627118644,49.57627118644068,,
2005-08-25,2005-Q3,35.1,59.49152542372882,49.6892652542373,,
2005-08-26,2005-Q3,38.933333,65.9887,49.71751355932204,,
2005-08-29,2005-Q3,39.866667,67.5706220338983,49.745762711864415,,
2005-08-30,2005-Q3,40.433333,68.53107288135593,49.802260169491525,,
2005-08-31,2005-Q3,40.633333,68.8700559322034,49.85875677966102,,
2005-09-01,2005-Q3,40.1,83.54166666666667,49.94350254237288,,
2005-09-02,2005-Q3,39.033333,81.31944375,50.0,,
2005-09-05,2005-Q3,42.1,87.70833333333334,50.028248305084745,,
2005-09-06,2005-Q3,43.5,90.625,50.08474576271186,,
2005-09-07,2005-Q3,43.5,90.625,50.11299491525424,,
2005-09-08,2005-Q3,42.9,89.375,50.11299491525424,32.8354974025974,
2005-09-09,2005-Q3,40.9,85.20833333333333,50.16949152542374,32.8354974025974,
2005-09-12,2005-Q3,41.233333,85.90277708333333,50.31073389830509,32.8354974025974,
2005-09-13,2005-Q3,41.133333,85.69444375,50.50847457627118,32.8354974025974,
2005-09-14,2005-Q3,39.233333,81.73611041666668,50.64971779661017,32.8354974025974,
2005-09-15,2005-Q3,41.566667,86.59722291666668,51.07344661016949,32.8354974025974,
2005-09-16,2005-Q3,40.9,85.20833333333333,51.553672881355936,32.8354974025974,
2005-09-19,2005-Q3,39.966667,83.26388958333334,51.6384186440678,32.92207792207792,
2005-09-20,2005-Q3,38.966667,81.18055625000001,51.69491525423729,32.96536818181818,
2005-09-21,2005-Q3,36.866667,76.80555625,51.75141186440678,33.05194805194805,
2005-09-22,2005-Q3,32.3,67.29166666666666,51.75141186440678,33.18181818181819,
