Date,Open,High,Low,Close,EPS,PE,Median_PE_90,Median_PE_180,Median_PE_365,Valid_Period
2004-09-01,,,,,1.55,,,,,0
2004-09-02,,,,,1.55,,,,,0
2004-09-03,,,,,1.55,,,,,0
2004-09-06,,,,,1.55,,,,,0
2004-09-07,,,,,1.55,,,,,0
2004-09-08,,,,,1.55,,,,,0
2004-09-09,,,,,1.55,,,,,0
2004-09-10,,,,,1.55,,,,,0
2004-09-13,,,,,1.55,,,,,0
2004-09-14,,,,,1.55,,,,,0
2004-09-15,,,,,1.55,,,,,0
2004-09-16,,,,,1.55,,,,,0
2004-09-17,,,,,1.55,,,,,0
2004-09-20,,,,,1.55,,,,,0
2004-09-21,,,,,1.55,,,,,0
2004-09-22,,,,,1.55,,,,,0
2004-09-23,,,,,1.55,,,,,0
2004-09-24,,,,,1.55,,,,,0
2004-09-27,,,,,1.55,,,,,0
2004-09-28,,,,,1.55,,,,,0
2004-09-29,,,,,1.55,,,,,0
2004-09-30,,,,,1.55,,,,,0
2004-10-01,,,,,1.55,,,,,0
2004-10-04,,,,,1.55,,,,,0
2004-10-05,,,,,1.55,,,,,0
2004-10-06,,,,,1.55,,,,,0
2004-10-07,,,,,1.55,,,,,0
2004-10-08,,,,,1.55,,,,,0
2004-10-11,,,,,1.55,,,,,0
2004-10-12,,,,,1.55,,,,,0
2004-10-13,,,,,1.55,,,,,0
2004-10-14,,,,,1.55,,,,,0
2004-10-15,,,,,1.55,,,,,0
2004-10-18,,,,,1.55,,,,,0
2004-10-19,,,,,1.55,,,,,0
2004-10-20,,,,,1.55,,,,,0
2004-10-21,,,,,1.55,,,,,0
2004-10-22,,,,,1.55,,,,,0
2004-10-25,,,,,1.55,,,,,0
2004-10-26,,,,,1.55,,,,,0
2004-10-27,,,,,1.55,,,,,0
2004-10-28,,,,,1.55,,,,,0
2004-10-29,,,,,1.55,,,,,0
2004-11-01,,,,,1.55,,,,,0
2004-11-02,,,,,1.55,,,,,0
2004-11-03,,,,,1.55,,,,,0
2004-11-04,,,,,1.55,,,,,0
2004-11-05,,,,,1.55,,,,,0
2004-11-08,,,,,1.55,,,,,0
2004-11-09,,,,,1.55,,,,,0
2004-11-10,,,,,1.55,,,,,0
2004-11-11,,,,,1.55,,,,,0
2004-11-12,,,,,1.55,,,,,0
2004-11-15,,,,,1.55,,,,,0
2004-11-16,,,,,1.55,,,,,0
2004-11-17,,,,,1.55,,,,,0
2004-11-18,,,,,1.55,,,,,0
2004-11-19,,,,,1.55,,,,,0
2004-11-22,,,,,1.55,,,,,0
2004-11-23,,,,,1.55,,,,,0
2004-11-24,,,,,1.55,,,,,0
2004-11-25,,,,,1.55,,,,,0
2004-11-26,,,,,1.55,,,,,0
2004-11-29,,,,,1.55,,,,,0
2004-11-30,,,,,1.55,,,,,0
2004-12-01,,,,,0.99,,,,,0
2004-12-02,,,,,0.99,,,,,0
2004-12-03,,,,,0.99,,,,,0
2004-12-06,,,,,0.99,,,,,0
2004-12-07,,,,,0.99,,,,,0
2004-12-08,,,,,0.99,,,,,0
2004-12-09,,,,,0.99,,,,,0
2004-12-10,,,,,0.99,,,,,0
2004-12-13,,,,,0.99,,,,,0
2004-12-14,,,,,0.99,,,,,0
2004-12-15,,,,,0.99,,,,,0
2004-12-16,,,,,0.99,,,,,0
2004-12-17,,,,,0.99,,,,,0
2004-12-20,,,,,0.99,,,,,0
2004-12-21,,,,,0.99,,,,,0
2004-12-22,,,,,0.99,,,,,0
2004-12-23,,,,,0.99,,,,,0
2004-12-24,,,,,0.99,,,,,0
2004-12-27,,,,,0.99,,,,,0
2004-12-28,,,,,0.99,,,,,0
2004-12-29,,,,,0.99,,,,,0
2004-12-30,,,,,0.99,,,,,0
2004-12-31,,,,,0.99,,,,,0
2005-01-03,12.93,12.93,12.93,12.93,0.99,13.06060606060606,,,,0
2005-01-04,12.68,12.68,12.68,12.68,0.99,12.808080808080808,,,,0
2005-01-05,11.8,11.8,11.8,11.8,0.99,11.91919191919192,,,,0
2005-01-06,11.66,11.66,11.66,11.66,0.99,11.77777777777778,,,,0
2005-01-07,11.53,11.53,11.53,11.53,0.99,11.646464646464644,,,,0
2005-01-10,11.75,11.75,11.75,11.75,0.99,11.868686868686869,,,,0
2005-01-11,10.89,10.89,10.89,10.89,0.99,11.0,,,,0
2005-01-12,10.39,10.39,10.39,10.39,0.99,10.494949494949497,,,,0
2005-01-13,10.93,10.93,10.93,10.93,0.99,11.04040404040404,,,,0
2005-01-14,10.52,10.52,10.52,10.52,0.99,10.626262626262626,,,,0
2005-01-17,10.57,10.57,10.57,10.57,0.99,10.676767676767676,,,,0
2005-01-18,10.37,10.37,10.37,10.37,0.99,10.474747474747474,,,,0
2005-01-19,10.28,10.28,10.28,10.28,0.99,10.383838383838384,,,,0
2005-01-20,10.2,10.2,10.2,10.2,0.99,10.303030303030305,,,,0
2005-01-21,10.2,10.2,10.2,10.2,0.99,10.303030303030305,,,,0
2005-01-24,10.3,10.3,10.3,10.3,0.99,10.404040404040405,,,,0
2005-01-25,10.82,10.82,10.82,10.82,0.99,10.929292929292927,,,,0
2005-01-26,10.82,10.82,10.82,10.82,0.99,10.929292929292927,,,,0
2005-01-27,10.99,10.99,10.99,10.99,0.99,11.101010101010102,,,,0
2005-01-28,11.22,11.22,11.22,11.22,0.99,11.333333333333334,,,,0
2005-01-31,11.48,11.48,11.48,11.48,0.99,11.595959595959595,,,,0
2005-02-01,11.06,11.06,11.06,11.06,0.99,11.171717171717171,,,,0
2005-02-02,11.06,11.06,11.06,11.06,0.99,11.171717171717171,,,,0
2005-02-03,11.42,11.42,11.42,11.42,0.99,11.535353535353536,,,,0
2005-02-04,11.26,11.26,11.26,11.26,0.99,11.373737373737374,,,,0
2005-02-07,11.45,11.45,11.45,11.45,0.99,11.565656565656566,,,,0
2005-02-08,11.28,11.28,11.28,11.28,0.99,11.393939393939393,,,,0
2005-02-09,11.22,11.22,11.22,11.22,0.99,11.333333333333334,,,,0
2005-02-10,11.1,11.1,11.1,11.1,0.99,11.212121212121213,,,,0
2005-02-11,11.32,11.32,11.32,11.32,0.99,11.434343434343434,,,,0
2005-02-14,11.21,11.21,11.21,11.21,0.99,11.323232323232324,,,,0
2005-02-15,11.3,11.3,11.3,11.3,0.99,11.414141414141415,,,,0
2005-02-16,10.8,10.8,10.8,10.8,0.99,10.90909090909091,,,,0
