Date,Open,High,Low,Close,EPS,PE,Median_PE_90,Median_PE_180,Median_PE_365,Valid_Period
2004-09-01,,,,,0.04,,,,,0
2004-09-02,,,,,0.04,,,,,0
2004-09-03,,,,,0.04,,,,,0
2004-09-06,,,,,0.04,,,,,0
2004-09-07,,,,,0.04,,,,,0
2004-09-08,,,,,0.04,,,,,0
2004-09-09,,,,,0.04,,,,,0
2004-09-10,,,,,0.04,,,,,0
2004-09-13,,,,,0.04,,,,,0
2004-09-14,,,,,0.04,,,,,0
2004-09-15,,,,,0.04,,,,,0
2004-09-16,,,,,0.04,,,,,0
2004-09-17,,,,,0.04,,,,,0
2004-09-20,,,,,0.04,,,,,0
2004-09-21,,,,,0.04,,,,,0
2004-09-22,,,,,0.04,,,,,0
2004-09-23,,,,,0.04,,,,,0
2004-09-24,,,,,0.04,,,,,0
2004-09-27,,,,,0.04,,,,,0
2004-09-28,,,,,0.04,,,,,0
2004-09-29,,,,,0.04,,,,,0
2004-09-30,,,,,0.04,,,,,0
2004-10-01,,,,,0.04,,,,,0
2004-10-04,,,,,0.04,,,,,0
2004-10-05,,,,,0.04,,,,,0
2004-10-06,,,,,0.04,,,,,0
2004-10-07,,,,,0.04,,,,,0
2004-10-08,,,,,0.04,,,,,0
2004-10-11,,,,,0.04,,,,,0
2004-10-12,,,,,0.04,,,,,0
2004-10-13,,,,,0.04,,,,,0
2004-10-14,,,,,0.04,,,,,0
2004-10-15,,,,,0.04,,,,,0
2004-10-18,,,,,0.04,,,,,0
2004-10-19,,,,,0.04,,,,,0
2004-10-20,,,,,0.04,,,,,0
2004-10-21,,,,,0.04,,,,,0
2004-10-22,,,,,0.04,,,,,0
2004-10-25,,,,,0.04,,,,,0
2004-10-26,,,,,0.04,,,,,0
2004-10-27,,,,,0.04,,,,,0
2004-10-28,,,,,0.04,,,,,0
2004-10-29,,,,,0.04,,,,,0
2004-11-01,,,,,0.04,,,,,0
2004-11-02,,,,,0.04,,,,,0
2004-11-03,,,,,0.04,,,,,0
2004-11-04,,,,,0.04,,,,,0
2004-11-05,,,,,0.04,,,,,0
2004-11-08,,,,,0.04,,,,,0
2004-11-09,,,,,0.04,,,,,0
2004-11-10,,,,,0.04,,,,,0
2004-11-11,,,,,0.04,,,,,0
2004-11-12,,,,,0.04,,,,,0
2004-11-15,,,,,0.04,,,,,0
2004-11-16,,,,,0.04,,,,,0
2004-11-17,,,,,0.04,,,,,0
2004-11-18,,,,,0.04,,,,,0
2004-11-19,,,,,0.04,,,,,0
2004-11-22,,,,,0.04,,,,,0
2004-11-23,,,,,0.04,,,,,0
2004-11-24,,,,,0.04,,,,,0
2004-11-25,,,,,0.04,,,,,0
2004-11-26,,,,,0.04,,,,,0
2004-11-29,,,,,0.04,,,,,0
2004-11-30,,,,,0.04,,,,,0
2004-12-01,,,,,0.03,,,,,0
2004-12-02,,,,,0.03,,,,,0
2004-12-03,,,,,0.03,,,,,0
2004-12-06,,,,,0.03,,,,,0
2004-12-07,,,,,0.03,,,,,0
2004-12-08,,,,,0.03,,,,,0
2004-12-09,,,,,0.03,,,,,0
2004-12-10,,,,,0.03,,,,,0
2004-12-13,,,,,0.03,,,,,0
2004-12-14,,,,,0.03,,,,,0
2004-12-15,,,,,0.03,,,,,0
2004-12-16,,,,,0.03,,,,,0
2004-12-17,,,,,0.03,,,,,0
2004-12-20,,,,,0.03,,,,,0
2004-12-21,,,,,0.03,,,,,0
2004-12-22,,,,,0.03,,,,,0
2004-12-23,,,,,0.03,,,,,0
2004-12-24,,,,,0.03,,,,,0
2004-12-27,,,,,0.03,,,,,0
2004-12-28,,,,,0.03,,,,,0
2004-12-29,,,,,0.03,,,,,0
2004-12-30,,,,,0.03,,,,,0
2004-12-31,,,,,0.03,,,,,0
2005-01-03,40.5,40.5,40.5,40.5,0.03,1350.0,,,,0
2005-01-04,38.0,38.0,38.0,38.0,0.03,1266.6666666666667,,,,0
2005-01-05,36.0,36.0,36.0,36.0,0.03,1200.0,,,,0
2005-01-06,35.5,35.5,35.5,35.5,0.03,1183.3333333333337,,,,0
2005-01-07,36.5,36.5,36.5,36.5,0.03,1216.6666666666667,,,,0
2005-01-10,38.0,38.0,38.0,38.0,0.03,1266.6666666666667,,,,0
2005-01-11,35.0,35.0,35.0,35.0,0.03,1166.6666666666667,,,,0
2005-01-12,31.5,31.5,31.5,31.5,0.03,1050.0,,,,0
2005-01-13,35.0,35.0,35.0,35.0,0.03,1166.6666666666667,,,,0
2005-01-14,34.0,34.0,34.0,34.0,0.03,1133.3333333333337,,,,0
2005-01-17,32.5,32.5,32.5,32.5,0.03,1083.3333333333337,,,,0
2005-01-18,31.5,31.5,31.5,31.5,0.03,1050.0,,,,0
2005-01-19,30.5,30.5,30.5,30.5,0.03,1016.6666666666669,,,,0
2005-01-20,29.5,29.5,29.5,29.5,0.03,983.3333333333334,,,,0
2005-01-21,29.5,29.5,29.5,29.5,0.03,983.3333333333334,,,,0
2005-01-24,28.0,28.0,28.0,28.0,0.03,933.3333333333334,,,,0
2005-01-25,29.5,29.5,29.5,29.5,0.03,983.3333333333334,,,,0
2005-01-26,29.5,29.5,29.5,29.5,0.03,983.3333333333334,,,,0
2005-01-27,31.0,31.0,31.0,31.0,0.03,1033.3333333333337,,,,0
2005-01-28,31.0,31.0,31.0,31.0,0.03,1033.3333333333337,,,,0
2005-01-31,30.5,30.5,30.5,30.5,0.03,1016.6666666666669,,,,0
2005-02-01,29.5,29.5,29.5,29.5,0.03,983.3333333333334,,,,0
2005-02-02,30.0,30.0,30.0,30.0,0.03,1000.0,,,,0
2005-02-03,30.0,30.0,30.0,30.0,0.03,1000.0,,,,0
2005-02-04,30.0,30.0,30.0,30.0,0.03,1000.0,,,,0
