Date,Open,High,Low,Close,EPS,PE,Median_PE_90,Median_PE_180,Median_PE_365,Valid_Period
2004-09-01,,,,,2.19,,,,,0
2004-09-02,,,,,2.19,,,,,0
2004-09-03,,,,,2.19,,,,,0
2004-09-06,,,,,2.19,,,,,0
2004-09-07,,,,,2.19,,,,,0
2004-09-08,,,,,2.19,,,,,0
2004-09-09,,,,,2.19,,,,,0
2004-09-10,,,,,2.19,,,,,0
2004-09-13,,,,,2.19,,,,,0
2004-09-14,,,,,2.19,,,,,0
2004-09-15,,,,,2.19,,,,,0
2004-09-16,,,,,2.19,,,,,0
2004-09-17,,,,,2.19,,,,,0
2004-09-20,,,,,2.19,,,,,0
2004-09-21,,,,,2.19,,,,,0
2004-09-22,,,,,2.19,,,,,0
2004-09-23,,,,,2.19,,,,,0
2004-09-24,,,,,2.19,,,,,0
2004-09-27,,,,,2.19,,,,,0
2004-09-28,,,,,2.19,,,,,0
2004-09-29,,,,,2.19,,,,,0
2004-09-30,,,,,2.19,,,,,0
2004-10-01,,,,,2.19,,,,,0
2004-10-04,,,,,2.19,,,,,0
2004-10-05,,,,,2.19,,,,,0
2004-10-06,,,,,2.19,,,,,0
2004-10-07,,,,,2.19,,,,,0
2004-10-08,,,,,2.19,,,,,0
2004-10-11,,,,,2.19,,,,,0
2004-10-12,,,,,2.19,,,,,0
2004-10-13,,,,,2.19,,,,,0
2004-10-14,,,,,2.19,,,,,0
2004-10-15,,,,,2.19,,,,,0
2004-10-18,,,,,2.19,,,,,0
2004-10-19,,,,,2.19,,,,,0
2004-10-20,,,,,2.19,,,,,0
2004-10-21,,,,,2.19,,,,,0
2004-10-22,,,,,2.19,,,,,0
2004-10-25,,,,,2.19,,,,,0
2004-10-26,,,,,2.19,,,,,0
2004-10-27,,,,,2.19,,,,,0
2004-10-28,,,,,2.19,,,,,0
2004-10-29,,,,,2.19,,,,,0
2004-11-01,,,,,2.19,,,,,0
2004-11-02,,,,,2.19,,,,,0
2004-11-03,,,,,2.19,,,,,0
2004-11-04,,,,,2.19,,,,,0
2004-11-05,,,,,2.19,,,,,0
2004-11-08,,,,,2.19,,,,,0
2004-11-09,,,,,2.19,,,,,0
2004-11-10,,,,,2.19,,,,,0
2004-11-11,,,,,2.19,,,,,0
2004-11-12,,,,,2.19,,,,,0
2004-11-15,,,,,2.19,,,,,0
2004-11-16,,,,,2.19,,,,,0
2004-11-17,,,,,2.19,,,,,0
2004-11-18,,,,,2.19,,,,,0
2004-11-19,,,,,2.19,,,,,0
2004-11-22,,,,,2.19,,,,,0
2004-11-23,,,,,2.19,,,,,0
2004-11-24,,,,,2.19,,,,,0
2004-11-25,,,,,2.19,,,,,0
2004-11-26,,,,,2.19,,,,,0
2004-11-29,,,,,2.19,,,,,0
2004-11-30,,,,,2.19,,,,,0
2004-12-01,,,,,9.11,,,,,0
2004-12-02,,,,,9.11,,,,,0
2004-12-03,,,,,9.11,,,,,0
2004-12-06,,,,,9.11,,,,,0
2004-12-07,,,,,9.11,,,,,0
2004-12-08,,,,,9.11,,,,,0
2004-12-09,,,,,9.11,,,,,0
2004-12-10,,,,,9.11,,,,,0
2004-12-13,,,,,9.11,,,,,0
2004-12-14,,,,,9.11,,,,,0
2004-12-15,,,,,9.11,,,,,0
2004-12-16,,,,,9.11,,,,,0
2004-12-17,,,,,9.11,,,,,0
2004-12-20,,,,,9.11,,,,,0
2004-12-21,,,,,9.11,,,,,0
2004-12-22,,,,,9.11,,,,,0
2004-12-23,,,,,9.11,,,,,0
2004-12-24,,,,,9.11,,,,,0
2004-12-27,,,,,9.11,,,,,0
2004-12-28,,,,,9.11,,,,,0
2004-12-29,,,,,9.11,,,,,0
2004-12-30,,,,,9.11,,,,,0
2004-12-31,,,,,9.11,,,,,0
2005-01-03,36.16,36.16,36.16,36.16,9.11,3.969264544456641,,,,0
2005-01-04,37.496667,37.496667,37.496667,37.496667,9.11,4.115989791437981,,,,0
2005-01-05,36.0,36.0,36.0,36.0,9.11,3.9517014270032935,,,,0
2005-01-06,35.946667,35.946667,35.946667,35.946667,9.11,3.945847091108672,,,,0
2005-01-07,36.0,36.0,36.0,36.0,9.11,3.9517014270032935,,,,0
2005-01-10,36.466667,36.466667,36.466667,36.466667,9.11,4.002927222832053,,,,0
2005-01-11,35.733333,35.733333,35.733333,35.733333,9.11,3.922429527991219,,,,0
2005-01-12,34.733333,34.733333,34.733333,34.733333,9.11,3.812660043907794,,,,0
2005-01-13,36.47,36.47,36.47,36.47,9.11,4.003293084522503,,,,0
2005-01-14,38.293333,38.293333,38.293333,38.293333,9.11,4.203439407244786,,,,0
2005-01-17,38.89,38.89,38.89,38.89,9.11,4.268935236004391,,,,0
2005-01-18,40.69,40.69,40.69,40.69,9.11,4.466520307354555,,,,0
2005-01-19,42.666667,42.666667,42.666667,42.666667,9.11,4.683498024149286,,,,0
2005-01-20,44.8,44.8,44.8,44.8,9.11,4.917672886937432,,,,0
2005-01-21,44.8,44.8,44.8,44.8,9.11,4.917672886937432,,,,0
2005-01-24,46.61,46.61,46.61,46.61,9.11,5.116355653128431,,,,0
2005-01-25,44.29,44.29,44.29,44.29,9.11,4.861690450054885,,,,0
2005-01-26,44.29,44.29,44.29,44.29,9.11,4.861690450054885,,,,0
2005-01-27,42.19,42.19,42.19,42.19,9.11,4.631174533479693,,,,0
2005-01-28,43.1,43.1,43.1,43.1,9.11,4.73106476399561,,,,0
2005-01-31,45.256667,45.256667,45.256667,45.256667,9.11,4.967800987925357,,,,0
2005-02-01,43.826667,43.826667,43.826667,43.826667,9.11,4.81083062568606,,,,0
2005-02-02,43.933333,43.933333,43.933333,43.933333,9.11,4.822539297475302,,,,0
2005-02-03,46.116667,46.116667,46.116667,46.116667,9.11,5.062202744237102,,,,0
2005-02-04,47.13,47.13,47.13,47.13,9.11,5.173435784851812,,,,0
2005-02-07,49.456667,49.456667,49.456667,49.456667,9.11,5.4288328210757415,,,,0
2005-02-08,51.863333,51.863333,51.863333,51.863333,9.11,5.693011306256861,,,,0
2005-02-09,53.236667,53.236667,53.236667,53.236667,9.11,5.843761470911087,,,,0
2005-02-10,55.833333,55.833333,55.833333,55.833333,9.11,6.128796158068058,,,,0
2005-02-11,58.626667,58.626667,58.626667,58.626667,9.11,6.435418990120747,,,,0
2005-02-14,61.406667,61.406667,61.406667,61.406667,9.11,6.740578155872668,,,,0
2005-02-15,61.583333,61.583333,61.583333,61.583333,9.11,6.759970691547751,,,,0
2005-02-16,59.15,59.15,59.15,59.15,9.11,6.492864983534577,,,,0
2005-02-17,57.036667,57.036667,57.036667,57.036667,9.11,6.260885510428102,,,,0
2005-02-18,56.096667,56.096667,56.096667,56.096667,9.11,6.157702195389682,,,,0
2005-02-21,56.846667,56.846667,56.846667,56.846667,9.11,6.24002930845225,,,,0
2005-02-22,55.366667,55.366667,55.366667,55.366667,9.11,6.077570472008782,,,,0
2005-02-23,54.14,54.14,54.14,54.14,9.11,5.942919868276619,,,,0
2005-02-24,56.85,56.85,56.85,56.85,9.11,6.240395170142701,,,,0
2005-02-25,59.336667,59.336667,59.336667,59.336667,9.11,6.513355323819979,,,,0
2005-02-28,57.866667,57.866667,57.866667,57.866667,9.11,6.351994182217344,,,,0
2005-03-01,56.316667,56.316667,56.316667,56.316667,16.0,3.5197916875,,,,0
2005-03-02,58.09,58.09,58.09,58.09,16.0,3.630625,,,,0
2005-03-03,60.996667,60.996667,60.996667,60.996667,16.0,3.8122916875,,,,0
2005-03-04,64.046667,64.046667,64.046667,64.046667,16.0,4.0029166875,,,,0
2005-03-07,66.516667,66.516667,66.516667,66.516667,16.0,4.1572916875,,,,0
2005-03-08,66.386667,66.386667,66.386667,66.386667,16.0,4.1491666875,,,,0
2005-03-09,63.313333,63.313333,63.313333,63.313333,16.0,3.9570833125,,,,0
2005-03-10,66.23,66.23,66.23,66.23,16.0,4.139375,,,,0
2005-03-11,65.74,65.74,65.74,65.74,16.0,4.10875,,,,0
2005-03-14,64.653333,64.653333,64.653333,64.653333,16.0,4.0408333125,,,,0
2005-03-15,67.886667,67.886667,67.886667,67.886667,16.0,4.2429166875,,,,0
2005-03-16,69.37,69.37,69.37,69.37,16.0,4.335625,,,,0
2005-03-17,72.776667,72.776667,72.776667,72.776667,16.0,4.5485416875,,,,0
2005-03-18,69.39,69.39,69.39,69.39,16.0,4.336875,,,,0
2005-03-21,70.86,70.86,70.86,70.86,16.0,4.42875,,,,0
2005-03-22,68.076667,68.076667,68.076667,68.076667,16.0,4.2547916875,,,,0
2005-03-23,67.016667,67.016667,67.016667,67.016667,16.0,4.1885416875,,,,0
2005-03-24,67.336667,67.336667,67.336667,67.336667,16.0,4.2085416875,,,,0
2005-03-25,67.336667,67.336667,67.336667,67.336667,16.0,4.2085416875,,,,0
2005-03-28,68.43,68.43,68.43,68.43,16.0,4.276875,,,,0
2005-03-29,67.336667,67.336667,67.336667,67.336667,16.0,4.2085416875,,,,0
2005-03-30,70.666667,70.666667,70.666667,70.666667,16.0,4.4166666875,,,,0
2005-03-31,72.706667,72.706667,72.706667,72.706667,16.0,4.5441666875,,,,0
2005-04-01,72.636667,72.636667,72.636667,72.636667,16.0,4.5397916875,,,,0
2005-04-04,73.12,73.12,73.12,73.12,16.0,4.57,,,,0
2005-04-05,73.176667,73.176667,73.176667,73.176667,16.0,4.5735416875,,,,0
2005-04-06,76.836667,76.836667,76.836667,76.836667,16.0,4.8022916875,,,,0
2005-04-07,80.68,80.68,80.68,80.68,16.0,5.0425,,,,0
2005-04-08,84.716667,84.716667,84.716667,84.716667,16.0,5.2947916875,,,,0
2005-04-11,88.836667,88.836667,88.836667,88.836667,16.0,5.5522916875,,,,0
2005-04-12,92.746667,92.746667,92.746667,92.746667,16.0,5.7966666875,,,,0
2005-04-13,88.11,88.11,88.11,88.11,16.0,5.506875,,,,0
2005-04-14,88.11,88.11,88.11,88.11,16.0,5.506875,,,,0
2005-04-15,86.493333,86.493333,86.493333,86.493333,16.0,5.4058333125,,,,0
2005-04-18,90.796667,90.796667,90.796667,90.796667,16.0,5.6747916875,,,,0
2005-04-19,86.96,86.96,86.96,86.96,16.0,5.435,,,,0
2005-04-20,84.606667,84.606667,84.606667,84.606667,16.0,5.2879166875,,,,0
2005-04-21,86.706667,86.706667,86.706667,86.706667,16.0,5.4191666875,,,,0
2005-04-22,86.166667,86.166667,86.166667,86.166667,16.0,5.3854166875,,,,0
2005-04-25,86.083333,86.083333,86.083333,86.083333,16.0,5.3802083125,,,,0
2005-04-26,85.756667,85.756667,85.756667,85.756667,16.0,5.3597916875,,,,0
2005-04-27,82.036667,82.036667,82.036667,82.036667,16.0,5.1272916875,,,,0
2005-04-28,78.11,78.11,78.11,78.11,16.0,4.881875,,,,0
2005-04-29,76.416667,76.416667,76.416667,76.416667,16.0,4.7760416875,,,,0
2005-05-02,79.783333,79.783333,79.783333,79.783333,16.0,4.9864583125,,,,0
2005-05-03,79.88,79.88,79.88,79.88,16.0,4.9925,,,,0
2005-05-04,80.643333,80.643333,80.643333,80.643333,16.0,5.0402083125,,,,0
2005-05-05,82.186667,82.186667,82.186667,82.186667,16.0,5.1366666875,,,,0
2005-05-06,81.526667,81.526667,81.526667,81.526667,16.0,5.0954166875,4.842114873765094,,,0
2005-05-09,80.17,80.17,80.17,80.17,16.0,5.010625,4.861690450054885,,,0
2005-05-10,80.68,80.68,80.68,80.68,16.0,5.0425,4.871782725027442,,,0
2005-05-11,80.44,80.44,80.44,80.44,16.0,5.0275,4.899773943468716,,,0
2005-05-12,84.14,84.14,84.14,84.14,16.0,5.25875,4.917672886937432,,,0
2005-05-13,88.35,88.35,88.35,88.35,16.0,5.521875,4.942736937431395,,,0
2005-05-16,89.976667,89.976667,89.976667,89.976667,16.0,5.6235416875,4.977129650212678,,,0
2005-05-17,88.263333,88.263333,88.263333,88.263333,16.0,5.5164583125,4.98947915625,,,0
2005-05-18,91.283333,91.283333,91.283333,91.283333,16.0,5.7052083125,5.0015625,,,0
2005-05-19,89.333333,89.333333,89.333333,89.333333,16.0,5.5833333125,5.0190625,,,0
2005-05-20,89.756667,89.756667,89.756667,89.756667,16.0,5.6097916875,5.033854156249999,,,0
2005-05-23,88.48,88.48,88.48,88.48,16.0,5.53,5.04135415625,,,0
2005-05-24,87.55,87.55,87.55,87.55,16.0,5.471875,5.0425,,,0
2005-05-25,87.333333,87.333333,87.333333,87.333333,16.0,5.4583333125,5.052351372118551,,,0
2005-05-26,87.196667,87.196667,87.196667,87.196667,16.0,5.4497916875,5.078809715868552,,,0
2005-05-27,87.433333,87.433333,87.433333,87.433333,16.0,5.4645833125,5.105886170314216,,,0
2005-05-30,83.063333,83.063333,83.063333,83.063333,16.0,5.1914583125,5.1113541875,,,0
2005-05-31,83.646667,83.646667,83.646667,83.646667,16.0,5.2279166875,5.1319791875,,,0
2005-06-01,82.68,82.68,82.68,82.68,2.23,37.07623318385651,5.155051236175906,,,0
2005-06-02,80.0,80.0,80.0,80.0,2.23,35.874439461883405,5.182447048675906,,,0
2005-06-03,82.0,82.0,82.0,82.0,2.23,36.771300448430495,5.209687499999999,,,0
2005-06-04,81.26,81.26,81.26,81.26,2.23,36.43946188340807,5.24333334375,,,0
2005-06-06,81.316667,81.316667,81.316667,81.316667,2.23,36.4648730941704,5.27333334375,,,0
2005-06-07,83.783333,83.783333,83.783333,83.783333,2.23,37.57100134529148,5.2913541875,,,0
2005-06-08,85.28,85.28,85.28,85.28,2.23,38.24215246636771,5.3272916875,,,0
2005-06-09,85.666667,85.666667,85.666667,85.666667,2.23,38.41554573991032,5.369999999999999,,,0
2005-06-10,85.783333,85.783333,85.783333,85.783333,2.23,38.46786233183857,5.369999999999999,,,0
2005-06-13,90.023333,90.023333,90.023333,90.023333,2.23,40.36920762331838,5.369999999999999,,,0
2005-06-14,89.926667,89.926667,89.926667,89.926667,2.23,40.325859641255605,5.369999999999999,,,0
2005-06-15,92.313333,92.313333,92.313333,92.313333,2.23,41.3961134529148,5.369999999999999,,,0
2005-06-16,88.84,88.84,88.84,88.84,2.23,39.83856502242153,5.369999999999999,,,0
2005-06-17,88.626667,88.626667,88.626667,88.626667,2.23,39.7429,5.369999999999999,,,0
2005-06-20,88.563333,88.563333,88.563333,88.563333,2.23,39.71449910313901,5.369999999999999,,,0
2005-06-21,89.416667,89.416667,89.416667,89.416667,2.23,40.0971600896861,5.369999999999999,,,0
2005-06-22,91.19,91.19,91.19,91.19,2.23,40.89237668161435,5.369999999999999,,,0
2005-06-23,91.066667,91.066667,91.066667,91.066667,2.23,40.83707040358744,5.369999999999999,,,0
2005-06-24,94.39,94.39,94.39,94.39,2.23,42.327354260089685,5.369999999999999,,,0
2005-06-27,92.183333,92.183333,92.183333,92.183333,2.23,41.33781748878924,5.369999999999999,,,0
2005-06-28,90.696667,90.696667,90.696667,90.696667,2.23,40.67115112107624,5.369999999999999,,,0
2005-06-29,91.873333,91.873333,91.873333,91.873333,2.23,41.19880403587444,5.369999999999999,,,0
2005-06-30,93.44,93.44,93.44,93.44,2.23,41.90134529147982,5.369999999999999,,,0
2005-07-01,97.52,97.52,97.52,97.52,2.23,43.73094170403587,5.369999999999999,,,0
2005-07-04,98.823333,98.823333,98.823333,98.823333,2.23,44.31539596412557,5.3828125,,,0
2005-07-05,98.083333,98.083333,98.083333,98.083333,2.23,43.98355739910314,5.395625000000001,,,0
2005-07-06,102.99,102.99,102.99,102.99,2.23,46.18385650224215,5.4125,,,0
2005-07-07,100.726667,100.726667,100.726667,100.726667,2.23,45.16890896860987,5.42708334375,,,0
2005-07-08,103.526667,103.526667,103.526667,103.526667,2.23,46.42451434977578,5.44239584375,,,0
2005-07-11,108.703333,108.703333,108.703333,108.703333,2.23,48.74588923766816,5.4540625,,,0
2005-07-12,113.316667,113.316667,113.316667,113.316667,2.23,50.81464887892376,5.4614583125,,,0
2005-07-13,110.346667,110.346667,110.346667,110.346667,2.23,49.48281031390135,5.4682291562500005,,,0
2005-07-14,115.516667,115.516667,115.516667,115.516667,2.23,51.80119596412556,5.489375,,,0
2005-07-15,121.293333,121.293333,121.293333,121.293333,2.23,54.39162914798207,5.506875,,,0
2005-07-18,126.78,126.78,126.78,126.78,2.23,56.852017937219735,5.51166665625,,,0
2005-07-19,133.04,133.04,133.04,133.04,2.23,59.65919282511211,5.51916665625,,,0
2005-07-20,139.693333,139.693333,139.693333,139.693333,2.23,62.64275022421525,5.5259375,,,0
2005-07-21,146.68,146.68,146.68,146.68,2.23,65.77578475336323,5.54114584375,,,0
2005-07-22,154.016667,154.016667,154.016667,154.016667,2.23,69.06576995515695,5.5678125000000005,,,0
2005-07-25,161.376667,161.376667,161.376667,161.376667,2.23,72.36621838565023,5.596562499999999,,,0
2005-07-26,153.906667,153.906667,153.906667,153.906667,2.23,69.01644260089687,5.6166666875,,,0
2005-07-27,152.223333,152.223333,152.223333,152.223333,2.23,68.26158430493274,5.6491666875,,,0
2005-07-28,152.223333,152.223333,152.223333,152.223333,2.23,68.26158430493274,5.69,,,0
2005-07-29,151.476667,151.476667,151.476667,151.476667,2.23,67.92675650224216,5.7509375,,,0
2005-08-01,150.953333,150.953333,150.953333,150.953333,2.23,67.69207757847533,20.835553074691703,,,0
2005-08-02,154.9,154.9,154.9,154.9,2.23,69.46188340807176,36.156950672645735,,,0
2005-08-03,151.046667,151.046667,151.046667,151.046667,2.23,67.73393139013453,36.45216748878924,,,0
2005-08-04,154.693333,154.693333,154.693333,154.693333,2.23,69.36920762331839,36.61808677130045,,,0
2005-08-05,153.816667,153.816667,153.816667,153.816667,2.23,68.97608385650224,36.9237668161435,,,0
2005-08-08,154.283333,154.283333,154.283333,154.283333,2.23,69.18535112107624,37.323617264574,,,0
2005-08-09,158.563333,158.563333,158.563333,158.563333,2.23,71.10463363228699,37.9065769058296,,,0
2005-08-10,162.316667,162.316667,162.316667,162.316667,2.23,72.78774304932735,38.32884910313902,,,0
2005-08-11,160.646667,160.646667,160.646667,160.646667,2.23,72.03886412556054,38.44170403587445,,,0
2005-08-12,164.96,164.96,164.96,164.96,2.23,73.9730941704036,39.09118071748879,,,0
2005-08-15,164.96,164.96,164.96,164.96,2.23,73.9730941704036,39.72869955156951,,,0
2005-08-16,173.21,173.21,173.21,173.21,2.23,77.67264573991032,39.79073251121076,,,0
2005-08-17,181.873333,181.873333,181.873333,181.873333,2.23,81.55754843049327,39.96786255605382,,,0
2005-08-18,175.28,175.28,175.28,175.28,2.23,78.60089686098655,40.21150986547085,,,0
2005-08-19,178.076667,178.076667,178.076667,178.076667,2.23,79.85500762331839,40.347533632287,,,0
2005-08-22,174.933333,174.933333,174.933333,174.933333,2.23,78.44544080717489,40.52017937219731,,,0
2005-08-23,167.99,167.99,167.99,167.99,2.23,75.33183856502242,40.75411076233184,,,0
2005-08-24,163.206667,163.206667,163.206667,163.206667,2.23,73.18684618834081,40.8647235426009,,,0
2005-08-25,158.67,158.67,158.67,158.67,2.23,71.152466367713,41.04559035874439,,,0
2005-08-26,162.69,162.69,162.69,162.69,2.23,72.95515695067265,41.26831076233184,,,0
2005-08-29,161.093333,161.093333,161.093333,161.093333,2.23,72.23916278026906,41.36696547085202,,,0
