Date,Open,High,Low,Close,EPS,PE,Median_PE_90,Median_PE_180,Median_PE_365,Valid_Period
2004-09-01,,,,,3.75,,,,,0
2004-09-02,,,,,3.75,,,,,0
2004-09-03,,,,,3.75,,,,,0
2004-09-06,,,,,3.75,,,,,0
2004-09-07,,,,,3.75,,,,,0
2004-09-08,,,,,3.75,,,,,0
2004-09-09,,,,,3.75,,,,,0
2004-09-10,,,,,3.75,,,,,0
2004-09-13,,,,,3.75,,,,,0
2004-09-14,,,,,3.75,,,,,0
2004-09-15,,,,,3.75,,,,,0
2004-09-16,,,,,3.75,,,,,0
2004-09-17,,,,,3.75,,,,,0
2004-09-20,,,,,3.75,,,,,0
2004-09-21,,,,,3.75,,,,,0
2004-09-22,,,,,3.75,,,,,0
2004-09-23,,,,,3.75,,,,,0
2004-09-24,,,,,3.75,,,,,0
2004-09-27,,,,,3.75,,,,,0
2004-09-28,,,,,3.75,,,,,0
2004-09-29,,,,,3.75,,,,,0
2004-09-30,,,,,3.75,,,,,0
2004-10-01,,,,,3.75,,,,,0
2004-10-04,,,,,3.75,,,,,0
2004-10-05,,,,,3.75,,,,,0
2004-10-06,,,,,3.75,,,,,0
2004-10-07,,,,,3.75,,,,,0
2004-10-08,,,,,3.75,,,,,0
2004-10-11,,,,,3.75,,,,,0
2004-10-12,,,,,3.75,,,,,0
2004-10-13,,,,,3.75,,,,,0
2004-10-14,,,,,3.75,,,,,0
2004-10-15,,,,,3.75,,,,,0
2004-10-18,,,,,3.75,,,,,0
2004-10-19,,,,,3.75,,,,,0
2004-10-20,,,,,3.75,,,,,0
2004-10-21,,,,,3.75,,,,,0
2004-10-22,,,,,3.75,,,,,0
2004-10-25,,,,,3.75,,,,,0
2004-10-26,,,,,3.75,,,,,0
2004-10-27,,,,,3.75,,,,,0
2004-10-28,,,,,3.75,,,,,0
2004-10-29,,,,,3.75,,,,,0
2004-11-01,,,,,3.75,,,,,0
2004-11-02,,,,,3.75,,,,,0
2004-11-03,,,,,3.75,,,,,0
2004-11-04,,,,,3.75,,,,,0
2004-11-05,,,,,3.75,,,,,0
2004-11-08,,,,,3.75,,,,,0
2004-11-09,,,,,3.75,,,,,0
2004-11-10,,,,,3.75,,,,,0
2004-11-11,,,,,3.75,,,,,0
2004-11-12,,,,,3.75,,,,,0
2004-11-15,,,,,3.75,,,,,0
2004-11-16,,,,,3.75,,,,,0
2004-11-17,,,,,3.75,,,,,0
2004-11-18,,,,,3.75,,,,,0
2004-11-19,,,,,3.75,,,,,0
2004-11-22,,,,,3.75,,,,,0
2004-11-23,,,,,3.75,,,,,0
2004-11-24,,,,,3.75,,,,,0
2004-11-25,,,,,3.75,,,,,0
2004-11-26,,,,,3.75,,,,,0
2004-11-29,,,,,3.75,,,,,0
2004-11-30,,,,,3.75,,,,,0
2004-12-01,,,,,1.17,,,,,0
2004-12-02,,,,,1.17,,,,,0
2004-12-03,,,,,1.17,,,,,0
2004-12-06,,,,,1.17,,,,,0
2004-12-07,,,,,1.17,,,,,0
2004-12-08,,,,,1.17,,,,,0
2004-12-09,,,,,1.17,,,,,0
2004-12-10,,,,,1.17,,,,,0
2004-12-13,,,,,1.17,,,,,0
2004-12-14,,,,,1.17,,,,,0
2004-12-15,,,,,1.17,,,,,0
2004-12-16,,,,,1.17,,,,,0
2004-12-17,,,,,1.17,,,,,0
2004-12-20,,,,,1.17,,,,,0
2004-12-21,,,,,1.17,,,,,0
2004-12-22,,,,,1.17,,,,,0
2004-12-23,,,,,1.17,,,,,0
2004-12-24,,,,,1.17,,,,,0
2004-12-27,,,,,1.17,,,,,0
2004-12-28,,,,,1.17,,,,,0
2004-12-29,,,,,1.17,,,,,0
2004-12-30,,,,,1.17,,,,,0
2004-12-31,,,,,1.17,,,,,0
2005-01-03,115.740841,115.740841,115.740841,115.740841,1.17,98.92379572649574,,,,0
2005-01-04,119.878967,119.878967,119.878967,119.878967,1.17,102.46065555555556,,,,0
2005-01-05,115.276358,115.276358,115.276358,115.276358,1.17,98.52680170940172,,,,0
2005-01-06,116.332002,116.332002,116.332002,116.332002,1.17,99.42906153846155,,,,0
2005-01-07,120.258999,120.258999,120.258999,120.258999,1.17,102.78546923076924,,,,0
2005-01-10,119.963419,119.963419,119.963419,119.963419,1.17,102.53283675213676,,,,0
