Date,Open,High,Low,Close,EPS,PE,Median_PE_90,Median_PE_180,Median_PE_365,Valid_Period
2004-09-01,,,,,13.82,,,,,0
2004-09-02,,,,,13.82,,,,,0
2004-09-03,,,,,13.82,,,,,0
2004-09-06,,,,,13.82,,,,,0
2004-09-07,,,,,13.82,,,,,0
2004-09-08,,,,,13.82,,,,,0
2004-09-09,,,,,13.82,,,,,0
2004-09-10,,,,,13.82,,,,,0
2004-09-13,,,,,13.82,,,,,0
2004-09-14,,,,,13.82,,,,,0
2004-09-15,,,,,13.82,,,,,0
2004-09-16,,,,,13.82,,,,,0
2004-09-17,,,,,13.82,,,,,0
2004-09-20,,,,,13.82,,,,,0
2004-09-21,,,,,13.82,,,,,0
2004-09-22,,,,,13.82,,,,,0
2004-09-23,,,,,13.82,,,,,0
2004-09-24,,,,,13.82,,,,,0
2004-09-27,,,,,13.82,,,,,0
2004-09-28,,,,,13.82,,,,,0
2004-09-29,,,,,13.82,,,,,0
2004-09-30,,,,,13.82,,,,,0
2004-10-01,,,,,13.82,,,,,0
2004-10-04,,,,,13.82,,,,,0
2004-10-05,,,,,13.82,,,,,0
2004-10-06,,,,,13.82,,,,,0
2004-10-07,,,,,13.82,,,,,0
2004-10-08,,,,,13.82,,,,,0
2004-10-11,,,,,13.82,,,,,0
2004-10-12,,,,,13.82,,,,,0
2004-10-13,,,,,13.82,,,,,0
2004-10-14,,,,,13.82,,,,,0
2004-10-15,,,,,13.82,,,,,0
2004-10-18,,,,,13.82,,,,,0
2004-10-19,,,,,13.82,,,,,0
2004-10-20,,,,,13.82,,,,,0
2004-10-21,,,,,13.82,,,,,0
2004-10-22,,,,,13.82,,,,,0
2004-10-25,,,,,13.82,,,,,0
2004-10-26,,,,,13.82,,,,,0
2004-10-27,,,,,13.82,,,,,0
2004-10-28,,,,,13.82,,,,,0
2004-10-29,,,,,13.82,,,,,0
2004-11-01,,,,,13.82,,,,,0
2004-11-02,,,,,13.82,,,,,0
2004-11-03,,,,,13.82,,,,,0
2004-11-04,,,,,13.82,,,,,0
2004-11-05,,,,,13.82,,,,,0
2004-11-08,,,,,13.82,,,,,0
2004-11-09,,,,,13.82,,,,,0
2004-11-10,,,,,13.82,,,,,0
2004-11-11,,,,,13.82,,,,,0
2004-11-12,,,,,13.82,,,,,0
2004-11-15,,,,,13.82,,,,,0
2004-11-16,,,,,13.82,,,,,0
2004-11-17,,,,,13.82,,,,,0
2004-11-18,,,,,13.82,,,,,0
2004-11-19,,,,,13.82,,,,,0
2004-11-22,,,,,13.82,,,,,0
2004-11-23,,,,,13.82,,,,,0
2004-11-24,,,,,13.82,,,,,0
2004-11-25,,,,,13.82,,,,,0
2004-11-26,,,,,13.82,,,,,0
2004-11-29,,,,,13.82,,,,,0
2004-11-30,,,,,13.82,,,,,0
2004-12-01,,,,,10.29,,,,,0
2004-12-02,,,,,10.29,,,,,0
2004-12-03,,,,,10.29,,,,,0
2004-12-06,,,,,10.29,,,,,0
2004-12-07,,,,,10.29,,,,,0
2004-12-08,,,,,10.29,,,,,0
2004-12-09,,,,,10.29,,,,,0
2004-12-10,,,,,10.29,,,,,0
2004-12-13,,,,,10.29,,,,,0
2004-12-14,,,,,10.29,,,,,0
2004-12-15,,,,,10.29,,,,,0
2004-12-16,,,,,10.29,,,,,0
2004-12-17,,,,,10.29,,,,,0
2004-12-20,,,,,10.29,,,,,0
2004-12-21,,,,,10.29,,,,,0
2004-12-22,,,,,10.29,,,,,0
2004-12-23,,,,,10.29,,,,,0
2004-12-24,,,,,10.29,,,,,0
2004-12-27,,,,,10.29,,,,,0
2004-12-28,,,,,10.29,,,,,0
2004-12-29,,,,,10.29,,,,,0
2004-12-30,,,,,10.29,,,,,0
2004-12-31,,,,,10.29,,,,,0
2005-01-03,6.65101,6.65101,6.65101,6.65101,10.29,0.6463566569484938,,,,0
2005-01-04,6.65101,6.65101,6.65101,6.65101,10.29,0.6463566569484938,,,,0
2005-01-05,6.338384,6.338384,6.338384,6.338384,10.29,0.6159751214771623,,,,0
2005-01-06,6.287374,6.287374,6.287374,6.287374,10.29,0.6110178814382896,,,,0
2005-01-07,6.303535,6.303535,6.303535,6.303535,10.29,0.6125884353741498,,,,0
2005-01-10,6.232323,6.232323,6.232323,6.232323,10.29,0.6056679300291545,,,,0
2005-01-11,6.14798,6.14798,6.14798,6.14798,10.29,0.5974713313896988,,,,0
2005-01-12,5.888889,5.888889,5.888889,5.888889,10.29,0.572292419825073,,,,0
2005-01-13,6.063636,6.063636,6.063636,6.063636,10.29,0.5892746355685131,,,,0
2005-01-14,5.993434,5.993434,5.993434,5.993434,10.29,0.5824522837706512,,,,0
2005-01-17,5.949495,5.949495,5.949495,5.949495,10.29,0.5781822157434403,,,,0
2005-01-18,5.988384,5.988384,5.988384,5.988384,10.29,0.5819615160349855,,,,0
2005-01-19,5.912121,5.912121,5.912121,5.912121,10.29,0.5745501457725948,,,,0
2005-01-20,5.90101,5.90101,5.90101,5.90101,10.29,0.5734703595724004,,,,0
2005-01-21,5.90101,5.90101,5.90101,5.90101,10.29,0.5734703595724004,,,,0
2005-01-24,5.930303,5.930303,5.930303,5.930303,10.29,0.576317103984451,,,,0
2005-01-25,5.959091,5.959091,5.959091,5.959091,10.29,0.5791147716229349,,,,0
2005-01-26,5.959091,5.959091,5.959091,5.959091,10.29,0.5791147716229349,,,,0
2005-01-27,5.972222,5.972222,5.972222,5.972222,10.29,0.5803908649173957,,,,0
2005-01-28,6.09697,6.09697,6.09697,6.09697,10.29,0.5925140913508261,,,,0
2005-01-31,6.140404,6.140404,6.140404,6.140404,10.29,0.5967350826044704,,,,0
