Date,Open,High,Low,Close,EPS,PE,Median_PE_90,Median_PE_180,Median_PE_365,Valid_Period
2004-09-01,,,,,4.32,,,,,0
2004-09-02,,,,,4.32,,,,,0
2004-09-03,,,,,4.32,,,,,0
2004-09-06,,,,,4.32,,,,,0
2004-09-07,,,,,4.32,,,,,0
2004-09-08,,,,,4.32,,,,,0
2004-09-09,,,,,4.32,,,,,0
2004-09-10,,,,,4.32,,,,,0
2004-09-13,,,,,4.32,,,,,0
2004-09-14,,,,,4.32,,,,,0
2004-09-15,,,,,4.32,,,,,0
2004-09-16,,,,,4.32,,,,,0
2004-09-17,,,,,4.32,,,,,0
2004-09-20,,,,,4.32,,,,,0
2004-09-21,,,,,4.32,,,,,0
2004-09-22,,,,,4.32,,,,,0
2004-09-23,,,,,4.32,,,,,0
2004-09-24,,,,,4.32,,,,,0
2004-09-27,,,,,4.32,,,,,0
2004-09-28,,,,,4.32,,,,,0
2004-09-29,,,,,4.32,,,,,0
2004-09-30,,,,,4.32,,,,,0
2004-10-01,,,,,4.32,,,,,0
2004-10-04,,,,,4.32,,,,,0
2004-10-05,,,,,4.32,,,,,0
2004-10-06,,,,,4.32,,,,,0
2004-10-07,,,,,4.32,,,,,0
2004-10-08,,,,,4.32,,,,,0
2004-10-11,,,,,4.32,,,,,0
2004-10-12,,,,,4.32,,,,,0
2004-10-13,,,,,4.32,,,,,0
2004-10-14,,,,,4.32,,,,,0
2004-10-15,,,,,4.32,,,,,0
2004-10-18,,,,,4.32,,,,,0
2004-10-19,,,,,4.32,,,,,0
2004-10-20,,,,,4.32,,,,,0
2004-10-21,,,,,4.32,,,,,0
2004-10-22,,,,,4.32,,,,,0
2004-10-25,,,,,4.32,,,,,0
2004-10-26,,,,,4.32,,,,,0
2004-10-27,,,,,4.32,,,,,0
2004-10-28,,,,,4.32,,,,,0
2004-10-29,,,,,4.32,,,,,0
2004-11-01,,,,,4.32,,,,,0
2004-11-02,,,,,4.32,,,,,0
2004-11-03,,,,,4.32,,,,,0
2004-11-04,,,,,4.32,,,,,0
2004-11-05,,,,,4.32,,,,,0
2004-11-08,,,,,4.32,,,,,0
2004-11-09,,,,,4.32,,,,,0
2004-11-10,,,,,4.32,,,,,0
2004-11-11,,,,,4.32,,,,,0
2004-11-12,,,,,4.32,,,,,0
2004-11-15,,,,,4.32,,,,,0
2004-11-16,,,,,4.32,,,,,0
2004-11-17,,,,,4.32,,,,,0
2004-11-18,,,,,4.32,,,,,0
2004-11-19,,,,,4.32,,,,,0
2004-11-22,,,,,4.32,,,,,0
2004-11-23,,,,,4.32,,,,,0
2004-11-24,,,,,4.32,,,,,0
2004-11-25,,,,,4.32,,,,,0
2004-11-26,,,,,4.32,,,,,0
2004-11-29,,,,,4.32,,,,,0
2004-11-30,,,,,4.32,,,,,0
2004-12-01,,,,,9.12,,,,,0
2004-12-02,,,,,9.12,,,,,0
2004-12-03,,,,,9.12,,,,,0
2004-12-06,,,,,9.12,,,,,0
2004-12-07,,,,,9.12,,,,,0
2004-12-08,,,,,9.12,,,,,0
2004-12-09,,,,,9.12,,,,,0
2004-12-10,,,,,9.12,,,,,0
2004-12-13,,,,,9.12,,,,,0
2004-12-14,,,,,9.12,,,,,0
2004-12-15,,,,,9.12,,,,,0
2004-12-16,,,,,9.12,,,,,0
2004-12-17,,,,,9.12,,,,,0
2004-12-20,,,,,9.12,,,,,0
2004-12-21,,,,,9.12,,,,,0
2004-12-22,,,,,9.12,,,,,0
2004-12-23,,,,,9.12,,,,,0
2004-12-24,,,,,9.12,,,,,0
2004-12-27,,,,,9.12,,,,,0
2004-12-28,,,,,9.12,,,,,0
2004-12-29,,,,,9.12,,,,,0
2004-12-30,,,,,9.12,,,,,0
2004-12-31,,,,,9.12,,,,,0
2005-01-03,32.1225,32.1225,32.1225,32.1225,9.12,3.5222039473684217,,,,0
2005-01-04,31.155,31.155,31.155,31.155,9.12,3.416118421052632,,,,0
2005-01-05,30.7575,30.7575,30.7575,30.7575,9.12,3.3725328947368425,,,,0
2005-01-06,29.98,29.98,29.98,29.98,9.12,3.287280701754386,,,,0
2005-01-07,30.4475,30.4475,30.4475,30.4475,9.12,3.338541666666667,,,,0
2005-01-10,30.725,30.725,30.725,30.725,9.12,3.3689692982456143,,,,0
2005-01-11,30.18,30.18,30.18,30.18,9.12,3.30921052631579,,,,0
2005-01-12,30.12,30.12,30.12,30.12,9.12,3.302631578947369,,,,0
2005-01-13,31.6625,31.6625,31.6625,31.6625,9.12,3.471765350877193,,,,0
2005-01-14,32.3475,32.3475,32.3475,32.3475,9.12,3.546875,,,,0
2005-01-17,31.9625,31.9625,31.9625,31.9625,9.12,3.5046600877192984,,,,0
2005-01-18,33.0,33.0,33.0,33.0,9.12,3.618421052631579,,,,0
2005-01-19,33.5275,33.5275,33.5275,33.5275,9.12,3.676260964912281,,,,0
2005-01-20,31.5225,31.5225,31.5225,31.5225,9.12,3.456414473684211,,,,0
2005-01-21,31.5225,31.5225,31.5225,31.5225,9.12,3.456414473684211,,,,0
2005-01-24,31.69,31.69,31.69,31.69,9.12,3.4747807017543866,,,,0
2005-01-25,31.0925,31.0925,31.0925,31.0925,9.12,3.409265350877193,,,,0
2005-01-26,31.0925,31.0925,31.0925,31.0925,9.12,3.409265350877193,,,,0
2005-01-27,31.0925,31.0925,31.0925,31.0925,9.12,3.409265350877193,,,,0
2005-01-28,31.145,31.145,31.145,31.145,9.12,3.4150219298245617,,,,0
2005-01-31,32.1675,32.1675,32.1675,32.1675,9.12,3.5271381578947367,,,,0
2005-02-01,31.425,31.425,31.425,31.425,9.12,3.4457236842105265,,,,0
2005-02-02,31.43,31.43,31.43,31.43,9.12,3.4462719298245617,,,,0
2005-02-03,31.7975,31.7975,31.7975,31.7975,9.12,3.4865679824561404,,,,0
2005-02-04,32.1025,32.1025,32.1025,32.1025,9.12,3.520010964912281,,,,0
2005-02-07,32.2675,32.2675,32.2675,32.2675,9.12,3.538103070175439,,,,0
2005-02-08,32.265,32.265,32.265,32.265,9.12,3.537828947368421,,,,0
2005-02-09,31.61,31.61,31.61,31.61,9.12,3.466008771929825,,,,0
2005-02-10,31.705,31.705,31.705,31.705,9.12,3.4764254385964914,,,,0
2005-02-11,31.8325,31.8325,31.8325,31.8325,9.12,3.490405701754386,,,,0
2005-02-14,32.49,32.49,32.49,32.49,9.12,3.5625000000000004,,,,0
2005-02-15,32.9775,32.9775,32.9775,32.9775,9.12,3.615953947368421,,,,0
2005-02-16,32.4525,32.4525,32.4525,32.4525,9.12,3.558388157894737,,,,0
2005-02-17,32.435,32.435,32.435,32.435,9.12,3.5564692982456148,,,,0
2005-02-18,32.4575,32.4575,32.4575,32.4575,9.12,3.5589364035087727,,,,0
2005-02-21,32.0975,32.0975,32.0975,32.0975,9.12,3.5194627192982457,,,,0
2005-02-22,32.005,32.005,32.005,32.005,9.12,3.509320175438597,,,,0
2005-02-23,32.3325,32.3325,32.3325,32.3325,9.12,3.545230263157896,,,,0
2005-02-24,32.6175,32.6175,32.6175,32.6175,9.12,3.576480263157895,,,,0
2005-02-25,31.9,31.9,31.9,31.9,9.12,3.49780701754386,,,,0
2005-02-28,32.5125,32.5125,32.5125,32.5125,9.12,3.5649671052631584,,,,0
2005-03-01,32.54,32.54,32.54,32.54,4.84,6.723140495867769,,,,0
2005-03-02,34.58,34.58,34.58,34.58,4.84,7.144628099173554,,,,0
2005-03-03,34.165,34.165,34.165,34.165,4.84,7.058884297520661,,,,0
2005-03-04,33.465,33.465,33.465,33.465,4.84,6.9142561983471085,,,,0
2005-03-07,33.255,33.255,33.255,33.255,4.84,6.870867768595042,,,,0
2005-03-08,33.735,33.735,33.735,33.735,4.84,6.970041322314049,,,,0
2005-03-09,33.105,33.105,33.105,33.105,4.84,6.839876033057851,,,,0
2005-03-10,32.875,32.875,32.875,32.875,4.84,6.792355371900826,,,,0
2005-03-11,32.055,32.055,32.055,32.055,4.84,6.622933884297521,,,,0
2005-03-14,31.965,31.965,31.965,31.965,4.84,6.604338842975206,,,,0
2005-03-15,31.385,31.385,31.385,31.385,4.84,6.484504132231406,,,,0
2005-03-16,31.785,31.785,31.785,31.785,4.84,6.5671487603305785,,,,0
2005-03-17,31.315,31.315,31.315,31.315,4.84,6.47004132231405,,,,0
2005-03-18,31.705,31.705,31.705,31.705,4.84,6.550619834710743,,,,0
2005-03-21,30.85,30.85,30.85,30.85,4.84,6.373966942148761,,,,0
2005-03-22,29.645,29.645,29.645,29.645,4.84,6.125,,,,0
2005-03-23,29.53,29.53,29.53,29.53,4.84,6.101239669421488,,,,0
2005-03-24,29.665,29.665,29.665,29.665,4.84,6.129132231404959,,,,0
2005-03-25,29.665,29.665,29.665,29.665,4.84,6.129132231404959,,,,0
2005-03-28,30.0,30.0,30.0,30.0,4.84,6.198347107438017,,,,0
2005-03-29,30.145,30.145,30.145,30.145,4.84,6.228305785123967,,,,0
2005-03-30,30.855,30.855,30.855,30.855,4.84,6.375,,,,0
2005-03-31,32.005,32.005,32.005,32.005,4.84,6.612603305785124,,,,0
2005-04-01,32.505,32.505,32.505,32.505,4.84,6.715909090909092,,,,0
2005-04-04,33.915,33.915,33.915,33.915,4.84,7.007231404958678,,,,0
2005-04-05,33.645,33.645,33.645,33.645,4.84,6.951446280991736,,,,0
2005-04-06,33.555,33.555,33.555,33.555,4.84,6.9328512396694215,,,,0
2005-04-07,33.65,33.65,33.65,33.65,4.84,6.952479338842975,,,,0
2005-04-08,33.44,33.44,33.44,33.44,4.84,6.909090909090909,,,,0
2005-04-11,33.96,33.96,33.96,33.96,4.84,7.016528925619835,,,,0
2005-04-12,34.075,34.075,34.075,34.075,4.84,7.040289256198348,,,,0
2005-04-13,34.02,34.02,34.02,34.02,4.84,7.028925619834712,,,,0
2005-04-14,34.02,34.02,34.02,34.02,4.84,7.028925619834712,,,,0
2005-04-15,32.505,32.505,32.505,32.505,4.84,6.715909090909092,,,,0
2005-04-18,32.37,32.37,32.37,32.37,4.84,6.68801652892562,,,,0
2005-04-19,31.325,31.325,31.325,31.325,4.84,6.472107438016529,,,,0
2005-04-20,31.16,31.16,31.16,31.16,4.84,6.43801652892562,,,,0
2005-04-21,31.215,31.215,31.215,31.215,4.84,6.449380165289257,,,,0
2005-04-22,32.44,32.44,32.44,32.44,4.84,6.702479338842975,,,,0
2005-04-25,31.845,31.845,31.845,31.845,4.84,6.579545454545454,,,,0
2005-04-26,31.67,31.67,31.67,31.67,4.84,6.543388429752067,,,,0
2005-04-27,32.33,32.33,32.33,32.33,4.84,6.679752066115702,,,,0
2005-04-28,31.975,31.975,31.975,31.975,4.84,6.606404958677686,,,,0
2005-04-29,32.29,32.29,32.29,32.29,4.84,6.671487603305785,,,,0
2005-05-02,32.02,32.02,32.02,32.02,4.84,6.615702479338844,,,,0
