Date,Open,High,Low,Close,EPS,PE,Median_PE_90,Median_PE_180,Median_PE_365,Valid_Period
2004-09-01,,,,,0.7,,,,,0
2004-09-02,,,,,0.7,,,,,0
2004-09-03,,,,,0.7,,,,,0
2004-09-06,,,,,0.7,,,,,0
2004-09-07,,,,,0.7,,,,,0
2004-09-08,,,,,0.7,,,,,0
2004-09-09,,,,,0.7,,,,,0
2004-09-10,,,,,0.7,,,,,0
2004-09-13,,,,,0.7,,,,,0
2004-09-14,,,,,0.7,,,,,0
2004-09-15,,,,,0.7,,,,,0
2004-09-16,,,,,0.7,,,,,0
2004-09-17,,,,,0.7,,,,,0
2004-09-20,,,,,0.7,,,,,0
2004-09-21,,,,,0.7,,,,,0
2004-09-22,,,,,0.7,,,,,0
2004-09-23,,,,,0.7,,,,,0
2004-09-24,,,,,0.7,,,,,0
2004-09-27,,,,,0.7,,,,,0
2004-09-28,,,,,0.7,,,,,0
2004-09-29,,,,,0.7,,,,,0
2004-09-30,,,,,0.7,,,,,0
2004-10-01,,,,,0.7,,,,,0
2004-10-04,,,,,0.7,,,,,0
2004-10-05,,,,,0.7,,,,,0
2004-10-06,,,,,0.7,,,,,0
2004-10-07,,,,,0.7,,,,,0
2004-10-08,,,,,0.7,,,,,0
2004-10-11,,,,,0.7,,,,,0
2004-10-12,,,,,0.7,,,,,0
2004-10-13,,,,,0.7,,,,,0
2004-10-14,,,,,0.7,,,,,0
2004-10-15,,,,,0.7,,,,,0
2004-10-18,,,,,0.7,,,,,0
2004-10-19,,,,,0.7,,,,,0
2004-10-20,,,,,0.7,,,,,0
2004-10-21,,,,,0.7,,,,,0
2004-10-22,,,,,0.7,,,,,0
2004-10-25,,,,,0.7,,,,,0
2004-10-26,,,,,0.7,,,,,0
2004-10-27,,,,,0.7,,,,,0
2004-10-28,,,,,0.7,,,,,0
2004-10-29,,,,,0.7,,,,,0
2004-11-01,,,,,0.7,,,,,0
2004-11-02,,,,,0.7,,,,,0
2004-11-03,,,,,0.7,,,,,0
2004-11-04,,,,,0.7,,,,,0
2004-11-05,,,,,0.7,,,,,0
2004-11-08,,,,,0.7,,,,,0
2004-11-09,,,,,0.7,,,,,0
2004-11-10,,,,,0.7,,,,,0
2004-11-11,,,,,0.7,,,,,0
2004-11-12,,,,,0.7,,,,,0
2004-11-15,,,,,0.7,,,,,0
2004-11-16,,,,,0.7,,,,,0
2004-11-17,,,,,0.7,,,,,0
2004-11-18,,,,,0.7,,,,,0
2004-11-19,,,,,0.7,,,,,0
2004-11-22,,,,,0.7,,,,,0
2004-11-23,,,,,0.7,,,,,0
2004-11-24,,,,,0.7,,,,,0
2004-11-25,,,,,0.7,,,,,0
2004-11-26,,,,,0.7,,,,,0
2004-11-29,,,,,0.7,,,,,0
2004-11-30,,,,,0.7,,,,,0
2004-12-01,,,,,1.57,,,,,0
2004-12-02,,,,,1.57,,,,,0
2004-12-03,,,,,1.57,,,,,0
2004-12-06,,,,,1.57,,,,,0
2004-12-07,,,,,1.57,,,,,0
2004-12-08,,,,,1.57,,,,,0
2004-12-09,,,,,1.57,,,,,0
2004-12-10,,,,,1.57,,,,,0
2004-12-13,,,,,1.57,,,,,0
2004-12-14,,,,,1.57,,,,,0
2004-12-15,,,,,1.57,,,,,0
2004-12-16,,,,,1.57,,,,,0
2004-12-17,,,,,1.57,,,,,0
2004-12-20,,,,,1.57,,,,,0
2004-12-21,,,,,1.57,,,,,0
2004-12-22,,,,,1.57,,,,,0
2004-12-23,,,,,1.57,,,,,0
2004-12-24,,,,,1.57,,,,,0
2004-12-27,,,,,1.57,,,,,0
2004-12-28,,,,,1.57,,,,,0
2004-12-29,,,,,1.57,,,,,0
2004-12-30,,,,,1.57,,,,,0
2004-12-31,,,,,1.57,,,,,0
2005-01-03,5.412562,5.412562,5.412562,5.412562,1.57,3.447491719745223,,,,0
2005-01-04,5.429781,5.429781,5.429781,5.429781,1.57,3.4584592356687898,,,,0
2005-01-05,5.182973,5.182973,5.182973,5.182973,1.57,3.3012566878980887,,,,0
2005-01-06,4.913205,4.913205,4.913205,4.913205,1.57,3.129429936305732,,,,0
2005-01-07,5.050959,5.050959,5.050959,5.050959,1.57,3.2171713375796176,,,,0
2005-01-10,5.108356,5.108356,5.108356,5.108356,1.57,3.253729936305732,,,,0
2005-01-11,4.763973,4.763973,4.763973,4.763973,1.57,3.034377707006369,,,,0
2005-01-12,4.528644,4.528644,4.528644,4.528644,1.57,2.8844866242038214,,,,0
2005-01-13,4.499945,4.499945,4.499945,4.499945,1.57,2.866207006369427,,,,0
2005-01-14,4.505685,4.505685,4.505685,4.505685,1.57,2.8698630573248405,,,,0
2005-01-17,4.39663,4.39663,4.39663,4.39663,1.57,2.8004012738853503,,,,0
2005-01-18,4.574562,4.574562,4.574562,4.574562,1.57,2.913733757961784,,,,0
2005-01-19,4.781192,4.781192,4.781192,4.781192,1.57,3.045345222929936,,,,0
2005-01-20,4.586041,4.586041,4.586041,4.586041,1.57,2.921045222929936,,,,0
2005-01-21,4.586041,4.586041,4.586041,4.586041,1.57,2.921045222929936,,,,0
2005-01-24,4.574562,4.574562,4.574562,4.574562,1.57,2.913733757961784,,,,0
2005-01-25,4.545863,4.545863,4.545863,4.545863,1.57,2.8954541401273883,,,,0
2005-01-26,4.545863,4.545863,4.545863,4.545863,1.57,2.8954541401273883,,,,0
2005-01-27,4.270356,4.270356,4.270356,4.270356,1.57,2.719971974522293,,,,0
2005-01-28,4.356452,4.356452,4.356452,4.356452,1.57,2.7748101910828025,,,,0
2005-01-31,4.488466,4.488466,4.488466,4.488466,1.57,2.8588955414012736,,,,0
2005-02-01,4.350712,4.350712,4.350712,4.350712,1.57,2.771154140127388,,,,0
2005-02-02,4.677877,4.677877,4.677877,4.677877,1.57,2.9795394904458594,,,,0
2005-02-03,4.597521,4.597521,4.597521,4.597521,1.57,2.9283573248407646,,,,0
2005-02-04,4.80989,4.80989,4.80989,4.80989,1.57,3.063624203821656,,,,0
2005-02-07,5.182973,5.182973,5.182973,5.182973,1.57,3.3012566878980887,,,,0
2005-02-08,5.050959,5.050959,5.050959,5.050959,1.57,3.2171713375796176,,,,0
2005-02-09,4.982082,4.982082,4.982082,4.982082,1.57,3.173300636942676,,,,0
2005-02-10,4.993562,4.993562,4.993562,4.993562,1.57,3.180612738853503,,,,0
2005-02-11,5.02226,5.02226,5.02226,5.02226,1.57,3.198891719745223,,,,0
2005-02-14,4.689356,4.689356,4.689356,4.689356,1.57,2.986850955414013,,,,0
2005-02-15,4.586041,4.586041,4.586041,4.586041,1.57,2.921045222929936,,,,0
2005-02-16,4.574562,4.574562,4.574562,4.574562,1.57,2.913733757961784,,,,0
2005-02-17,4.568822,4.568822,4.568822,4.568822,1.57,2.9100777070063693,,,,0
2005-02-18,4.609,4.609,4.609,4.609,1.57,2.935668789808917,,,,0
2005-02-21,4.591781,4.591781,4.591781,4.591781,1.57,2.92470127388535,,,,0
2005-02-22,4.597521,4.597521,4.597521,4.597521,1.57,2.9283573248407646,,,,0
2005-02-23,4.597521,4.597521,4.597521,4.597521,1.57,2.9283573248407646,,,,0
2005-02-24,4.540123,4.540123,4.540123,4.540123,1.57,2.891798089171975,,,,0
2005-02-25,4.494205,4.494205,4.494205,4.494205,1.57,2.8625509554140125,,,,0
2005-02-28,4.551603,4.551603,4.551603,4.551603,1.57,2.8991101910828023,,,,0
2005-03-01,4.499945,4.499945,4.499945,4.499945,0.23,19.56497826086957,,,,0
2005-03-02,4.528644,4.528644,4.528644,4.528644,0.23,19.689756521739127,,,,0
2005-03-03,4.683616,4.683616,4.683616,4.683616,0.23,20.36354782608696,,,,0
2005-03-04,4.884507,4.884507,4.884507,4.884507,0.23,21.23698695652174,,,,0
2005-03-07,5.073918,5.073918,5.073918,5.073918,0.23,22.06051304347826,,,,0
2005-03-08,5.119836,5.119836,5.119836,5.119836,0.23,22.26015652173913,,,,0
2005-03-09,4.878767,4.878767,4.878767,4.878767,0.23,21.21203043478261,,,,0
2005-03-10,4.792671,4.792671,4.792671,4.792671,0.23,20.8377,,,,0
2005-03-11,4.775452,4.775452,4.775452,4.775452,0.23,20.76283478260869,,,,0
2005-03-14,4.735274,4.735274,4.735274,4.735274,0.23,20.58814782608696,,,,0
2005-03-15,4.718055,4.718055,4.718055,4.718055,0.23,20.51328260869565,,,,0
2005-03-16,4.729534,4.729534,4.729534,4.729534,0.23,20.563191304347825,,,,0
2005-03-17,4.649178,4.649178,4.649178,4.649178,0.23,20.213817391304342,,,,0
2005-03-18,4.563082,4.563082,4.563082,4.563082,0.23,19.839486956521736,,,,0
2005-03-21,4.436808,4.436808,4.436808,4.436808,0.23,19.29046956521739,,,,0
2005-03-22,4.413849,4.413849,4.413849,4.413849,0.23,19.19064782608696,,,,0
2005-03-23,4.379411,4.379411,4.379411,4.379411,0.23,19.040917391304347,,,,0
2005-03-24,4.224438,4.224438,4.224438,4.224438,0.23,18.36712173913044,,,,0
2005-03-25,4.224438,4.224438,4.224438,4.224438,0.23,18.36712173913044,,,,0
2005-03-28,4.293315,4.293315,4.293315,4.293315,0.23,18.666586956521737,,,,0
2005-03-29,4.098164,4.098164,4.098164,4.098164,0.23,17.818104347826086,,,,0
2005-03-30,4.132603,4.132603,4.132603,4.132603,0.23,17.96783913043478,,,,0
2005-03-31,4.40811,4.40811,4.40811,4.40811,0.23,19.16569565217392,,,,0
2005-04-01,4.517164,4.517164,4.517164,4.517164,0.23,19.639843478260868,,,,0
2005-04-04,4.488466,4.488466,4.488466,4.488466,0.23,19.51506956521739,,,,0
2005-04-05,4.746753,4.746753,4.746753,4.746753,0.23,20.63805652173913,,,,0
2005-04-06,4.838589,4.838589,4.838589,4.838589,0.23,21.03734347826087,,,,0
2005-04-07,4.861548,4.861548,4.861548,4.861548,0.23,21.137165217391303,,,,0
2005-04-08,4.861548,4.861548,4.861548,4.861548,0.23,21.137165217391303,,,,0
2005-04-11,4.873027,4.873027,4.873027,4.873027,0.23,21.18707391304348,,,,0
2005-04-12,4.976342,4.976342,4.976342,4.976342,0.23,21.63626956521739,,,,0
2005-04-13,5.205932,5.205932,5.205932,5.205932,0.23,22.634486956521737,,,,0
2005-04-14,5.205932,5.205932,5.205932,5.205932,0.23,22.634486956521737,,,,0
2005-04-15,4.941904,4.941904,4.941904,4.941904,0.23,21.48653913043478,,,,0
2005-04-18,5.016521,5.016521,5.016521,5.016521,0.23,21.810960869565218,,,,0
2005-04-19,5.005041,5.005041,5.005041,5.005041,0.23,21.76104782608696,,,,0
2005-04-20,4.964863,4.964863,4.964863,4.964863,0.23,21.58636086956522,,,,0
2005-04-21,5.119836,5.119836,5.119836,5.119836,0.23,22.26015652173913,,,,0
2005-04-22,5.165753,5.165753,5.165753,5.165753,0.23,22.45979565217391,,,,0
2005-04-25,5.24037,5.24037,5.24037,5.24037,0.23,22.78421739130435,,,,0
2005-04-26,5.429781,5.429781,5.429781,5.429781,0.23,23.60774347826087,,,,0
2005-04-27,5.481438,5.481438,5.481438,5.481438,0.23,23.832339130434782,,,,0
2005-04-28,5.435521,5.435521,5.435521,5.435521,0.23,23.6327,,,,0
2005-04-29,5.182973,5.182973,5.182973,5.182973,0.23,22.5346652173913,,,,0
2005-05-02,5.050959,5.050959,5.050959,5.050959,0.23,21.960691304347822,,,,0
2005-05-03,5.056699,5.056699,5.056699,5.056699,0.23,21.98564782608696,,,,0
2005-05-04,5.200192,5.200192,5.200192,5.200192,0.23,22.60953043478261,,,,0
2005-05-05,5.211671,5.211671,5.211671,5.211671,0.23,22.65943913043478,,,,0
