Date,Open,High,Low,Close,EPS,PE,Median_PE_90,Median_PE_180,Median_PE_365,Valid_Period
2004-09-01,,,,,1.98,,,,,0
2004-09-02,,,,,1.98,,,,,0
2004-09-03,,,,,1.98,,,,,0
2004-09-06,,,,,1.98,,,,,0
2004-09-07,,,,,1.98,,,,,0
2004-09-08,,,,,1.98,,,,,0
2004-09-09,,,,,1.98,,,,,0
2004-09-10,,,,,1.98,,,,,0
2004-09-13,,,,,1.98,,,,,0
2004-09-14,,,,,1.98,,,,,0
2004-09-15,,,,,1.98,,,,,0
2004-09-16,,,,,1.98,,,,,0
2004-09-17,,,,,1.98,,,,,0
2004-09-20,,,,,1.98,,,,,0
2004-09-21,,,,,1.98,,,,,0
2004-09-22,,,,,1.98,,,,,0
2004-09-23,,,,,1.98,,,,,0
2004-09-24,,,,,1.98,,,,,0
2004-09-27,,,,,1.98,,,,,0
2004-09-28,,,,,1.98,,,,,0
2004-09-29,,,,,1.98,,,,,0
2004-09-30,,,,,1.98,,,,,0
2004-10-01,,,,,1.98,,,,,0
2004-10-04,,,,,1.98,,,,,0
2004-10-05,,,,,1.98,,,,,0
2004-10-06,,,,,1.98,,,,,0
2004-10-07,,,,,1.98,,,,,0
2004-10-08,,,,,1.98,,,,,0
2004-10-11,,,,,1.98,,,,,0
2004-10-12,,,,,1.98,,,,,0
2004-10-13,,,,,1.98,,,,,0
2004-10-14,,,,,1.98,,,,,0
2004-10-15,,,,,1.98,,,,,0
2004-10-18,,,,,1.98,,,,,0
2004-10-19,,,,,1.98,,,,,0
2004-10-20,,,,,1.98,,,,,0
2004-10-21,,,,,1.98,,,,,0
2004-10-22,,,,,1.98,,,,,0
2004-10-25,,,,,1.98,,,,,0
2004-10-26,,,,,1.98,,,,,0
2004-10-27,,,,,1.98,,,,,0
2004-10-28,,,,,1.98,,,,,0
2004-10-29,,,,,1.98,,,,,0
2004-11-01,,,,,1.98,,,,,0
2004-11-02,,,,,1.98,,,,,0
2004-11-03,,,,,1.98,,,,,0
2004-11-04,,,,,1.98,,,,,0
2004-11-05,,,,,1.98,,,,,0
2004-11-08,,,,,1.98,,,,,0
2004-11-09,,,,,1.98,,,,,0
2004-11-10,,,,,1.98,,,,,0
2004-11-11,,,,,1.98,,,,,0
2004-11-12,,,,,1.98,,,,,0
2004-11-15,,,,,1.98,,,,,0
2004-11-16,,,,,1.98,,,,,0
2004-11-17,,,,,1.98,,,,,0
2004-11-18,,,,,1.98,,,,,0
2004-11-19,,,,,1.98,,,,,0
2004-11-22,,,,,1.98,,,,,0
2004-11-23,,,,,1.98,,,,,0
2004-11-24,,,,,1.98,,,,,0
2004-11-25,,,,,1.98,,,,,0
2004-11-26,,,,,1.98,,,,,0
2004-11-29,,,,,1.98,,,,,0
2004-11-30,,,,,1.98,,,,,0
2004-12-01,,,,,2.1,,,,,0
2004-12-02,,,,,2.1,,,,,0
2004-12-03,,,,,2.1,,,,,0
2004-12-06,,,,,2.1,,,,,0
2004-12-07,,,,,2.1,,,,,0
2004-12-08,,,,,2.1,,,,,0
2004-12-09,,,,,2.1,,,,,0
2004-12-10,,,,,2.1,,,,,0
2004-12-13,,,,,2.1,,,,,0
2004-12-14,,,,,2.1,,,,,0
2004-12-15,,,,,2.1,,,,,0
2004-12-16,,,,,2.1,,,,,0
2004-12-17,,,,,2.1,,,,,0
2004-12-20,,,,,2.1,,,,,0
2004-12-21,,,,,2.1,,,,,0
2004-12-22,,,,,2.1,,,,,0
2004-12-23,,,,,2.1,,,,,0
2004-12-24,,,,,2.1,,,,,0
2004-12-27,,,,,2.1,,,,,0
2004-12-28,,,,,2.1,,,,,0
2004-12-29,,,,,2.1,,,,,0
2004-12-30,,,,,2.1,,,,,0
2004-12-31,,,,,2.1,,,,,0
2005-01-03,89.6,89.6,89.6,89.6,2.1,42.66666666666666,,,,0
2005-01-04,88.35,88.35,88.35,88.35,2.1,42.07142857142857,,,,0
2005-01-05,86.45,86.45,86.45,86.45,2.1,41.16666666666666,,,,0
2005-01-06,85.65,85.65,85.65,85.65,2.1,40.785714285714285,,,,0
2005-01-07,88.075,88.075,88.075,88.075,2.1,41.94047619047619,,,,0
2005-01-10,90.825,90.825,90.825,90.825,2.1,43.25,,,,0
2005-01-11,86.4,86.4,86.4,86.4,2.1,41.142857142857146,,,,0
2005-01-12,87.2,87.2,87.2,87.2,2.1,41.523809523809526,,,,0
2005-01-13,88.975,88.975,88.975,88.975,2.1,42.36904761904761,,,,0
2005-01-14,85.325,85.325,85.325,85.325,2.1,40.63095238095238,,,,0
2005-01-17,85.6,85.6,85.6,85.6,2.1,40.76190476190476,,,,0
2005-01-18,86.15,86.15,86.15,86.15,2.1,41.023809523809526,,,,0
2005-01-19,85.725,85.725,85.725,85.725,2.1,40.82142857142857,,,,0
2005-01-20,86.325,86.325,86.325,86.325,2.1,41.10714285714285,,,,0
2005-01-21,86.325,86.325,86.325,86.325,2.1,41.10714285714285,,,,0
2005-01-24,87.6,87.6,87.6,87.6,2.1,41.71428571428571,,,,0
2005-01-25,89.075,89.075,89.075,89.075,2.1,42.41666666666666,,,,0
2005-01-26,89.075,89.075,89.075,89.075,2.1,42.41666666666666,,,,0
2005-01-27,91.7,91.7,91.7,91.7,2.1,43.66666666666666,,,,0
2005-01-28,91.225,91.225,91.225,91.225,2.1,43.44047619047618,,,,0
2005-01-31,93.125,93.125,93.125,93.125,2.1,44.345238095238095,,,,0
2005-02-01,93.6,93.6,93.6,93.6,2.1,44.57142857142857,,,,0
2005-02-02,96.275,96.275,96.275,96.275,2.1,45.845238095238095,,,,0
2005-02-03,99.45,99.45,99.45,99.45,2.1,47.35714285714285,,,,0
2005-02-04,103.05,103.05,103.05,103.05,2.1,49.07142857142857,,,,0
2005-02-07,100.75,100.75,100.75,100.75,2.1,47.97619047619048,,,,0
2005-02-08,100.825,100.825,100.825,100.825,2.1,48.01190476190476,,,,0
2005-02-09,99.35,99.35,99.35,99.35,2.1,47.3095238095238,,,,0
2005-02-10,97.325,97.325,97.325,97.325,2.1,46.345238095238095,,,,0
2005-02-11,95.9,95.9,95.9,95.9,2.1,45.66666666666666,,,,0
2005-02-14,96.7,96.7,96.7,96.7,2.1,46.04761904761904,,,,0
