Date,Open,High,Low,Close,EPS,PE,Median_PE_90,Median_PE_180,Median_PE_365,Valid_Period
2004-09-01,,,,,-0.2,,,,,0
2004-09-02,,,,,-0.2,,,,,0
2004-09-03,,,,,-0.2,,,,,0
2004-09-06,,,,,-0.2,,,,,0
2004-09-07,,,,,-0.2,,,,,0
2004-09-08,,,,,-0.2,,,,,0
2004-09-09,,,,,-0.2,,,,,0
2004-09-10,,,,,-0.2,,,,,0
2004-09-13,,,,,-0.2,,,,,0
2004-09-14,,,,,-0.2,,,,,0
2004-09-15,,,,,-0.2,,,,,0
2004-09-16,,,,,-0.2,,,,,0
2004-09-17,,,,,-0.2,,,,,0
2004-09-20,,,,,-0.2,,,,,0
2004-09-21,,,,,-0.2,,,,,0
2004-09-22,,,,,-0.2,,,,,0
2004-09-23,,,,,-0.2,,,,,0
2004-09-24,,,,,-0.2,,,,,0
2004-09-27,,,,,-0.2,,,,,0
2004-09-28,,,,,-0.2,,,,,0
2004-09-29,,,,,-0.2,,,,,0
2004-09-30,,,,,-0.2,,,,,0
2004-10-01,,,,,-0.2,,,,,0
2004-10-04,,,,,-0.2,,,,,0
2004-10-05,,,,,-0.2,,,,,0
2004-10-06,,,,,-0.2,,,,,0
2004-10-07,,,,,-0.2,,,,,0
2004-10-08,,,,,-0.2,,,,,0
2004-10-11,,,,,-0.2,,,,,0
2004-10-12,,,,,-0.2,,,,,0
2004-10-13,,,,,-0.2,,,,,0
2004-10-14,,,,,-0.2,,,,,0
2004-10-15,,,,,-0.2,,,,,0
2004-10-18,,,,,-0.2,,,,,0
2004-10-19,,,,,-0.2,,,,,0
2004-10-20,,,,,-0.2,,,,,0
2004-10-21,,,,,-0.2,,,,,0
2004-10-22,,,,,-0.2,,,,,0
2004-10-25,,,,,-0.2,,,,,0
2004-10-26,,,,,-0.2,,,,,0
2004-10-27,,,,,-0.2,,,,,0
2004-10-28,,,,,-0.2,,,,,0
2004-10-29,,,,,-0.2,,,,,0
2004-11-01,,,,,-0.2,,,,,0
2004-11-02,,,,,-0.2,,,,,0
2004-11-03,,,,,-0.2,,,,,0
2004-11-04,,,,,-0.2,,,,,0
2004-11-05,,,,,-0.2,,,,,0
2004-11-08,,,,,-0.2,,,,,0
2004-11-09,,,,,-0.2,,,,,0
2004-11-10,,,,,-0.2,,,,,0
2004-11-11,,,,,-0.2,,,,,0
2004-11-12,,,,,-0.2,,,,,0
2004-11-15,,,,,-0.2,,,,,0
2004-11-16,,,,,-0.2,,,,,0
2004-11-17,,,,,-0.2,,,,,0
2004-11-18,,,,,-0.2,,,,,0
2004-11-19,,,,,-0.2,,,,,0
2004-11-22,,,,,-0.2,,,,,0
2004-11-23,,,,,-0.2,,,,,0
2004-11-24,,,,,-0.2,,,,,0
2004-11-25,,,,,-0.2,,,,,0
2004-11-26,,,,,-0.2,,,,,0
2004-11-29,,,,,-0.2,,,,,0
2004-11-30,,,,,-0.2,,,,,0
2004-12-01,,,,,-0.27,,,,,0
2004-12-02,,,,,-0.27,,,,,0
2004-12-03,,,,,-0.27,,,,,0
2004-12-06,,,,,-0.27,,,,,0
2004-12-07,,,,,-0.27,,,,,0
2004-12-08,,,,,-0.27,,,,,0
2004-12-09,,,,,-0.27,,,,,0
2004-12-10,,,,,-0.27,,,,,0
2004-12-13,,,,,-0.27,,,,,0
2004-12-14,,,,,-0.27,,,,,0
2004-12-15,,,,,-0.27,,,,,0
2004-12-16,,,,,-0.27,,,,,0
2004-12-17,,,,,-0.27,,,,,0
2004-12-20,,,,,-0.27,,,,,0
2004-12-21,,,,,-0.27,,,,,0
2004-12-22,,,,,-0.27,,,,,0
2004-12-23,,,,,-0.27,,,,,0
2004-12-24,,,,,-0.27,,,,,0
2004-12-27,,,,,-0.27,,,,,0
2004-12-28,,,,,-0.27,,,,,0
2004-12-29,,,,,-0.27,,,,,0
2004-12-30,,,,,-0.27,,,,,0
2004-12-31,,,,,-0.27,,,,,0
2005-01-03,23.4,23.4,23.4,23.4,-0.27,,,,,0
2005-01-04,22.65,22.65,22.65,22.65,-0.27,,,,,0
2005-01-05,21.55,21.55,21.55,21.55,-0.27,,,,,0
2005-01-06,20.25,20.25,20.25,20.25,-0.27,,,,,0
2005-01-07,21.85,21.85,21.85,21.85,-0.27,,,,,0
2005-01-10,24.05,24.05,24.05,24.05,-0.27,,,,,0
2005-01-11,22.55,22.55,22.55,22.55,-0.27,,,,,0
2005-01-12,20.75,20.75,20.75,20.75,-0.27,,,,,0
2005-01-13,21.35,21.35,21.35,21.35,-0.27,,,,,0
2005-01-14,21.5,21.5,21.5,21.5,-0.27,,,,,0
2005-01-17,19.4,19.4,19.4,19.4,-0.27,,,,,0
2005-01-18,19.05,19.05,19.05,19.05,-0.27,,,,,0
2005-01-19,19.1,19.1,19.1,19.1,-0.27,,,,,0
2005-01-20,17.6,17.6,17.6,17.6,-0.27,,,,,0
2005-01-21,17.6,17.6,17.6,17.6,-0.27,,,,,0
2005-01-24,17.5,17.5,17.5,17.5,-0.27,,,,,0
2005-01-25,16.8,16.8,16.8,16.8,-0.27,,,,,0
2005-01-26,16.8,16.8,16.8,16.8,-0.27,,,,,0
2005-01-27,17.5,17.5,17.5,17.5,-0.27,,,,,0
2005-01-28,18.0,18.0,18.0,18.0,-0.27,,,,,0
2005-01-31,19.5,19.5,19.5,19.5,-0.27,,,,,0
2005-02-01,19.2,19.2,19.2,19.2,-0.27,,,,,0
2005-02-02,19.55,19.55,19.55,19.55,-0.27,,,,,0
2005-02-03,20.55,20.55,20.55,20.55,-0.27,,,,,1
2005-02-04,21.2,21.2,21.2,21.2,-0.27,,,,,1
2005-02-07,21.5,21.5,21.5,21.5,-0.27,,,,,1
