Date,Open,High,Low,Close,EPS,PE,Median_PE_90,Median_PE_180,Median_PE_365,Valid_Period
2004-09-01,,,,,4.92,,,,,0
2004-09-02,,,,,4.92,,,,,0
2004-09-03,,,,,4.92,,,,,0
2004-09-06,,,,,4.92,,,,,0
2004-09-07,,,,,4.92,,,,,0
2004-09-08,,,,,4.92,,,,,0
2004-09-09,,,,,4.92,,,,,0
2004-09-10,,,,,4.92,,,,,0
2004-09-13,,,,,4.92,,,,,0
2004-09-14,,,,,4.92,,,,,0
2004-09-15,,,,,4.92,,,,,0
2004-09-16,,,,,4.92,,,,,0
2004-09-17,,,,,4.92,,,,,0
2004-09-20,,,,,4.92,,,,,0
2004-09-21,,,,,4.92,,,,,0
2004-09-22,,,,,4.92,,,,,0
2004-09-23,,,,,4.92,,,,,0
2004-09-24,,,,,4.92,,,,,0
2004-09-27,,,,,4.92,,,,,0
2004-09-28,,,,,4.92,,,,,0
2004-09-29,,,,,4.92,,,,,0
2004-09-30,,,,,4.92,,,,,0
2004-10-01,,,,,4.92,,,,,0
2004-10-04,,,,,4.92,,,,,0
2004-10-05,,,,,4.92,,,,,0
2004-10-06,,,,,4.92,,,,,0
2004-10-07,,,,,4.92,,,,,0
2004-10-08,,,,,4.92,,,,,0
2004-10-11,,,,,4.92,,,,,0
2004-10-12,,,,,4.92,,,,,0
2004-10-13,,,,,4.92,,,,,0
2004-10-14,,,,,4.92,,,,,0
2004-10-15,,,,,4.92,,,,,0
2004-10-18,,,,,4.92,,,,,0
2004-10-19,,,,,4.92,,,,,0
2004-10-20,,,,,4.92,,,,,0
2004-10-21,,,,,4.92,,,,,0
2004-10-22,,,,,4.92,,,,,0
2004-10-25,,,,,4.92,,,,,0
2004-10-26,,,,,4.92,,,,,0
2004-10-27,,,,,4.92,,,,,0
2004-10-28,,,,,4.92,,,,,0
2004-10-29,,,,,4.92,,,,,0
2004-11-01,,,,,4.92,,,,,0
2004-11-02,,,,,4.92,,,,,0
2004-11-03,,,,,4.92,,,,,0
2004-11-04,,,,,4.92,,,,,0
2004-11-05,,,,,4.92,,,,,0
2004-11-08,,,,,4.92,,,,,0
2004-11-09,,,,,4.92,,,,,0
2004-11-10,,,,,4.92,,,,,0
2004-11-11,,,,,4.92,,,,,0
2004-11-12,,,,,4.92,,,,,0
2004-11-15,,,,,4.92,,,,,0
2004-11-16,,,,,4.92,,,,,0
2004-11-17,,,,,4.92,,,,,0
2004-11-18,,,,,4.92,,,,,0
2004-11-19,,,,,4.92,,,,,0
2004-11-22,,,,,4.92,,,,,0
2004-11-23,,,,,4.92,,,,,0
2004-11-24,,,,,4.92,,,,,0
2004-11-25,,,,,4.92,,,,,0
2004-11-26,,,,,4.92,,,,,0
2004-11-29,,,,,4.92,,,,,0
2004-11-30,,,,,4.92,,,,,0
2004-12-01,,,,,4.61,,,,,0
2004-12-02,,,,,4.61,,,,,0
2004-12-03,,,,,4.61,,,,,0
2004-12-06,,,,,4.61,,,,,0
2004-12-07,,,,,4.61,,,,,0
2004-12-08,,,,,4.61,,,,,0
2004-12-09,,,,,4.61,,,,,0
2004-12-10,,,,,4.61,,,,,0
2004-12-13,,,,,4.61,,,,,0
2004-12-14,,,,,4.61,,,,,0
2004-12-15,,,,,4.61,,,,,0
2004-12-16,,,,,4.61,,,,,0
2004-12-17,,,,,4.61,,,,,0
2004-12-20,,,,,4.61,,,,,0
2004-12-21,,,,,4.61,,,,,0
2004-12-22,,,,,4.61,,,,,0
2004-12-23,,,,,4.61,,,,,0
2004-12-24,,,,,4.61,,,,,0
2004-12-27,,,,,4.61,,,,,0
2004-12-28,,,,,4.61,,,,,0
2004-12-29,,,,,4.61,,,,,0
2004-12-30,,,,,4.61,,,,,0
2004-12-31,,,,,4.61,,,,,0
2005-01-03,139.45,139.45,139.45,139.45,4.61,30.249457700650755,,,,0
2005-01-04,138.05,138.05,138.05,138.05,4.61,29.945770065075923,,,,0
2005-01-05,133.55,133.55,133.55,133.55,4.61,28.96963123644252,,,,0
2005-01-06,129.5,129.5,129.5,129.5,4.61,28.09110629067245,,,,0
2005-01-07,131.8,131.8,131.8,131.8,4.61,28.59002169197397,,,,0
2005-01-10,130.4,130.4,130.4,130.4,4.61,28.28633405639913,,,,0
2005-01-11,128.75,128.75,128.75,128.75,4.61,27.92841648590021,,,,0
2005-01-12,126.05,126.05,126.05,126.05,4.61,27.34273318872017,,,,0
2005-01-13,130.6,130.6,130.6,130.6,4.61,28.329718004338392,,,,0
2005-01-14,128.15,128.15,128.15,128.15,4.61,27.79826464208243,,,,0
2005-01-17,127.65,127.65,127.65,127.65,4.61,27.68980477223427,,,,0
2005-01-18,129.9,129.9,129.9,129.9,4.61,28.177874186550977,,,,0
2005-01-19,128.85,128.85,128.85,128.85,4.61,27.950108459869845,,,,0
2005-01-20,130.05,130.05,130.05,130.05,4.61,28.210412147505423,,,,0
2005-01-21,130.05,130.05,130.05,130.05,4.61,28.210412147505423,,,,0
2005-01-24,135.55,135.55,135.55,135.55,4.61,29.40347071583514,,,,0
2005-01-25,136.9,136.9,136.9,136.9,4.61,29.69631236442516,,,,0
2005-01-26,136.9,136.9,136.9,136.9,4.61,29.69631236442516,,,,0
2005-01-27,137.0,137.0,137.0,137.0,4.61,29.718004338394792,,,,0
