Date,Open,High,Low,Close,EPS,PE,Median_PE_90,Median_PE_180,Median_PE_365,Valid_Period
2004-09-01,,,,,2.51,,,,,0
2004-09-02,,,,,2.51,,,,,0
2004-09-03,,,,,2.51,,,,,0
2004-09-06,,,,,2.51,,,,,0
2004-09-07,,,,,2.51,,,,,0
2004-09-08,,,,,2.51,,,,,0
2004-09-09,,,,,2.51,,,,,0
2004-09-10,,,,,2.51,,,,,0
2004-09-13,,,,,2.51,,,,,0
2004-09-14,,,,,2.51,,,,,0
2004-09-15,,,,,2.51,,,,,0
2004-09-16,,,,,2.51,,,,,0
2004-09-17,,,,,2.51,,,,,0
2004-09-20,,,,,2.51,,,,,0
2004-09-21,,,,,2.51,,,,,0
2004-09-22,,,,,2.51,,,,,0
2004-09-23,,,,,2.51,,,,,0
2004-09-24,,,,,2.51,,,,,0
2004-09-27,,,,,2.51,,,,,0
2004-09-28,,,,,2.51,,,,,0
2004-09-29,,,,,2.51,,,,,0
2004-09-30,,,,,2.51,,,,,0
2004-10-01,,,,,2.51,,,,,0
2004-10-04,,,,,2.51,,,,,0
2004-10-05,,,,,2.51,,,,,0
2004-10-06,,,,,2.51,,,,,0
2004-10-07,,,,,2.51,,,,,0
2004-10-08,,,,,2.51,,,,,0
2004-10-11,,,,,2.51,,,,,0
2004-10-12,,,,,2.51,,,,,0
2004-10-13,,,,,2.51,,,,,0
2004-10-14,,,,,2.51,,,,,0
2004-10-15,,,,,2.51,,,,,0
2004-10-18,,,,,2.51,,,,,0
2004-10-19,,,,,2.51,,,,,0
2004-10-20,,,,,2.51,,,,,0
2004-10-21,,,,,2.51,,,,,0
2004-10-22,,,,,2.51,,,,,0
2004-10-25,,,,,2.51,,,,,0
2004-10-26,,,,,2.51,,,,,0
2004-10-27,,,,,2.51,,,,,0
2004-10-28,,,,,2.51,,,,,0
2004-10-29,,,,,2.51,,,,,0
2004-11-01,,,,,2.51,,,,,0
2004-11-02,,,,,2.51,,,,,0
2004-11-03,,,,,2.51,,,,,0
2004-11-04,,,,,2.51,,,,,0
2004-11-05,,,,,2.51,,,,,0
2004-11-08,,,,,2.51,,,,,0
2004-11-09,,,,,2.51,,,,,0
2004-11-10,,,,,2.51,,,,,0
2004-11-11,,,,,2.51,,,,,0
2004-11-12,,,,,2.51,,,,,0
2004-11-15,,,,,2.51,,,,,0
2004-11-16,,,,,2.51,,,,,0
2004-11-17,,,,,2.51,,,,,0
2004-11-18,,,,,2.51,,,,,0
2004-11-19,,,,,2.51,,,,,0
2004-11-22,,,,,2.51,,,,,0
2004-11-23,,,,,2.51,,,,,0
2004-11-24,,,,,2.51,,,,,0
2004-11-25,,,,,2.51,,,,,0
2004-11-26,,,,,2.51,,,,,0
2004-11-29,,,,,2.51,,,,,0
2004-11-30,,,,,2.51,,,,,0
2004-12-01,,,,,2.35,,,,,0
2004-12-02,,,,,2.35,,,,,0
2004-12-03,,,,,2.35,,,,,0
2004-12-06,,,,,2.35,,,,,0
2004-12-07,,,,,2.35,,,,,0
2004-12-08,,,,,2.35,,,,,0
2004-12-09,,,,,2.35,,,,,0
2004-12-10,,,,,2.35,,,,,0
2004-12-13,,,,,2.35,,,,,0
2004-12-14,,,,,2.35,,,,,0
2004-12-15,,,,,2.35,,,,,0
2004-12-16,,,,,2.35,,,,,0
2004-12-17,,,,,2.35,,,,,0
2004-12-20,,,,,2.35,,,,,0
2004-12-21,,,,,2.35,,,,,0
2004-12-22,,,,,2.35,,,,,0
2004-12-23,,,,,2.35,,,,,0
2004-12-24,,,,,2.35,,,,,0
2004-12-27,,,,,2.35,,,,,0
2004-12-28,,,,,2.35,,,,,0
2004-12-29,,,,,2.35,,,,,0
2004-12-30,,,,,2.35,,,,,0
2004-12-31,,,,,2.35,,,,,0
2005-01-03,227.631224,227.631224,227.631224,227.631224,2.35,96.86435063829786,,,,0
2005-01-04,239.012786,239.012786,239.012786,239.012786,2.35,101.7075685106383,,,,0
2005-01-05,233.927407,233.927407,233.927407,233.927407,2.35,99.5435774468085,,,,0
2005-01-06,236.591177,236.591177,236.591177,236.591177,2.35,100.67709659574469,,,,0
2005-01-07,247.912198,247.912198,247.912198,247.912198,2.35,105.49455234042551,,,,0
2005-01-10,243.977084,243.977084,243.977084,243.977084,2.35,103.82003574468084,,,,0
2005-01-11,237.3782,237.3782,237.3782,237.3782,2.35,101.012,,,,0
2005-01-12,230.052833,230.052833,230.052833,230.052833,2.35,97.89482255319147,,,,0
2005-01-13,241.555475,241.555475,241.555475,241.555475,2.35,102.78956382978724,,,,0
2005-01-14,237.31766,237.31766,237.31766,237.31766,2.35,100.98623829787232,,,,0
2005-01-17,229.326351,229.326351,229.326351,229.326351,2.35,97.58568127659574,,,,0
