Date,Open,High,Low,Close,EPS,PE,Median_PE_90,Median_PE_180,Median_PE_365,Valid_Period
2004-09-01,,,,,8.31,,,,,0
2004-09-02,,,,,8.31,,,,,0
2004-09-03,,,,,8.31,,,,,0
2004-09-06,,,,,8.31,,,,,0
2004-09-07,,,,,8.31,,,,,0
2004-09-08,,,,,8.31,,,,,0
2004-09-09,,,,,8.31,,,,,0
2004-09-10,,,,,8.31,,,,,0
2004-09-13,,,,,8.31,,,,,0
2004-09-14,,,,,8.31,,,,,0
2004-09-15,,,,,8.31,,,,,0
2004-09-16,,,,,8.31,,,,,0
2004-09-17,,,,,8.31,,,,,0
2004-09-20,,,,,8.31,,,,,0
2004-09-21,,,,,8.31,,,,,0
2004-09-22,,,,,8.31,,,,,0
2004-09-23,,,,,8.31,,,,,0
2004-09-24,,,,,8.31,,,,,0
2004-09-27,,,,,8.31,,,,,0
2004-09-28,,,,,8.31,,,,,0
2004-09-29,,,,,8.31,,,,,0
2004-09-30,,,,,8.31,,,,,0
2004-10-01,,,,,8.31,,,,,0
2004-10-04,,,,,8.31,,,,,0
2004-10-05,,,,,8.31,,,,,0
2004-10-06,,,,,8.31,,,,,0
2004-10-07,,,,,8.31,,,,,0
2004-10-08,,,,,8.31,,,,,0
2004-10-11,,,,,8.31,,,,,0
2004-10-12,,,,,8.31,,,,,0
2004-10-13,,,,,8.31,,,,,0
2004-10-14,,,,,8.31,,,,,0
2004-10-15,,,,,8.31,,,,,0
2004-10-18,,,,,8.31,,,,,0
2004-10-19,,,,,8.31,,,,,0
2004-10-20,,,,,8.31,,,,,0
2004-10-21,,,,,8.31,,,,,0
2004-10-22,,,,,8.31,,,,,0
2004-10-25,,,,,8.31,,,,,0
2004-10-26,,,,,8.31,,,,,0
2004-10-27,,,,,8.31,,,,,0
2004-10-28,,,,,8.31,,,,,0
2004-10-29,,,,,8.31,,,,,0
2004-11-01,,,,,8.31,,,,,0
2004-11-02,,,,,8.31,,,,,0
