Date,Open,High,Low,Close,EPS,PE,Median_PE_90,Median_PE_180,Median_PE_365,Valid_Period
2004-09-01,,,,,0.08,,,,,0
2004-09-02,,,,,0.08,,,,,0
2004-09-03,,,,,0.08,,,,,0
2004-09-06,,,,,0.08,,,,,0
2004-09-07,,,,,0.08,,,,,0
2004-09-08,,,,,0.08,,,,,0
2004-09-09,,,,,0.08,,,,,0
2004-09-10,,,,,0.08,,,,,0
2004-09-13,,,,,0.08,,,,,0
2004-09-14,,,,,0.08,,,,,0
2004-09-15,,,,,0.08,,,,,0
2004-09-16,,,,,0.08,,,,,0
2004-09-17,,,,,0.08,,,,,0
2004-09-20,,,,,0.08,,,,,0
2004-09-21,,,,,0.08,,,,,0
2004-09-22,,,,,0.08,,,,,0
2004-09-23,,,,,0.08,,,,,0
2004-09-24,,,,,0.08,,,,,0
2004-09-27,,,,,0.08,,,,,0
2004-09-28,,,,,0.08,,,,,0
2004-09-29,,,,,0.08,,,,,0
2004-09-30,,,,,0.08,,,,,0
2004-10-01,,,,,0.08,,,,,0
2004-10-04,,,,,0.08,,,,,0
2004-10-05,,,,,0.08,,,,,0
2004-10-06,,,,,0.08,,,,,0
2004-10-07,,,,,0.08,,,,,0
2004-10-08,,,,,0.08,,,,,0
2004-10-11,,,,,0.08,,,,,0
2004-10-12,,,,,0.08,,,,,0
2004-10-13,,,,,0.08,,,,,0
2004-10-14,,,,,0.08,,,,,0
2004-10-15,,,,,0.08,,,,,0
2004-10-18,,,,,0.08,,,,,0
2004-10-19,,,,,0.08,,,,,0
2004-10-20,,,,,0.08,,,,,0
2004-10-21,,,,,0.08,,,,,0
2004-10-22,,,,,0.08,,,,,0
2004-10-25,,,,,0.08,,,,,0
2004-10-26,,,,,0.08,,,,,0
2004-10-27,,,,,0.08,,,,,0
2004-10-28,,,,,0.08,,,,,0
2004-10-29,,,,,0.08,,,,,0
2004-11-01,,,,,0.08,,,,,0
2004-11-02,,,,,0.08,,,,,0
2004-11-03,,,,,0.08,,,,,0
2004-11-04,,,,,0.08,,,,,0
2004-11-05,,,,,0.08,,,,,0
2004-11-08,,,,,0.08,,,,,0
2004-11-09,,,,,0.08,,,,,0
2004-11-10,,,,,0.08,,,,,0
2004-11-11,,,,,0.08,,,,,0
2004-11-12,,,,,0.08,,,,,0
2004-11-15,,,,,0.08,,,,,0
2004-11-16,,,,,0.08,,,,,0
2004-11-17,,,,,0.08,,,,,0
2004-11-18,,,,,0.08,,,,,0
2004-11-19,,,,,0.08,,,,,0
2004-11-22,,,,,0.08,,,,,0
2004-11-23,,,,,0.08,,,,,0
2004-11-24,,,,,0.08,,,,,0
2004-11-25,,,,,0.08,,,,,0
2004-11-26,,,,,0.08,,,,,0
2004-11-29,,,,,0.08,,,,,0
2004-11-30,,,,,0.08,,,,,0
2004-12-01,,,,,0.11,,,,,0
2004-12-02,,,,,0.11,,,,,0
2004-12-03,,,,,0.11,,,,,0
2004-12-06,,,,,0.11,,,,,0
2004-12-07,,,,,0.11,,,,,0
2004-12-08,,,,,0.11,,,,,0
2004-12-09,,,,,0.11,,,,,0
2004-12-10,,,,,0.11,,,,,0
2004-12-13,,,,,0.11,,,,,0
2004-12-14,,,,,0.11,,,,,0
2004-12-15,,,,,0.11,,,,,0
2004-12-16,,,,,0.11,,,,,0
2004-12-17,,,,,0.11,,,,,0
2004-12-20,,,,,0.11,,,,,0
2004-12-21,,,,,0.11,,,,,0
2004-12-22,,,,,0.11,,,,,0
2004-12-23,,,,,0.11,,,,,0
2004-12-24,,,,,0.11,,,,,0
2004-12-27,,,,,0.11,,,,,0
2004-12-28,,,,,0.11,,,,,0
2004-12-29,,,,,0.11,,,,,0
2004-12-30,,,,,0.11,,,,,0
2004-12-31,,,,,0.11,,,,,0
2005-01-03,36.2,36.2,36.2,36.2,0.11,329.0909090909091,,,,0
2005-01-04,36.1,36.1,36.1,36.1,0.11,328.1818181818182,,,,0
2005-01-05,36.1,36.1,36.1,36.1,0.11,328.1818181818182,,,,0
2005-01-06,35.1,35.1,35.1,35.1,0.11,319.0909090909091,,,,0
2005-01-07,37.35,37.35,37.35,37.35,0.11,339.54545454545456,,,,0
2005-01-10,36.8,36.8,36.8,36.8,0.11,334.5454545454545,,,,0
2005-01-11,35.15,35.15,35.15,35.15,0.11,319.5454545454545,,,,0
2005-01-12,32.25,32.25,32.25,32.25,0.11,293.1818181818182,,,,0
2005-01-13,33.6,33.6,33.6,33.6,0.11,305.45454545454544,,,,0
2005-01-14,33.4,33.4,33.4,33.4,0.11,303.6363636363636,,,,0
2005-01-17,33.55,33.55,33.55,33.55,0.11,305.0,,,,0
2005-01-18,33.65,33.65,33.65,33.65,0.11,305.9090909090909,,,,0
2005-01-19,33.15,33.15,33.15,33.15,0.11,301.3636363636364,,,,0
2005-01-20,33.45,33.45,33.45,33.45,0.11,304.0909090909091,,,,0
2005-01-21,33.45,33.45,33.45,33.45,0.11,304.0909090909091,,,,0
2005-01-24,32.65,32.65,32.65,32.65,0.11,296.8181818181818,,,,0
2005-01-25,33.7,33.7,33.7,33.7,0.11,306.3636363636364,,,,0
2005-01-26,33.7,33.7,33.7,33.7,0.11,306.3636363636364,,,,0
2005-01-27,34.3,34.3,34.3,34.3,0.11,311.8181818181818,,,,0
2005-01-28,33.65,33.65,33.65,33.65,0.11,305.9090909090909,,,,0
2005-01-31,33.05,33.05,33.05,33.05,0.11,300.45454545454544,,,,0
2005-02-01,32.55,32.55,32.55,32.55,0.11,295.9090909090909,,,,0
2005-02-02,33.6,33.6,33.6,33.6,0.11,305.45454545454544,,,,0
2005-02-03,33.0,33.0,33.0,33.0,0.11,300.0,,,,0
2005-02-04,32.65,32.65,32.65,32.65,0.11,296.8181818181818,,,,0
2005-02-07,32.4,32.4,32.4,32.4,0.11,294.5454545454545,,,,0
2005-02-08,32.1,32.1,32.1,32.1,0.11,291.8181818181818,,,,0
2005-02-09,32.6,32.6,32.6,32.6,0.11,296.3636363636364,,,,0
2005-02-10,32.5,32.5,32.5,32.5,0.11,295.45454545454544,,,,0
2005-02-11,33.0,33.0,33.0,33.0,0.11,300.0,,,,0
2005-02-14,32.65,32.65,32.65,32.65,0.11,296.8181818181818,,,,0
2005-02-15,32.0,32.0,32.0,32.0,0.11,290.90909090909093,,,,0
2005-02-16,31.5,31.5,31.5,31.5,0.11,286.3636363636364,,,,0
2005-02-17,31.15,31.15,31.15,31.15,0.11,283.1818181818182,,,,0
2005-02-18,31.0,31.0,31.0,31.0,0.11,281.8181818181818,,,,0
2005-02-21,30.5,30.5,30.5,30.5,0.11,277.27272727272725,,,,0
2005-02-22,30.35,30.35,30.35,30.35,0.11,275.90909090909093,,,,0
2005-02-23,30.05,30.05,30.05,30.05,0.11,273.1818181818182,,,,0
2005-02-24,30.05,30.05,30.05,30.05,0.11,273.1818181818182,,,,0
2005-02-25,29.75,29.75,29.75,29.75,0.11,270.45454545454544,,,,0
2005-02-28,29.9,29.9,29.9,29.9,0.11,271.8181818181818,,,,0
2005-03-01,28.85,28.85,28.85,28.85,0.27,106.85185185185183,,,,0
