Date,Open,High,Low,Close,EPS,PE,Median_PE_90,Median_PE_180,Median_PE_365,Valid_Period
2004-09-01,,,,,1.98,,,,,0
2004-09-02,,,,,1.98,,,,,0
2004-09-03,,,,,1.98,,,,,0
2004-09-06,,,,,1.98,,,,,0
2004-09-07,,,,,1.98,,,,,0
2004-09-08,,,,,1.98,,,,,0
2004-09-09,,,,,1.98,,,,,0
2004-09-10,,,,,1.98,,,,,0
2004-09-13,,,,,1.98,,,,,0
2004-09-14,,,,,1.98,,,,,0
2004-09-15,,,,,1.98,,,,,0
2004-09-16,,,,,1.98,,,,,0
2004-09-17,,,,,1.98,,,,,0
2004-09-20,,,,,1.98,,,,,0
2004-09-21,,,,,1.98,,,,,0
2004-09-22,,,,,1.98,,,,,0
2004-09-23,,,,,1.98,,,,,0
2004-09-24,,,,,1.98,,,,,0
2004-09-27,,,,,1.98,,,,,0
2004-09-28,,,,,1.98,,,,,0
2004-09-29,,,,,1.98,,,,,0
2004-09-30,,,,,1.98,,,,,0
2004-10-01,,,,,1.98,,,,,0
2004-10-04,,,,,1.98,,,,,0
2004-10-05,,,,,1.98,,,,,0
2004-10-06,,,,,1.98,,,,,0
2004-10-07,,,,,1.98,,,,,0
2004-10-08,,,,,1.98,,,,,0
2004-10-11,,,,,1.98,,,,,0
2004-10-12,,,,,1.98,,,,,0
2004-10-13,,,,,1.98,,,,,0
2004-10-14,,,,,1.98,,,,,0
2004-10-15,,,,,1.98,,,,,0
2004-10-18,,,,,1.98,,,,,0
2004-10-19,,,,,1.98,,,,,0
2004-10-20,,,,,1.98,,,,,0
2004-10-21,,,,,1.98,,,,,0
2004-10-22,,,,,1.98,,,,,0
2004-10-25,,,,,1.98,,,,,0
2004-10-26,,,,,1.98,,,,,0
2004-10-27,,,,,1.98,,,,,0
2004-10-28,,,,,1.98,,,,,0
2004-10-29,,,,,1.98,,,,,0
2004-11-01,,,,,1.98,,,,,0
2004-11-02,,,,,1.98,,,,,0
2004-11-03,,,,,1.98,,,,,0
2004-11-04,,,,,1.98,,,,,0
2004-11-05,,,,,1.98,,,,,0
2004-11-08,,,,,1.98,,,,,0
2004-11-09,,,,,1.98,,,,,0
2004-11-10,,,,,1.98,,,,,0
2004-11-11,,,,,1.98,,,,,0
2004-11-12,,,,,1.98,,,,,0
2004-11-15,,,,,1.98,,,,,0
2004-11-16,,,,,1.98,,,,,0
2004-11-17,,,,,1.98,,,,,0
2004-11-18,,,,,1.98,,,,,0
2004-11-19,,,,,1.98,,,,,0
2004-11-22,,,,,1.98,,,,,0
2004-11-23,,,,,1.98,,,,,0
2004-11-24,,,,,1.98,,,,,0
2004-11-25,,,,,1.98,,,,,0
2004-11-26,,,,,1.98,,,,,0
2004-11-29,,,,,1.98,,,,,0
2004-11-30,,,,,1.98,,,,,0
2004-12-01,,,,,0.08,,,,,0
2004-12-02,,,,,0.08,,,,,0
2004-12-03,,,,,0.08,,,,,0
2004-12-06,,,,,0.08,,,,,0
2004-12-07,,,,,0.08,,,,,0
2004-12-08,,,,,0.08,,,,,0
2004-12-09,,,,,0.08,,,,,0
2004-12-10,,,,,0.08,,,,,0
2004-12-13,,,,,0.08,,,,,0
2004-12-14,,,,,0.08,,,,,0
2004-12-15,,,,,0.08,,,,,0
2004-12-16,,,,,0.08,,,,,0
2004-12-17,,,,,0.08,,,,,0
2004-12-20,,,,,0.08,,,,,0
2004-12-21,,,,,0.08,,,,,0
2004-12-22,,,,,0.08,,,,,0
2004-12-23,,,,,0.08,,,,,0
2004-12-24,,,,,0.08,,,,,0
2004-12-27,,,,,0.08,,,,,0
2004-12-28,,,,,0.08,,,,,0
2004-12-29,,,,,0.08,,,,,0
2004-12-30,,,,,0.08,,,,,0
2004-12-31,,,,,0.08,,,,,0
2005-01-03,2.085,2.085,2.085,2.085,0.08,26.0625,,,,0
2005-01-04,2.0275,2.0275,2.0275,2.0275,0.08,25.34375,,,,0
2005-01-05,1.9225,1.9225,1.9225,1.9225,0.08,24.03125,,,,0
2005-01-06,1.9325,1.9325,1.9325,1.9325,0.08,24.15625,,,,0
2005-01-07,1.9975,1.9975,1.9975,1.9975,0.08,24.96875,,,,0
2005-01-10,1.99,1.99,1.99,1.99,0.08,24.875,,,,0
2005-01-11,1.9025,1.9025,1.9025,1.9025,0.08,23.78125,,,,0
2005-01-12,1.88,1.88,1.88,1.88,0.08,23.5,,,,0
2005-01-13,1.9625,1.9625,1.9625,1.9625,0.08,24.53125,,,,0
2005-01-14,1.9275,1.9275,1.9275,1.9275,0.08,24.09375,,,,0
2005-01-17,1.8525,1.8525,1.8525,1.8525,0.08,23.15625,,,,0
2005-01-18,1.9,1.9,1.9,1.9,0.08,23.75,,,,0
2005-01-19,1.8725,1.8725,1.8725,1.8725,0.08,23.40625,,,,0
2005-01-20,1.8325,1.8325,1.8325,1.8325,0.08,22.90625,,,,0
2005-01-21,1.8325,1.8325,1.8325,1.8325,0.08,22.90625,,,,0
2005-01-24,1.79,1.79,1.79,1.79,0.08,22.375,,,,0
2005-01-25,1.79,1.79,1.79,1.79,0.08,22.375,,,,0
2005-01-26,1.79,1.79,1.79,1.79,0.08,22.375,,,,0
2005-01-27,1.78,1.78,1.78,1.78,0.08,22.25,,,,0
2005-01-28,1.75,1.75,1.75,1.75,0.08,21.875,,,,0
2005-01-31,1.83,1.83,1.83,1.83,0.08,22.875,,,,0
2005-02-01,1.775,1.775,1.775,1.775,0.08,22.1875,,,,0
2005-02-02,1.79,1.79,1.79,1.79,0.08,22.375,,,,0
2005-02-03,1.82,1.82,1.82,1.82,0.08,22.75,,,,0
2005-02-04,1.87,1.87,1.87,1.87,0.08,23.375,,,,0
2005-02-07,1.9,1.9,1.9,1.9,0.08,23.75,,,,0
2005-02-08,1.8925,1.8925,1.8925,1.8925,0.08,23.65625,,,,0
2005-02-09,1.91,1.91,1.91,1.91,0.08,23.875,,,,0
2005-02-10,1.8925,1.8925,1.8925,1.8925,0.08,23.65625,,,,0
2005-02-11,1.88,1.88,1.88,1.88,0.08,23.5,,,,0
2005-02-14,1.8825,1.8825,1.8825,1.8825,0.08,23.53125,,,,0
2005-02-15,1.8525,1.8525,1.8525,1.8525,0.08,23.15625,,,,0
