Date,Open,High,Low,Close,EPS,PE,Median_PE_90,Median_PE_180,Median_PE_365,Valid_Period
2004-09-01,,,,,0.57,,,,,0
2004-09-02,,,,,0.57,,,,,0
2004-09-03,,,,,0.57,,,,,0
2004-09-06,,,,,0.57,,,,,0
2004-09-07,,,,,0.57,,,,,0
2004-09-08,,,,,0.57,,,,,0
2004-09-09,,,,,0.57,,,,,0
2004-09-10,,,,,0.57,,,,,0
2004-09-13,,,,,0.57,,,,,0
2004-09-14,,,,,0.57,,,,,0
2004-09-15,,,,,0.57,,,,,0
2004-09-16,,,,,0.57,,,,,0
2004-09-17,,,,,0.57,,,,,0
2004-09-20,,,,,0.57,,,,,0
2004-09-21,,,,,0.57,,,,,0
2004-09-22,,,,,0.57,,,,,0
2004-09-23,,,,,0.57,,,,,0
2004-09-24,,,,,0.57,,,,,0
2004-09-27,,,,,0.57,,,,,0
2004-09-28,,,,,0.57,,,,,0
2004-09-29,,,,,0.57,,,,,0
2004-09-30,,,,,0.57,,,,,0
2004-10-01,,,,,0.57,,,,,0
2004-10-04,,,,,0.57,,,,,0
2004-10-05,,,,,0.57,,,,,0
2004-10-06,,,,,0.57,,,,,0
2004-10-07,,,,,0.57,,,,,0
2004-10-08,,,,,0.57,,,,,0
2004-10-11,,,,,0.57,,,,,0
2004-10-12,,,,,0.57,,,,,0
2004-10-13,,,,,0.57,,,,,0
2004-10-14,,,,,0.57,,,,,0
2004-10-15,,,,,0.57,,,,,0
2004-10-18,,,,,0.57,,,,,0
2004-10-19,,,,,0.57,,,,,0
2004-10-20,,,,,0.57,,,,,0
2004-10-21,,,,,0.57,,,,,0
2004-10-22,,,,,0.57,,,,,0
2004-10-25,,,,,0.57,,,,,0
2004-10-26,,,,,0.57,,,,,0
2004-10-27,,,,,0.57,,,,,0
2004-10-28,,,,,0.57,,,,,0
2004-10-29,,,,,0.57,,,,,0
2004-11-01,,,,,0.57,,,,,0
2004-11-02,,,,,0.57,,,,,0
2004-11-03,,,,,0.57,,,,,0
2004-11-04,,,,,0.57,,,,,0
2004-11-05,,,,,0.57,,,,,0
2004-11-08,,,,,0.57,,,,,0
2004-11-09,,,,,0.57,,,,,0
2004-11-10,,,,,0.57,,,,,0
2004-11-11,,,,,0.57,,,,,0
2004-11-12,,,,,0.57,,,,,0
2004-11-15,,,,,0.57,,,,,0
2004-11-16,,,,,0.57,,,,,0
2004-11-17,,,,,0.57,,,,,0
2004-11-18,,,,,0.57,,,,,0
2004-11-19,,,,,0.57,,,,,0
2004-11-22,,,,,0.57,,,,,0
2004-11-23,,,,,0.57,,,,,0
2004-11-24,,,,,0.57,,,,,0
2004-11-25,,,,,0.57,,,,,0
2004-11-26,,,,,0.57,,,,,0
2004-11-29,,,,,0.57,,,,,0
2004-11-30,,,,,0.57,,,,,0
2004-12-01,,,,,1.86,,,,,0
2004-12-02,,,,,1.86,,,,,0
2004-12-03,,,,,1.86,,,,,0
2004-12-06,,,,,1.86,,,,,0
2004-12-07,,,,,1.86,,,,,0
2004-12-08,,,,,1.86,,,,,0
2004-12-09,,,,,1.86,,,,,0
2004-12-10,,,,,1.86,,,,,0
2004-12-13,,,,,1.86,,,,,0
2004-12-14,,,,,1.86,,,,,0
2004-12-15,,,,,1.86,,,,,0
2004-12-16,,,,,1.86,,,,,0
2004-12-17,,,,,1.86,,,,,0
2004-12-20,,,,,1.86,,,,,0
2004-12-21,,,,,1.86,,,,,0
2004-12-22,,,,,1.86,,,,,0
2004-12-23,,,,,1.86,,,,,0
2004-12-24,,,,,1.86,,,,,0
2004-12-27,,,,,1.86,,,,,0
2004-12-28,,,,,1.86,,,,,0
2004-12-29,,,,,1.86,,,,,0
2004-12-30,,,,,1.86,,,,,0
2004-12-31,,,,,1.86,,,,,0
2005-01-03,59.81,59.81,59.81,59.81,1.86,32.155913978494624,,,,0
2005-01-04,58.965,58.965,58.965,58.965,1.86,31.701612903225808,,,,0
2005-01-05,56.505,56.505,56.505,56.505,1.86,30.37903225806452,,,,0
2005-01-06,56.6,56.6,56.6,56.6,1.86,30.43010752688172,,,,0
2005-01-07,56.08,56.08,56.08,56.08,1.86,30.1505376344086,,,,0
2005-01-10,55.1,55.1,55.1,55.1,1.86,29.62365591397849,,,,0
2005-01-11,53.54,53.54,53.54,53.54,1.86,28.784946236559136,,,,0
2005-01-12,46.87,46.87,46.87,46.87,1.86,25.198924731182792,,,,0
2005-01-13,52.75,52.75,52.75,52.75,1.86,28.36021505376344,,,,0
2005-01-14,52.645,52.645,52.645,52.645,1.86,28.303763440860216,,,,0
2005-01-17,52.425,52.425,52.425,52.425,1.86,28.18548387096774,,,,0
2005-01-18,52.275,52.275,52.275,52.275,1.86,28.104838709677416,,,,0
2005-01-19,52.36,52.36,52.36,52.36,1.86,28.1505376344086,,,,0
2005-01-20,52.495,52.495,52.495,52.495,1.86,28.22311827956989,,,,0
2005-01-21,52.495,52.495,52.495,52.495,1.86,28.22311827956989,,,,0
2005-01-24,52.665,52.665,52.665,52.665,1.86,28.314516129032256,,,,0
2005-01-25,53.71,53.71,53.71,53.71,1.86,28.876344086021504,,,,0
2005-01-26,53.71,53.71,53.71,53.71,1.86,28.876344086021504,,,,0
2005-01-27,61.55,61.55,61.55,61.55,1.86,33.09139784946236,,,,0
2005-01-28,66.66,66.66,66.66,66.66,1.86,35.83870967741935,,,,0
2005-01-31,68.47,68.47,68.47,68.47,1.86,36.81182795698925,,,,0
2005-02-01,66.85,66.85,66.85,66.85,1.86,35.94086021505376,,,,0
2005-02-02,66.62,66.62,66.62,66.62,1.86,35.81720430107527,,,,0
2005-02-03,68.73,68.73,68.73,68.73,1.86,36.95161290322581,,,,0
2005-02-04,68.235,68.235,68.235,68.235,1.86,36.68548387096774,,,,0
2005-02-07,68.535,68.535,68.535,68.535,1.86,36.846774193548384,,,,0
2005-02-08,72.495,72.495,72.495,72.495,1.86,38.9758064516129,,,,0
2005-02-09,74.395,74.395,74.395,74.395,1.86,39.997311827956985,,,,1
2005-02-10,73.87,73.87,73.87,73.87,1.86,39.715053763440864,,,,1
