Date,Open,High,Low,Close,EPS,PE,Median_PE_90,Median_PE_180,Median_PE_365,Valid_Period
2004-09-01,,,,,6.02,,,,,0
2004-09-02,,,,,6.02,,,,,0
2004-09-03,,,,,6.02,,,,,0
2004-09-06,,,,,6.02,,,,,0
2004-09-07,,,,,6.02,,,,,0
2004-09-08,,,,,6.02,,,,,0
2004-09-09,,,,,6.02,,,,,0
2004-09-10,,,,,6.02,,,,,0
2004-09-13,,,,,6.02,,,,,0
2004-09-14,,,,,6.02,,,,,0
2004-09-15,,,,,6.02,,,,,0
2004-09-16,,,,,6.02,,,,,0
2004-09-17,,,,,6.02,,,,,0
2004-09-20,,,,,6.02,,,,,0
2004-09-21,,,,,6.02,,,,,0
2004-09-22,,,,,6.02,,,,,0
2004-09-23,,,,,6.02,,,,,0
2004-09-24,,,,,6.02,,,,,0
2004-09-27,,,,,6.02,,,,,0
2004-09-28,,,,,6.02,,,,,0
2004-09-29,,,,,6.02,,,,,0
2004-09-30,,,,,6.02,,,,,0
2004-10-01,,,,,6.02,,,,,0
2004-10-04,,,,,6.02,,,,,0
2004-10-05,,,,,6.02,,,,,0
2004-10-06,,,,,6.02,,,,,0
2004-10-07,,,,,6.02,,,,,0
2004-10-08,,,,,6.02,,,,,0
2004-10-11,,,,,6.02,,,,,0
2004-10-12,,,,,6.02,,,,,0
2004-10-13,,,,,6.02,,,,,0
2004-10-14,,,,,6.02,,,,,0
2004-10-15,,,,,6.02,,,,,0
2004-10-18,,,,,6.02,,,,,0
2004-10-19,,,,,6.02,,,,,0
2004-10-20,,,,,6.02,,,,,0
2004-10-21,,,,,6.02,,,,,0
2004-10-22,,,,,6.02,,,,,0
2004-10-25,,,,,6.02,,,,,0
2004-10-26,,,,,6.02,,,,,0
2004-10-27,,,,,6.02,,,,,0
2004-10-28,,,,,6.02,,,,,0
2004-10-29,,,,,6.02,,,,,0
2004-11-01,,,,,6.02,,,,,0
2004-11-02,,,,,6.02,,,,,0
2004-11-03,,,,,6.02,,,,,0
2004-11-04,,,,,6.02,,,,,0
2004-11-05,,,,,6.02,,,,,0
2004-11-08,,,,,6.02,,,,,0
2004-11-09,,,,,6.02,,,,,0
2004-11-10,,,,,6.02,,,,,0
2004-11-11,,,,,6.02,,,,,0
2004-11-12,,,,,6.02,,,,,0
2004-11-15,,,,,6.02,,,,,0
2004-11-16,,,,,6.02,,,,,0
2004-11-17,,,,,6.02,,,,,0
2004-11-18,,,,,6.02,,,,,0
2004-11-19,,,,,6.02,,,,,0
2004-11-22,,,,,6.02,,,,,0
2004-11-23,,,,,6.02,,,,,0
2004-11-24,,,,,6.02,,,,,0
2004-11-25,,,,,6.02,,,,,0
2004-11-26,,,,,6.02,,,,,0
2004-11-29,,,,,6.02,,,,,0
2004-11-30,,,,,6.02,,,,,0
2004-12-01,,,,,6.14,,,,,0
2004-12-02,,,,,6.14,,,,,0
2004-12-03,,,,,6.14,,,,,0
2004-12-06,,,,,6.14,,,,,0
2004-12-07,,,,,6.14,,,,,0
2004-12-08,,,,,6.14,,,,,0
2004-12-09,,,,,6.14,,,,,0
2004-12-10,,,,,6.14,,,,,0
2004-12-13,,,,,6.14,,,,,0
2004-12-14,,,,,6.14,,,,,0
2004-12-15,,,,,6.14,,,,,0
2004-12-16,,,,,6.14,,,,,0
2004-12-17,,,,,6.14,,,,,0
2004-12-20,,,,,6.14,,,,,0
2004-12-21,,,,,6.14,,,,,0
2004-12-22,,,,,6.14,,,,,0
2004-12-23,,,,,6.14,,,,,0
2004-12-24,,,,,6.14,,,,,0
2004-12-27,,,,,6.14,,,,,0
2004-12-28,,,,,6.14,,,,,0
2004-12-29,,,,,6.14,,,,,0
2004-12-30,,,,,6.14,,,,,0
2004-12-31,,,,,6.14,,,,,0
2005-01-03,98.9125,98.9125,98.9125,98.9125,6.14,16.109527687296417,,,,0
2005-01-04,97.675,97.675,97.675,97.675,6.14,15.90798045602606,,,,0
2005-01-05,98.6,98.6,98.6,98.6,6.14,16.058631921824105,,,,0
2005-01-06,98.2,98.2,98.2,98.2,6.14,15.993485342019545,,,,0
2005-01-07,101.1125,101.1125,101.1125,101.1125,6.14,16.467833876221498,,,,0
2005-01-10,101.45,101.45,101.45,101.45,6.14,16.522801302931597,,,,0
2005-01-11,98.7625,98.7625,98.7625,98.7625,6.14,16.085097719869708,,,,0
2005-01-12,100.375,100.375,100.375,100.375,6.14,16.34771986970684,,,,0
2005-01-13,100.7875,100.7875,100.7875,100.7875,6.14,16.414902280130292,,,,0
2005-01-14,100.075,100.075,100.075,100.075,6.14,16.29885993485342,,,,0
2005-01-17,100.0,100.0,100.0,100.0,6.14,16.286644951140065,,,,0
2005-01-18,100.0,100.0,100.0,100.0,6.14,16.286644951140065,,,,0
2005-01-19,99.8125,99.8125,99.8125,99.8125,6.14,16.256107491856678,,,,0
2005-01-20,100.0125,100.0125,100.0125,100.0125,6.14,16.28868078175896,,,,0
2005-01-21,100.0125,100.0125,100.0125,100.0125,6.14,16.28868078175896,,,,0
2005-01-24,100.0,100.0,100.0,100.0,6.14,16.286644951140065,,,,0
2005-01-25,96.225,96.225,96.225,96.225,6.14,15.671824104234528,,,,0
2005-01-26,96.225,96.225,96.225,96.225,6.14,15.671824104234528,,,,0
2005-01-27,98.1375,98.1375,98.1375,98.1375,6.14,15.983306188925082,,,,0
2005-01-28,98.75,98.75,98.75,98.75,6.14,16.083061889250814,,,,0
2005-01-31,98.975,98.975,98.975,98.975,6.14,16.11970684039088,,,,0
2005-02-01,98.65,98.65,98.65,98.65,6.14,16.066775244299677,,,,0
2005-02-02,98.75,98.75,98.75,98.75,6.14,16.083061889250814,,,,0
2005-02-03,98.325,98.325,98.325,98.325,6.14,16.01384364820847,,,,0
2005-02-04,96.6625,96.6625,96.6625,96.6625,6.14,15.743078175895766,,,,0
2005-02-07,97.0875,97.0875,97.0875,97.0875,6.14,15.812296416938112,,,,0
2005-02-08,96.9,96.9,96.9,96.9,6.14,15.781758957654723,,,,0
2005-02-09,100.15,100.15,100.15,100.15,6.14,16.311074918566778,,,,0
2005-02-10,100.3375,100.3375,100.3375,100.3375,6.14,16.341612377850165,,,,0
2005-02-11,99.575,99.575,99.575,99.575,6.14,16.217426710097723,,,,0
2005-02-14,99.475,99.475,99.475,99.475,6.14,16.20114006514658,,,,0
2005-02-15,97.8875,97.8875,97.8875,97.8875,6.14,15.942589576547231,,,,0
2005-02-16,97.75,97.75,97.75,97.75,6.14,15.920195439739414,,,,0
2005-02-17,99.8125,99.8125,99.8125,99.8125,6.14,16.256107491856678,,,,0
2005-02-18,97.4125,97.4125,97.4125,97.4125,6.14,15.865228013029316,,,,0
2005-02-21,97.5,97.5,97.5,97.5,6.14,15.879478827361565,,,,0
2005-02-22,97.5625,97.5625,97.5625,97.5625,6.14,15.889657980456027,,,,0
2005-02-23,97.525,97.525,97.525,97.525,6.14,15.88355048859935,,,,0
2005-02-24,97.5,97.5,97.5,97.5,6.14,15.879478827361565,,,,0
2005-02-25,97.875,97.875,97.875,97.875,6.14,15.94055374592834,,,,0
2005-02-28,97.5,97.5,97.5,97.5,6.14,15.879478827361565,,,,0
2005-03-01,96.7375,96.7375,96.7375,96.7375,6.82,14.184384164222871,,,,0
2005-03-02,95.5625,95.5625,95.5625,95.5625,6.82,14.012096774193548,,,,0
2005-03-03,96.6625,96.6625,96.6625,96.6625,6.82,14.173387096774192,,,,0
2005-03-04,96.75,96.75,96.75,96.75,6.82,14.186217008797652,,,,0
2005-03-07,97.0625,97.0625,97.0625,97.0625,6.82,14.232038123167154,,,,0
2005-03-08,97.875,97.875,97.875,97.875,6.82,14.351173020527858,,,,0
2005-03-09,97.525,97.525,97.525,97.525,6.82,14.299853372434018,,,,0
2005-03-10,99.0375,99.0375,99.0375,99.0375,6.82,14.521627565982405,,,,0
2005-03-11,98.7,98.7,98.7,98.7,6.82,14.472140762463344,,,,0
2005-03-14,99.475,99.475,99.475,99.475,6.82,14.585777126099703,,,,0
2005-03-15,98.25,98.25,98.25,98.25,6.82,14.40615835777126,,,,0
2005-03-16,99.0,99.0,99.0,99.0,6.82,14.516129032258064,,,,0
2005-03-17,99.55,99.55,99.55,99.55,6.82,14.596774193548386,,,,0
2005-03-18,99.75,99.75,99.75,99.75,6.82,14.626099706744869,,,,0
2005-03-21,100.075,100.075,100.075,100.075,6.82,14.67375366568915,,,,0
2005-03-22,97.5,97.5,97.5,97.5,6.82,14.296187683284456,,,,0
2005-03-23,97.525,97.525,97.525,97.525,6.82,14.299853372434018,,,,0
2005-03-24,100.0,100.0,100.0,100.0,6.82,14.662756598240469,,,,0
2005-03-25,100.0,100.0,100.0,100.0,6.82,14.662756598240469,,,,0
2005-03-28,100.0125,100.0125,100.0125,100.0125,6.82,14.664589442815249,,,,0
2005-03-29,99.15,99.15,99.15,99.15,6.82,14.538123167155426,,,,0
2005-03-30,97.525,97.525,97.525,97.525,6.82,14.299853372434018,,,,0
2005-03-31,97.5875,97.5875,97.5875,97.5875,6.82,14.309017595307918,,,,0
2005-04-01,98.0,98.0,98.0,98.0,6.82,14.36950146627566,,,,0
2005-04-04,100.2375,100.2375,100.2375,100.2375,6.82,14.69758064516129,,,,0
2005-04-05,102.025,102.025,102.025,102.025,6.82,14.959677419354838,,,,0
2005-04-06,100.1875,100.1875,100.1875,100.1875,6.82,14.69024926686217,,,,0
2005-04-07,101.3125,101.3125,101.3125,101.3125,6.82,14.855205278592376,,,,0
2005-04-08,102.7125,102.7125,102.7125,102.7125,6.82,15.060483870967742,,,,0
2005-04-11,103.325,103.325,103.325,103.325,6.82,15.150293255131963,,,,0
2005-04-12,103.375,103.375,103.375,103.375,6.82,15.157624633431084,,,,0
2005-04-13,102.75,102.75,102.75,102.75,6.82,15.06598240469208,,,,0
2005-04-14,102.75,102.75,102.75,102.75,6.82,15.06598240469208,,,,0
2005-04-15,102.75,102.75,102.75,102.75,6.82,15.06598240469208,,,,0
2005-04-18,102.75,102.75,102.75,102.75,6.82,15.06598240469208,,,,0
2005-04-19,103.25,103.25,103.25,103.25,6.82,15.139296187683284,,,,0
2005-04-20,102.5125,102.5125,102.5125,102.5125,6.82,15.03115835777126,,,,0
2005-04-21,102.25,102.25,102.25,102.25,6.82,14.99266862170088,,,,0
