Date,Open,High,Low,Close,EPS,PE,Median_PE_90,Median_PE_180,Median_PE_365,Valid_Period
2004-09-01,,,,,-14.78,,,,,0
2004-09-02,,,,,-14.78,,,,,0
2004-09-03,,,,,-14.78,,,,,0
2004-09-06,,,,,-14.78,,,,,0
2004-09-07,,,,,-14.78,,,,,0
2004-09-08,,,,,-14.78,,,,,0
2004-09-09,,,,,-14.78,,,,,0
2004-09-10,,,,,-14.78,,,,,0
2004-09-13,,,,,-14.78,,,,,0
2004-09-14,,,,,-14.78,,,,,0
2004-09-15,,,,,-14.78,,,,,0
2004-09-16,,,,,-14.78,,,,,0
2004-09-17,,,,,-14.78,,,,,0
2004-09-20,,,,,-14.78,,,,,0
2004-09-21,,,,,-14.78,,,,,0
2004-09-22,,,,,-14.78,,,,,0
2004-09-23,,,,,-14.78,,,,,0
2004-09-24,,,,,-14.78,,,,,0
2004-09-27,,,,,-14.78,,,,,0
2004-09-28,,,,,-14.78,,,,,0
2004-09-29,,,,,-14.78,,,,,0
2004-09-30,,,,,-14.78,,,,,0
2004-10-01,,,,,-14.78,,,,,0
2004-10-04,,,,,-14.78,,,,,0
2004-10-05,,,,,-14.78,,,,,0
2004-10-06,,,,,-14.78,,,,,0
2004-10-07,,,,,-14.78,,,,,0
2004-10-08,,,,,-14.78,,,,,0
2004-10-11,,,,,-14.78,,,,,0
2004-10-12,,,,,-14.78,,,,,0
2004-10-13,,,,,-14.78,,,,,0
2004-10-14,,,,,-14.78,,,,,0
2004-10-15,,,,,-14.78,,,,,0
2004-10-18,,,,,-14.78,,,,,0
2004-10-19,,,,,-14.78,,,,,0
2004-10-20,,,,,-14.78,,,,,0
2004-10-21,,,,,-14.78,,,,,0
2004-10-22,,,,,-14.78,,,,,0
2004-10-25,,,,,-14.78,,,,,0
2004-10-26,,,,,-14.78,,,,,0
2004-10-27,,,,,-14.78,,,,,0
2004-10-28,,,,,-14.78,,,,,0
2004-10-29,,,,,-14.78,,,,,0
2004-11-01,,,,,-14.78,,,,,0
2004-11-02,,,,,-14.78,,,,,0
2004-11-03,,,,,-14.78,,,,,0
2004-11-04,,,,,-14.78,,,,,0
2004-11-05,,,,,-14.78,,,,,0
2004-11-08,,,,,-14.78,,,,,0
2004-11-09,,,,,-14.78,,,,,0
2004-11-10,,,,,-14.78,,,,,0
2004-11-11,,,,,-14.78,,,,,0
2004-11-12,,,,,-14.78,,,,,0
2004-11-15,,,,,-14.78,,,,,0
2004-11-16,,,,,-14.78,,,,,0
2004-11-17,,,,,-14.78,,,,,0
2004-11-18,,,,,-14.78,,,,,0
2004-11-19,,,,,-14.78,,,,,0
2004-11-22,,,,,-14.78,,,,,0
2004-11-23,,,,,-14.78,,,,,0
2004-11-24,,,,,-14.78,,,,,0
2004-11-25,,,,,-14.78,,,,,0
2004-11-26,,,,,-14.78,,,,,0
2004-11-29,,,,,-14.78,,,,,0
2004-11-30,,,,,-14.78,,,,,0
2004-12-01,,,,,-11.09,,,,,0
2004-12-02,,,,,-11.09,,,,,0
2004-12-03,,,,,-11.09,,,,,0
2004-12-06,,,,,-11.09,,,,,0
2004-12-07,,,,,-11.09,,,,,0
2004-12-08,,,,,-11.09,,,,,0
2004-12-09,,,,,-11.09,,,,,0
2004-12-10,,,,,-11.09,,,,,0
2004-12-13,,,,,-11.09,,,,,0
2004-12-14,,,,,-11.09,,,,,0
2004-12-15,,,,,-11.09,,,,,0
2004-12-16,,,,,-11.09,,,,,0
2004-12-17,,,,,-11.09,,,,,0
2004-12-20,,,,,-11.09,,,,,0
2004-12-21,,,,,-11.09,,,,,0
2004-12-22,,,,,-11.09,,,,,0
2004-12-23,,,,,-11.09,,,,,0
2004-12-24,,,,,-11.09,,,,,0
2004-12-27,,,,,-11.09,,,,,0
2004-12-28,,,,,-11.09,,,,,0
2004-12-29,,,,,-11.09,,,,,0
2004-12-30,,,,,-11.09,,,,,0
2004-12-31,,,,,-11.09,,,,,0
2005-01-03,29.65,29.65,29.65,29.65,-11.09,,,,,0
2005-01-04,29.75,29.75,29.75,29.75,-11.09,,,,,0
2005-01-05,27.3,27.3,27.3,27.3,-11.09,,,,,0
2005-01-06,26.45,26.45,26.45,26.45,-11.09,,,,,0
2005-01-07,26.8,26.8,26.8,26.8,-11.09,,,,,0
2005-01-10,27.9,27.9,27.9,27.9,-11.09,,,,,0
2005-01-11,26.3,26.3,26.3,26.3,-11.09,,,,,0
2005-01-12,23.55,23.55,23.55,23.55,-11.09,,,,,0
2005-01-13,24.7,24.7,24.7,24.7,-11.09,,,,,0
2005-01-14,24.6,24.6,24.6,24.6,-11.09,,,,,0
2005-01-17,23.6,23.6,23.6,23.6,-11.09,,,,,0
2005-01-18,23.85,23.85,23.85,23.85,-11.09,,,,,0
2005-01-19,23.4,23.4,23.4,23.4,-11.09,,,,,0
2005-01-20,23.75,23.75,23.75,23.75,-11.09,,,,,0
2005-01-21,23.75,23.75,23.75,23.75,-11.09,,,,,0
2005-01-24,23.2,23.2,23.2,23.2,-11.09,,,,,0
2005-01-25,24.0,24.0,24.0,24.0,-11.09,,,,,0
2005-01-26,24.0,24.0,24.0,24.0,-11.09,,,,,0
2005-01-27,24.25,24.25,24.25,24.25,-11.09,,,,,0
2005-01-28,24.4,24.4,24.4,24.4,-11.09,,,,,0
2005-01-31,24.05,24.05,24.05,24.05,-11.09,,,,,0
2005-02-01,25.55,25.55,25.55,25.55,-11.09,,,,,0
2005-02-02,26.75,26.75,26.75,26.75,-11.09,,,,,0
2005-02-03,26.6,26.6,26.6,26.6,-11.09,,,,,0
2005-02-04,26.15,26.15,26.15,26.15,-11.09,,,,,0
2005-02-07,27.25,27.25,27.25,27.25,-11.09,,,,,0
2005-02-08,27.05,27.05,27.05,27.05,-11.09,,,,,0
2005-02-09,28.65,28.65,28.65,28.65,-11.09,,,,,0
2005-02-10,27.65,27.65,27.65,27.65,-11.09,,,,,0
2005-02-11,27.45,27.45,27.45,27.45,-11.09,,,,,0
2005-02-14,26.5,26.5,26.5,26.5,-11.09,,,,,0
2005-02-15,25.95,25.95,25.95,25.95,-11.09,,,,,0
2005-02-16,25.6,25.6,25.6,25.6,-11.09,,,,,0
2005-02-17,25.35,25.35,25.35,25.35,-11.09,,,,,0
2005-02-18,26.35,26.35,26.35,26.35,-11.09,,,,,0
2005-02-21,25.7,25.7,25.7,25.7,-11.09,,,,,0
2005-02-22,26.7,26.7,26.7,26.7,-11.09,,,,,0
2005-02-23,26.75,26.75,26.75,26.75,-11.09,,,,,0
2005-02-24,29.35,29.35,29.35,29.35,-11.09,,,,,0
