Date,Open,High,Low,Close,EPS,PE,Median_PE_90,Median_PE_180,Median_PE_365,Valid_Period
2004-09-01,,,,,0.09,,,,,0
2004-09-02,,,,,0.09,,,,,0
2004-09-03,,,,,0.09,,,,,0
2004-09-06,,,,,0.09,,,,,0
2004-09-07,,,,,0.09,,,,,0
2004-09-08,,,,,0.09,,,,,0
2004-09-09,,,,,0.09,,,,,0
2004-09-10,,,,,0.09,,,,,0
2004-09-13,,,,,0.09,,,,,0
2004-09-14,,,,,0.09,,,,,0
2004-09-15,,,,,0.09,,,,,0
2004-09-16,,,,,0.09,,,,,0
2004-09-17,,,,,0.09,,,,,0
2004-09-20,,,,,0.09,,,,,0
2004-09-21,,,,,0.09,,,,,0
2004-09-22,,,,,0.09,,,,,0
2004-09-23,,,,,0.09,,,,,0
2004-09-24,,,,,0.09,,,,,0
2004-09-27,,,,,0.09,,,,,0
2004-09-28,,,,,0.09,,,,,0
2004-09-29,,,,,0.09,,,,,0
2004-09-30,,,,,0.09,,,,,0
2004-10-01,,,,,0.09,,,,,0
2004-10-04,,,,,0.09,,,,,0
2004-10-05,,,,,0.09,,,,,0
2004-10-06,,,,,0.09,,,,,0
2004-10-07,,,,,0.09,,,,,0
2004-10-08,,,,,0.09,,,,,0
2004-10-11,,,,,0.09,,,,,0
2004-10-12,,,,,0.09,,,,,0
2004-10-13,,,,,0.09,,,,,0
2004-10-14,,,,,0.09,,,,,0
2004-10-15,,,,,0.09,,,,,0
2004-10-18,,,,,0.09,,,,,0
2004-10-19,,,,,0.09,,,,,0
2004-10-20,,,,,0.09,,,,,0
2004-10-21,,,,,0.09,,,,,0
2004-10-22,,,,,0.09,,,,,0
2004-10-25,,,,,0.09,,,,,0
2004-10-26,,,,,0.09,,,,,0
2004-10-27,,,,,0.09,,,,,0
2004-10-28,,,,,0.09,,,,,0
2004-10-29,,,,,0.09,,,,,0
2004-11-01,,,,,0.09,,,,,0
2004-11-02,,,,,0.09,,,,,0
2004-11-03,,,,,0.09,,,,,0
2004-11-04,,,,,0.09,,,,,0
2004-11-05,,,,,0.09,,,,,0
2004-11-08,,,,,0.09,,,,,0
2004-11-09,,,,,0.09,,,,,0
2004-11-10,,,,,0.09,,,,,0
2004-11-11,,,,,0.09,,,,,0
2004-11-12,,,,,0.09,,,,,0
2004-11-15,,,,,0.09,,,,,0
2004-11-16,,,,,0.09,,,,,0
2004-11-17,,,,,0.09,,,,,0
2004-11-18,,,,,0.09,,,,,0
2004-11-19,,,,,0.09,,,,,0
2004-11-22,,,,,0.09,,,,,0
2004-11-23,,,,,0.09,,,,,0
2004-11-24,,,,,0.09,,,,,0
2004-11-25,,,,,0.09,,,,,0
2004-11-26,,,,,0.09,,,,,0
2004-11-29,,,,,0.09,,,,,0
2004-11-30,,,,,0.09,,,,,0
2004-12-01,,,,,0.34,,,,,0
2004-12-02,,,,,0.34,,,,,0
2004-12-03,,,,,0.34,,,,,0
2004-12-06,,,,,0.34,,,,,0
2004-12-07,,,,,0.34,,,,,0
2004-12-08,,,,,0.34,,,,,0
2004-12-09,,,,,0.34,,,,,0
2004-12-10,,,,,0.34,,,,,0
2004-12-13,,,,,0.34,,,,,0
2004-12-14,,,,,0.34,,,,,0
2004-12-15,,,,,0.34,,,,,0
2004-12-16,,,,,0.34,,,,,0
2004-12-17,,,,,0.34,,,,,0
2004-12-20,,,,,0.34,,,,,0
2004-12-21,,,,,0.34,,,,,0
2004-12-22,,,,,0.34,,,,,0
2004-12-23,,,,,0.34,,,,,0
2004-12-24,,,,,0.34,,,,,0
2004-12-27,,,,,0.34,,,,,0
2004-12-28,,,,,0.34,,,,,0
2004-12-29,,,,,0.34,,,,,0
2004-12-30,,,,,0.34,,,,,0
2004-12-31,,,,,0.34,,,,,0
2005-01-03,41.652382,41.652382,41.652382,41.652382,0.34,122.50700588235294,,,,0
2005-01-04,41.250429,41.250429,41.250429,41.250429,0.34,121.32479117647055,,,,0
2005-01-05,39.994326,39.994326,39.994326,39.994326,0.34,117.6303705882353,,,,0
2005-01-06,38.738222,38.738222,38.738222,38.738222,0.34,113.93594705882352,,,,0
2005-01-07,39.19042,39.19042,39.19042,39.19042,0.34,115.2659411764706,,,,0
2005-01-10,38.888955,38.888955,38.888955,38.888955,0.34,114.3792794117647,,,,0
2005-01-11,38.185537,38.185537,38.185537,38.185537,0.34,112.31040294117643,,,,0
2005-01-12,37.180655,37.180655,37.180655,37.180655,0.34,109.35486764705882,,,,0
2005-01-13,36.778702,36.778702,36.778702,36.778702,0.34,108.17265294117648,,,,0
2005-01-14,36.02504,36.02504,36.02504,36.02504,0.34,105.956,,,,0
2005-01-17,35.723575,35.723575,35.723575,35.723575,0.34,105.0693382352941,,,,0
2005-01-18,35.472354,35.472354,35.472354,35.472354,0.34,104.33045294117647,,,,0
2005-01-19,35.522598,35.522598,35.522598,35.522598,0.34,104.4782294117647,,,,0
2005-01-20,34.969913,34.969913,34.969913,34.969913,0.34,102.85268529411763,,,,0
2005-01-21,34.969913,34.969913,34.969913,34.969913,0.34,102.85268529411763,,,,0
