Date,Open,High,Low,Close,EPS,PE,Median_PE_90,Median_PE_180,Median_PE_365,Valid_Period
2004-09-01,,,,,5.63,,,,,0
2004-09-02,,,,,5.63,,,,,0
2004-09-03,,,,,5.63,,,,,0
2004-09-06,,,,,5.63,,,,,0
2004-09-07,,,,,5.63,,,,,0
2004-09-08,,,,,5.63,,,,,0
2004-09-09,,,,,5.63,,,,,0
2004-09-10,,,,,5.63,,,,,0
2004-09-13,,,,,5.63,,,,,0
2004-09-14,,,,,5.63,,,,,0
2004-09-15,,,,,5.63,,,,,0
2004-09-16,,,,,5.63,,,,,0
2004-09-17,,,,,5.63,,,,,0
2004-09-20,,,,,5.63,,,,,0
2004-09-21,,,,,5.63,,,,,0
2004-09-22,,,,,5.63,,,,,0
2004-09-23,,,,,5.63,,,,,0
2004-09-24,,,,,5.63,,,,,0
2004-09-27,,,,,5.63,,,,,0
2004-09-28,,,,,5.63,,,,,0
2004-09-29,,,,,5.63,,,,,0
2004-09-30,,,,,5.63,,,,,0
2004-10-01,,,,,5.63,,,,,0
2004-10-04,,,,,5.63,,,,,0
2004-10-05,,,,,5.63,,,,,0
2004-10-06,,,,,5.63,,,,,0
2004-10-07,,,,,5.63,,,,,0
2004-10-08,,,,,5.63,,,,,0
2004-10-11,,,,,5.63,,,,,0
2004-10-12,,,,,5.63,,,,,0
2004-10-13,,,,,5.63,,,,,0
2004-10-14,,,,,5.63,,,,,0
2004-10-15,,,,,5.63,,,,,0
2004-10-18,,,,,5.63,,,,,0
2004-10-19,,,,,5.63,,,,,0
2004-10-20,,,,,5.63,,,,,0
2004-10-21,,,,,5.63,,,,,0
2004-10-22,,,,,5.63,,,,,0
2004-10-25,,,,,5.63,,,,,0
2004-10-26,,,,,5.63,,,,,0
2004-10-27,,,,,5.63,,,,,0
2004-10-28,,,,,5.63,,,,,0
2004-10-29,,,,,5.63,,,,,0
2004-11-01,,,,,5.63,,,,,0
2004-11-02,,,,,5.63,,,,,0
2004-11-03,,,,,5.63,,,,,0
2004-11-04,,,,,5.63,,,,,0
2004-11-05,,,,,5.63,,,,,0
2004-11-08,,,,,5.63,,,,,0
2004-11-09,,,,,5.63,,,,,0
2004-11-10,,,,,5.63,,,,,0
2004-11-11,,,,,5.63,,,,,0
2004-11-12,,,,,5.63,,,,,0
2004-11-15,,,,,5.63,,,,,0
2004-11-16,,,,,5.63,,,,,0
2004-11-17,,,,,5.63,,,,,0
2004-11-18,,,,,5.63,,,,,0
2004-11-19,,,,,5.63,,,,,0
2004-11-22,,,,,5.63,,,,,0
2004-11-23,,,,,5.63,,,,,0
2004-11-24,,,,,5.63,,,,,0
2004-11-25,,,,,5.63,,,,,0
2004-11-26,,,,,5.63,,,,,0
2004-11-29,,,,,5.63,,,,,0
2004-11-30,,,,,5.63,,,,,0
2004-12-01,,,,,4.16,,,,,0
2004-12-02,,,,,4.16,,,,,0
2004-12-03,,,,,4.16,,,,,0
2004-12-06,,,,,4.16,,,,,0
2004-12-07,,,,,4.16,,,,,0
2004-12-08,,,,,4.16,,,,,0
2004-12-09,,,,,4.16,,,,,0
2004-12-10,,,,,4.16,,,,,0
2004-12-13,,,,,4.16,,,,,0
2004-12-14,,,,,4.16,,,,,0
2004-12-15,,,,,4.16,,,,,0
2004-12-16,,,,,4.16,,,,,0
2004-12-17,,,,,4.16,,,,,0
2004-12-20,,,,,4.16,,,,,0
2004-12-21,,,,,4.16,,,,,0
2004-12-22,,,,,4.16,,,,,0
2004-12-23,,,,,4.16,,,,,0
2004-12-24,,,,,4.16,,,,,0
2004-12-27,,,,,4.16,,,,,0
2004-12-28,,,,,4.16,,,,,0
2004-12-29,,,,,4.16,,,,,0
2004-12-30,,,,,4.16,,,,,0
2004-12-31,,,,,4.16,,,,,0
2005-01-03,24.425,24.425,24.425,24.425,4.16,5.871394230769231,,,,0
2005-01-04,24.225,24.225,24.225,24.225,4.16,5.823317307692308,,,,0
2005-01-05,23.4,23.4,23.4,23.4,4.16,5.624999999999999,,,,0
2005-01-06,22.325,22.325,22.325,22.325,4.16,5.366586538461538,,,,0
2005-01-07,22.42,22.42,22.42,22.42,4.16,5.3894230769230775,,,,0
2005-01-10,22.035,22.035,22.035,22.035,4.16,5.296875,,,,0
2005-01-11,21.025,21.025,21.025,21.025,4.16,5.054086538461538,,,,0
2005-01-12,20.595,20.595,20.595,20.595,4.16,4.950721153846153,,,,0
2005-01-13,21.355,21.355,21.355,21.355,4.16,5.133413461538462,,,,0
2005-01-14,21.29,21.29,21.29,21.29,4.16,5.117788461538461,,,,0
2005-01-17,21.16,21.16,21.16,21.16,4.16,5.086538461538462,,,,0
2005-01-18,21.3,21.3,21.3,21.3,4.16,5.120192307692308,,,,0
2005-01-19,20.94,20.94,20.94,20.94,4.16,5.033653846153847,,,,0
2005-01-20,21.04,21.04,21.04,21.04,4.16,5.057692307692308,,,,0
2005-01-21,21.04,21.04,21.04,21.04,4.16,5.057692307692308,,,,0
2005-01-24,20.645,20.645,20.645,20.645,4.16,4.962740384615384,,,,0
2005-01-25,20.905,20.905,20.905,20.905,4.16,5.025240384615385,,,,0
2005-01-26,20.905,20.905,20.905,20.905,4.16,5.025240384615385,,,,0
2005-01-27,21.46,21.46,21.46,21.46,4.16,5.158653846153846,,,,0
2005-01-28,21.515,21.515,21.515,21.515,4.16,5.171875,,,,0
2005-01-31,22.13,22.13,22.13,22.13,4.16,5.319711538461538,,,,0
2005-02-01,22.02,22.02,22.02,22.02,4.16,5.293269230769231,,,,0
2005-02-02,22.02,22.02,22.02,22.02,4.16,5.293269230769231,,,,0
2005-02-03,22.345,22.345,22.345,22.345,4.16,5.37139423076923,,,,0
2005-02-04,22.01,22.01,22.01,22.01,4.16,5.290865384615385,,,,0
2005-02-07,22.18,22.18,22.18,22.18,4.16,5.331730769230769,,,,0
2005-02-08,21.95,21.95,21.95,21.95,4.16,5.276442307692308,,,,0
2005-02-09,22.235,22.235,22.235,22.235,4.16,5.3449519230769225,,,,0
2005-02-10,22.355,22.355,22.355,22.355,4.16,5.373798076923077,,,,0
2005-02-11,22.455,22.455,22.455,22.455,4.16,5.397836538461537,,,,0
2005-02-14,22.87,22.87,22.87,22.87,4.16,5.497596153846154,,,,0
2005-02-15,22.61,22.61,22.61,22.61,4.16,5.435096153846153,,,,0
2005-02-16,22.5,22.5,22.5,22.5,4.16,5.408653846153846,,,,0
2005-02-17,22.505,22.505,22.505,22.505,4.16,5.409855769230769,,,,0
2005-02-18,22.385,22.385,22.385,22.385,4.16,5.381009615384616,,,,0
2005-02-21,21.97,21.97,21.97,21.97,4.16,5.281249999999999,,,,0
2005-02-22,21.715,21.715,21.715,21.715,4.16,5.2199519230769225,,,,0
2005-02-23,22.185,22.185,22.185,22.185,4.16,5.332932692307692,,,,0
2005-02-24,22.5,22.5,22.5,22.5,4.16,5.408653846153846,,,,0
2005-02-25,22.63,22.63,22.63,22.63,4.16,5.439903846153846,,,,0
2005-02-28,23.51,23.51,23.51,23.51,4.16,5.651442307692308,,,,0
2005-03-01,23.235,23.235,23.235,23.235,4.45,5.221348314606741,,,,0
2005-03-02,24.455,24.455,24.455,24.455,4.45,5.495505617977528,,,,0
2005-03-03,24.615,24.615,24.615,24.615,4.45,5.531460674157303,,,,0
2005-03-04,24.51,24.51,24.51,24.51,4.45,5.507865168539326,,,,0
2005-03-07,24.945,24.945,24.945,24.945,4.45,5.60561797752809,,,,0
2005-03-08,25.23,25.23,25.23,25.23,4.45,5.669662921348315,,,,0
2005-03-09,24.605,24.605,24.605,24.605,4.45,5.529213483146068,,,,0
2005-03-10,25.51,25.51,25.51,25.51,4.45,5.7325842696629215,,,,0
2005-03-11,25.535,25.535,25.535,25.535,4.45,5.738202247191011,,,,0
2005-03-14,25.415,25.415,25.415,25.415,4.45,5.711235955056179,,,,0
2005-03-15,25.565,25.565,25.565,25.565,4.45,5.744943820224719,,,,0
2005-03-16,26.265,26.265,26.265,26.265,4.45,5.902247191011236,,,,0
2005-03-17,26.8,26.8,26.8,26.8,4.45,6.022471910112359,,,,0
2005-03-18,26.215,26.215,26.215,26.215,4.45,5.891011235955056,,,,0
2005-03-21,24.605,24.605,24.605,24.605,4.45,5.529213483146068,,,,0
2005-03-22,24.125,24.125,24.125,24.125,4.45,5.421348314606742,,,,0
2005-03-23,23.465,23.465,23.465,23.465,4.45,5.273033707865168,,,,0
2005-03-24,22.825,22.825,22.825,22.825,4.45,5.129213483146067,,,,0
2005-03-25,22.825,22.825,22.825,22.825,4.45,5.129213483146067,,,,0
2005-03-28,22.685,22.685,22.685,22.685,4.45,5.097752808988764,,,,0
2005-03-29,22.84,22.84,22.84,22.84,4.45,5.132584269662921,,,,0
2005-03-30,23.565,23.565,23.565,23.565,4.45,5.295505617977528,,,,0
2005-03-31,24.74,24.74,24.74,24.74,4.45,5.559550561797752,,,,0
2005-04-01,24.78,24.78,24.78,24.78,4.45,5.568539325842696,,,,0
2005-04-04,24.5,24.5,24.5,24.5,4.45,5.50561797752809,,,,0
2005-04-05,24.07,24.07,24.07,24.07,4.45,5.408988764044944,,,,0
2005-04-06,25.405,25.405,25.405,25.405,4.45,5.708988764044944,,,,0
2005-04-07,25.925,25.925,25.925,25.925,4.45,5.825842696629214,,,,0
2005-04-08,25.715,25.715,25.715,25.715,4.45,5.778651685393259,,,,0
2005-04-11,25.2,25.2,25.2,25.2,4.45,5.662921348314606,,,,0
2005-04-12,25.435,25.435,25.435,25.435,4.45,5.715730337078651,,,,0
2005-04-13,26.295,26.295,26.295,26.295,4.45,5.908988764044944,,,,0
2005-04-14,26.295,26.295,26.295,26.295,4.45,5.908988764044944,,,,0
2005-04-15,25.8,25.8,25.8,25.8,4.45,5.797752808988764,,,,0
2005-04-18,25.965,25.965,25.965,25.965,4.45,5.834831460674157,,,,0
2005-04-19,26.205,26.205,26.205,26.205,4.45,5.888764044943819,,,,0
2005-04-20,26.35,26.35,26.35,26.35,4.45,5.921348314606742,,,,0
2005-04-21,26.325,26.325,26.325,26.325,4.45,5.915730337078651,,,,0
2005-04-22,28.895,28.895,28.895,28.895,4.45,6.493258426966292,,,,0
2005-04-25,29.615,29.615,29.615,29.615,4.45,6.65505617977528,,,,0
2005-04-26,28.205,28.205,28.205,28.205,4.45,6.338202247191011,,,,0
2005-04-27,28.46,28.46,28.46,28.46,4.45,6.395505617977528,,,,0
2005-04-28,29.01,29.01,29.01,29.01,4.45,6.519101123595505,,,,0
2005-04-29,28.975,28.975,28.975,28.975,4.45,6.51123595505618,,,,0
2005-05-02,28.65,28.65,28.65,28.65,4.45,6.43820224719101,,,,0
2005-05-03,28.505,28.505,28.505,28.505,4.45,6.405617977528089,,,,0
2005-05-04,29.16,29.16,29.16,29.16,4.45,6.552808988764045,,,,0
2005-05-05,28.685,28.685,28.685,28.685,4.45,6.446067415730337,,,,0
2005-05-06,29.0,29.0,29.0,29.0,4.45,6.51685393258427,5.467704732065688,,,0
2005-05-09,30.0,30.0,30.0,30.0,4.45,6.741573033707865,5.467704732065688,,,0
2005-05-10,29.675,29.675,29.675,29.675,4.45,6.668539325842697,5.467704732065688,,,0
2005-05-11,29.305,29.305,29.305,29.305,4.45,6.585393258426966,5.467704732065688,,,0
2005-05-12,29.01,29.01,29.01,29.01,4.45,6.519101123595505,5.496550885911841,,,0
2005-05-13,30.11,30.11,30.11,30.11,4.45,6.766292134831461,5.501607065687121,,,0
2005-05-16,30.025,30.025,30.025,30.025,4.45,6.747191011235954,5.506741573033708,,,0
2005-05-17,29.435,29.435,29.435,29.435,4.45,6.614606741573033,5.518539325842697,,,0
