Date,Open,High,Low,Close,EPS,PE,Median_PE_90,Median_PE_180,Median_PE_365,Valid_Period
2004-09-01,,,,,-1.68,,,,,0
2004-09-02,,,,,-1.68,,,,,0
2004-09-03,,,,,-1.68,,,,,0
2004-09-06,,,,,-1.68,,,,,0
2004-09-07,,,,,-1.68,,,,,0
2004-09-08,,,,,-1.68,,,,,0
2004-09-09,,,,,-1.68,,,,,0
2004-09-10,,,,,-1.68,,,,,0
2004-09-13,,,,,-1.68,,,,,0
2004-09-14,,,,,-1.68,,,,,0
2004-09-15,,,,,-1.68,,,,,0
2004-09-16,,,,,-1.68,,,,,0
2004-09-17,,,,,-1.68,,,,,0
2004-09-20,,,,,-1.68,,,,,0
2004-09-21,,,,,-1.68,,,,,0
2004-09-22,,,,,-1.68,,,,,0
2004-09-23,,,,,-1.68,,,,,0
2004-09-24,,,,,-1.68,,,,,0
2004-09-27,,,,,-1.68,,,,,0
2004-09-28,,,,,-1.68,,,,,0
2004-09-29,,,,,-1.68,,,,,0
2004-09-30,,,,,-1.68,,,,,0
2004-10-01,,,,,-1.68,,,,,0
2004-10-04,,,,,-1.68,,,,,0
2004-10-05,,,,,-1.68,,,,,0
2004-10-06,,,,,-1.68,,,,,0
2004-10-07,,,,,-1.68,,,,,0
2004-10-08,,,,,-1.68,,,,,0
2004-10-11,,,,,-1.68,,,,,0
2004-10-12,,,,,-1.68,,,,,0
2004-10-13,,,,,-1.68,,,,,0
2004-10-14,,,,,-1.68,,,,,0
2004-10-15,,,,,-1.68,,,,,0
2004-10-18,,,,,-1.68,,,,,0
2004-10-19,,,,,-1.68,,,,,0
2004-10-20,,,,,-1.68,,,,,0
2004-10-21,,,,,-1.68,,,,,0
2004-10-22,,,,,-1.68,,,,,0
2004-10-25,,,,,-1.68,,,,,0
2004-10-26,,,,,-1.68,,,,,0
2004-10-27,,,,,-1.68,,,,,0
2004-10-28,,,,,-1.68,,,,,0
2004-10-29,,,,,-1.68,,,,,0
2004-11-01,,,,,-1.68,,,,,0
2004-11-02,,,,,-1.68,,,,,0
2004-11-03,,,,,-1.68,,,,,0
2004-11-04,,,,,-1.68,,,,,0
2004-11-05,,,,,-1.68,,,,,0
2004-11-08,,,,,-1.68,,,,,0
2004-11-09,,,,,-1.68,,,,,0
2004-11-10,,,,,-1.68,,,,,0
2004-11-11,,,,,-1.68,,,,,0
2004-11-12,,,,,-1.68,,,,,0
2004-11-15,,,,,-1.68,,,,,0
2004-11-16,,,,,-1.68,,,,,0
2004-11-17,,,,,-1.68,,,,,0
2004-11-18,,,,,-1.68,,,,,0
2004-11-19,,,,,-1.68,,,,,0
2004-11-22,,,,,-1.68,,,,,0
2004-11-23,,,,,-1.68,,,,,0
2004-11-24,,,,,-1.68,,,,,0
2004-11-25,,,,,-1.68,,,,,0
2004-11-26,,,,,-1.68,,,,,0
2004-11-29,,,,,-1.68,,,,,0
2004-11-30,,,,,-1.68,,,,,0
2004-12-01,,,,,1.81,,,,,0
2004-12-02,,,,,1.81,,,,,0
2004-12-03,,,,,1.81,,,,,0
2004-12-06,,,,,1.81,,,,,0
2004-12-07,,,,,1.81,,,,,0
2004-12-08,,,,,1.81,,,,,0
2004-12-09,,,,,1.81,,,,,0
2004-12-10,,,,,1.81,,,,,0
2004-12-13,,,,,1.81,,,,,0
2004-12-14,,,,,1.81,,,,,0
2004-12-15,,,,,1.81,,,,,0
2004-12-16,,,,,1.81,,,,,0
2004-12-17,,,,,1.81,,,,,0
2004-12-20,,,,,1.81,,,,,0
2004-12-21,,,,,1.81,,,,,0
2004-12-22,,,,,1.81,,,,,0
2004-12-23,,,,,1.81,,,,,0
2004-12-24,,,,,1.81,,,,,0
2004-12-27,,,,,1.81,,,,,0
2004-12-28,,,,,1.81,,,,,0
2004-12-29,,,,,1.81,,,,,0
2004-12-30,,,,,1.81,,,,,0
2004-12-31,,,,,1.81,,,,,0
2005-01-03,12.95,12.95,12.95,12.95,1.81,7.154696132596684,,,,0
2005-01-04,12.5,12.5,12.5,12.5,1.81,6.906077348066298,,,,0
2005-01-05,12.0,12.0,12.0,12.0,1.81,6.629834254143646,,,,0
2005-01-06,11.9,11.9,11.9,11.9,1.81,6.574585635359116,,,,0
2005-01-07,11.3,11.3,11.3,11.3,1.81,6.2430939226519335,,,,0
2005-01-10,10.75,10.75,10.75,10.75,1.81,5.939226519337017,,,,0
2005-01-11,10.75,10.75,10.75,10.75,1.81,5.939226519337017,,,,0
2005-01-12,10.3,10.3,10.3,10.3,1.81,5.69060773480663,,,,0
2005-01-13,10.85,10.85,10.85,10.85,1.81,5.994475138121547,,,,0
2005-01-14,10.6,10.6,10.6,10.6,1.81,5.856353591160221,,,,0
2005-01-17,10.3,10.3,10.3,10.3,1.81,5.69060773480663,,,,0
2005-01-18,10.5,10.5,10.5,10.5,1.81,5.801104972375691,,,,0
2005-01-19,10.5,10.5,10.5,10.5,1.81,5.801104972375691,,,,0
2005-01-20,10.5,10.5,10.5,10.5,1.81,5.801104972375691,,,,0
2005-01-21,10.5,10.5,10.5,10.5,1.81,5.801104972375691,,,,0
2005-01-24,10.0,10.0,10.0,10.0,1.81,5.524861878453039,,,,0
