Date,Open,High,Low,Close,EPS,PE,Median_PE_90,Median_PE_180,Median_PE_365,Valid_Period
2004-09-01,,,,,1.29,,,,,0
2004-09-02,,,,,1.29,,,,,0
2004-09-03,,,,,1.29,,,,,0
2004-09-06,,,,,1.29,,,,,0
2004-09-07,,,,,1.29,,,,,0
2004-09-08,,,,,1.29,,,,,0
2004-09-09,,,,,1.29,,,,,0
2004-09-10,,,,,1.29,,,,,0
2004-09-13,,,,,1.29,,,,,0
2004-09-14,,,,,1.29,,,,,0
2004-09-15,,,,,1.29,,,,,0
2004-09-16,,,,,1.29,,,,,0
2004-09-17,,,,,1.29,,,,,0
2004-09-20,,,,,1.29,,,,,0
2004-09-21,,,,,1.29,,,,,0
2004-09-22,,,,,1.29,,,,,0
2004-09-23,,,,,1.29,,,,,0
2004-09-24,,,,,1.29,,,,,0
2004-09-27,,,,,1.29,,,,,0
2004-09-28,,,,,1.29,,,,,0
2004-09-29,,,,,1.29,,,,,0
2004-09-30,,,,,1.29,,,,,0
2004-10-01,,,,,1.29,,,,,0
2004-10-04,,,,,1.29,,,,,0
2004-10-05,,,,,1.29,,,,,0
2004-10-06,,,,,1.29,,,,,0
2004-10-07,,,,,1.29,,,,,0
2004-10-08,,,,,1.29,,,,,0
2004-10-11,,,,,1.29,,,,,0
2004-10-12,,,,,1.29,,,,,0
2004-10-13,,,,,1.29,,,,,0
2004-10-14,,,,,1.29,,,,,0
2004-10-15,,,,,1.29,,,,,0
2004-10-18,,,,,1.29,,,,,0
2004-10-19,,,,,1.29,,,,,0
2004-10-20,,,,,1.29,,,,,0
2004-10-21,,,,,1.29,,,,,0
2004-10-22,,,,,1.29,,,,,0
2004-10-25,,,,,1.29,,,,,0
2004-10-26,,,,,1.29,,,,,0
2004-10-27,,,,,1.29,,,,,0
2004-10-28,,,,,1.29,,,,,0
2004-10-29,,,,,1.29,,,,,0
2004-11-01,,,,,1.29,,,,,0
2004-11-02,,,,,1.29,,,,,0
2004-11-03,,,,,1.29,,,,,0
2004-11-04,,,,,1.29,,,,,0
2004-11-05,,,,,1.29,,,,,0
2004-11-08,,,,,1.29,,,,,0
2004-11-09,,,,,1.29,,,,,0
2004-11-10,,,,,1.29,,,,,0
2004-11-11,,,,,1.29,,,,,0
2004-11-12,,,,,1.29,,,,,0
2004-11-15,,,,,1.29,,,,,0
2004-11-16,,,,,1.29,,,,,0
2004-11-17,,,,,1.29,,,,,0
2004-11-18,,,,,1.29,,,,,0
2004-11-19,,,,,1.29,,,,,0
2004-11-22,,,,,1.29,,,,,0
2004-11-23,,,,,1.29,,,,,0
2004-11-24,,,,,1.29,,,,,0
2004-11-25,,,,,1.29,,,,,0
2004-11-26,,,,,1.29,,,,,0
2004-11-29,,,,,1.29,,,,,0
2004-11-30,,,,,1.29,,,,,0
2004-12-01,,,,,0.73,,,,,0
2004-12-02,,,,,0.73,,,,,0
2004-12-03,,,,,0.73,,,,,0
2004-12-06,,,,,0.73,,,,,0
2004-12-07,,,,,0.73,,,,,0
2004-12-08,,,,,0.73,,,,,0
2004-12-09,,,,,0.73,,,,,0
2004-12-10,,,,,0.73,,,,,0
2004-12-13,,,,,0.73,,,,,0
2004-12-14,,,,,0.73,,,,,0
2004-12-15,,,,,0.73,,,,,0
2004-12-16,,,,,0.73,,,,,0
2004-12-17,,,,,0.73,,,,,0
2004-12-20,,,,,0.73,,,,,0
2004-12-21,,,,,0.73,,,,,0
2004-12-22,,,,,0.73,,,,,0
2004-12-23,,,,,0.73,,,,,0
2004-12-24,,,,,0.73,,,,,0
2004-12-27,,,,,0.73,,,,,0
2004-12-28,,,,,0.73,,,,,0
2004-12-29,,,,,0.73,,,,,0
2004-12-30,,,,,0.73,,,,,0
2004-12-31,,,,,0.73,,,,,0
2005-01-03,63.05,63.05,63.05,63.05,0.73,86.36986301369863,,,,0
2005-01-04,60.9,60.9,60.9,60.9,0.73,83.42465753424658,,,,0
2005-01-05,57.9,57.9,57.9,57.9,0.73,79.31506849315069,,,,0
2005-01-06,54.8,54.8,54.8,54.8,0.73,75.06849315068493,,,,0
2005-01-07,55.4,55.4,55.4,55.4,0.73,75.89041095890411,,,,0
2005-01-10,55.3,55.3,55.3,55.3,0.73,75.75342465753424,,,,0
2005-01-11,52.35,52.35,52.35,52.35,0.73,71.7123287671233,,,,0
2005-01-12,48.9,48.9,48.9,48.9,0.73,66.98630136986301,,,,0
2005-01-13,48.0,48.0,48.0,48.0,0.73,65.75342465753425,,,,0
2005-01-14,51.2,51.2,51.2,51.2,0.73,70.13698630136987,,,,0
2005-01-17,51.4,51.4,51.4,51.4,0.73,70.41095890410959,,,,0
2005-01-18,51.05,51.05,51.05,51.05,0.73,69.93150684931507,,,,0
2005-01-19,49.15,49.15,49.15,49.15,0.73,67.32876712328768,,,,0
2005-01-20,47.7,47.7,47.7,47.7,0.73,65.34246575342466,,,,0
2005-01-21,47.7,47.7,47.7,47.7,0.73,65.34246575342466,,,,0
2005-01-24,44.4,44.4,44.4,44.4,0.73,60.821917808219176,,,,0
2005-01-25,45.1,45.1,45.1,45.1,0.73,61.78082191780823,,,,0
2005-01-26,45.1,45.1,45.1,45.1,0.73,61.78082191780823,,,,0
2005-01-27,47.2,47.2,47.2,47.2,0.73,64.65753424657535,,,,0
2005-01-28,48.95,48.95,48.95,48.95,0.73,67.05479452054794,,,,0
2005-01-31,53.85,53.85,53.85,53.85,0.73,73.76712328767124,,,,0
2005-02-01,57.15,57.15,57.15,57.15,0.73,78.28767123287672,,,,0
2005-02-02,55.85,55.85,55.85,55.85,0.73,76.5068493150685,,,,0
2005-02-03,54.95,54.95,54.95,54.95,0.73,75.27397260273973,,,,0
2005-02-04,54.1,54.1,54.1,54.1,0.73,74.10958904109589,,,,0
2005-02-07,54.6,54.6,54.6,54.6,0.73,74.79452054794521,,,,0
2005-02-08,52.6,52.6,52.6,52.6,0.73,72.05479452054794,,,,0
2005-02-09,52.4,52.4,52.4,52.4,0.73,71.78082191780823,,,,0
2005-02-10,54.65,54.65,54.65,54.65,0.73,74.86301369863014,,,,0
2005-02-11,55.5,55.5,55.5,55.5,0.73,76.02739726027397,,,,0
2005-02-14,53.45,53.45,53.45,53.45,0.73,73.21917808219179,,,,0
2005-02-15,51.55,51.55,51.55,51.55,0.73,70.61643835616438,,,,0
2005-02-16,52.75,52.75,52.75,52.75,0.73,72.26027397260275,,,,0
2005-02-17,50.55,50.55,50.55,50.55,0.73,69.24657534246575,,,,0
2005-02-18,50.7,50.7,50.7,50.7,0.73,69.45205479452055,,,,0
2005-02-21,51.55,51.55,51.55,51.55,0.73,70.61643835616438,,,,0
2005-02-22,50.75,50.75,50.75,50.75,0.73,69.52054794520548,,,,0
2005-02-23,50.55,50.55,50.55,50.55,0.73,69.24657534246575,,,,0
2005-02-24,50.3,50.3,50.3,50.3,0.73,68.9041095890411,,,,0
2005-02-25,49.5,49.5,49.5,49.5,0.73,67.8082191780822,,,,0
2005-02-28,49.2,49.2,49.2,49.2,0.73,67.3972602739726,,,,0
2005-03-01,48.8,48.8,48.8,48.8,2.23,21.88340807174888,,,,0
2005-03-02,50.2,50.2,50.2,50.2,2.23,22.51121076233184,,,,0
2005-03-03,50.1,50.1,50.1,50.1,2.23,22.466367713004484,,,,0
2005-03-04,50.2,50.2,50.2,50.2,2.23,22.51121076233184,,,,0
2005-03-07,52.75,52.75,52.75,52.75,2.23,23.654708520179373,,,,0
2005-03-08,53.75,53.75,53.75,53.75,2.23,24.10313901345292,,,,0
2005-03-09,51.8,51.8,51.8,51.8,2.23,23.228699551569505,,,,0
2005-03-10,52.05,52.05,52.05,52.05,2.23,23.34080717488789,,,,0
2005-03-11,53.7,53.7,53.7,53.7,2.23,24.08071748878924,,,,0
2005-03-14,53.9,53.9,53.9,53.9,2.23,24.170403587443943,,,,0
2005-03-15,52.35,52.35,52.35,52.35,2.23,23.47533632286996,,,,0
2005-03-16,50.85,50.85,50.85,50.85,2.23,22.80269058295964,,,,0
2005-03-17,50.9,50.9,50.9,50.9,2.23,22.82511210762332,,,,0
2005-03-18,49.25,49.25,49.25,49.25,2.23,22.08520179372197,,,,0
2005-03-21,50.1,50.1,50.1,50.1,2.23,22.466367713004484,,,,0
2005-03-22,47.65,47.65,47.65,47.65,2.23,21.367713004484305,,,,0
2005-03-23,46.35,46.35,46.35,46.35,2.23,20.7847533632287,,,,0
2005-03-24,44.1,44.1,44.1,44.1,2.23,19.77578475336323,,,,0
2005-03-25,44.1,44.1,44.1,44.1,2.23,19.77578475336323,,,,0
2005-03-28,44.95,44.95,44.95,44.95,2.23,20.156950672645745,,,,0
2005-03-29,42.85,42.85,42.85,42.85,2.23,19.2152466367713,,,,0
2005-03-30,43.15,43.15,43.15,43.15,2.23,19.34977578475336,,,,0
2005-03-31,45.35,45.35,45.35,45.35,2.23,20.33632286995516,,,,0
2005-04-01,44.7,44.7,44.7,44.7,2.23,20.044843049327355,,,,0
2005-04-04,45.1,45.1,45.1,45.1,2.23,20.22421524663677,,,,0
2005-04-05,44.7,44.7,44.7,44.7,2.23,20.044843049327355,,,,0
2005-04-06,44.3,44.3,44.3,44.3,2.23,19.86547085201793,,,,0
2005-04-07,44.85,44.85,44.85,44.85,2.23,20.112107623318387,,,,0
2005-04-08,43.5,43.5,43.5,43.5,2.23,19.506726457399104,,,,0
2005-04-11,43.75,43.75,43.75,43.75,2.23,19.618834080717487,,,,0
2005-04-12,44.6,44.6,44.6,44.6,2.23,20.0,,,,0
2005-04-13,46.0,46.0,46.0,46.0,2.23,20.62780269058296,,,,0
2005-04-14,46.0,46.0,46.0,46.0,2.23,20.62780269058296,,,,0
2005-04-15,43.7,43.7,43.7,43.7,2.23,19.596412556053814,,,,0
2005-04-18,43.75,43.75,43.75,43.75,2.23,19.618834080717487,,,,0
2005-04-19,43.5,43.5,43.5,43.5,2.23,19.506726457399104,,,,0
2005-04-20,43.0,43.0,43.0,43.0,2.23,19.282511210762333,,,,0
