Date,Open,High,Low,Close,EPS,PE,Median_PE_90,Median_PE_180,Median_PE_365,Valid_Period
2004-09-01,,,,,2.17,,,,,0
2004-09-02,,,,,2.17,,,,,0
2004-09-03,,,,,2.17,,,,,0
2004-09-06,,,,,2.17,,,,,0
2004-09-07,,,,,2.17,,,,,0
2004-09-08,,,,,2.17,,,,,0
2004-09-09,,,,,2.17,,,,,0
2004-09-10,,,,,2.17,,,,,0
2004-09-13,,,,,2.17,,,,,0
2004-09-14,,,,,2.17,,,,,0
2004-09-15,,,,,2.17,,,,,0
2004-09-16,,,,,2.17,,,,,0
2004-09-17,,,,,2.17,,,,,0
2004-09-20,,,,,2.17,,,,,0
2004-09-21,,,,,2.17,,,,,0
2004-09-22,,,,,2.17,,,,,0
2004-09-23,,,,,2.17,,,,,0
2004-09-24,,,,,2.17,,,,,0
2004-09-27,,,,,2.17,,,,,0
2004-09-28,,,,,2.17,,,,,0
2004-09-29,,,,,2.17,,,,,0
2004-09-30,,,,,2.17,,,,,0
2004-10-01,,,,,2.17,,,,,0
2004-10-04,,,,,2.17,,,,,0
2004-10-05,,,,,2.17,,,,,0
2004-10-06,,,,,2.17,,,,,0
2004-10-07,,,,,2.17,,,,,0
2004-10-08,,,,,2.17,,,,,0
2004-10-11,,,,,2.17,,,,,0
2004-10-12,,,,,2.17,,,,,0
2004-10-13,,,,,2.17,,,,,0
2004-10-14,,,,,2.17,,,,,0
2004-10-15,,,,,2.17,,,,,0
2004-10-18,,,,,2.17,,,,,0
2004-10-19,,,,,2.17,,,,,0
2004-10-20,,,,,2.17,,,,,0
2004-10-21,,,,,2.17,,,,,0
2004-10-22,,,,,2.17,,,,,0
2004-10-25,,,,,2.17,,,,,0
2004-10-26,,,,,2.17,,,,,0
2004-10-27,,,,,2.17,,,,,0
2004-10-28,,,,,2.17,,,,,0
2004-10-29,,,,,2.17,,,,,0
2004-11-01,,,,,2.17,,,,,0
2004-11-02,,,,,2.17,,,,,0
2004-11-03,,,,,2.17,,,,,0
2004-11-04,,,,,2.17,,,,,0
2004-11-05,,,,,2.17,,,,,0
2004-11-08,,,,,2.17,,,,,0
2004-11-09,,,,,2.17,,,,,0
2004-11-10,,,,,2.17,,,,,0
2004-11-11,,,,,2.17,,,,,0
2004-11-12,,,,,2.17,,,,,0
2004-11-15,,,,,2.17,,,,,0
2004-11-16,,,,,2.17,,,,,0
2004-11-17,,,,,2.17,,,,,0
2004-11-18,,,,,2.17,,,,,0
2004-11-19,,,,,2.17,,,,,0
2004-11-22,,,,,2.17,,,,,0
2004-11-23,,,,,2.17,,,,,0
2004-11-24,,,,,2.17,,,,,0
2004-11-25,,,,,2.17,,,,,0
2004-11-26,,,,,2.17,,,,,0
2004-11-29,,,,,2.17,,,,,0
2004-11-30,,,,,2.17,,,,,0
2004-12-01,,,,,7.48,,,,,0
2004-12-02,,,,,7.48,,,,,0
2004-12-03,,,,,7.48,,,,,0
2004-12-06,,,,,7.48,,,,,0
2004-12-07,,,,,7.48,,,,,0
2004-12-08,,,,,7.48,,,,,0
2004-12-09,,,,,7.48,,,,,0
2004-12-10,,,,,7.48,,,,,0
2004-12-13,,,,,7.48,,,,,0
2004-12-14,,,,,7.48,,,,,0
2004-12-15,,,,,7.48,,,,,0
2004-12-16,,,,,7.48,,,,,0
2004-12-17,,,,,7.48,,,,,0
2004-12-20,,,,,7.48,,,,,0
2004-12-21,,,,,7.48,,,,,0
2004-12-22,,,,,7.48,,,,,0
2004-12-23,,,,,7.48,,,,,0
2004-12-24,,,,,7.48,,,,,0
2004-12-27,,,,,7.48,,,,,0
2004-12-28,,,,,7.48,,,,,0
2004-12-29,,,,,7.48,,,,,0
2004-12-30,,,,,7.48,,,,,0
2004-12-31,,,,,7.48,,,,,0
2005-01-03,357.05,357.05,357.05,357.05,7.48,47.73395721925134,,,,0
2005-01-04,364.4,364.4,364.4,364.4,7.48,48.71657754010695,,,,0
2005-01-05,355.0,355.0,355.0,355.0,7.48,47.459893048128336,,,,0
2005-01-06,357.0,357.0,357.0,357.0,7.48,47.72727272727273,,,,0
2005-01-07,352.75,352.75,352.75,352.75,7.48,47.15909090909091,,,,0
2005-01-10,361.4,361.4,361.4,361.4,7.48,48.31550802139037,,,,0
2005-01-11,362.65,362.65,362.65,362.65,7.48,48.48262032085561,,,,0
2005-01-12,349.95,349.95,349.95,349.95,7.48,46.78475935828877,,,,0
2005-01-13,345.3,345.3,345.3,345.3,7.48,46.16310160427808,,,,0
2005-01-14,346.15,346.15,346.15,346.15,7.48,46.27673796791444,,,,0
2005-01-17,385.1,385.1,385.1,385.1,7.48,51.48395721925134,,,,0
2005-01-18,380.45,380.45,380.45,380.45,7.48,50.86229946524064,,,,0
2005-01-19,383.0,383.0,383.0,383.0,7.48,51.20320855614973,,,,0
2005-01-20,379.15,379.15,379.15,379.15,7.48,50.68850267379678,,,,0
2005-01-21,379.15,379.15,379.15,379.15,7.48,50.68850267379678,,,,0
2005-01-24,380.55,380.55,380.55,380.55,7.48,50.87566844919786,,,,0
2005-01-25,383.45,383.45,383.45,383.45,7.48,51.263368983957214,,,,0
2005-01-26,383.45,383.45,383.45,383.45,7.48,51.263368983957214,,,,0
2005-01-27,385.5,385.5,385.5,385.5,7.48,51.53743315508021,,,,0
2005-01-28,397.05,397.05,397.05,397.05,7.48,53.08155080213904,,,,0
2005-01-31,411.5,411.5,411.5,411.5,7.48,55.013368983957214,,,,0
2005-02-01,405.0,405.0,405.0,405.0,7.48,54.144385026737964,,,,0
2005-02-02,402.8,402.8,402.8,402.8,7.48,53.850267379679146,,,,0
2005-02-03,399.75,399.75,399.75,399.75,7.48,53.44251336898395,,,,0
2005-02-04,399.55,399.55,399.55,399.55,7.48,53.41577540106952,,,,0
2005-02-07,402.1,402.1,402.1,402.1,7.48,53.75668449197861,,,,0
2005-02-08,401.15,401.15,401.15,401.15,7.48,53.62967914438502,,,,0
2005-02-09,400.6,400.6,400.6,400.6,7.48,53.55614973262032,,,,0
2005-02-10,395.2,395.2,395.2,395.2,7.48,52.83422459893048,,,,0
2005-02-11,394.0,394.0,394.0,394.0,7.48,52.67379679144385,,,,0
2005-02-14,397.0,397.0,397.0,397.0,7.48,53.07486631016042,,,,0
