Date,Open,High,Low,Close,EPS,PE,Median_PE_90,Median_PE_180,Median_PE_365,Valid_Period
2004-09-01,,,,,6.95,,,,,0
2004-09-02,,,,,6.95,,,,,0
2004-09-03,,,,,6.95,,,,,0
2004-09-06,,,,,6.95,,,,,0
2004-09-07,,,,,6.95,,,,,0
2004-09-08,,,,,6.95,,,,,0
2004-09-09,,,,,6.95,,,,,0
2004-09-10,,,,,6.95,,,,,0
2004-09-13,,,,,6.95,,,,,0
2004-09-14,,,,,6.95,,,,,0
2004-09-15,,,,,6.95,,,,,0
2004-09-16,,,,,6.95,,,,,0
2004-09-17,,,,,6.95,,,,,0
2004-09-20,,,,,6.95,,,,,0
2004-09-21,,,,,6.95,,,,,0
2004-09-22,,,,,6.95,,,,,0
2004-09-23,,,,,6.95,,,,,0
2004-09-24,,,,,6.95,,,,,0
2004-09-27,,,,,6.95,,,,,0
2004-09-28,,,,,6.95,,,,,0
2004-09-29,,,,,6.95,,,,,0
2004-09-30,,,,,6.95,,,,,0
2004-10-01,,,,,6.95,,,,,0
2004-10-04,,,,,6.95,,,,,0
2004-10-05,,,,,6.95,,,,,0
2004-10-06,,,,,6.95,,,,,0
2004-10-07,,,,,6.95,,,,,0
2004-10-08,,,,,6.95,,,,,0
2004-10-11,,,,,6.95,,,,,0
2004-10-12,,,,,6.95,,,,,0
2004-10-13,,,,,6.95,,,,,0
2004-10-14,,,,,6.95,,,,,0
2004-10-15,,,,,6.95,,,,,0
2004-10-18,,,,,6.95,,,,,0
2004-10-19,,,,,6.95,,,,,0
2004-10-20,,,,,6.95,,,,,0
2004-10-21,,,,,6.95,,,,,0
2004-10-22,,,,,6.95,,,,,0
2004-10-25,,,,,6.95,,,,,0
2004-10-26,,,,,6.95,,,,,0
2004-10-27,,,,,6.95,,,,,0
2004-10-28,,,,,6.95,,,,,0
2004-10-29,,,,,6.95,,,,,0
2004-11-01,,,,,6.95,,,,,0
2004-11-02,,,,,6.95,,,,,0
2004-11-03,,,,,6.95,,,,,0
2004-11-04,,,,,6.95,,,,,0
2004-11-05,,,,,6.95,,,,,0
2004-11-08,,,,,6.95,,,,,0
2004-11-09,,,,,6.95,,,,,0
2004-11-10,,,,,6.95,,,,,0
2004-11-11,,,,,6.95,,,,,0
2004-11-12,,,,,6.95,,,,,0
2004-11-15,,,,,6.95,,,,,0
2004-11-16,,,,,6.95,,,,,0
2004-11-17,,,,,6.95,,,,,0
2004-11-18,,,,,6.95,,,,,0
2004-11-19,,,,,6.95,,,,,0
2004-11-22,,,,,6.95,,,,,0
2004-11-23,,,,,6.95,,,,,0
2004-11-24,,,,,6.95,,,,,0
2004-11-25,,,,,6.95,,,,,0
2004-11-26,,,,,6.95,,,,,0
2004-11-29,,,,,6.95,,,,,0
2004-11-30,,,,,6.95,,,,,0
2004-12-01,,,,,5.73,,,,,0
2004-12-02,,,,,5.73,,,,,0
2004-12-03,,,,,5.73,,,,,0
2004-12-06,,,,,5.73,,,,,0
2004-12-07,,,,,5.73,,,,,0
2004-12-08,,,,,5.73,,,,,0
2004-12-09,,,,,5.73,,,,,0
2004-12-10,,,,,5.73,,,,,0
2004-12-13,,,,,5.73,,,,,0
2004-12-14,,,,,5.73,,,,,0
2004-12-15,,,,,5.73,,,,,0
2004-12-16,,,,,5.73,,,,,0
2004-12-17,,,,,5.73,,,,,0
2004-12-20,,,,,5.73,,,,,0
2004-12-21,,,,,5.73,,,,,0
2004-12-22,,,,,5.73,,,,,0
2004-12-23,,,,,5.73,,,,,0
2004-12-24,,,,,5.73,,,,,0
2004-12-27,,,,,5.73,,,,,0
2004-12-28,,,,,5.73,,,,,0
2004-12-29,,,,,5.73,,,,,0
2004-12-30,,,,,5.73,,,,,0
2004-12-31,,,,,5.73,,,,,0
2005-01-03,79.6125,79.6125,79.6125,79.6125,5.73,13.893979057591622,,,,0
2005-01-04,79.7125,79.7125,79.7125,79.7125,5.73,13.911431064572426,,,,0
2005-01-05,77.5875,77.5875,77.5875,77.5875,5.73,13.540575916230368,,,,0
2005-01-06,75.3875,75.3875,75.3875,75.3875,5.73,13.156631762652705,,,,0
2005-01-07,76.1125,76.1125,76.1125,76.1125,5.73,13.283158813263524,,,,0
2005-01-10,75.3125,75.3125,75.3125,75.3125,5.73,13.143542757417102,,,,0
2005-01-11,75.1875,75.1875,75.1875,75.1875,5.73,13.121727748691098,,,,0
2005-01-12,72.95,72.95,72.95,72.95,5.73,12.731239092495636,,,,0
2005-01-13,74.9,74.9,74.9,74.9,5.73,13.071553228621292,,,,0
2005-01-14,76.2125,76.2125,76.2125,76.2125,5.73,13.300610820244328,,,,0
2005-01-17,74.1375,74.1375,74.1375,74.1375,5.73,12.93848167539267,,,,0
2005-01-18,74.0,74.0,74.0,74.0,5.73,12.914485165794066,,,,0
2005-01-19,75.3375,75.3375,75.3375,75.3375,5.73,13.147905759162304,,,,0
2005-01-20,69.1,69.1,69.1,69.1,5.73,12.059336823734728,,,,0
2005-01-21,69.1,69.1,69.1,69.1,5.73,12.059336823734728,,,,0
2005-01-24,70.7,70.7,70.7,70.7,5.73,12.338568935427574,,,,0
