Date,Open,High,Low,Close,EPS,PE,Median_PE_90,Median_PE_180,Median_PE_365,Valid_Period
2004-09-01,,,,,3.07,,,,,0
2004-09-02,,,,,3.07,,,,,0
2004-09-03,,,,,3.07,,,,,0
2004-09-06,,,,,3.07,,,,,0
2004-09-07,,,,,3.07,,,,,0
2004-09-08,,,,,3.07,,,,,0
2004-09-09,,,,,3.07,,,,,0
2004-09-10,,,,,3.07,,,,,0
2004-09-13,,,,,3.07,,,,,0
2004-09-14,,,,,3.07,,,,,0
2004-09-15,,,,,3.07,,,,,0
2004-09-16,,,,,3.07,,,,,0
2004-09-17,,,,,3.07,,,,,0
2004-09-20,,,,,3.07,,,,,0
2004-09-21,,,,,3.07,,,,,0
2004-09-22,,,,,3.07,,,,,0
2004-09-23,,,,,3.07,,,,,0
2004-09-24,,,,,3.07,,,,,0
2004-09-27,,,,,3.07,,,,,0
2004-09-28,,,,,3.07,,,,,0
2004-09-29,,,,,3.07,,,,,0
2004-09-30,,,,,3.07,,,,,0
2004-10-01,,,,,3.07,,,,,0
2004-10-04,,,,,3.07,,,,,0
2004-10-05,,,,,3.07,,,,,0
2004-10-06,,,,,3.07,,,,,0
2004-10-07,,,,,3.07,,,,,0
2004-10-08,,,,,3.07,,,,,0
2004-10-11,,,,,3.07,,,,,0
2004-10-12,,,,,3.07,,,,,0
2004-10-13,,,,,3.07,,,,,0
2004-10-14,,,,,3.07,,,,,0
2004-10-15,,,,,3.07,,,,,0
2004-10-18,,,,,3.07,,,,,0
2004-10-19,,,,,3.07,,,,,0
2004-10-20,,,,,3.07,,,,,0
2004-10-21,,,,,3.07,,,,,0
2004-10-22,,,,,3.07,,,,,0
2004-10-25,,,,,3.07,,,,,0
2004-10-26,,,,,3.07,,,,,0
2004-10-27,,,,,3.07,,,,,0
2004-10-28,,,,,3.07,,,,,0
2004-10-29,,,,,3.07,,,,,0
2004-11-01,,,,,3.07,,,,,0
2004-11-02,,,,,3.07,,,,,0
2004-11-03,,,,,3.07,,,,,0
2004-11-04,,,,,3.07,,,,,0
2004-11-05,,,,,3.07,,,,,0
2004-11-08,,,,,3.07,,,,,0
2004-11-09,,,,,3.07,,,,,0
2004-11-10,,,,,3.07,,,,,0
2004-11-11,,,,,3.07,,,,,0
2004-11-12,,,,,3.07,,,,,0
2004-11-15,,,,,3.07,,,,,0
2004-11-16,,,,,3.07,,,,,0
2004-11-17,,,,,3.07,,,,,0
2004-11-18,,,,,3.07,,,,,0
2004-11-19,,,,,3.07,,,,,0
2004-11-22,,,,,3.07,,,,,0
2004-11-23,,,,,3.07,,,,,0
2004-11-24,,,,,3.07,,,,,0
2004-11-25,,,,,3.07,,,,,0
2004-11-26,,,,,3.07,,,,,0
2004-11-29,,,,,3.07,,,,,0
2004-11-30,,,,,3.07,,,,,0
2004-12-01,,,,,3.2,,,,,0
2004-12-02,,,,,3.2,,,,,0
2004-12-03,,,,,3.2,,,,,0
2004-12-06,,,,,3.2,,,,,0
2004-12-07,,,,,3.2,,,,,0
2004-12-08,,,,,3.2,,,,,0
2004-12-09,,,,,3.2,,,,,0
2004-12-10,,,,,3.2,,,,,0
2004-12-13,,,,,3.2,,,,,0
2004-12-14,,,,,3.2,,,,,0
2004-12-15,,,,,3.2,,,,,0
2004-12-16,,,,,3.2,,,,,0
2004-12-17,,,,,3.2,,,,,0
2004-12-20,,,,,3.2,,,,,0
2004-12-21,,,,,3.2,,,,,0
2004-12-22,,,,,3.2,,,,,0
2004-12-23,,,,,3.2,,,,,0
2004-12-24,,,,,3.2,,,,,0
2004-12-27,,,,,3.2,,,,,0
2004-12-28,,,,,3.2,,,,,0
2004-12-29,,,,,3.2,,,,,0
2004-12-30,,,,,3.2,,,,,0
2004-12-31,,,,,3.2,,,,,0
2005-01-03,11.375,11.375,11.375,11.375,3.2,3.5546875,,,,0
2005-01-04,11.305,11.305,11.305,11.305,3.2,3.5328125,,,,0
2005-01-05,10.755,10.755,10.755,10.755,3.2,3.3609375,,,,0
2005-01-06,10.55,10.55,10.55,10.55,3.2,3.296875,,,,0
2005-01-07,10.815,10.815,10.815,10.815,3.2,3.3796875,,,,0
2005-01-10,10.885,10.885,10.885,10.885,3.2,3.4015625,,,,0
2005-01-11,10.725,10.725,10.725,10.725,3.2,3.3515625,,,,0
2005-01-12,10.43,10.43,10.43,10.43,3.2,3.259375,,,,0
2005-01-13,10.66,10.66,10.66,10.66,3.2,3.33125,,,,0
2005-01-14,10.725,10.725,10.725,10.725,3.2,3.3515625,,,,0
2005-01-17,10.58,10.58,10.58,10.58,3.2,3.30625,,,,0
2005-01-18,10.575,10.575,10.575,10.575,3.2,3.3046875,,,,0
2005-01-19,10.41,10.41,10.41,10.41,3.2,3.253125,,,,0
2005-01-20,10.14,10.14,10.14,10.14,3.2,3.16875,,,,0
2005-01-21,10.14,10.14,10.14,10.14,3.2,3.16875,,,,0
2005-01-24,10.105,10.105,10.105,10.105,3.2,3.1578125,,,,0
2005-01-25,10.215,10.215,10.215,10.215,3.2,3.1921875,,,,0
2005-01-26,10.215,10.215,10.215,10.215,3.2,3.1921875,,,,0
2005-01-27,10.13,10.13,10.13,10.13,3.2,3.165625,,,,0
2005-01-28,10.585,10.585,10.585,10.585,3.2,3.3078125000000003,,,,0
2005-01-31,10.825,10.825,10.825,10.825,3.2,3.3828125,,,,0
2005-02-01,10.61,10.61,10.61,10.61,3.2,3.315625,,,,0
2005-02-02,10.595,10.595,10.595,10.595,3.2,3.3109375,,,,0
2005-02-03,11.0,11.0,11.0,11.0,3.2,3.4375,,,,0
2005-02-04,10.915,10.915,10.915,10.915,3.2,3.4109375,,,,0
2005-02-07,11.04,11.04,11.04,11.04,3.2,3.45,,,,0
2005-02-08,11.17,11.17,11.17,11.17,3.2,3.490625,,,,0
2005-02-09,11.025,11.025,11.025,11.025,3.2,3.4453125,,,,0
2005-02-10,11.01,11.01,11.01,11.01,3.2,3.440625,,,,0
2005-02-11,10.76,10.76,10.76,10.76,3.2,3.3625,,,,0
2005-02-14,11.495,11.495,11.495,11.495,3.2,3.5921875,,,,1
2005-02-15,11.58,11.58,11.58,11.58,3.2,3.61875,,,,1
2005-02-16,11.995,11.995,11.995,11.995,3.2,3.7484375,,,,1
2005-02-17,11.935,11.935,11.935,11.935,3.2,3.7296875,,,,1
2005-02-18,12.33,12.33,12.33,12.33,3.2,3.853125,,,,1
2005-02-21,12.495,12.495,12.495,12.495,3.2,3.9046875,,,,1
2005-02-22,13.005,13.005,13.005,13.005,3.2,4.0640625,,,,1
2005-02-23,13.03,13.03,13.03,13.03,3.2,4.071875,,,,1
2005-02-24,13.33,13.33,13.33,13.33,3.2,4.165625,,,,1
2005-02-25,12.97,12.97,12.97,12.97,3.2,4.053125,,,,1
2005-02-28,12.52,12.52,12.52,12.52,3.2,3.9125,,,,1
2005-03-01,12.495,12.495,12.495,12.495,3.6,3.470833333333333,,,,1
2005-03-02,13.79,13.79,13.79,13.79,3.6,3.8305555555555553,,,,1
2005-03-03,13.52,13.52,13.52,13.52,3.6,3.755555555555556,,,,1
2005-03-04,13.805,13.805,13.805,13.805,3.6,3.834722222222222,,,,1
2005-03-07,13.355,13.355,13.355,13.355,3.6,3.709722222222222,,,,1
2005-03-08,13.13,13.13,13.13,13.13,3.6,3.647222222222222,,,,1
2005-03-09,12.785,12.785,12.785,12.785,3.6,3.551388888888889,,,,1
2005-03-10,13.27,13.27,13.27,13.27,3.6,3.686111111111111,,,,1
2005-03-11,13.895,13.895,13.895,13.895,3.6,3.859722222222222,,,,1
2005-03-14,14.415,14.415,14.415,14.415,3.6,4.004166666666666,,,,1
2005-03-15,14.08,14.08,14.08,14.08,3.6,3.911111111111111,,,,1
2005-03-16,14.01,14.01,14.01,14.01,3.6,3.8916666666666666,,,,1
2005-03-17,13.6,13.6,13.6,13.6,3.6,3.7777777777777777,,,,1
2005-03-18,13.435,13.435,13.435,13.435,3.6,3.731944444444444,,,,1
2005-03-21,13.37,13.37,13.37,13.37,3.6,3.713888888888889,,,,1
2005-03-22,12.89,12.89,12.89,12.89,3.6,3.580555555555556,,,,1
2005-03-23,12.61,12.61,12.61,12.61,3.6,3.5027777777777773,,,,1
2005-03-24,12.28,12.28,12.28,12.28,3.6,3.411111111111111,,,,1
2005-03-25,12.28,12.28,12.28,12.28,3.6,3.411111111111111,,,,1
2005-03-28,12.76,12.76,12.76,12.76,3.6,3.5444444444444443,,,,1
2005-03-29,11.69,11.69,11.69,11.69,3.6,3.247222222222222,,,,1
2005-03-30,11.9,11.9,11.9,11.9,3.6,3.305555555555556,,,,1
2005-03-31,12.9,12.9,12.9,12.9,3.6,3.583333333333333,,,,1
2005-04-01,13.15,13.15,13.15,13.15,3.6,3.6527777777777777,,,,1
2005-04-04,13.67,13.67,13.67,13.67,3.6,3.797222222222222,,,,1
2005-04-05,13.15,13.15,13.15,13.15,3.6,3.6527777777777777,,,,1
2005-04-06,13.82,13.82,13.82,13.82,3.6,3.838888888888889,,,,1
2005-04-07,13.91,13.91,13.91,13.91,3.6,3.863888888888889,,,,1
2005-04-08,13.385,13.385,13.385,13.385,3.6,3.718055555555555,,,,1
2005-04-11,13.295,13.295,13.295,13.295,3.6,3.693055555555556,,,,1
2005-04-12,13.35,13.35,13.35,13.35,3.6,3.708333333333333,,,,1
2005-04-13,13.615,13.615,13.615,13.615,3.6,3.781944444444445,,,,1
2005-04-14,13.615,13.615,13.615,13.615,3.6,3.781944444444445,,,,1
2005-04-15,13.715,13.715,13.715,13.715,3.6,3.8097222222222222,,,,1
2005-04-18,13.28,13.28,13.28,13.28,3.6,3.6888888888888887,,,,1
2005-04-19,13.1,13.1,13.1,13.1,3.6,3.638888888888889,,,,1
2005-04-20,13.32,13.32,13.32,13.32,3.6,3.7,,,,1
2005-04-21,13.155,13.155,13.155,13.155,3.6,3.6541666666666655,,,,1
2005-04-22,13.375,13.375,13.375,13.375,3.6,3.7152777777777777,,,,1
2005-04-25,13.825,13.825,13.825,13.825,3.6,3.8402777777777777,,,,1
2005-04-26,13.85,13.85,13.85,13.85,3.6,3.847222222222222,,,,1
2005-04-27,13.795,13.795,13.795,13.795,3.6,3.831944444444445,,,,1
2005-04-28,13.925,13.925,13.925,13.925,3.6,3.868055555555556,,,,1
2005-04-29,13.66,13.66,13.66,13.66,3.6,3.794444444444444,,,,1
2005-05-02,13.445,13.445,13.445,13.445,3.6,3.734722222222222,,,,1
2005-05-03,13.555,13.555,13.555,13.555,3.6,3.7652777777777775,,,,1
2005-05-04,13.92,13.92,13.92,13.92,3.6,3.866666666666666,,,,1
2005-05-05,13.885,13.885,13.885,13.885,3.6,3.856944444444444,,,,1
2005-05-06,13.655,13.655,13.655,13.655,3.6,3.793055555555555,3.6527777777777777,,,1
2005-05-09,13.645,13.645,13.645,13.645,3.6,3.7902777777777774,3.653472222222222,,,1
2005-05-10,13.96,13.96,13.96,13.96,3.6,3.8777777777777778,3.670138888888888,,,1
2005-05-11,13.69,13.69,13.69,13.69,3.6,3.8027777777777776,3.6875,,,1
2005-05-12,13.95,13.95,13.95,13.95,3.6,3.875,3.6909722222222223,,,1
2005-05-13,16.74,16.74,16.74,16.74,3.6,4.65,3.696527777777778,,,1
2005-05-16,16.37,16.37,16.37,16.37,3.6,4.547222222222223,3.7041666666666666,,,1
2005-05-17,15.51,15.51,15.51,15.51,3.6,4.308333333333334,3.7090277777777776,,,1
2005-05-18,15.775,15.775,15.775,15.775,3.6,4.381944444444445,3.7118055555555554,,,1
2005-05-19,15.755,15.755,15.755,15.755,3.6,4.376388888888889,3.7145833333333336,,,1
2005-05-20,15.575,15.575,15.575,15.575,3.6,4.326388888888888,3.7166666666666655,,,1
2005-05-23,16.065,16.065,16.065,16.065,3.6,4.4625,3.7238715277777774,,,1
2005-05-24,16.125,16.125,16.125,16.125,3.6,4.479166666666667,3.7308159722222216,,,1
