Date,Open,High,Low,Close,EPS,PE,Median_PE_90,Median_PE_180,Median_PE_365,Valid_Period
2004-09-01,,,,,5.39,,,,,0
2004-09-02,,,,,5.39,,,,,0
2004-09-03,,,,,5.39,,,,,0
2004-09-06,,,,,5.39,,,,,0
2004-09-07,,,,,5.39,,,,,0
2004-09-08,,,,,5.39,,,,,0
2004-09-09,,,,,5.39,,,,,0
2004-09-10,,,,,5.39,,,,,0
2004-09-13,,,,,5.39,,,,,0
2004-09-14,,,,,5.39,,,,,0
2004-09-15,,,,,5.39,,,,,0
2004-09-16,,,,,5.39,,,,,0
2004-09-17,,,,,5.39,,,,,0
2004-09-20,,,,,5.39,,,,,0
2004-09-21,,,,,5.39,,,,,0
2004-09-22,,,,,5.39,,,,,0
2004-09-23,,,,,5.39,,,,,0
2004-09-24,,,,,5.39,,,,,0
2004-09-27,,,,,5.39,,,,,0
2004-09-28,,,,,5.39,,,,,0
2004-09-29,,,,,5.39,,,,,0
2004-09-30,,,,,5.39,,,,,0
2004-10-01,,,,,5.39,,,,,0
2004-10-04,,,,,5.39,,,,,0
2004-10-05,,,,,5.39,,,,,0
2004-10-06,,,,,5.39,,,,,0
2004-10-07,,,,,5.39,,,,,0
2004-10-08,,,,,5.39,,,,,0
2004-10-11,,,,,5.39,,,,,0
2004-10-12,,,,,5.39,,,,,0
2004-10-13,,,,,5.39,,,,,0
2004-10-14,,,,,5.39,,,,,0
2004-10-15,,,,,5.39,,,,,0
2004-10-18,,,,,5.39,,,,,0
2004-10-19,,,,,5.39,,,,,0
2004-10-20,,,,,5.39,,,,,0
2004-10-21,,,,,5.39,,,,,0
2004-10-22,,,,,5.39,,,,,0
2004-10-25,,,,,5.39,,,,,0
2004-10-26,,,,,5.39,,,,,0
2004-10-27,,,,,5.39,,,,,0
2004-10-28,,,,,5.39,,,,,0
2004-10-29,,,,,5.39,,,,,0
2004-11-01,,,,,5.39,,,,,0
2004-11-02,,,,,5.39,,,,,0
2004-11-03,,,,,5.39,,,,,0
2004-11-04,,,,,5.39,,,,,0
2004-11-05,,,,,5.39,,,,,0
2004-11-08,,,,,5.39,,,,,0
2004-11-09,,,,,5.39,,,,,0
2004-11-10,,,,,5.39,,,,,0
2004-11-11,,,,,5.39,,,,,0
2004-11-12,,,,,5.39,,,,,0
2004-11-15,,,,,5.39,,,,,0
2004-11-16,,,,,5.39,,,,,0
2004-11-17,,,,,5.39,,,,,0
2004-11-18,,,,,5.39,,,,,0
2004-11-19,,,,,5.39,,,,,0
2004-11-22,,,,,5.39,,,,,0
2004-11-23,,,,,5.39,,,,,0
2004-11-24,,,,,5.39,,,,,0
2004-11-25,,,,,5.39,,,,,0
2004-11-26,,,,,5.39,,,,,0
2004-11-29,,,,,5.39,,,,,0
2004-11-30,,,,,5.39,,,,,0
2004-12-01,,,,,1.85,,,,,0
2004-12-02,,,,,1.85,,,,,0
2004-12-03,,,,,1.85,,,,,0
2004-12-06,,,,,1.85,,,,,0
2004-12-07,,,,,1.85,,,,,0
2004-12-08,,,,,1.85,,,,,0
2004-12-09,,,,,1.85,,,,,0
2004-12-10,,,,,1.85,,,,,0
2004-12-13,,,,,1.85,,,,,0
2004-12-14,,,,,1.85,,,,,0
2004-12-15,,,,,1.85,,,,,0
2004-12-16,,,,,1.85,,,,,0
2004-12-17,,,,,1.85,,,,,0
2004-12-20,,,,,1.85,,,,,0
2004-12-21,,,,,1.85,,,,,0
2004-12-22,,,,,1.85,,,,,0
2004-12-23,,,,,1.85,,,,,0
2004-12-24,,,,,1.85,,,,,0
2004-12-27,,,,,1.85,,,,,0
2004-12-28,,,,,1.85,,,,,0
2004-12-29,,,,,1.85,,,,,0
2004-12-30,,,,,1.85,,,,,0
2004-12-31,,,,,1.85,,,,,0
2005-01-03,237.2,237.2,237.2,237.2,1.85,128.2162162162162,,,,0
2005-01-04,240.75,240.75,240.75,240.75,1.85,130.13513513513513,,,,0
2005-01-05,232.55,232.55,232.55,232.55,1.85,125.70270270270272,,,,0
2005-01-06,227.8,227.8,227.8,227.8,1.85,123.13513513513512,,,,0
2005-01-07,230.95,230.95,230.95,230.95,1.85,124.83783783783782,,,,0
2005-01-10,228.2,228.2,228.2,228.2,1.85,123.35135135135134,,,,0
2005-01-11,230.05,230.05,230.05,230.05,1.85,124.35135135135135,,,,0
2005-01-12,221.25,221.25,221.25,221.25,1.85,119.59459459459458,,,,0
2005-01-13,220.55,220.55,220.55,220.55,1.85,119.2162162162162,,,,0
2005-01-14,219.95,219.95,219.95,219.95,1.85,118.89189189189187,,,,0
2005-01-17,217.3,217.3,217.3,217.3,1.85,117.45945945945948,,,,0
2005-01-18,214.15,214.15,214.15,214.15,1.85,115.75675675675676,,,,0
2005-01-19,214.9,214.9,214.9,214.9,1.85,116.16216216216216,,,,0
2005-01-20,213.0,213.0,213.0,213.0,1.85,115.13513513513512,,,,0
2005-01-21,213.0,213.0,213.0,213.0,1.85,115.13513513513512,,,,0
2005-01-24,212.1,212.1,212.1,212.1,1.85,114.64864864864865,,,,0
