Date,Open,High,Low,Close,EPS,PE,Median_PE_90,Median_PE_180,Median_PE_365,Valid_Period
2004-09-01,,,,,2.93,,,,,0
2004-09-02,,,,,2.93,,,,,0
2004-09-03,,,,,2.93,,,,,0
2004-09-06,,,,,2.93,,,,,0
2004-09-07,,,,,2.93,,,,,0
2004-09-08,,,,,2.93,,,,,0
2004-09-09,,,,,2.93,,,,,0
2004-09-10,,,,,2.93,,,,,0
2004-09-13,,,,,2.93,,,,,0
2004-09-14,,,,,2.93,,,,,0
2004-09-15,,,,,2.93,,,,,0
2004-09-16,,,,,2.93,,,,,0
2004-09-17,,,,,2.93,,,,,0
2004-09-20,,,,,2.93,,,,,0
2004-09-21,,,,,2.93,,,,,0
2004-09-22,,,,,2.93,,,,,0
2004-09-23,,,,,2.93,,,,,0
2004-09-24,,,,,2.93,,,,,0
2004-09-27,,,,,2.93,,,,,0
2004-09-28,,,,,2.93,,,,,0
2004-09-29,,,,,2.93,,,,,0
2004-09-30,,,,,2.93,,,,,0
2004-10-01,,,,,2.93,,,,,0
2004-10-04,,,,,2.93,,,,,0
2004-10-05,,,,,2.93,,,,,0
2004-10-06,,,,,2.93,,,,,0
2004-10-07,,,,,2.93,,,,,0
2004-10-08,,,,,2.93,,,,,0
2004-10-11,,,,,2.93,,,,,0
2004-10-12,,,,,2.93,,,,,0
2004-10-13,,,,,2.93,,,,,0
2004-10-14,,,,,2.93,,,,,0
2004-10-15,,,,,2.93,,,,,0
2004-10-18,,,,,2.93,,,,,0
2004-10-19,,,,,2.93,,,,,0
2004-10-20,,,,,2.93,,,,,0
2004-10-21,,,,,2.93,,,,,0
2004-10-22,,,,,2.93,,,,,0
2004-10-25,,,,,2.93,,,,,0
2004-10-26,,,,,2.93,,,,,0
2004-10-27,,,,,2.93,,,,,0
2004-10-28,,,,,2.93,,,,,0
2004-10-29,,,,,2.93,,,,,0
2004-11-01,,,,,2.93,,,,,0
2004-11-02,,,,,2.93,,,,,0
2004-11-03,,,,,2.93,,,,,0
2004-11-04,,,,,2.93,,,,,0
2004-11-05,,,,,2.93,,,,,0
2004-11-08,,,,,2.93,,,,,0
2004-11-09,,,,,2.93,,,,,0
2004-11-10,,,,,2.93,,,,,0
2004-11-11,,,,,2.93,,,,,0
2004-11-12,,,,,2.93,,,,,0
2004-11-15,,,,,2.93,,,,,0
2004-11-16,,,,,2.93,,,,,0
2004-11-17,,,,,2.93,,,,,0
2004-11-18,,,,,2.93,,,,,0
2004-11-19,,,,,2.93,,,,,0
2004-11-22,,,,,2.93,,,,,0
2004-11-23,,,,,2.93,,,,,0
2004-11-24,,,,,2.93,,,,,0
2004-11-25,,,,,2.93,,,,,0
2004-11-26,,,,,2.93,,,,,0
2004-11-29,,,,,2.93,,,,,0
2004-11-30,,,,,2.93,,,,,0
2004-12-01,,,,,2.55,,,,,0
2004-12-02,,,,,2.55,,,,,0
2004-12-03,,,,,2.55,,,,,0
2004-12-06,,,,,2.55,,,,,0
2004-12-07,,,,,2.55,,,,,0
2004-12-08,,,,,2.55,,,,,0
2004-12-09,,,,,2.55,,,,,0
2004-12-10,,,,,2.55,,,,,0
2004-12-13,,,,,2.55,,,,,0
2004-12-14,,,,,2.55,,,,,0
2004-12-15,,,,,2.55,,,,,0
2004-12-16,,,,,2.55,,,,,0
2004-12-17,,,,,2.55,,,,,0
2004-12-20,,,,,2.55,,,,,0
2004-12-21,,,,,2.55,,,,,0
2004-12-22,,,,,2.55,,,,,0
2004-12-23,,,,,2.55,,,,,0
2004-12-24,,,,,2.55,,,,,0
2004-12-27,,,,,2.55,,,,,0
2004-12-28,,,,,2.55,,,,,0
2004-12-29,,,,,2.55,,,,,0
2004-12-30,,,,,2.55,,,,,0
2004-12-31,,,,,2.55,,,,,0
2005-01-03,15.530417,15.530417,15.530417,15.530417,2.55,6.090359607843138,,,,0
2005-01-04,16.053293,16.053293,16.053293,16.053293,2.55,6.295409019607844,,,,0
2005-01-05,15.253896,15.253896,15.253896,15.253896,2.55,5.98192,,,,0
2005-01-06,14.786325,14.786325,14.786325,14.786325,2.55,5.798558823529412,,,,0
2005-01-07,15.218703,15.218703,15.218703,15.218703,2.55,5.968118823529412,,,,0
2005-01-10,15.05279,15.05279,15.05279,15.05279,2.55,5.903054901960784,,,,0
2005-01-11,14.675716,14.675716,14.675716,14.675716,2.55,5.75518274509804,,,,0
2005-01-12,14.635495,14.635495,14.635495,14.635495,2.55,5.7394098039215695,,,,0
2005-01-13,14.786325,14.786325,14.786325,14.786325,2.55,5.798558823529412,,,,0
2005-01-14,14.720965,14.720965,14.720965,14.720965,2.55,5.772927450980393,,,,0
2005-01-17,14.610357,14.610357,14.610357,14.610357,2.55,5.729551764705883,,,,0
2005-01-18,15.218703,15.218703,15.218703,15.218703,2.55,5.968118823529412,,,,0
2005-01-19,14.96732,14.96732,14.96732,14.96732,2.55,5.869537254901961,,,,0
2005-01-20,14.298643,14.298643,14.298643,14.298643,2.55,5.607310980392158,,,,0
2005-01-21,14.298643,14.298643,14.298643,14.298643,2.55,5.607310980392158,,,,0
2005-01-24,14.781297,14.781297,14.781297,14.781297,2.55,5.79658705882353,,,,0
2005-01-25,14.79638,14.79638,14.79638,14.79638,2.55,5.802501960784314,,,,0
2005-01-26,14.79638,14.79638,14.79638,14.79638,2.55,5.802501960784314,,,,0
2005-01-27,14.690799,14.690799,14.690799,14.690799,2.55,5.761097647058824,,,,0
2005-01-28,14.62544,14.62544,14.62544,14.62544,2.55,5.7354666666666665,,,,0
2005-01-31,15.042735,15.042735,15.042735,15.042735,2.55,5.899111764705883,,,,0
2005-02-01,14.635495,14.635495,14.635495,14.635495,2.55,5.7394098039215695,,,,0
2005-02-02,14.429361,14.429361,14.429361,14.429361,2.55,5.658572941176471,,,,0
2005-02-03,14.353947,14.353947,14.353947,14.353947,2.55,5.628998823529412,,,,0
2005-02-04,14.494721,14.494721,14.494721,14.494721,2.55,5.68420431372549,,,,0
2005-02-07,14.575163,14.575163,14.575163,14.575163,2.55,5.715750196078432,,,,0
2005-02-08,14.424334,14.424334,14.424334,14.424334,2.55,5.656601568627451,,,,0
2005-02-09,15.86727,15.86727,15.86727,15.86727,2.55,6.222458823529412,,,,0
2005-02-10,16.621418,16.621418,16.621418,16.621418,2.55,6.518203137254901,,,,0
2005-02-11,17.033685,17.033685,17.033685,17.033685,2.55,6.679876470588235,,,,0
2005-02-14,17.305178,17.305178,17.305178,17.305178,2.55,6.786344313725492,,,,0
2005-02-15,16.782303,16.782303,16.782303,16.782303,2.55,6.581295294117648,,,,0
2005-02-16,17.088989,17.088989,17.088989,17.088989,2.55,6.701564313725491,,,,0
2005-02-17,16.973353,16.973353,16.973353,16.973353,2.55,6.656216862745098,,,,0
2005-02-18,17.36551,17.36551,17.36551,17.36551,2.55,6.810003921568628,,,,0
2005-02-21,17.68728,17.68728,17.68728,17.68728,2.55,6.936188235294119,,,,0
2005-02-22,17.77275,17.77275,17.77275,17.77275,2.55,6.969705882352941,,,,0
2005-02-23,17.486174,17.486174,17.486174,17.486174,2.55,6.857323137254902,,,,0
2005-02-24,17.144294,17.144294,17.144294,17.144294,2.55,6.723252549019608,,,,0
2005-02-25,16.742081,16.742081,16.742081,16.742081,2.55,6.565521960784314,,,,0
2005-02-28,17.169432,17.169432,17.169432,17.169432,2.55,6.733110588235295,,,,0
2005-03-01,16.691805,16.691805,16.691805,16.691805,4.01,4.162544887780548,,,,0
2005-03-02,16.782303,16.782303,16.782303,16.782303,4.01,4.185112967581048,,,,0
2005-03-03,17.586727,17.586727,17.586727,17.586727,4.01,4.385717456359102,,,,0
2005-03-04,16.837607,16.837607,16.837607,16.837607,4.01,4.198904488778055,,,,0
2005-03-07,16.621418,16.621418,16.621418,16.621418,4.01,4.1449920199501245,,,,0
2005-03-08,16.063348,16.063348,16.063348,16.063348,4.01,4.005822443890275,,,,0
2005-03-09,15.676219,15.676219,15.676219,15.676219,4.01,3.9092815461346633,,,,0
2005-03-10,15.741579,15.741579,15.741579,15.741579,4.01,3.925580798004988,,,,0
2005-03-11,15.892408,15.892408,15.892408,15.892408,4.01,3.9631940149625935,,,,0
2005-03-14,15.555556,15.555556,15.555556,15.555556,4.01,3.8791910224438895,,,,0
2005-03-15,15.324284,15.324284,15.324284,15.324284,4.01,3.821517206982544,,,,0
2005-03-16,15.218703,15.218703,15.218703,15.218703,4.01,3.7951877805486287,,,,0
2005-03-17,14.700855,14.700855,14.700855,14.700855,4.01,3.666048628428928,,,,0
2005-03-18,15.002514,15.002514,15.002514,15.002514,4.01,3.7412753117206985,,,,0
2005-03-21,14.544997,14.544997,14.544997,14.544997,4.01,3.627181296758105,,,,0
2005-03-22,14.88185,14.88185,14.88185,14.88185,4.01,3.711184538653367,,,,0
2005-03-23,13.660131,13.660131,13.660131,13.660131,4.01,3.406516458852868,,,,0
2005-03-24,13.931624,13.931624,13.931624,13.931624,4.01,3.474220448877805,,,,0
2005-03-25,13.931624,13.931624,13.931624,13.931624,4.01,3.474220448877805,,,,0
2005-03-28,14.278532,14.278532,14.278532,14.278532,4.01,3.5607311720698256,,,,0
2005-03-29,14.288587,14.288587,14.288587,14.288587,4.01,3.563238653366584,,,,0
2005-03-30,14.439417,14.439417,14.439417,14.439417,4.01,3.6008521197007486,,,,0
2005-03-31,14.846657,14.846657,14.846657,14.846657,4.01,3.7024082294264336,,,,0
2005-04-01,15.701357,15.701357,15.701357,15.701357,4.01,3.915550374064838,,,,0
2005-04-04,16.143791,16.143791,16.143791,16.143791,4.01,4.025883042394015,,,,0
2005-04-05,16.098542,16.098542,16.098542,16.098542,4.01,4.014599002493766,,,,0
2005-04-06,15.857215,15.857215,15.857215,15.857215,4.01,3.954417705735661,,,,0
2005-04-07,15.615887,15.615887,15.615887,15.615887,4.01,3.894236159600998,,,,0
2005-04-08,15.570639,15.570639,15.570639,15.570639,4.01,3.882952369077307,,,,0
2005-04-11,15.087984,15.087984,15.087984,15.087984,4.01,3.762589526184539,,,,0
2005-04-12,15.20362,15.20362,15.20362,15.20362,4.01,3.791426433915212,,,,0
2005-04-13,15.042735,15.042735,15.042735,15.042735,4.01,3.7513054862842896,,,,0
2005-04-14,15.042735,15.042735,15.042735,15.042735,4.01,3.7513054862842896,,,,0
2005-04-15,15.113122,15.113122,15.113122,15.113122,4.01,3.768858354114714,,,,0
2005-04-18,15.123177,15.123177,15.123177,15.123177,4.01,3.771365835411472,,,,0
2005-04-19,14.771242,14.771242,14.771242,14.771242,4.01,3.683601496259352,,,,0
2005-04-20,15.067873,15.067873,15.067873,15.067873,4.01,3.757574314214464,,,,0
2005-04-21,15.28909,15.28909,15.28909,15.28909,4.01,3.812740648379053,,,,0
2005-04-22,15.490196,15.490196,15.490196,15.490196,4.01,3.862891770573566,,,,0
2005-04-25,15.299145,15.299145,15.299145,15.299145,4.01,3.8152481296758105,,,,0
2005-04-26,15.213675,15.213675,15.213675,15.213675,4.01,3.79393391521197,,,,0
2005-04-27,15.284062,15.284062,15.284062,15.284062,4.01,3.8114867830423935,,,,0
2005-04-28,15.309201,15.309201,15.309201,15.309201,4.01,3.817755860349128,,,,0
2005-04-29,14.79638,14.79638,14.79638,14.79638,4.01,3.6898703241895263,,,,0
2005-05-02,14.615385,14.615385,14.615385,14.615385,4.01,3.6447344139650872,,,,0
2005-05-03,14.630468,14.630468,14.630468,14.630468,4.01,3.648495760598504,,,,0
2005-05-04,15.027652,15.027652,15.027652,15.027652,4.01,3.747544139650873,,,,0
2005-05-05,15.223731,15.223731,15.223731,15.223731,4.01,3.796441645885287,,,,0
2005-05-06,15.822021,15.822021,15.822021,15.822021,4.01,3.9456411471321697,4.153768453865336,,,0
2005-05-09,17.199598,17.199598,17.199598,17.199598,4.01,4.289176558603492,4.153768453865336,,,0
2005-05-10,17.043741,17.043741,17.043741,17.043741,4.01,4.250309476309227,4.153768453865336,,,0
2005-05-11,16.807441,16.807441,16.807441,16.807441,4.01,4.191381795511222,4.153768453865336,,,0
2005-05-12,17.621921,17.621921,17.621921,17.621921,4.01,4.394494014962594,4.153768453865336,,,0
2005-05-13,17.315234,17.315234,17.315234,17.315234,4.01,4.318013466334165,4.153768453865336,,,0
2005-05-16,17.269985,17.269985,17.269985,17.269985,4.01,4.306729426433915,4.153768453865336,,,0
2005-05-17,17.02363,17.02363,17.02363,17.02363,4.01,4.245294264339153,4.153768453865336,,,0
2005-05-18,16.691805,16.691805,16.691805,16.691805,4.01,4.162544887780548,4.153768453865336,,,0
2005-05-19,16.85269,16.85269,16.85269,16.85269,4.01,4.202665835411471,4.153768453865336,,,0
2005-05-20,16.832579,16.832579,16.832579,16.832579,4.01,4.197650623441397,4.153768453865336,,,0
2005-05-23,17.51634,17.51634,17.51634,17.51634,4.01,4.368164588528678,4.153768453865336,,,0
2005-05-24,17.144294,17.144294,17.144294,17.144294,4.01,4.275385037406483,4.153768453865336,,,0
2005-05-25,17.521368,17.521368,17.521368,17.521368,4.01,4.369418453865337,4.153768453865336,,,0
2005-05-26,17.415787,17.415787,17.415787,17.415787,4.01,4.3430890274314224,4.153768453865336,,,0
2005-05-27,17.114128,17.114128,17.114128,17.114128,4.01,4.267862344139651,4.153768453865336,,,0
2005-05-30,16.948215,16.948215,16.948215,16.948215,4.01,4.22648753117207,4.153768453865336,,,0
2005-05-31,17.028658,17.028658,17.028658,17.028658,4.01,4.24654812967581,4.153768453865336,,,0
2005-06-01,17.305178,17.305178,17.305178,17.305178,2.8,6.180420714285715,4.153768453865336,,,0
2005-06-02,17.199598,17.199598,17.199598,17.199598,2.8,6.1427135714285725,4.153768453865336,,,0
2005-06-03,17.224736,17.224736,17.224736,17.224736,2.8,6.151691428571429,4.153768453865336,,,0
2005-06-04,17.491202,17.491202,17.491202,17.491202,2.8,6.246857857142858,4.153768453865336,,,0
2005-06-06,17.295123,17.295123,17.295123,17.295123,2.8,6.176829642857143,4.153768453865336,,,0
2005-06-07,17.104072,17.104072,17.104072,17.104072,2.8,6.108597142857143,4.153768453865336,,,0
2005-06-08,17.199598,17.199598,17.199598,17.199598,2.8,6.1427135714285725,4.153768453865336,,,0
2005-06-09,17.169432,17.169432,17.169432,17.169432,2.8,6.13194,4.153768453865336,,,0
2005-06-10,19.180493,19.180493,19.180493,19.180493,2.8,6.850176071428571,4.153768453865336,,,0
2005-06-13,19.50729,19.50729,19.50729,19.50729,2.8,6.966889285714286,4.153768453865336,,,0
2005-06-14,20.135747,20.135747,20.135747,20.135747,2.8,7.1913382142857145,4.153768453865336,,,0
2005-06-15,19.753645,19.753645,19.753645,19.753645,2.8,7.054873214285714,4.153768453865336,,,0
2005-06-16,19.406737,19.406737,19.406737,19.406737,2.8,6.9309775,4.153768453865336,,,0
2005-06-17,18.728004,18.728004,18.728004,18.728004,2.8,6.688572857142857,4.153768453865336,,,0
2005-06-20,18.411262,18.411262,18.411262,18.411262,2.8,6.575450714285715,4.153768453865336,,,0
2005-06-21,18.6727,18.6727,18.6727,18.6727,2.8,6.6688214285714285,4.153768453865336,,,0
2005-06-22,18.642534,18.642534,18.642534,18.642534,2.8,6.658047857142858,4.153768453865336,,,0
