Date,Open,High,Low,Close,EPS,PE,Median_PE_90,Median_PE_180,Median_PE_365,Valid_Period
2004-09-01,,,,,0.04,,,,,0
2004-09-02,,,,,0.04,,,,,0
2004-09-03,,,,,0.04,,,,,0
2004-09-06,,,,,0.04,,,,,0
2004-09-07,,,,,0.04,,,,,0
2004-09-08,,,,,0.04,,,,,0
2004-09-09,,,,,0.04,,,,,0
2004-09-10,,,,,0.04,,,,,0
2004-09-13,,,,,0.04,,,,,0
2004-09-14,,,,,0.04,,,,,0
2004-09-15,,,,,0.04,,,,,0
2004-09-16,,,,,0.04,,,,,0
2004-09-17,,,,,0.04,,,,,0
2004-09-20,,,,,0.04,,,,,0
2004-09-21,,,,,0.04,,,,,0
2004-09-22,,,,,0.04,,,,,0
2004-09-23,,,,,0.04,,,,,0
2004-09-24,,,,,0.04,,,,,0
2004-09-27,,,,,0.04,,,,,0
2004-09-28,,,,,0.04,,,,,0
2004-09-29,,,,,0.04,,,,,0
2004-09-30,,,,,0.04,,,,,0
2004-10-01,,,,,0.04,,,,,0
2004-10-04,,,,,0.04,,,,,0
2004-10-05,,,,,0.04,,,,,0
2004-10-06,,,,,0.04,,,,,0
2004-10-07,,,,,0.04,,,,,0
2004-10-08,,,,,0.04,,,,,0
2004-10-11,,,,,0.04,,,,,0
2004-10-12,,,,,0.04,,,,,0
2004-10-13,,,,,0.04,,,,,0
2004-10-14,,,,,0.04,,,,,0
2004-10-15,,,,,0.04,,,,,0
2004-10-18,,,,,0.04,,,,,0
2004-10-19,,,,,0.04,,,,,0
2004-10-20,,,,,0.04,,,,,0
2004-10-21,,,,,0.04,,,,,0
2004-10-22,,,,,0.04,,,,,0
2004-10-25,,,,,0.04,,,,,0
2004-10-26,,,,,0.04,,,,,0
2004-10-27,,,,,0.04,,,,,0
2004-10-28,,,,,0.04,,,,,0
2004-10-29,,,,,0.04,,,,,0
2004-11-01,,,,,0.04,,,,,0
2004-11-02,,,,,0.04,,,,,0
2004-11-03,,,,,0.04,,,,,0
2004-11-04,,,,,0.04,,,,,0
2004-11-05,,,,,0.04,,,,,0
2004-11-08,,,,,0.04,,,,,0
2004-11-09,,,,,0.04,,,,,0
2004-11-10,,,,,0.04,,,,,0
2004-11-11,,,,,0.04,,,,,0
2004-11-12,,,,,0.04,,,,,0
2004-11-15,,,,,0.04,,,,,0
2004-11-16,,,,,0.04,,,,,0
2004-11-17,,,,,0.04,,,,,0
2004-11-18,,,,,0.04,,,,,0
2004-11-19,,,,,0.04,,,,,0
2004-11-22,,,,,0.04,,,,,0
2004-11-23,,,,,0.04,,,,,0
2004-11-24,,,,,0.04,,,,,0
2004-11-25,,,,,0.04,,,,,0
2004-11-26,,,,,0.04,,,,,0
2004-11-29,,,,,0.04,,,,,0
2004-11-30,,,,,0.04,,,,,0
2004-12-01,,,,,0.07,,,,,0
2004-12-02,,,,,0.07,,,,,0
2004-12-03,,,,,0.07,,,,,0
2004-12-06,,,,,0.07,,,,,0
2004-12-07,,,,,0.07,,,,,0
2004-12-08,,,,,0.07,,,,,0
2004-12-09,,,,,0.07,,,,,0
2004-12-10,,,,,0.07,,,,,0
2004-12-13,,,,,0.07,,,,,0
2004-12-14,,,,,0.07,,,,,0
2004-12-15,,,,,0.07,,,,,0
2004-12-16,,,,,0.07,,,,,0
2004-12-17,,,,,0.07,,,,,0
2004-12-20,,,,,0.07,,,,,0
2004-12-21,,,,,0.07,,,,,0
2004-12-22,,,,,0.07,,,,,0
2004-12-23,,,,,0.07,,,,,0
2004-12-24,,,,,0.07,,,,,0
2004-12-27,,,,,0.07,,,,,0
2004-12-28,,,,,0.07,,,,,0
2004-12-29,,,,,0.07,,,,,0
2004-12-30,,,,,0.07,,,,,0
2004-12-31,,,,,0.07,,,,,0
2005-01-03,13.3,13.3,13.3,13.3,0.07,190.0,,,,0
2005-01-04,13.2,13.2,13.2,13.2,0.07,188.57142857142856,,,,0
2005-01-05,13.85,13.85,13.85,13.85,0.07,197.85714285714283,,,,0
2005-01-06,15.3,15.3,15.3,15.3,0.07,218.57142857142856,,,,0
2005-01-07,15.9,15.9,15.9,15.9,0.07,227.1428571428572,,,,0
2005-01-10,15.4,15.4,15.4,15.4,0.07,220.0,,,,0
2005-01-11,14.4,14.4,14.4,14.4,0.07,205.7142857142857,,,,0
2005-01-12,12.85,12.85,12.85,12.85,0.07,183.57142857142856,,,,0
2005-01-13,13.25,13.25,13.25,13.25,0.07,189.28571428571428,,,,0
2005-01-14,12.95,12.95,12.95,12.95,0.07,185.0,,,,0
2005-01-17,12.9,12.9,12.9,12.9,0.07,184.28571428571428,,,,0
2005-01-18,12.5,12.5,12.5,12.5,0.07,178.57142857142856,,,,0
2005-01-19,12.4,12.4,12.4,12.4,0.07,177.14285714285714,,,,0
2005-01-20,12.2,12.2,12.2,12.2,0.07,174.28571428571425,,,,0
2005-01-21,12.2,12.2,12.2,12.2,0.07,174.28571428571425,,,,0
2005-01-24,11.8,11.8,11.8,11.8,0.07,168.57142857142856,,,,0
2005-01-25,12.1,12.1,12.1,12.1,0.07,172.85714285714283,,,,0
2005-01-26,12.1,12.1,12.1,12.1,0.07,172.85714285714283,,,,0
2005-01-27,12.5,12.5,12.5,12.5,0.07,178.57142857142856,,,,0
2005-01-28,12.25,12.25,12.25,12.25,0.07,174.99999999999997,,,,0
2005-01-31,12.45,12.45,12.45,12.45,0.07,177.85714285714283,,,,0
2005-02-01,13.3,13.3,13.3,13.3,0.07,190.0,,,,0
2005-02-02,13.4,13.4,13.4,13.4,0.07,191.42857142857144,,,,0
2005-02-03,13.5,13.5,13.5,13.5,0.07,192.85714285714283,,,,0
2005-02-04,13.1,13.1,13.1,13.1,0.07,187.1428571428571,,,,0
2005-02-07,13.65,13.65,13.65,13.65,0.07,195.0,,,,0
