Date,Open,High,Low,Close,EPS,PE,Median_PE_90,Median_PE_180,Median_PE_365,Valid_Period
2004-09-01,,,,,3.73,,,,,0
2004-09-02,,,,,3.73,,,,,0
2004-09-03,,,,,3.73,,,,,0
2004-09-06,,,,,3.73,,,,,0
2004-09-07,,,,,3.73,,,,,0
2004-09-08,,,,,3.73,,,,,0
2004-09-09,,,,,3.73,,,,,0
2004-09-10,,,,,3.73,,,,,0
2004-09-13,,,,,3.73,,,,,0
2004-09-14,,,,,3.73,,,,,0
2004-09-15,,,,,3.73,,,,,0
2004-09-16,,,,,3.73,,,,,0
2004-09-17,,,,,3.73,,,,,0
2004-09-20,,,,,3.73,,,,,0
2004-09-21,,,,,3.73,,,,,0
2004-09-22,,,,,3.73,,,,,0
2004-09-23,,,,,3.73,,,,,0
2004-09-24,,,,,3.73,,,,,0
2004-09-27,,,,,3.73,,,,,0
2004-09-28,,,,,3.73,,,,,0
2004-09-29,,,,,3.73,,,,,0
2004-09-30,,,,,3.73,,,,,0
2004-10-01,,,,,3.73,,,,,0
2004-10-04,,,,,3.73,,,,,0
2004-10-05,,,,,3.73,,,,,0
2004-10-06,,,,,3.73,,,,,0
2004-10-07,,,,,3.73,,,,,0
2004-10-08,,,,,3.73,,,,,0
2004-10-11,,,,,3.73,,,,,0
2004-10-12,,,,,3.73,,,,,0
2004-10-13,,,,,3.73,,,,,0
2004-10-14,,,,,3.73,,,,,0
2004-10-15,,,,,3.73,,,,,0
2004-10-18,,,,,3.73,,,,,0
2004-10-19,,,,,3.73,,,,,0
2004-10-20,,,,,3.73,,,,,0
2004-10-21,,,,,3.73,,,,,0
2004-10-22,,,,,3.73,,,,,0
2004-10-25,,,,,3.73,,,,,0
2004-10-26,,,,,3.73,,,,,0
2004-10-27,,,,,3.73,,,,,0
2004-10-28,,,,,3.73,,,,,0
2004-10-29,,,,,3.73,,,,,0
2004-11-01,,,,,3.73,,,,,0
2004-11-02,,,,,3.73,,,,,0
2004-11-03,,,,,3.73,,,,,0
2004-11-04,,,,,3.73,,,,,0
2004-11-05,,,,,3.73,,,,,0
2004-11-08,,,,,3.73,,,,,0
2004-11-09,,,,,3.73,,,,,0
2004-11-10,,,,,3.73,,,,,0
2004-11-11,,,,,3.73,,,,,0
2004-11-12,,,,,3.73,,,,,0
2004-11-15,,,,,3.73,,,,,0
2004-11-16,,,,,3.73,,,,,0
2004-11-17,,,,,3.73,,,,,0
2004-11-18,,,,,3.73,,,,,0
2004-11-19,,,,,3.73,,,,,0
2004-11-22,,,,,3.73,,,,,0
2004-11-23,,,,,3.73,,,,,0
2004-11-24,,,,,3.73,,,,,0
2004-11-25,,,,,3.73,,,,,0
2004-11-26,,,,,3.73,,,,,0
2004-11-29,,,,,3.73,,,,,0
2004-11-30,,,,,3.73,,,,,0
2004-12-01,,,,,2.41,,,,,0
2004-12-02,,,,,2.41,,,,,0
2004-12-03,,,,,2.41,,,,,0
2004-12-06,,,,,2.41,,,,,0
2004-12-07,,,,,2.41,,,,,0
2004-12-08,,,,,2.41,,,,,0
2004-12-09,,,,,2.41,,,,,0
2004-12-10,,,,,2.41,,,,,0
2004-12-13,,,,,2.41,,,,,0
2004-12-14,,,,,2.41,,,,,0
2004-12-15,,,,,2.41,,,,,0
2004-12-16,,,,,2.41,,,,,0
2004-12-17,,,,,2.41,,,,,0
2004-12-20,,,,,2.41,,,,,0
2004-12-21,,,,,2.41,,,,,0
2004-12-22,,,,,2.41,,,,,0
2004-12-23,,,,,2.41,,,,,0
2004-12-24,,,,,2.41,,,,,0
2004-12-27,,,,,2.41,,,,,0
2004-12-28,,,,,2.41,,,,,0
2004-12-29,,,,,2.41,,,,,0
2004-12-30,,,,,2.41,,,,,0
2004-12-31,,,,,2.41,,,,,0
2005-01-03,11.18,11.18,11.18,11.18,2.41,4.639004149377593,,,,0
2005-01-04,11.62,11.62,11.62,11.62,2.41,4.821576763485477,,,,0
2005-01-05,12.19,12.19,12.19,12.19,2.41,5.058091286307054,,,,0
2005-01-06,12.8,12.8,12.8,12.8,2.41,5.3112033195020745,,,,0
2005-01-07,13.39,13.39,13.39,13.39,2.41,5.556016597510373,,,,0
2005-01-10,13.32,13.32,13.32,13.32,2.41,5.526970954356846,,,,0
2005-01-11,12.66,12.66,12.66,12.66,2.41,5.253112033195021,,,,0
2005-01-12,12.08,12.08,12.08,12.08,2.41,5.012448132780083,,,,0
2005-01-13,12.13,12.13,12.13,12.13,2.41,5.033195020746888,,,,0
2005-01-14,11.9,11.9,11.9,11.9,2.41,4.937759336099585,,,,0
2005-01-17,11.57,11.57,11.57,11.57,2.41,4.800829875518672,,,,0
2005-01-18,11.1,11.1,11.1,11.1,2.41,4.605809128630705,,,,0
2005-01-19,10.85,10.85,10.85,10.85,2.41,4.5020746887966805,,,,0
2005-01-20,10.31,10.31,10.31,10.31,2.41,4.278008298755187,,,,0
2005-01-21,10.31,10.31,10.31,10.31,2.41,4.278008298755187,,,,0
2005-01-24,10.0,10.0,10.0,10.0,2.41,4.149377593360995,,,,0
2005-01-25,10.4,10.4,10.4,10.4,2.41,4.315352697095436,,,,0
2005-01-26,10.4,10.4,10.4,10.4,2.41,4.315352697095436,,,,0
2005-01-27,10.3,10.3,10.3,10.3,2.41,4.273858921161826,,,,0
2005-01-28,9.92,9.92,9.92,9.92,2.41,4.116182572614108,,,,0
2005-01-31,9.75,9.75,9.75,9.75,2.41,4.045643153526971,,,,0
2005-02-01,9.59,9.59,9.59,9.59,2.41,3.979253112033194,,,,0
2005-02-02,9.48,9.48,9.48,9.48,2.41,3.933609958506224,,,,0
2005-02-03,9.21,9.21,9.21,9.21,2.41,3.821576763485477,,,,0
2005-02-04,9.32,9.32,9.32,9.32,2.41,3.867219917012448,,,,0
2005-02-07,9.16,9.16,9.16,9.16,2.41,3.800829875518672,,,,0
2005-02-08,9.23,9.23,9.23,9.23,2.41,3.8298755186721993,,,,0
2005-02-09,9.29,9.29,9.29,9.29,2.41,3.8547717842323648,,,,0
2005-02-10,10.22,10.22,10.22,10.22,2.41,4.240663900414938,,,,0
