Date,Open,High,Low,Close,EPS,PE,Median_PE_90,Median_PE_180,Median_PE_365,Valid_Period
2004-09-01,,,,,9.1,,,,,0
2004-09-02,,,,,9.1,,,,,0
2004-09-03,,,,,9.1,,,,,0
2004-09-06,,,,,9.1,,,,,0
2004-09-07,,,,,9.1,,,,,0
2004-09-08,,,,,9.1,,,,,0
2004-09-09,,,,,9.1,,,,,0
2004-09-10,,,,,9.1,,,,,0
2004-09-13,,,,,9.1,,,,,0
2004-09-14,,,,,9.1,,,,,0
2004-09-15,,,,,9.1,,,,,0
2004-09-16,,,,,9.1,,,,,0
2004-09-17,,,,,9.1,,,,,0
2004-09-20,,,,,9.1,,,,,0
2004-09-21,,,,,9.1,,,,,0
2004-09-22,,,,,9.1,,,,,0
2004-09-23,,,,,9.1,,,,,0
2004-09-24,,,,,9.1,,,,,0
2004-09-27,,,,,9.1,,,,,0
2004-09-28,,,,,9.1,,,,,0
2004-09-29,,,,,9.1,,,,,0
2004-09-30,,,,,9.1,,,,,0
2004-10-01,,,,,9.1,,,,,0
2004-10-04,,,,,9.1,,,,,0
2004-10-05,,,,,9.1,,,,,0
2004-10-06,,,,,9.1,,,,,0
2004-10-07,,,,,9.1,,,,,0
2004-10-08,,,,,9.1,,,,,0
2004-10-11,,,,,9.1,,,,,0
2004-10-12,,,,,9.1,,,,,0
2004-10-13,,,,,9.1,,,,,0
2004-10-14,,,,,9.1,,,,,0
2004-10-15,,,,,9.1,,,,,0
2004-10-18,,,,,9.1,,,,,0
2004-10-19,,,,,9.1,,,,,0
2004-10-20,,,,,9.1,,,,,0
2004-10-21,,,,,9.1,,,,,0
2004-10-22,,,,,9.1,,,,,0
2004-10-25,,,,,9.1,,,,,0
2004-10-26,,,,,9.1,,,,,0
2004-10-27,,,,,9.1,,,,,0
2004-10-28,,,,,9.1,,,,,0
2004-10-29,,,,,9.1,,,,,0
2004-11-01,,,,,9.1,,,,,0
2004-11-02,,,,,9.1,,,,,0
2004-11-03,,,,,9.1,,,,,0
2004-11-04,,,,,9.1,,,,,0
2004-11-05,,,,,9.1,,,,,0
2004-11-08,,,,,9.1,,,,,0
2004-11-09,,,,,9.1,,,,,0
2004-11-10,,,,,9.1,,,,,0
2004-11-11,,,,,9.1,,,,,0
2004-11-12,,,,,9.1,,,,,0
2004-11-15,,,,,9.1,,,,,0
2004-11-16,,,,,9.1,,,,,0
2004-11-17,,,,,9.1,,,,,0
2004-11-18,,,,,9.1,,,,,0
2004-11-19,,,,,9.1,,,,,0
2004-11-22,,,,,9.1,,,,,0
2004-11-23,,,,,9.1,,,,,0
2004-11-24,,,,,9.1,,,,,0
2004-11-25,,,,,9.1,,,,,0
2004-11-26,,,,,9.1,,,,,0
2004-11-29,,,,,9.1,,,,,0
2004-11-30,,,,,9.1,,,,,0
2004-12-01,,,,,12.9,,,,,0
2004-12-02,,,,,12.9,,,,,0
2004-12-03,,,,,12.9,,,,,0
2004-12-06,,,,,12.9,,,,,0
2004-12-07,,,,,12.9,,,,,0
2004-12-08,,,,,12.9,,,,,0
2004-12-09,,,,,12.9,,,,,0
2004-12-10,,,,,12.9,,,,,0
2004-12-13,,,,,12.9,,,,,0
2004-12-14,,,,,12.9,,,,,0
2004-12-15,,,,,12.9,,,,,0
2004-12-16,,,,,12.9,,,,,0
2004-12-17,,,,,12.9,,,,,0
2004-12-20,,,,,12.9,,,,,0
2004-12-21,,,,,12.9,,,,,0
2004-12-22,,,,,12.9,,,,,0
2004-12-23,,,,,12.9,,,,,0
2004-12-24,,,,,12.9,,,,,0
2004-12-27,,,,,12.9,,,,,0
2004-12-28,,,,,12.9,,,,,0
2004-12-29,,,,,12.9,,,,,0
2004-12-30,,,,,12.9,,,,,0
2004-12-31,,,,,12.9,,,,,0
2005-01-03,592.4,592.4,592.4,592.4,12.9,45.92248062015504,,,,0
2005-01-04,573.35,573.35,573.35,573.35,12.9,44.445736434108525,,,,0
2005-01-05,572.85,572.85,572.85,572.85,12.9,44.406976744186046,,,,0
2005-01-06,561.7,561.7,561.7,561.7,12.9,43.54263565891473,,,,0
2005-01-07,569.15,569.15,569.15,569.15,12.9,44.12015503875968,,,,0
2005-01-10,571.25,571.25,571.25,571.25,12.9,44.28294573643411,,,,0
2005-01-11,571.95,571.95,571.95,571.95,12.9,44.33720930232558,,,,0
2005-01-12,573.45,573.45,573.45,573.45,12.9,44.45348837209303,,,,0
2005-01-13,594.0,594.0,594.0,594.0,12.9,46.04651162790697,,,,0
2005-01-14,580.05,580.05,580.05,580.05,12.9,44.96511627906976,,,,0
2005-01-17,573.0,573.0,573.0,573.0,12.9,44.41860465116279,,,,0
2005-01-18,575.95,575.95,575.95,575.95,12.9,44.64728682170543,,,,0
2005-01-19,581.8,581.8,581.8,581.8,12.9,45.10077519379845,,,,0
2005-01-20,575.45,575.45,575.45,575.45,12.9,44.60852713178295,,,,0
2005-01-21,575.45,575.45,575.45,575.45,12.9,44.60852713178295,,,,0
2005-01-24,576.25,576.25,576.25,576.25,12.9,44.67054263565891,,,,0
2005-01-25,582.0,582.0,582.0,582.0,12.9,45.11627906976744,,,,0
2005-01-26,582.0,582.0,582.0,582.0,12.9,45.11627906976744,,,,0
2005-01-27,586.95,586.95,586.95,586.95,12.9,45.5,,,,0
2005-01-28,615.0,615.0,615.0,615.0,12.9,47.67441860465116,,,,0
2005-01-31,640.6,640.6,640.6,640.6,12.9,49.65891472868217,,,,0
2005-02-01,617.65,617.65,617.65,617.65,12.9,47.87984496124031,,,,0
2005-02-02,620.4,620.4,620.4,620.4,12.9,48.093023255813954,,,,0
2005-02-03,620.7,620.7,620.7,620.7,12.9,48.11627906976744,,,,0
2005-02-04,613.5,613.5,613.5,613.5,12.9,47.55813953488372,,,,0
2005-02-07,620.9,620.9,620.9,620.9,12.9,48.13178294573643,,,,0
2005-02-08,617.5,617.5,617.5,617.5,12.9,47.86821705426357,,,,0
2005-02-09,607.8,607.8,607.8,607.8,12.9,47.11627906976744,,,,0
2005-02-10,603.15,603.15,603.15,603.15,12.9,46.75581395348837,,,,0
2005-02-11,584.55,584.55,584.55,584.55,12.9,45.313953488372086,,,,0
2005-02-14,602.1,602.1,602.1,602.1,12.9,46.674418604651166,,,,0
2005-02-15,601.0,601.0,601.0,601.0,12.9,46.58914728682171,,,,0
2005-02-16,604.15,604.15,604.15,604.15,12.9,46.83333333333333,,,,0
2005-02-17,597.05,597.05,597.05,597.05,12.9,46.2829457364341,,,,0
2005-02-18,601.05,601.05,601.05,601.05,12.9,46.59302325581395,,,,0
2005-02-21,600.3,600.3,600.3,600.3,12.9,46.53488372093023,,,,0
2005-02-22,600.0,600.0,600.0,600.0,12.9,46.51162790697674,,,,0
2005-02-23,588.25,588.25,588.25,588.25,12.9,45.60077519379845,,,,0
2005-02-24,588.65,588.65,588.65,588.65,12.9,45.63178294573643,,,,0
2005-02-25,578.65,578.65,578.65,578.65,12.9,44.85658914728682,,,,0
2005-02-28,575.4,575.4,575.4,575.4,12.9,44.604651162790695,,,,0
2005-03-01,585.35,585.35,585.35,585.35,4.5,130.07777777777778,,,,0
2005-03-02,579.95,579.95,579.95,579.95,4.5,128.8777777777778,,,,0
2005-03-03,584.9,584.9,584.9,584.9,4.5,129.97777777777776,,,,0
2005-03-04,581.05,581.05,581.05,581.05,4.5,129.1222222222222,,,,0
2005-03-07,581.45,581.45,581.45,581.45,4.5,129.2111111111111,,,,0
2005-03-08,579.9,579.9,579.9,579.9,4.5,128.86666666666667,,,,0
2005-03-09,580.5,580.5,580.5,580.5,4.5,129.0,,,,0
2005-03-10,584.0,584.0,584.0,584.0,4.5,129.77777777777777,,,,0
2005-03-11,572.0,572.0,572.0,572.0,4.5,127.11111111111111,,,,0
2005-03-14,569.1,569.1,569.1,569.1,4.5,126.46666666666668,,,,0
2005-03-15,565.7,565.7,565.7,565.7,4.5,125.71111111111112,,,,0
2005-03-16,565.05,565.05,565.05,565.05,4.5,125.56666666666666,,,,0
2005-03-17,570.55,570.55,570.55,570.55,4.5,126.78888888888888,,,,0
2005-03-18,564.8,564.8,564.8,564.8,4.5,125.5111111111111,,,,0
2005-03-21,559.05,559.05,559.05,559.05,4.5,124.23333333333332,,,,0
2005-03-22,558.95,558.95,558.95,558.95,4.5,124.21111111111112,,,,0
2005-03-23,556.45,556.45,556.45,556.45,4.5,123.65555555555557,,,,0
2005-03-24,562.15,562.15,562.15,562.15,4.5,124.92222222222222,,,,0
2005-03-25,562.15,562.15,562.15,562.15,4.5,124.92222222222222,,,,0
2005-03-28,562.65,562.65,562.65,562.65,4.5,125.03333333333332,,,,0
2005-03-29,561.1,561.1,561.1,561.1,4.5,124.6888888888889,,,,0
2005-03-30,571.9,571.9,571.9,571.9,4.5,127.08888888888887,,,,0
2005-03-31,565.55,565.55,565.55,565.55,4.5,125.67777777777776,,,,0
2005-04-01,579.7,579.7,579.7,579.7,4.5,128.82222222222222,,,,0
2005-04-04,579.7,579.7,579.7,579.7,4.5,128.82222222222222,,,,0
2005-04-05,571.2,571.2,571.2,571.2,4.5,126.93333333333334,,,,0
2005-04-06,578.7,578.7,578.7,578.7,4.5,128.60000000000002,,,,0
2005-04-07,585.1,585.1,585.1,585.1,4.5,130.02222222222224,,,,0
2005-04-08,589.45,589.45,589.45,589.45,4.5,130.9888888888889,,,,0
2005-04-11,585.5,585.5,585.5,585.5,4.5,130.11111111111111,,,,0
2005-04-12,582.0,582.0,582.0,582.0,4.5,129.33333333333334,,,,0
2005-04-13,589.65,589.65,589.65,589.65,4.5,131.03333333333333,,,,0
2005-04-14,589.65,589.65,589.65,589.65,4.5,131.03333333333333,,,,0
2005-04-15,591.7,591.7,591.7,591.7,4.5,131.4888888888889,,,,0
2005-04-18,594.15,594.15,594.15,594.15,4.5,132.03333333333333,,,,0
2005-04-19,594.05,594.05,594.05,594.05,4.5,132.0111111111111,,,,0
2005-04-20,588.35,588.35,588.35,588.35,4.5,130.74444444444444,,,,0
2005-04-21,592.4,592.4,592.4,592.4,4.5,131.64444444444445,,,,0
2005-04-22,600.3,600.3,600.3,600.3,4.5,133.39999999999998,,,,0
2005-04-25,607.1,607.1,607.1,607.1,4.5,134.91111111111113,,,,0
2005-04-26,602.0,602.0,602.0,602.0,4.5,133.77777777777777,,,,0
2005-04-27,616.55,616.55,616.55,616.55,4.5,137.0111111111111,,,,0
2005-04-28,612.25,612.25,612.25,612.25,4.5,136.05555555555554,,,,0
2005-04-29,611.55,611.55,611.55,611.55,4.5,135.89999999999998,,,,0
2005-05-02,580.3,580.3,580.3,580.3,4.5,128.95555555555555,,,,0
2005-05-03,585.6,585.6,585.6,585.6,4.5,130.13333333333333,,,,0
2005-05-04,598.25,598.25,598.25,598.25,4.5,132.94444444444446,,,,0
2005-05-05,607.95,607.95,607.95,607.95,4.5,135.10000000000002,,,,0
2005-05-06,615.2,615.2,615.2,615.2,4.5,136.7111111111111,124.80555555555556,,,0
2005-05-09,622.65,622.65,622.65,622.65,4.5,138.36666666666667,124.92222222222222,,,0
2005-05-10,620.0,620.0,620.0,620.0,4.5,137.77777777777777,124.97777777777776,,,0
2005-05-11,620.0,620.0,620.0,620.0,4.5,137.77777777777777,125.2722222222222,,,0
2005-05-12,620.0,620.0,620.0,620.0,4.5,137.77777777777777,125.53888888888888,,,0
2005-05-13,618.05,618.05,618.05,618.05,4.5,137.34444444444443,125.6222222222222,,,0
2005-05-16,615.9,615.9,615.9,615.9,4.5,136.86666666666667,125.69444444444444,,,0
