Date,Open,High,Low,Close,EPS,PE,Median_PE_90,Median_PE_180,Median_PE_365,Valid_Period
2004-09-01,,,,,15.55,,,,,0
2004-09-02,,,,,15.55,,,,,0
2004-09-03,,,,,15.55,,,,,0
2004-09-06,,,,,15.55,,,,,0
2004-09-07,,,,,15.55,,,,,0
2004-09-08,,,,,15.55,,,,,0
2004-09-09,,,,,15.55,,,,,0
2004-09-10,,,,,15.55,,,,,0
2004-09-13,,,,,15.55,,,,,0
2004-09-14,,,,,15.55,,,,,0
2004-09-15,,,,,15.55,,,,,0
2004-09-16,,,,,15.55,,,,,0
2004-09-17,,,,,15.55,,,,,0
2004-09-20,,,,,15.55,,,,,0
2004-09-21,,,,,15.55,,,,,0
2004-09-22,,,,,15.55,,,,,0
2004-09-23,,,,,15.55,,,,,0
2004-09-24,,,,,15.55,,,,,0
2004-09-27,,,,,15.55,,,,,0
2004-09-28,,,,,15.55,,,,,0
2004-09-29,,,,,15.55,,,,,0
2004-09-30,,,,,15.55,,,,,0
2004-10-01,,,,,15.55,,,,,0
2004-10-04,,,,,15.55,,,,,0
2004-10-05,,,,,15.55,,,,,0
2004-10-06,,,,,15.55,,,,,0
2004-10-07,,,,,15.55,,,,,0
2004-10-08,,,,,15.55,,,,,0
2004-10-11,,,,,15.55,,,,,0
2004-10-12,,,,,15.55,,,,,0
2004-10-13,,,,,15.55,,,,,0
2004-10-14,,,,,15.55,,,,,0
2004-10-15,,,,,15.55,,,,,0
2004-10-18,,,,,15.55,,,,,0
2004-10-19,,,,,15.55,,,,,0
2004-10-20,,,,,15.55,,,,,0
2004-10-21,,,,,15.55,,,,,0
2004-10-22,,,,,15.55,,,,,0
2004-10-25,,,,,15.55,,,,,0
2004-10-26,,,,,15.55,,,,,0
2004-10-27,,,,,15.55,,,,,0
2004-10-28,,,,,15.55,,,,,0
2004-10-29,,,,,15.55,,,,,0
2004-11-01,,,,,15.55,,,,,0
2004-11-02,,,,,15.55,,,,,0
2004-11-03,,,,,15.55,,,,,0
2004-11-04,,,,,15.55,,,,,0
2004-11-05,,,,,15.55,,,,,0
2004-11-08,,,,,15.55,,,,,0
2004-11-09,,,,,15.55,,,,,0
2004-11-10,,,,,15.55,,,,,0
2004-11-11,,,,,15.55,,,,,0
2004-11-12,,,,,15.55,,,,,0
2004-11-15,,,,,15.55,,,,,0
2004-11-16,,,,,15.55,,,,,0
2004-11-17,,,,,15.55,,,,,0
2004-11-18,,,,,15.55,,,,,0
2004-11-19,,,,,15.55,,,,,0
2004-11-22,,,,,15.55,,,,,0
2004-11-23,,,,,15.55,,,,,0
2004-11-24,,,,,15.55,,,,,0
2004-11-25,,,,,15.55,,,,,0
2004-11-26,,,,,15.55,,,,,0
2004-11-29,,,,,15.55,,,,,0
2004-11-30,,,,,15.55,,,,,0
2004-12-01,,,,,11.85,,,,,0
2004-12-02,,,,,11.85,,,,,0
2004-12-03,,,,,11.85,,,,,0
2004-12-06,,,,,11.85,,,,,0
2004-12-07,,,,,11.85,,,,,0
2004-12-08,,,,,11.85,,,,,0
2004-12-09,,,,,11.85,,,,,0
2004-12-10,,,,,11.85,,,,,0
2004-12-13,,,,,11.85,,,,,0
2004-12-14,,,,,11.85,,,,,0
2004-12-15,,,,,11.85,,,,,0
2004-12-16,,,,,11.85,,,,,0
2004-12-17,,,,,11.85,,,,,0
2004-12-20,,,,,11.85,,,,,0
2004-12-21,,,,,11.85,,,,,0
2004-12-22,,,,,11.85,,,,,0
2004-12-23,,,,,11.85,,,,,0
2004-12-24,,,,,11.85,,,,,0
2004-12-27,,,,,11.85,,,,,0
2004-12-28,,,,,11.85,,,,,0
2004-12-29,,,,,11.85,,,,,0
2004-12-30,,,,,11.85,,,,,0
2004-12-31,,,,,11.85,,,,,0
2005-01-03,83.81,83.81,83.81,83.81,11.85,7.072573839662447,,,,0
2005-01-04,86.98,86.98,86.98,86.98,11.85,7.340084388185654,,,,0
2005-01-05,84.67,84.67,84.67,84.67,11.85,7.145147679324895,,,,0
2005-01-06,82.85,82.85,82.85,82.85,11.85,6.991561181434599,,,,0
2005-01-07,80.54,80.54,80.54,80.54,11.85,6.79662447257384,,,,0
2005-01-10,76.2,76.2,76.2,76.2,11.85,6.430379746835444,,,,0
2005-01-11,74.9,74.9,74.9,74.9,11.85,6.320675105485233,,,,0
2005-01-12,70.77,70.77,70.77,70.77,11.85,5.972151898734177,,,,0
2005-01-13,75.89,75.89,75.89,75.89,11.85,6.4042194092827005,,,,0
2005-01-14,72.19,72.19,72.19,72.19,11.85,6.091983122362869,,,,0
2005-01-17,72.69,72.69,72.69,72.69,11.85,6.134177215189873,,,,0
2005-01-18,71.44,71.44,71.44,71.44,11.85,6.028691983122362,,,,0
2005-01-19,70.42,70.42,70.42,70.42,11.85,5.942616033755274,,,,0
2005-01-20,70.82,70.82,70.82,70.82,11.85,5.976371308016877,,,,0
2005-01-21,70.82,70.82,70.82,70.82,11.85,5.976371308016877,,,,0
2005-01-24,72.65,72.65,72.65,72.65,11.85,6.1308016877637135,,,,0
2005-01-25,72.3,72.3,72.3,72.3,11.85,6.10126582278481,,,,0
2005-01-26,72.3,72.3,72.3,72.3,11.85,6.10126582278481,,,,0
2005-01-27,73.33,73.33,73.33,73.33,11.85,6.188185654008439,,,,0
2005-01-28,76.53,76.53,76.53,76.53,11.85,6.4582278481012665,,,,0
2005-01-31,82.21,82.21,82.21,82.21,11.85,6.937552742616034,,,,0
2005-02-01,81.82,81.82,81.82,81.82,11.85,6.90464135021097,,,,0
2005-02-02,81.09,81.09,81.09,81.09,11.85,6.843037974683544,,,,0
2005-02-03,82.04,82.04,82.04,82.04,11.85,6.923206751054853,,,,0
2005-02-04,81.64,81.64,81.64,81.64,11.85,6.8894514767932495,,,,0
2005-02-07,80.04,80.04,80.04,80.04,11.85,6.754430379746836,,,,0
2005-02-08,81.78,81.78,81.78,81.78,11.85,6.9012658227848105,,,,0
2005-02-09,83.87,83.87,83.87,83.87,11.85,7.077637130801689,,,,0
2005-02-10,84.36,84.36,84.36,84.36,11.85,7.118987341772152,,,,0
2005-02-11,84.26,84.26,84.26,84.26,11.85,7.110548523206751,,,,0
