Date,Open,High,Low,Close,EPS,PE,Median_PE_90,Median_PE_180,Median_PE_365,Valid_Period
2004-09-01,,,,,3.32,,,,,0
2004-09-02,,,,,3.32,,,,,0
2004-09-03,,,,,3.32,,,,,0
2004-09-06,,,,,3.32,,,,,0
2004-09-07,,,,,3.32,,,,,0
2004-09-08,,,,,3.32,,,,,0
2004-09-09,,,,,3.32,,,,,0
2004-09-10,,,,,3.32,,,,,0
2004-09-13,,,,,3.32,,,,,0
2004-09-14,,,,,3.32,,,,,0
2004-09-15,,,,,3.32,,,,,0
2004-09-16,,,,,3.32,,,,,0
2004-09-17,,,,,3.32,,,,,0
2004-09-20,,,,,3.32,,,,,0
2004-09-21,,,,,3.32,,,,,0
2004-09-22,,,,,3.32,,,,,0
2004-09-23,,,,,3.32,,,,,0
2004-09-24,,,,,3.32,,,,,0
2004-09-27,,,,,3.32,,,,,0
2004-09-28,,,,,3.32,,,,,0
2004-09-29,,,,,3.32,,,,,0
2004-09-30,,,,,3.32,,,,,0
2004-10-01,,,,,3.32,,,,,0
2004-10-04,,,,,3.32,,,,,0
2004-10-05,,,,,3.32,,,,,0
2004-10-06,,,,,3.32,,,,,0
2004-10-07,,,,,3.32,,,,,0
2004-10-08,,,,,3.32,,,,,0
2004-10-11,,,,,3.32,,,,,0
2004-10-12,,,,,3.32,,,,,0
2004-10-13,,,,,3.32,,,,,0
2004-10-14,,,,,3.32,,,,,0
2004-10-15,,,,,3.32,,,,,0
2004-10-18,,,,,3.32,,,,,0
2004-10-19,,,,,3.32,,,,,0
2004-10-20,,,,,3.32,,,,,0
2004-10-21,,,,,3.32,,,,,0
2004-10-22,,,,,3.32,,,,,0
2004-10-25,,,,,3.32,,,,,0
2004-10-26,,,,,3.32,,,,,0
2004-10-27,,,,,3.32,,,,,0
2004-10-28,,,,,3.32,,,,,0
2004-10-29,,,,,3.32,,,,,0
2004-11-01,,,,,3.32,,,,,0
2004-11-02,,,,,3.32,,,,,0
2004-11-03,,,,,3.32,,,,,0
2004-11-04,,,,,3.32,,,,,0
2004-11-05,,,,,3.32,,,,,0
2004-11-08,,,,,3.32,,,,,0
2004-11-09,,,,,3.32,,,,,0
2004-11-10,,,,,3.32,,,,,0
2004-11-11,,,,,3.32,,,,,0
2004-11-12,,,,,3.32,,,,,0
2004-11-15,,,,,3.32,,,,,0
2004-11-16,,,,,3.32,,,,,0
2004-11-17,,,,,3.32,,,,,0
2004-11-18,,,,,3.32,,,,,0
2004-11-19,,,,,3.32,,,,,0
2004-11-22,,,,,3.32,,,,,0
2004-11-23,,,,,3.32,,,,,0
2004-11-24,,,,,3.32,,,,,0
2004-11-25,,,,,3.32,,,,,0
2004-11-26,,,,,3.32,,,,,0
2004-11-29,,,,,3.32,,,,,0
2004-11-30,,,,,3.32,,,,,0
2004-12-01,,,,,0.72,,,,,0
2004-12-02,,,,,0.72,,,,,0
2004-12-03,,,,,0.72,,,,,0
2004-12-06,,,,,0.72,,,,,0
2004-12-07,,,,,0.72,,,,,0
2004-12-08,,,,,0.72,,,,,0
2004-12-09,,,,,0.72,,,,,0
2004-12-10,,,,,0.72,,,,,0
2004-12-13,,,,,0.72,,,,,0
2004-12-14,,,,,0.72,,,,,0
2004-12-15,,,,,0.72,,,,,0
2004-12-16,,,,,0.72,,,,,0
2004-12-17,,,,,0.72,,,,,0
2004-12-20,,,,,0.72,,,,,0
2004-12-21,,,,,0.72,,,,,0
2004-12-22,,,,,0.72,,,,,0
2004-12-23,,,,,0.72,,,,,0
2004-12-24,,,,,0.72,,,,,0
2004-12-27,,,,,0.72,,,,,0
2004-12-28,,,,,0.72,,,,,0
2004-12-29,,,,,0.72,,,,,0
2004-12-30,,,,,0.72,,,,,0
2004-12-31,,,,,0.72,,,,,0
2005-01-03,204.95,204.95,204.95,204.95,0.72,284.65277777777777,,,,0
2005-01-04,201.75,201.75,201.75,201.75,0.72,280.20833333333337,,,,0
2005-01-05,192.0,192.0,192.0,192.0,0.72,266.6666666666667,,,,0
2005-01-06,190.65,190.65,190.65,190.65,0.72,264.7916666666667,,,,0
2005-01-07,193.85,193.85,193.85,193.85,0.72,269.2361111111111,,,,0
2005-01-10,192.8,192.8,192.8,192.8,0.72,267.7777777777778,,,,0
2005-01-11,181.4,181.4,181.4,181.4,0.72,251.94444444444449,,,,0
2005-01-12,165.2,165.2,165.2,165.2,0.72,229.44444444444443,,,,0
2005-01-13,175.85,175.85,175.85,175.85,0.72,244.23611111111111,,,,0
2005-01-14,174.2,174.2,174.2,174.2,0.72,241.94444444444443,,,,0
2005-01-17,173.1,173.1,173.1,173.1,0.72,240.41666666666663,,,,0
2005-01-18,180.2,180.2,180.2,180.2,0.72,250.27777777777777,,,,0
2005-01-19,188.8,188.8,188.8,188.8,0.72,262.22222222222223,,,,0
2005-01-20,187.9,187.9,187.9,187.9,0.72,260.97222222222223,,,,0
2005-01-21,187.9,187.9,187.9,187.9,0.72,260.97222222222223,,,,0
2005-01-24,184.25,184.25,184.25,184.25,0.72,255.9027777777778,,,,0
2005-01-25,184.0,184.0,184.0,184.0,0.72,255.5555555555556,,,,0
2005-01-26,184.0,184.0,184.0,184.0,0.72,255.5555555555556,,,,0
2005-01-27,185.25,185.25,185.25,185.25,0.72,257.2916666666667,,,,0
2005-01-28,190.0,190.0,190.0,190.0,0.72,263.8888888888889,,,,0
2005-01-31,184.15,184.15,184.15,184.15,0.72,255.7638888888889,,,,0
2005-02-01,178.85,178.85,178.85,178.85,0.72,248.40277777777777,,,,0
2005-02-02,178.7,178.7,178.7,178.7,0.72,248.19444444444443,,,,0
2005-02-03,191.55,191.55,191.55,191.55,0.72,266.0416666666667,,,,0
2005-02-04,200.55,200.55,200.55,200.55,0.72,278.5416666666667,,,,0
2005-02-07,199.8,199.8,199.8,199.8,0.72,277.5,,,,0
2005-02-08,200.0,200.0,200.0,200.0,0.72,277.77777777777777,,,,0
2005-02-09,198.05,198.05,198.05,198.05,0.72,275.06944444444446,,,,0
2005-02-10,202.05,202.05,202.05,202.05,0.72,280.625,,,,0
2005-02-11,197.75,197.75,197.75,197.75,0.72,274.65277777777777,,,,0
2005-02-14,199.6,199.6,199.6,199.6,0.72,277.22222222222223,,,,0
2005-02-15,200.2,200.2,200.2,200.2,0.72,278.05555555555554,,,,0
2005-02-16,195.95,195.95,195.95,195.95,0.72,272.15277777777777,,,,0
2005-02-17,195.75,195.75,195.75,195.75,0.72,271.875,,,,0
2005-02-18,198.85,198.85,198.85,198.85,0.72,276.18055555555554,,,,0
2005-02-21,195.8,195.8,195.8,195.8,0.72,271.94444444444446,,,,0
2005-02-22,206.2,206.2,206.2,206.2,0.72,286.38888888888886,,,,0
2005-02-23,228.45,228.45,228.45,228.45,0.72,317.2916666666667,,,,0
2005-02-24,232.45,232.45,232.45,232.45,0.72,322.84722222222223,,,,0
2005-02-25,230.1,230.1,230.1,230.1,0.72,319.5833333333333,,,,0
2005-02-28,230.75,230.75,230.75,230.75,0.72,320.48611111111114,,,,0
2005-03-01,224.95,224.95,224.95,224.95,5.2,43.25961538461538,,,,0
2005-03-02,233.65,233.65,233.65,233.65,5.2,44.93269230769231,,,,0
2005-03-03,237.85,237.85,237.85,237.85,5.2,45.74038461538461,,,,0
2005-03-04,243.85,243.85,243.85,243.85,5.2,46.89423076923077,,,,0
2005-03-07,240.45,240.45,240.45,240.45,5.2,46.24038461538461,,,,0
2005-03-08,238.4,238.4,238.4,238.4,5.2,45.84615384615385,,,,0
2005-03-09,236.05,236.05,236.05,236.05,5.2,45.39423076923077,,,,0
2005-03-10,246.5,246.5,246.5,246.5,5.2,47.40384615384615,,,,0
2005-03-11,246.3,246.3,246.3,246.3,5.2,47.36538461538461,,,,0
2005-03-14,243.15,243.15,243.15,243.15,5.2,46.75961538461539,,,,0
2005-03-15,235.85,235.85,235.85,235.85,5.2,45.355769230769226,,,,0
2005-03-16,232.8,232.8,232.8,232.8,5.2,44.76923076923077,,,,0
2005-03-17,225.55,225.55,225.55,225.55,5.2,43.375,,,,0
2005-03-18,226.85,226.85,226.85,226.85,5.2,43.625,,,,0
2005-03-21,227.3,227.3,227.3,227.3,5.2,43.71153846153846,,,,0
2005-03-22,224.15,224.15,224.15,224.15,5.2,43.10576923076923,,,,0
2005-03-23,223.95,223.95,223.95,223.95,5.2,43.067307692307686,,,,0
2005-03-24,222.5,222.5,222.5,222.5,5.2,42.78846153846154,,,,0
2005-03-25,222.5,222.5,222.5,222.5,5.2,42.78846153846154,,,,0
2005-03-28,224.85,224.85,224.85,224.85,5.2,43.24038461538461,,,,0
2005-03-29,225.0,225.0,225.0,225.0,5.2,43.26923076923077,,,,0
2005-03-30,231.8,231.8,231.8,231.8,5.2,44.57692307692308,,,,0
2005-03-31,232.0,232.0,232.0,232.0,5.2,44.61538461538461,,,,0
2005-04-01,227.5,227.5,227.5,227.5,5.2,43.75,,,,0
2005-04-04,227.0,227.0,227.0,227.0,5.2,43.65384615384615,,,,0
2005-04-05,224.85,224.85,224.85,224.85,5.2,43.24038461538461,,,,0
