Date,Open,High,Low,Close,EPS,PE,Median_PE_90,Median_PE_180,Median_PE_365,Valid_Period
2004-09-01,,,,,12.5,,,,,0
2004-09-02,,,,,12.5,,,,,0
2004-09-03,,,,,12.5,,,,,0
2004-09-06,,,,,12.5,,,,,0
2004-09-07,,,,,12.5,,,,,0
2004-09-08,,,,,12.5,,,,,0
2004-09-09,,,,,12.5,,,,,0
2004-09-10,,,,,12.5,,,,,0
2004-09-13,,,,,12.5,,,,,0
2004-09-14,,,,,12.5,,,,,0
2004-09-15,,,,,12.5,,,,,0
2004-09-16,,,,,12.5,,,,,0
2004-09-17,,,,,12.5,,,,,0
2004-09-20,,,,,12.5,,,,,0
2004-09-21,,,,,12.5,,,,,0
2004-09-22,,,,,12.5,,,,,0
2004-09-23,,,,,12.5,,,,,0
2004-09-24,,,,,12.5,,,,,0
2004-09-27,,,,,12.5,,,,,0
2004-09-28,,,,,12.5,,,,,0
2004-09-29,,,,,12.5,,,,,0
2004-09-30,,,,,12.5,,,,,0
2004-10-01,,,,,12.5,,,,,0
2004-10-04,,,,,12.5,,,,,0
2004-10-05,,,,,12.5,,,,,0
2004-10-06,,,,,12.5,,,,,0
2004-10-07,,,,,12.5,,,,,0
2004-10-08,,,,,12.5,,,,,0
2004-10-11,,,,,12.5,,,,,0
2004-10-12,,,,,12.5,,,,,0
2004-10-13,,,,,12.5,,,,,0
2004-10-14,,,,,12.5,,,,,0
2004-10-15,,,,,12.5,,,,,0
2004-10-18,,,,,12.5,,,,,0
2004-10-19,,,,,12.5,,,,,0
2004-10-20,,,,,12.5,,,,,0
2004-10-21,,,,,12.5,,,,,0
2004-10-22,,,,,12.5,,,,,0
2004-10-25,,,,,12.5,,,,,0
2004-10-26,,,,,12.5,,,,,0
2004-10-27,,,,,12.5,,,,,0
2004-10-28,,,,,12.5,,,,,0
2004-10-29,,,,,12.5,,,,,0
2004-11-01,,,,,12.5,,,,,0
2004-11-02,,,,,12.5,,,,,0
2004-11-03,,,,,12.5,,,,,0
2004-11-04,,,,,12.5,,,,,0
2004-11-05,,,,,12.5,,,,,0
2004-11-08,,,,,12.5,,,,,0
2004-11-09,,,,,12.5,,,,,0
2004-11-10,,,,,12.5,,,,,0
2004-11-11,,,,,12.5,,,,,0
2004-11-12,,,,,12.5,,,,,0
2004-11-15,,,,,12.5,,,,,0
2004-11-16,,,,,12.5,,,,,0
2004-11-17,,,,,12.5,,,,,0
2004-11-18,,,,,12.5,,,,,0
2004-11-19,,,,,12.5,,,,,0
2004-11-22,,,,,12.5,,,,,0
2004-11-23,,,,,12.5,,,,,0
2004-11-24,,,,,12.5,,,,,0
2004-11-25,,,,,12.5,,,,,0
2004-11-26,,,,,12.5,,,,,0
2004-11-29,,,,,12.5,,,,,0
2004-11-30,,,,,12.5,,,,,0
2004-12-01,,,,,15.0,,,,,0
2004-12-02,,,,,15.0,,,,,0
2004-12-03,,,,,15.0,,,,,0
2004-12-06,,,,,15.0,,,,,0
2004-12-07,,,,,15.0,,,,,0
2004-12-08,,,,,15.0,,,,,0
2004-12-09,,,,,15.0,,,,,0
2004-12-10,,,,,15.0,,,,,0
2004-12-13,,,,,15.0,,,,,0
2004-12-14,,,,,15.0,,,,,0
2004-12-15,,,,,15.0,,,,,0
2004-12-16,,,,,15.0,,,,,0
2004-12-17,,,,,15.0,,,,,0
2004-12-20,,,,,15.0,,,,,0
2004-12-21,,,,,15.0,,,,,0
2004-12-22,,,,,15.0,,,,,0
2004-12-23,,,,,15.0,,,,,0
2004-12-24,,,,,15.0,,,,,0
2004-12-27,,,,,15.0,,,,,0
2004-12-28,,,,,15.0,,,,,0
2004-12-29,,,,,15.0,,,,,0
2004-12-30,,,,,15.0,,,,,0
2004-12-31,,,,,15.0,,,,,0
2005-01-03,67.342885,67.342885,67.342885,67.342885,15.0,4.489525666666666,,,,0
2005-01-04,65.782674,65.782674,65.782674,65.782674,15.0,4.3855116,,,,0
2005-01-05,65.6217,65.6217,65.6217,65.6217,15.0,4.37478,,,,0
2005-01-06,65.157352,65.157352,65.157352,65.157352,15.0,4.343823466666667,,,,0
2005-01-07,67.144763,67.144763,67.144763,67.144763,15.0,4.476317533333333,,,,0
2005-01-10,66.14177,66.14177,66.14177,66.14177,15.0,4.409451333333333,,,,0
2005-01-11,65.10163,65.10163,65.10163,65.10163,15.0,4.340108666666667,,,,0
2005-01-12,64.166742,64.166742,64.166742,64.166742,15.0,4.2777828,,,,0
2005-01-13,64.402012,64.402012,64.402012,64.402012,15.0,4.293467466666667,,,,0
2005-01-14,63.63429,63.63429,63.63429,63.63429,15.0,4.242286,,,,0
2005-01-17,63.343298,63.343298,63.343298,63.343298,15.0,4.222886533333333,,,,0
2005-01-18,63.25662,63.25662,63.25662,63.25662,15.0,4.217108,,,,0
2005-01-19,63.609524,63.609524,63.609524,63.609524,15.0,4.240634933333333,,,,0
2005-01-20,63.337107,63.337107,63.337107,63.337107,15.0,4.2224738,,,,0
2005-01-21,63.337107,63.337107,63.337107,63.337107,15.0,4.2224738,,,,0
2005-01-24,62.742741,62.742741,62.742741,62.742741,15.0,4.1828494,,,,0
2005-01-25,62.111227,62.111227,62.111227,62.111227,15.0,4.1407484666666665,,,,0
2005-01-26,62.111227,62.111227,62.111227,62.111227,15.0,4.1407484666666665,,,,0
2005-01-27,62.668445,62.668445,62.668445,62.668445,15.0,4.177896333333333,,,,0
2005-01-28,64.668238,64.668238,64.668238,64.668238,15.0,4.311215866666667,,,,0
2005-01-31,65.912692,65.912692,65.912692,65.912692,15.0,4.394179466666667,,,,0
2005-02-01,67.231441,67.231441,67.231441,67.231441,15.0,4.482096066666667,,,,0
2005-02-02,66.067475,66.067475,66.067475,66.067475,15.0,4.404498333333334,,,,0
2005-02-03,66.983789,66.983789,66.983789,66.983789,15.0,4.465585933333333,,,,1
2005-02-04,66.513249,66.513249,66.513249,66.513249,15.0,4.4342166,,,,1
2005-02-07,65.671231,65.671231,65.671231,65.671231,15.0,4.378082066666667,,,,1
2005-02-08,66.098431,66.098431,66.098431,66.098431,15.0,4.406562066666667,,,,1
2005-02-09,66.513249,66.513249,66.513249,66.513249,15.0,4.4342166,,,,1
2005-02-10,67.175719,67.175719,67.175719,67.175719,15.0,4.478381266666667,,,,1
2005-02-11,67.782468,67.782468,67.782468,67.782468,15.0,4.518831199999999,,,,1
2005-02-14,67.305737,67.305737,67.305737,67.305737,15.0,4.487049133333333,,,,1
2005-02-15,66.767093,66.767093,66.767093,66.767093,15.0,4.4511395333333335,,,,1
2005-02-16,66.253214,66.253214,66.253214,66.253214,15.0,4.416880933333333,,,,1
2005-02-17,66.352275,66.352275,66.352275,66.352275,15.0,4.423485,,,,1
2005-02-18,66.147962,66.147962,66.147962,66.147962,15.0,4.4098641333333335,,,,1
2005-02-21,66.18511,66.18511,66.18511,66.18511,15.0,4.412340666666666,,,,1
2005-02-22,66.810432,66.810432,66.810432,66.810432,15.0,4.454028800000001,,,,1
2005-02-23,67.893911,67.893911,67.893911,67.893911,15.0,4.526260733333333,,,,1
2005-02-24,67.732937,67.732937,67.732937,67.732937,15.0,4.515529133333334,,,,1
2005-02-25,66.884728,66.884728,66.884728,66.884728,15.0,4.458981866666666,,,,1
2005-02-28,68.87833,68.87833,68.87833,68.87833,15.0,4.591888666666667,,,,1
2005-03-01,67.801042,67.801042,67.801042,67.801042,16.4,4.134209878048781,,,,1
2005-03-02,68.061077,68.061077,68.061077,68.061077,16.4,4.150065670731707,,,,1
2005-03-03,69.169321,69.169321,69.169321,69.169321,16.4,4.217641524390244,,,,1
2005-03-04,70.834784,70.834784,70.834784,70.834784,16.4,4.319194146341464,,,,1
2005-03-07,72.673603,72.673603,72.673603,72.673603,16.4,4.431317256097562,,,,1
2005-03-08,73.193673,73.193673,73.193673,73.193673,16.4,4.463028841463415,,,,1
2005-03-09,72.791238,72.791238,72.791238,72.791238,16.4,4.4384901219512205,,,,1
2005-03-10,73.552769,73.552769,73.552769,73.552769,16.4,4.48492493902439,,,,1
2005-03-11,72.80362,72.80362,72.80362,72.80362,16.4,4.43924512195122,,,,1
2005-03-14,71.695376,71.695376,71.695376,71.695376,16.4,4.371669268292683,,,,1
2005-03-15,70.686192,70.686192,70.686192,70.686192,16.4,4.310133658536586,,,,1
2005-03-16,71.113393,71.113393,71.113393,71.113393,16.4,4.3361825000000005,,,,1
2005-03-17,69.652243,69.652243,69.652243,69.652243,16.4,4.247087987804878,,,,1
2005-03-18,70.810018,70.810018,70.810018,70.810018,16.4,4.317684024390244,,,,1
2005-03-21,69.30553,69.30553,69.30553,69.30553,16.4,4.2259469512195125,,,,1
2005-03-22,67.448137,67.448137,67.448137,67.448137,16.4,4.112691280487805,,,,1
2005-03-23,68.444938,68.444938,68.444938,68.444938,16.4,4.173471829268292,,,,1
2005-03-24,69.342678,69.342678,69.342678,69.342678,16.4,4.228212073170733,,,,1
2005-03-25,69.342678,69.342678,69.342678,69.342678,16.4,4.228212073170733,,,,1
2005-03-28,70.098018,70.098018,70.098018,70.098018,16.4,4.274269390243902,,,,1
2005-03-29,67.999163,67.999163,67.999163,67.999163,16.4,4.146290426829268,,,,1
2005-03-30,67.256206,67.256206,67.256206,67.256206,16.4,4.100988170731708,,,,1
2005-03-31,67.615302,67.615302,67.615302,67.615302,16.4,4.122884268292683,,,,1
2005-04-01,69.912278,69.912278,69.912278,69.912278,16.4,4.262943780487805,,,,1
2005-04-04,69.968,69.968,69.968,69.968,16.4,4.266341463414634,,,,1
2005-04-05,68.853564,68.853564,68.853564,68.853564,16.4,4.1983880487804885,,,,1
2005-04-06,70.779062,70.779062,70.779062,70.779062,16.4,4.315796463414634,,,,1
2005-04-07,70.017531,70.017531,70.017531,70.017531,16.4,4.269361646341464,,,,1
2005-04-08,68.952625,68.952625,68.952625,68.952625,16.4,4.204428353658537,,,,1
2005-04-11,67.776276,67.776276,67.776276,67.776276,16.4,4.132699756097561,,,,1
2005-04-12,67.943442,67.943442,67.943442,67.943442,16.4,4.142892804878049,,,,1
2005-04-13,67.553389,67.553389,67.553389,67.553389,16.4,4.119109085365854,,,,1
2005-04-14,67.553389,67.553389,67.553389,67.553389,16.4,4.119109085365854,,,,1
2005-04-15,65.596935,65.596935,65.596935,65.596935,16.4,3.999813109756098,,,,1
2005-04-18,64.210081,64.210081,64.210081,64.210081,16.4,3.915248841463415,,,,1
2005-04-19,63.646672,63.646672,63.646672,63.646672,16.4,3.8808946341463417,,,,1
2005-04-20,65.634083,65.634083,65.634083,65.634083,16.4,4.002078231707317,,,,1
2005-04-21,67.22525,67.22525,67.22525,67.22525,16.4,4.099100609756098,,,,1
2005-04-22,67.79485,67.79485,67.79485,67.79485,16.4,4.133832317073171,,,,1
2005-04-25,67.695789,67.695789,67.695789,67.695789,16.4,4.127792012195123,,,,1
2005-04-26,67.751511,67.751511,67.751511,67.751511,16.4,4.131189695121951,,,,1
2005-04-27,66.742327,66.742327,66.742327,66.742327,16.4,4.069654085365854,,,,1
2005-04-28,67.342885,67.342885,67.342885,67.342885,16.4,4.106273475609756,,,,1
2005-04-29,65.38643,65.38643,65.38643,65.38643,16.4,3.986977439024391,,,,1
2005-05-02,66.104622,66.104622,66.104622,66.104622,16.4,4.030769634146342,,,,1
2005-05-03,66.983789,66.983789,66.983789,66.983789,16.4,4.084377378048781,,,,1
2005-05-04,67.033319,67.033319,67.033319,67.033319,16.4,4.087397500000001,,,,1
2005-05-05,67.008554,67.008554,67.008554,67.008554,16.4,4.085887439024391,,,,1
2005-05-06,67.992972,67.992972,67.992972,67.992972,16.4,4.1459129268292685,4.26464262195122,,,1
2005-05-09,68.525425,68.525425,68.525425,68.525425,16.4,4.178379573170732,4.255015884146342,,,1
2005-05-10,67.392415,67.392415,67.392415,67.392415,16.4,4.109293597560976,4.244686993902439,,,1
2005-05-11,67.175719,67.175719,67.175719,67.175719,16.4,4.0960804268292685,4.241460466666666,,,1
2005-05-12,66.748519,66.748519,66.748519,66.748519,16.4,4.070031646341464,4.234423503252033,,,1
2005-05-13,66.401805,66.401805,66.401805,66.401805,16.4,4.048890548780488,4.228212073170733,,,1
2005-05-16,66.89711,66.89711,66.89711,66.89711,16.4,4.079092073170732,4.227079512195123,,,1
2005-05-17,65.126395,65.126395,65.126395,65.126395,16.4,3.971121646341464,4.224416742276423,,,1
2005-05-18,65.578361,65.578361,65.578361,65.578361,16.4,3.998680548780488,4.222680166666667,,,1
2005-05-19,64.922082,64.922082,64.922082,64.922082,16.4,3.9586635365853664,4.2224738,,,1
2005-05-20,64.445351,64.445351,64.445351,64.445351,16.4,3.929594573170732,4.2200576621951225,,,1
2005-05-23,65.770292,65.770292,65.770292,65.770292,16.4,4.010383658536585,4.217374762195122,,,1
2005-05-24,65.751718,65.751718,65.751718,65.751718,16.4,4.009251097560976,4.21103493902439,,,1
2005-05-25,65.708379,65.708379,65.708379,65.708379,16.4,4.006608475609756,4.201408201219513,,,1
2005-05-26,65.677422,65.677422,65.677422,65.677422,16.4,4.0047208536585375,4.190618724390244,,,1
2005-05-27,65.782674,65.782674,65.782674,65.782674,16.4,4.011138658536586,4.180614486585366,,,1
2005-05-30,65.231648,65.231648,65.231648,65.231648,16.4,3.977539512195123,4.178137953252032,,,1
2005-05-31,66.247023,66.247023,66.247023,66.247023,16.4,4.03945262195122,4.178137953252032,,,1
2005-06-01,66.98998,66.98998,66.98998,66.98998,16.6,4.035540963855421,4.178137953252032,,,1
2005-06-02,65.609318,65.609318,65.609318,65.609318,16.6,3.9523685542168674,4.175925701219512,,,1
2005-06-03,68.494468,68.494468,68.494468,68.494468,16.6,4.126172771084337,4.16176875,,,1
2005-06-04,68.748312,68.748312,68.748312,68.748312,16.6,4.141464578313252,4.148178048780488,,,1
2005-06-06,68.389216,68.389216,68.389216,68.389216,16.6,4.119832289156626,4.146101676829268,,,1
2005-06-07,67.838189,67.838189,67.838189,67.838189,16.6,4.086637891566265,4.1444028658536585,,,1
2005-06-08,69.150747,69.150747,69.150747,69.150747,16.6,4.165707650602409,4.1444028658536585,,,1
2005-06-09,69.225043,69.225043,69.225043,69.225043,16.6,4.170183313253012,4.1444028658536585,,,1
