Date,Open,High,Low,Close,EPS,PE,Median_PE_90,Median_PE_180,Median_PE_365,Valid_Period
2004-09-01,,,,,6.2,,,,,0
2004-09-02,,,,,6.2,,,,,0
2004-09-03,,,,,6.2,,,,,0
2004-09-06,,,,,6.2,,,,,0
2004-09-07,,,,,6.2,,,,,0
2004-09-08,,,,,6.2,,,,,0
2004-09-09,,,,,6.2,,,,,0
2004-09-10,,,,,6.2,,,,,0
2004-09-13,,,,,6.2,,,,,0
2004-09-14,,,,,6.2,,,,,0
2004-09-15,,,,,6.2,,,,,0
2004-09-16,,,,,6.2,,,,,0
2004-09-17,,,,,6.2,,,,,0
2004-09-20,,,,,6.2,,,,,0
2004-09-21,,,,,6.2,,,,,0
2004-09-22,,,,,6.2,,,,,0
2004-09-23,,,,,6.2,,,,,0
2004-09-24,,,,,6.2,,,,,0
2004-09-27,,,,,6.2,,,,,0
2004-09-28,,,,,6.2,,,,,0
2004-09-29,,,,,6.2,,,,,0
2004-09-30,,,,,6.2,,,,,0
2004-10-01,,,,,6.2,,,,,0
2004-10-04,,,,,6.2,,,,,0
2004-10-05,,,,,6.2,,,,,0
2004-10-06,,,,,6.2,,,,,0
2004-10-07,,,,,6.2,,,,,0
2004-10-08,,,,,6.2,,,,,0
2004-10-11,,,,,6.2,,,,,0
2004-10-12,,,,,6.2,,,,,0
2004-10-13,,,,,6.2,,,,,0
2004-10-14,,,,,6.2,,,,,0
2004-10-15,,,,,6.2,,,,,0
2004-10-18,,,,,6.2,,,,,0
2004-10-19,,,,,6.2,,,,,0
2004-10-20,,,,,6.2,,,,,0
2004-10-21,,,,,6.2,,,,,0
2004-10-22,,,,,6.2,,,,,0
2004-10-25,,,,,6.2,,,,,0
2004-10-26,,,,,6.2,,,,,0
2004-10-27,,,,,6.2,,,,,0
2004-10-28,,,,,6.2,,,,,0
2004-10-29,,,,,6.2,,,,,0
2004-11-01,,,,,6.2,,,,,0
2004-11-02,,,,,6.2,,,,,0
2004-11-03,,,,,6.2,,,,,0
2004-11-04,,,,,6.2,,,,,0
2004-11-05,,,,,6.2,,,,,0
2004-11-08,,,,,6.2,,,,,0
2004-11-09,,,,,6.2,,,,,0
2004-11-10,,,,,6.2,,,,,0
2004-11-11,,,,,6.2,,,,,0
2004-11-12,,,,,6.2,,,,,0
2004-11-15,,,,,6.2,,,,,0
2004-11-16,,,,,6.2,,,,,0
2004-11-17,,,,,6.2,,,,,0
2004-11-18,,,,,6.2,,,,,0
2004-11-19,,,,,6.2,,,,,0
2004-11-22,,,,,6.2,,,,,0
2004-11-23,,,,,6.2,,,,,0
2004-11-24,,,,,6.2,,,,,0
2004-11-25,,,,,6.2,,,,,0
2004-11-26,,,,,6.2,,,,,0
2004-11-29,,,,,6.2,,,,,0
2004-11-30,,,,,6.2,,,,,0
2004-12-01,,,,,5.5,,,,,0
2004-12-02,,,,,5.5,,,,,0
2004-12-03,,,,,5.5,,,,,0
2004-12-06,,,,,5.5,,,,,0
2004-12-07,,,,,5.5,,,,,0
2004-12-08,,,,,5.5,,,,,0
2004-12-09,,,,,5.5,,,,,0
2004-12-10,,,,,5.5,,,,,0
2004-12-13,,,,,5.5,,,,,0
2004-12-14,,,,,5.5,,,,,0
2004-12-15,,,,,5.5,,,,,0
2004-12-16,,,,,5.5,,,,,0
2004-12-17,,,,,5.5,,,,,0
2004-12-20,,,,,5.5,,,,,0
2004-12-21,,,,,5.5,,,,,0
2004-12-22,,,,,5.5,,,,,0
2004-12-23,,,,,5.5,,,,,0
2004-12-24,,,,,5.5,,,,,0
2004-12-27,,,,,5.5,,,,,0
2004-12-28,,,,,5.5,,,,,0
2004-12-29,,,,,5.5,,,,,0
2004-12-30,,,,,5.5,,,,,0
2004-12-31,,,,,5.5,,,,,0
2005-01-03,291.965063,291.965063,291.965063,291.965063,5.5,53.08455690909091,,,,0
2005-01-04,290.08349,290.08349,290.08349,290.08349,5.5,52.74245272727273,,,,0
2005-01-05,348.136902,348.136902,348.136902,348.136902,5.5,63.29761854545455,,,,0
2005-01-06,351.25756,351.25756,351.25756,351.25756,5.5,63.86501090909091,,,,0
2005-01-07,351.762372,351.762372,351.762372,351.762372,5.5,63.95679490909092,,,,0
2005-01-10,354.148757,354.148757,354.148757,354.148757,5.5,64.39068309090909,,,,0
2005-01-11,358.5085,358.5085,358.5085,358.5085,5.5,65.18336363636364,,,,0
2005-01-12,352.1754,352.1754,352.1754,352.1754,5.5,64.03189090909092,,,,0
2005-01-13,346.438897,346.438897,346.438897,346.438897,5.5,62.988890363636365,,,,0
2005-01-14,349.605447,349.605447,349.605447,349.605447,5.5,63.56462672727273,,,,0
2005-01-17,336.939248,336.939248,336.939248,336.939248,5.5,61.26168145454546,,,,0
2005-01-18,317.618705,317.618705,317.618705,317.618705,5.5,57.74885545454545,,,,0
2005-01-19,335.333027,335.333027,335.333027,335.333027,5.5,60.96964127272727,,,,0
2005-01-20,339.738661,339.738661,339.738661,339.738661,5.5,61.77066563636363,,,,0
2005-01-21,339.738661,339.738661,339.738661,339.738661,5.5,61.77066563636363,,,,0
2005-01-24,329.50474,329.50474,329.50474,329.50474,5.5,59.90995272727273,,,,0
2005-01-25,323.309316,323.309316,323.309316,323.309316,5.5,58.783512,,,,0
2005-01-26,323.309316,323.309316,323.309316,323.309316,5.5,58.783512,,,,0
2005-01-27,325.741594,325.741594,325.741594,325.741594,5.5,59.225744363636366,,,,0
2005-01-28,333.726806,333.726806,333.726806,333.726806,5.5,60.67760109090909,,,,0
2005-01-31,329.917768,329.917768,329.917768,329.917768,5.5,59.98504872727273,,,,0
2005-02-01,326.751218,326.751218,326.751218,326.751218,5.5,59.40931236363636,,,,0
2005-02-02,324.227157,324.227157,324.227157,324.227157,5.5,58.95039218181818,,,,0
2005-02-03,326.659434,326.659434,326.659434,326.659434,5.5,59.39262436363636,,,,0
2005-02-04,329.50474,329.50474,329.50474,329.50474,5.5,59.90995272727273,,,,0
2005-02-07,322.804504,322.804504,322.804504,322.804504,5.5,58.691728000000005,,,,0
2005-02-08,322.391476,322.391476,322.391476,322.391476,5.5,58.616632,,,,0
