Date,Open,High,Low,Close,EPS,PE,Median_PE_90,Median_PE_180,Median_PE_365,Valid_Period
2004-09-01,,,,,0.56,,,,,0
2004-09-02,,,,,0.56,,,,,0
2004-09-03,,,,,0.56,,,,,0
2004-09-06,,,,,0.56,,,,,0
2004-09-07,,,,,0.56,,,,,0
2004-09-08,,,,,0.56,,,,,0
2004-09-09,,,,,0.56,,,,,0
2004-09-10,,,,,0.56,,,,,0
2004-09-13,,,,,0.56,,,,,0
2004-09-14,,,,,0.56,,,,,0
2004-09-15,,,,,0.56,,,,,0
2004-09-16,,,,,0.56,,,,,0
2004-09-17,,,,,0.56,,,,,0
2004-09-20,,,,,0.56,,,,,0
2004-09-21,,,,,0.56,,,,,0
2004-09-22,,,,,0.56,,,,,0
2004-09-23,,,,,0.56,,,,,0
2004-09-24,,,,,0.56,,,,,0
2004-09-27,,,,,0.56,,,,,0
2004-09-28,,,,,0.56,,,,,0
2004-09-29,,,,,0.56,,,,,0
2004-09-30,,,,,0.56,,,,,0
2004-10-01,,,,,0.56,,,,,0
2004-10-04,,,,,0.56,,,,,0
2004-10-05,,,,,0.56,,,,,0
2004-10-06,,,,,0.56,,,,,0
2004-10-07,,,,,0.56,,,,,0
2004-10-08,,,,,0.56,,,,,0
2004-10-11,,,,,0.56,,,,,0
2004-10-12,,,,,0.56,,,,,0
2004-10-13,,,,,0.56,,,,,0
2004-10-14,,,,,0.56,,,,,0
2004-10-15,,,,,0.56,,,,,0
2004-10-18,,,,,0.56,,,,,0
2004-10-19,,,,,0.56,,,,,0
2004-10-20,,,,,0.56,,,,,0
2004-10-21,,,,,0.56,,,,,0
2004-10-22,,,,,0.56,,,,,0
2004-10-25,,,,,0.56,,,,,0
2004-10-26,,,,,0.56,,,,,0
2004-10-27,,,,,0.56,,,,,0
2004-10-28,,,,,0.56,,,,,0
2004-10-29,,,,,0.56,,,,,0
2004-11-01,,,,,0.56,,,,,0
2004-11-02,,,,,0.56,,,,,0
2004-11-03,,,,,0.56,,,,,0
2004-11-04,,,,,0.56,,,,,0
2004-11-05,,,,,0.56,,,,,0
2004-11-08,,,,,0.56,,,,,0
2004-11-09,,,,,0.56,,,,,0
2004-11-10,,,,,0.56,,,,,0
2004-11-11,,,,,0.56,,,,,0
2004-11-12,,,,,0.56,,,,,0
2004-11-15,,,,,0.56,,,,,0
2004-11-16,,,,,0.56,,,,,0
2004-11-17,,,,,0.56,,,,,0
2004-11-18,,,,,0.56,,,,,0
2004-11-19,,,,,0.56,,,,,0
2004-11-22,,,,,0.56,,,,,0
2004-11-23,,,,,0.56,,,,,0
2004-11-24,,,,,0.56,,,,,0
2004-11-25,,,,,0.56,,,,,0
2004-11-26,,,,,0.56,,,,,0
2004-11-29,,,,,0.56,,,,,0
2004-11-30,,,,,0.56,,,,,0
2004-12-01,,,,,0.84,,,,,0
2004-12-02,,,,,0.84,,,,,0
2004-12-03,,,,,0.84,,,,,0
2004-12-06,,,,,0.84,,,,,0
2004-12-07,,,,,0.84,,,,,0
2004-12-08,,,,,0.84,,,,,0
2004-12-09,,,,,0.84,,,,,0
2004-12-10,,,,,0.84,,,,,0
2004-12-13,,,,,0.84,,,,,0
2004-12-14,,,,,0.84,,,,,0
2004-12-15,,,,,0.84,,,,,0
2004-12-16,,,,,0.84,,,,,0
2004-12-17,,,,,0.84,,,,,0
2004-12-20,,,,,0.84,,,,,0
2004-12-21,,,,,0.84,,,,,0
2004-12-22,,,,,0.84,,,,,0
2004-12-23,,,,,0.84,,,,,0
2004-12-24,,,,,0.84,,,,,0
2004-12-27,,,,,0.84,,,,,0
2004-12-28,,,,,0.84,,,,,0
2004-12-29,,,,,0.84,,,,,0
2004-12-30,,,,,0.84,,,,,0
2004-12-31,,,,,0.84,,,,,0
2005-01-03,40.75,40.75,40.75,40.75,0.84,48.511904761904766,,,,0
2005-01-04,39.65,39.65,39.65,39.65,0.84,47.20238095238095,,,,0
2005-01-05,37.1,37.1,37.1,37.1,0.84,44.16666666666667,,,,0
2005-01-06,36.3,36.3,36.3,36.3,0.84,43.21428571428572,,,,0
2005-01-07,37.55,37.55,37.55,37.55,0.84,44.70238095238095,,,,0
2005-01-10,41.3,41.3,41.3,41.3,0.84,49.16666666666666,,,,0
2005-01-11,39.5,39.5,39.5,39.5,0.84,47.023809523809526,,,,0
2005-01-12,36.65,36.65,36.65,36.65,0.84,43.63095238095238,,,,0
2005-01-13,38.65,38.65,38.65,38.65,0.84,46.01190476190476,,,,0
2005-01-14,38.15,38.15,38.15,38.15,0.84,45.41666666666666,,,,0
2005-01-17,37.35,37.35,37.35,37.35,0.84,44.46428571428572,,,,0
2005-01-18,38.2,38.2,38.2,38.2,0.84,45.47619047619048,,,,0
2005-01-19,37.6,37.6,37.6,37.6,0.84,44.761904761904766,,,,0
2005-01-20,37.05,37.05,37.05,37.05,0.84,44.10714285714285,,,,0
2005-01-21,37.05,37.05,37.05,37.05,0.84,44.10714285714285,,,,0
2005-01-24,38.0,38.0,38.0,38.0,0.84,45.23809523809524,,,,0
2005-01-25,39.1,39.1,39.1,39.1,0.84,46.54761904761905,,,,0
2005-01-26,39.1,39.1,39.1,39.1,0.84,46.54761904761905,,,,0
2005-01-27,39.45,39.45,39.45,39.45,0.84,46.96428571428572,,,,0
2005-01-28,38.95,38.95,38.95,38.95,0.84,46.36904761904763,,,,0
2005-01-31,39.65,39.65,39.65,39.65,0.84,47.20238095238095,,,,0
2005-02-01,40.9,40.9,40.9,40.9,0.84,48.69047619047619,,,,0
2005-02-02,41.05,41.05,41.05,41.05,0.84,48.86904761904762,,,,0
2005-02-03,41.6,41.6,41.6,41.6,0.84,49.523809523809526,,,,0
2005-02-04,40.55,40.55,40.55,40.55,0.84,48.273809523809526,,,,0
2005-02-07,41.1,41.1,41.1,41.1,0.84,48.92857142857143,,,,0
2005-02-08,40.6,40.6,40.6,40.6,0.84,48.333333333333336,,,,0
2005-02-09,40.85,40.85,40.85,40.85,0.84,48.63095238095239,,,,0
2005-02-10,40.55,40.55,40.55,40.55,0.84,48.273809523809526,,,,0
2005-02-11,40.6,40.6,40.6,40.6,0.84,48.333333333333336,,,,0
2005-02-14,40.6,40.6,40.6,40.6,0.84,48.333333333333336,,,,0
