Date,Open,High,Low,Close,EPS,PE,Median_PE_90,Median_PE_180,Median_PE_365,Valid_Period
2004-09-01,,,,,7.44,,,,,0
2004-09-02,,,,,7.44,,,,,0
2004-09-03,,,,,7.44,,,,,0
2004-09-06,,,,,7.44,,,,,0
2004-09-07,,,,,7.44,,,,,0
2004-09-08,,,,,7.44,,,,,0
2004-09-09,,,,,7.44,,,,,0
2004-09-10,,,,,7.44,,,,,0
2004-09-13,,,,,7.44,,,,,0
2004-09-14,,,,,7.44,,,,,0
2004-09-15,,,,,7.44,,,,,0
2004-09-16,,,,,7.44,,,,,0
2004-09-17,,,,,7.44,,,,,0
2004-09-20,,,,,7.44,,,,,0
2004-09-21,,,,,7.44,,,,,0
2004-09-22,,,,,7.44,,,,,0
2004-09-23,,,,,7.44,,,,,0
2004-09-24,,,,,7.44,,,,,0
2004-09-27,,,,,7.44,,,,,0
2004-09-28,,,,,7.44,,,,,0
2004-09-29,,,,,7.44,,,,,0
2004-09-30,,,,,7.44,,,,,0
2004-10-01,,,,,7.44,,,,,0
2004-10-04,,,,,7.44,,,,,0
2004-10-05,,,,,7.44,,,,,0
2004-10-06,,,,,7.44,,,,,0
2004-10-07,,,,,7.44,,,,,0
2004-10-08,,,,,7.44,,,,,0
2004-10-11,,,,,7.44,,,,,0
2004-10-12,,,,,7.44,,,,,0
2004-10-13,,,,,7.44,,,,,0
2004-10-14,,,,,7.44,,,,,0
2004-10-15,,,,,7.44,,,,,0
2004-10-18,,,,,7.44,,,,,0
2004-10-19,,,,,7.44,,,,,0
2004-10-20,,,,,7.44,,,,,0
2004-10-21,,,,,7.44,,,,,0
2004-10-22,,,,,7.44,,,,,0
2004-10-25,,,,,7.44,,,,,0
2004-10-26,,,,,7.44,,,,,0
2004-10-27,,,,,7.44,,,,,0
2004-10-28,,,,,7.44,,,,,0
2004-10-29,,,,,7.44,,,,,0
2004-11-01,,,,,7.44,,,,,0
2004-11-02,,,,,7.44,,,,,0
2004-11-03,,,,,7.44,,,,,0
2004-11-04,,,,,7.44,,,,,0
2004-11-05,,,,,7.44,,,,,0
2004-11-08,,,,,7.44,,,,,0
2004-11-09,,,,,7.44,,,,,0
2004-11-10,,,,,7.44,,,,,0
2004-11-11,,,,,7.44,,,,,0
2004-11-12,,,,,7.44,,,,,0
2004-11-15,,,,,7.44,,,,,0
2004-11-16,,,,,7.44,,,,,0
2004-11-17,,,,,7.44,,,,,0
2004-11-18,,,,,7.44,,,,,0
2004-11-19,,,,,7.44,,,,,0
2004-11-22,,,,,7.44,,,,,0
2004-11-23,,,,,7.44,,,,,0
2004-11-24,,,,,7.44,,,,,0
2004-11-25,,,,,7.44,,,,,0
2004-11-26,,,,,7.44,,,,,0
2004-11-29,,,,,7.44,,,,,0
2004-11-30,,,,,7.44,,,,,0
2004-12-01,,,,,9.92,,,,,0
2004-12-02,,,,,9.92,,,,,0
2004-12-03,,,,,9.92,,,,,0
2004-12-06,,,,,9.92,,,,,0
2004-12-07,,,,,9.92,,,,,0
2004-12-08,,,,,9.92,,,,,0
2004-12-09,,,,,9.92,,,,,0
2004-12-10,,,,,9.92,,,,,0
2004-12-13,,,,,9.92,,,,,0
2004-12-14,,,,,9.92,,,,,0
2004-12-15,,,,,9.92,,,,,0
2004-12-16,,,,,9.92,,,,,0
2004-12-17,,,,,9.92,,,,,0
2004-12-20,,,,,9.92,,,,,0
2004-12-21,,,,,9.92,,,,,0
2004-12-22,,,,,9.92,,,,,0
2004-12-23,,,,,9.92,,,,,0
2004-12-24,,,,,9.92,,,,,0
2004-12-27,,,,,9.92,,,,,0
2004-12-28,,,,,9.92,,,,,0
2004-12-29,,,,,9.92,,,,,0
2004-12-30,,,,,9.92,,,,,0
2004-12-31,,,,,9.92,,,,,0
2005-01-03,116.7,116.7,116.7,116.7,9.92,11.764112903225806,,,,0
2005-01-04,116.566667,116.566667,116.566667,116.566667,9.92,11.750672076612902,,,,0
2005-01-05,112.033333,112.033333,112.033333,112.033333,9.92,11.293682762096774,,,,0
2005-01-06,108.733333,108.733333,108.733333,108.733333,9.92,10.961021471774194,,,,0
2005-01-07,109.433333,109.433333,109.433333,109.433333,9.92,11.031585987903226,,,,0
2005-01-10,106.133333,106.133333,106.133333,106.133333,9.92,10.698924697580644,,,,0
2005-01-11,102.866667,102.866667,102.866667,102.866667,9.92,10.36962368951613,,,,0
2005-01-12,96.233333,96.233333,96.233333,96.233333,9.92,9.700940826612904,,,,0
2005-01-13,100.366667,100.366667,100.366667,100.366667,9.92,10.117607560483872,,,,0
2005-01-14,99.1,99.1,99.1,99.1,9.92,9.98991935483871,,,,0
2005-01-17,98.533333,98.533333,98.533333,98.533333,9.92,9.93279566532258,,,,0
2005-01-18,95.066667,95.066667,95.066667,95.066667,9.92,9.583333366935484,,,,0
2005-01-19,96.366667,96.366667,96.366667,96.366667,9.92,9.714381754032258,,,,0
2005-01-20,94.9,94.9,94.9,94.9,9.92,9.566532258064516,,,,0
2005-01-21,94.9,94.9,94.9,94.9,9.92,9.566532258064516,,,,0
2005-01-24,95.2,95.2,95.2,95.2,9.92,9.596774193548388,,,,0
2005-01-25,102.2,102.2,102.2,102.2,9.92,10.30241935483871,,,,0
2005-01-26,102.2,102.2,102.2,102.2,9.92,10.30241935483871,,,,0
2005-01-27,102.5,102.5,102.5,102.5,9.92,10.33266129032258,,,,0
2005-01-28,105.266667,105.266667,105.266667,105.266667,9.92,10.611559173387096,,,,0
2005-01-31,109.533333,109.533333,109.533333,109.533333,9.92,11.041666633064516,,,,0
2005-02-01,109.3,109.3,109.3,109.3,9.92,11.018145161290322,,,,0
2005-02-02,107.6,107.6,107.6,107.6,9.92,10.846774193548386,,,,0
2005-02-03,109.433333,109.433333,109.433333,109.433333,9.92,11.031585987903226,,,,0
2005-02-04,110.666667,110.666667,110.666667,110.666667,9.92,11.155914012096774,,,,0
2005-02-07,112.933333,112.933333,112.933333,112.933333,9.92,11.384408568548388,,,,0
2005-02-08,113.6,113.6,113.6,113.6,9.92,11.451612903225806,,,,0
2005-02-09,114.466667,114.466667,114.466667,114.466667,9.92,11.538978528225806,,,,0
2005-02-10,113.433333,113.433333,113.433333,113.433333,9.92,11.43481179435484,,,,0
2005-02-11,114.0,114.0,114.0,114.0,9.92,11.491935483870968,,,,0
2005-02-14,114.266667,114.266667,114.266667,114.266667,9.92,11.518817237903226,,,,0
2005-02-15,113.166667,113.166667,113.166667,113.166667,9.92,11.407930141129032,,,,0
2005-02-16,109.8,109.8,109.8,109.8,9.92,11.068548387096774,,,,0
2005-02-17,108.866667,108.866667,108.866667,108.866667,9.92,10.974462399193548,,,,0
2005-02-18,107.866667,107.866667,107.866667,107.866667,9.92,10.873655947580646,,,,0
2005-02-21,104.533333,104.533333,104.533333,104.533333,9.92,10.537634375,,,,0
2005-02-22,106.966667,106.966667,106.966667,106.966667,9.92,10.782930141129032,,,,0
2005-02-23,107.266667,107.266667,107.266667,107.266667,9.92,10.813172076612902,,,,0
2005-02-24,107.133333,107.133333,107.133333,107.133333,9.92,10.799731149193548,,,,0
2005-02-25,107.133333,107.133333,107.133333,107.133333,9.92,10.799731149193548,,,,0
2005-02-28,108.366667,108.366667,108.366667,108.366667,9.92,10.924059173387098,,,,0
