Date,Open,High,Low,Close,EPS,PE,Median_PE_90,Median_PE_180,Median_PE_365,Valid_Period
2004-09-01,,,,,-3.21,,,,,0
2004-09-02,,,,,-3.21,,,,,0
2004-09-03,,,,,-3.21,,,,,0
2004-09-06,,,,,-3.21,,,,,0
2004-09-07,,,,,-3.21,,,,,0
2004-09-08,,,,,-3.21,,,,,0
2004-09-09,,,,,-3.21,,,,,0
2004-09-10,,,,,-3.21,,,,,0
2004-09-13,,,,,-3.21,,,,,0
2004-09-14,,,,,-3.21,,,,,0
2004-09-15,,,,,-3.21,,,,,0
2004-09-16,,,,,-3.21,,,,,0
2004-09-17,,,,,-3.21,,,,,0
2004-09-20,,,,,-3.21,,,,,0
2004-09-21,,,,,-3.21,,,,,0
2004-09-22,,,,,-3.21,,,,,0
2004-09-23,,,,,-3.21,,,,,0
2004-09-24,,,,,-3.21,,,,,0
2004-09-27,,,,,-3.21,,,,,0
2004-09-28,,,,,-3.21,,,,,0
2004-09-29,,,,,-3.21,,,,,0
2004-09-30,,,,,-3.21,,,,,0
2004-10-01,,,,,-3.21,,,,,0
2004-10-04,,,,,-3.21,,,,,0
2004-10-05,,,,,-3.21,,,,,0
2004-10-06,,,,,-3.21,,,,,0
2004-10-07,,,,,-3.21,,,,,0
2004-10-08,,,,,-3.21,,,,,0
2004-10-11,,,,,-3.21,,,,,0
2004-10-12,,,,,-3.21,,,,,0
2004-10-13,,,,,-3.21,,,,,0
2004-10-14,,,,,-3.21,,,,,0
2004-10-15,,,,,-3.21,,,,,0
2004-10-18,,,,,-3.21,,,,,0
2004-10-19,,,,,-3.21,,,,,0
2004-10-20,,,,,-3.21,,,,,0
2004-10-21,,,,,-3.21,,,,,0
2004-10-22,,,,,-3.21,,,,,0
2004-10-25,,,,,-3.21,,,,,0
2004-10-26,,,,,-3.21,,,,,0
2004-10-27,,,,,-3.21,,,,,0
2004-10-28,,,,,-3.21,,,,,0
2004-10-29,,,,,-3.21,,,,,0
2004-11-01,,,,,-3.21,,,,,0
2004-11-02,,,,,-3.21,,,,,0
2004-11-03,,,,,-3.21,,,,,0
2004-11-04,,,,,-3.21,,,,,0
2004-11-05,,,,,-3.21,,,,,0
2004-11-08,,,,,-3.21,,,,,0
2004-11-09,,,,,-3.21,,,,,0
2004-11-10,,,,,-3.21,,,,,0
2004-11-11,,,,,-3.21,,,,,0
2004-11-12,,,,,-3.21,,,,,0
2004-11-15,,,,,-3.21,,,,,0
2004-11-16,,,,,-3.21,,,,,0
2004-11-17,,,,,-3.21,,,,,0
2004-11-18,,,,,-3.21,,,,,0
2004-11-19,,,,,-3.21,,,,,0
2004-11-22,,,,,-3.21,,,,,0
2004-11-23,,,,,-3.21,,,,,0
2004-11-24,,,,,-3.21,,,,,0
2004-11-25,,,,,-3.21,,,,,0
2004-11-26,,,,,-3.21,,,,,0
2004-11-29,,,,,-3.21,,,,,0
2004-11-30,,,,,-3.21,,,,,0
2004-12-01,,,,,-3.18,,,,,0
2004-12-02,,,,,-3.18,,,,,0
2004-12-03,,,,,-3.18,,,,,0
2004-12-06,,,,,-3.18,,,,,0
2004-12-07,,,,,-3.18,,,,,0
2004-12-08,,,,,-3.18,,,,,0
2004-12-09,,,,,-3.18,,,,,0
2004-12-10,,,,,-3.18,,,,,0
2004-12-13,,,,,-3.18,,,,,0
2004-12-14,,,,,-3.18,,,,,0
2004-12-15,,,,,-3.18,,,,,0
2004-12-16,,,,,-3.18,,,,,0
2004-12-17,,,,,-3.18,,,,,0
2004-12-20,,,,,-3.18,,,,,0
2004-12-21,,,,,-3.18,,,,,0
2004-12-22,,,,,-3.18,,,,,0
2004-12-23,,,,,-3.18,,,,,0
2004-12-24,,,,,-3.18,,,,,0
2004-12-27,,,,,-3.18,,,,,0
2004-12-28,,,,,-3.18,,,,,0
2004-12-29,,,,,-3.18,,,,,0
2004-12-30,,,,,-3.18,,,,,0
2004-12-31,,,,,-3.18,,,,,0
2005-01-03,12.192586,12.192586,12.192586,12.192586,-3.18,,,,,0
2005-01-04,11.755576,11.755576,11.755576,11.755576,-3.18,,,,,0
2005-01-05,11.10006,11.10006,11.10006,11.10006,-3.18,,,,,0
2005-01-06,10.575648,10.575648,10.575648,10.575648,-3.18,,,,,0
2005-01-07,10.968957,10.968957,10.968957,10.968957,-3.18,,,,,0
2005-01-10,11.362266,11.362266,11.362266,11.362266,-3.18,,,,,0
2005-01-11,10.837854,10.837854,10.837854,10.837854,-3.18,,,,,0
2005-01-12,9.439421,9.439421,9.439421,9.439421,-3.18,,,,,0
2005-01-13,10.094937,10.094937,10.094937,10.094937,-3.18,,,,,0
2005-01-14,10.094937,10.094937,10.094937,10.094937,-3.18,,,,,0
2005-01-17,9.657926,9.657926,9.657926,9.657926,-3.18,,,,,0
2005-01-18,9.657926,9.657926,9.657926,9.657926,-3.18,,,,,0
2005-01-19,9.264617,9.264617,9.264617,9.264617,-3.18,,,,,0
2005-01-20,9.089813,9.089813,9.089813,9.089813,-3.18,,,,,0
