Date,Open,High,Low,Close,EPS,PE,Median_PE_90,Median_PE_180,Median_PE_365,Valid_Period
2004-09-01,,,,,1.85,,,,,0
2004-09-02,,,,,1.85,,,,,0
2004-09-03,,,,,1.85,,,,,0
2004-09-06,,,,,1.85,,,,,0
2004-09-07,,,,,1.85,,,,,0
2004-09-08,,,,,1.85,,,,,0
2004-09-09,,,,,1.85,,,,,0
2004-09-10,,,,,1.85,,,,,0
2004-09-13,,,,,1.85,,,,,0
2004-09-14,,,,,1.85,,,,,0
2004-09-15,,,,,1.85,,,,,0
2004-09-16,,,,,1.85,,,,,0
2004-09-17,,,,,1.85,,,,,0
2004-09-20,,,,,1.85,,,,,0
2004-09-21,,,,,1.85,,,,,0
2004-09-22,,,,,1.85,,,,,0
2004-09-23,,,,,1.85,,,,,0
2004-09-24,,,,,1.85,,,,,0
2004-09-27,,,,,1.85,,,,,0
2004-09-28,,,,,1.85,,,,,0
2004-09-29,,,,,1.85,,,,,0
2004-09-30,,,,,1.85,,,,,0
2004-10-01,,,,,1.85,,,,,0
2004-10-04,,,,,1.85,,,,,0
2004-10-05,,,,,1.85,,,,,0
2004-10-06,,,,,1.85,,,,,0
2004-10-07,,,,,1.85,,,,,0
2004-10-08,,,,,1.85,,,,,0
2004-10-11,,,,,1.85,,,,,0
2004-10-12,,,,,1.85,,,,,0
2004-10-13,,,,,1.85,,,,,0
2004-10-14,,,,,1.85,,,,,0
2004-10-15,,,,,1.85,,,,,0
2004-10-18,,,,,1.85,,,,,0
2004-10-19,,,,,1.85,,,,,0
2004-10-20,,,,,1.85,,,,,0
2004-10-21,,,,,1.85,,,,,0
2004-10-22,,,,,1.85,,,,,0
2004-10-25,,,,,1.85,,,,,0
2004-10-26,,,,,1.85,,,,,0
2004-10-27,,,,,1.85,,,,,0
2004-10-28,,,,,1.85,,,,,0
2004-10-29,,,,,1.85,,,,,0
2004-11-01,,,,,1.85,,,,,0
2004-11-02,,,,,1.85,,,,,0
2004-11-03,,,,,1.85,,,,,0
2004-11-04,,,,,1.85,,,,,0
2004-11-05,,,,,1.85,,,,,0
2004-11-08,,,,,1.85,,,,,0
2004-11-09,,,,,1.85,,,,,0
2004-11-10,,,,,1.85,,,,,0
2004-11-11,,,,,1.85,,,,,0
2004-11-12,,,,,1.85,,,,,0
2004-11-15,,,,,1.85,,,,,0
2004-11-16,,,,,1.85,,,,,0
2004-11-17,,,,,1.85,,,,,0
2004-11-18,,,,,1.85,,,,,0
2004-11-19,,,,,1.85,,,,,0
2004-11-22,,,,,1.85,,,,,0
2004-11-23,,,,,1.85,,,,,0
2004-11-24,,,,,1.85,,,,,0
2004-11-25,,,,,1.85,,,,,0
2004-11-26,,,,,1.85,,,,,0
2004-11-29,,,,,1.85,,,,,0
2004-11-30,,,,,1.85,,,,,0
2004-12-01,,,,,0.59,,,,,0
2004-12-02,,,,,0.59,,,,,0
2004-12-03,,,,,0.59,,,,,0
2004-12-06,,,,,0.59,,,,,0
2004-12-07,,,,,0.59,,,,,0
2004-12-08,,,,,0.59,,,,,0
2004-12-09,,,,,0.59,,,,,0
2004-12-10,,,,,0.59,,,,,0
2004-12-13,,,,,0.59,,,,,0
2004-12-14,,,,,0.59,,,,,0
2004-12-15,,,,,0.59,,,,,0
2004-12-16,,,,,0.59,,,,,0
2004-12-17,,,,,0.59,,,,,0
2004-12-20,,,,,0.59,,,,,0
2004-12-21,,,,,0.59,,,,,0
2004-12-22,,,,,0.59,,,,,0
2004-12-23,,,,,0.59,,,,,0
2004-12-24,,,,,0.59,,,,,0
2004-12-27,,,,,0.59,,,,,0
2004-12-28,,,,,0.59,,,,,0
2004-12-29,,,,,0.59,,,,,0
2004-12-30,,,,,0.59,,,,,0
2004-12-31,,,,,0.59,,,,,0
2005-01-03,7.315,7.315,7.315,7.315,0.59,12.398305084745765,,,,0
2005-01-04,7.195,7.195,7.195,7.195,0.59,12.194915254237287,,,,0
2005-01-05,6.905,6.905,6.905,6.905,0.59,11.703389830508476,,,,0
2005-01-06,6.855,6.855,6.855,6.855,0.59,11.61864406779661,,,,0
2005-01-07,6.985,6.985,6.985,6.985,0.59,11.83898305084746,,,,0
2005-01-10,6.855,6.855,6.855,6.855,0.59,11.61864406779661,,,,0
2005-01-11,6.585,6.585,6.585,6.585,0.59,11.161016949152543,,,,0
2005-01-12,6.185,6.185,6.185,6.185,0.59,10.483050847457626,,,,0
2005-01-13,6.385,6.385,6.385,6.385,0.59,10.822033898305085,,,,0
2005-01-14,6.29,6.29,6.29,6.29,0.59,10.661016949152543,,,,0
2005-01-17,6.11,6.11,6.11,6.11,0.59,10.355932203389832,,,,0
2005-01-18,6.2,6.2,6.2,6.2,0.59,10.508474576271189,,,,0
2005-01-19,6.1,6.1,6.1,6.1,0.59,10.338983050847457,,,,0
2005-01-20,6.04,6.04,6.04,6.04,0.59,10.23728813559322,,,,0
2005-01-21,6.04,6.04,6.04,6.04,0.59,10.23728813559322,,,,0
2005-01-24,5.865,5.865,5.865,5.865,0.59,9.940677966101696,,,,0
2005-01-25,5.98,5.98,5.98,5.98,0.59,10.135593220338984,,,,0
2005-01-26,5.98,5.98,5.98,5.98,0.59,10.135593220338984,,,,0
2005-01-27,6.14,6.14,6.14,6.14,0.59,10.40677966101695,,,,0
2005-01-28,6.36,6.36,6.36,6.36,0.59,10.779661016949154,,,,0
2005-01-31,6.485,6.485,6.485,6.485,0.59,10.991525423728817,,,,0
2005-02-01,6.47,6.47,6.47,6.47,0.59,10.966101694915254,,,,0
2005-02-02,6.51,6.51,6.51,6.51,0.59,11.033898305084746,,,,0
2005-02-03,6.605,6.605,6.605,6.605,0.59,11.194915254237287,,,,0
2005-02-04,6.56,6.56,6.56,6.56,0.59,11.11864406779661,,,,0
2005-02-07,6.66,6.66,6.66,6.66,0.59,11.28813559322034,,,,0
2005-02-08,6.65,6.65,6.65,6.65,0.59,11.271186440677967,,,,0
2005-02-09,6.97,6.97,6.97,6.97,0.59,11.813559322033898,,,,0
2005-02-10,6.825,6.825,6.825,6.825,0.59,11.567796610169491,,,,0
2005-02-11,7.02,7.02,7.02,7.02,0.59,11.898305084745765,,,,0
2005-02-14,7.09,7.09,7.09,7.09,0.59,12.016949152542374,,,,1
2005-02-15,6.925,6.925,6.925,6.925,0.59,11.73728813559322,,,,1
2005-02-16,6.94,6.94,6.94,6.94,0.59,11.76271186440678,,,,1
2005-02-17,6.89,6.89,6.89,6.89,0.59,11.677966101694915,,,,1
2005-02-18,6.875,6.875,6.875,6.875,0.59,11.652542372881356,,,,1
2005-02-21,6.82,6.82,6.82,6.82,0.59,11.559322033898306,,,,1
2005-02-22,6.73,6.73,6.73,6.73,0.59,11.40677966101695,,,,1
2005-02-23,6.68,6.68,6.68,6.68,0.59,11.322033898305085,,,,1
2005-02-24,6.66,6.66,6.66,6.66,0.59,11.28813559322034,,,,1
2005-02-25,6.585,6.585,6.585,6.585,0.59,11.161016949152543,,,,1
2005-02-28,6.465,6.465,6.465,6.465,0.59,10.957627118644067,,,,1
2005-03-01,6.455,6.455,6.455,6.455,0.7,9.221428571428572,,,,1
2005-03-02,6.365,6.365,6.365,6.365,0.7,9.092857142857143,,,,1
2005-03-03,6.555,6.555,6.555,6.555,0.7,9.364285714285714,,,,1
2005-03-04,6.86,6.86,6.86,6.86,0.7,9.8,,,,1
2005-03-07,6.63,6.63,6.63,6.63,0.7,9.471428571428572,,,,1
2005-03-08,7.09,7.09,7.09,7.09,0.7,10.12857142857143,,,,1
2005-03-09,6.895,6.895,6.895,6.895,0.7,9.85,,,,1
2005-03-10,6.83,6.83,6.83,6.83,0.7,9.757142857142858,,,,1
2005-03-11,6.82,6.82,6.82,6.82,0.7,9.742857142857144,,,,1
2005-03-14,7.05,7.05,7.05,7.05,0.7,10.071428571428571,,,,1
2005-03-15,7.03,7.03,7.03,7.03,0.7,10.042857142857144,,,,1
2005-03-16,7.67,7.67,7.67,7.67,0.7,10.957142857142856,,,,1
2005-03-17,7.265,7.265,7.265,7.265,0.7,10.378571428571428,,,,1
2005-03-18,7.155,7.155,7.155,7.155,0.7,10.221428571428572,,,,1
2005-03-21,7.28,7.28,7.28,7.28,0.7,10.4,,,,1
2005-03-22,7.055,7.055,7.055,7.055,0.7,10.07857142857143,,,,1
2005-03-23,6.685,6.685,6.685,6.685,0.7,9.55,,,,1
2005-03-24,6.655,6.655,6.655,6.655,0.7,9.507142857142858,,,,1
2005-03-25,6.655,6.655,6.655,6.655,0.7,9.507142857142858,,,,1
2005-03-28,6.64,6.64,6.64,6.64,0.7,9.485714285714286,,,,1
2005-03-29,6.32,6.32,6.32,6.32,0.7,9.02857142857143,,,,1
2005-03-30,6.475,6.475,6.475,6.475,0.7,9.25,,,,1
2005-03-31,6.71,6.71,6.71,6.71,0.7,9.585714285714284,,,,1
2005-04-01,7.385,7.385,7.385,7.385,0.7,10.55,,,,1
2005-04-04,7.335,7.335,7.335,7.335,0.7,10.47857142857143,,,,1
2005-04-05,7.12,7.12,7.12,7.12,0.7,10.171428571428573,,,,1
2005-04-06,7.245,7.245,7.245,7.245,0.7,10.35,,,,1
2005-04-07,7.24,7.24,7.24,7.24,0.7,10.342857142857143,,,,1
2005-04-08,7.08,7.08,7.08,7.08,0.7,10.114285714285716,,,,1
2005-04-11,7.09,7.09,7.09,7.09,0.7,10.12857142857143,,,,1
2005-04-12,7.46,7.46,7.46,7.46,0.7,10.657142857142858,,,,1
2005-04-13,7.32,7.32,7.32,7.32,0.7,10.45714285714286,,,,1
