Date,Open,High,Low,Close,EPS,PE,Median_PE_90,Median_PE_180,Median_PE_365,Valid_Period
2004-09-01,,,,,20.24,,,,,0
2004-09-02,,,,,20.24,,,,,0
2004-09-03,,,,,20.24,,,,,0
2004-09-06,,,,,20.24,,,,,0
2004-09-07,,,,,20.24,,,,,0
2004-09-08,,,,,20.24,,,,,0
2004-09-09,,,,,20.24,,,,,0
2004-09-10,,,,,20.24,,,,,0
2004-09-13,,,,,20.24,,,,,0
2004-09-14,,,,,20.24,,,,,0
2004-09-15,,,,,20.24,,,,,0
2004-09-16,,,,,20.24,,,,,0
2004-09-17,,,,,20.24,,,,,0
2004-09-20,,,,,20.24,,,,,0
2004-09-21,,,,,20.24,,,,,0
2004-09-22,,,,,20.24,,,,,0
2004-09-23,,,,,20.24,,,,,0
2004-09-24,,,,,20.24,,,,,0
2004-09-27,,,,,20.24,,,,,0
2004-09-28,,,,,20.24,,,,,0
2004-09-29,,,,,20.24,,,,,0
2004-09-30,,,,,20.24,,,,,0
2004-10-01,,,,,20.24,,,,,0
2004-10-04,,,,,20.24,,,,,0
2004-10-05,,,,,20.24,,,,,0
2004-10-06,,,,,20.24,,,,,0
2004-10-07,,,,,20.24,,,,,0
2004-10-08,,,,,20.24,,,,,0
2004-10-11,,,,,20.24,,,,,0
2004-10-12,,,,,20.24,,,,,0
2004-10-13,,,,,20.24,,,,,0
2004-10-14,,,,,20.24,,,,,0
2004-10-15,,,,,20.24,,,,,0
2004-10-18,,,,,20.24,,,,,0
2004-10-19,,,,,20.24,,,,,0
2004-10-20,,,,,20.24,,,,,0
2004-10-21,,,,,20.24,,,,,0
2004-10-22,,,,,20.24,,,,,0
2004-10-25,,,,,20.24,,,,,0
2004-10-26,,,,,20.24,,,,,0
2004-10-27,,,,,20.24,,,,,0
2004-10-28,,,,,20.24,,,,,0
2004-10-29,,,,,20.24,,,,,0
2004-11-01,,,,,20.24,,,,,0
2004-11-02,,,,,20.24,,,,,0
2004-11-03,,,,,20.24,,,,,0
2004-11-04,,,,,20.24,,,,,0
2004-11-05,,,,,20.24,,,,,0
2004-11-08,,,,,20.24,,,,,0
2004-11-09,,,,,20.24,,,,,0
2004-11-10,,,,,20.24,,,,,0
2004-11-11,,,,,20.24,,,,,0
2004-11-12,,,,,20.24,,,,,0
2004-11-15,,,,,20.24,,,,,0
2004-11-16,,,,,20.24,,,,,0
2004-11-17,,,,,20.24,,,,,0
2004-11-18,,,,,20.24,,,,,0
2004-11-19,,,,,20.24,,,,,0
2004-11-22,,,,,20.24,,,,,0
2004-11-23,,,,,20.24,,,,,0
2004-11-24,,,,,20.24,,,,,0
2004-11-25,,,,,20.24,,,,,0
2004-11-26,,,,,20.24,,,,,0
2004-11-29,,,,,20.24,,,,,0
2004-11-30,,,,,20.24,,,,,0
2004-12-01,,,,,-3.47,,,,,0
2004-12-02,,,,,-3.47,,,,,0
2004-12-03,,,,,-3.47,,,,,0
2004-12-06,,,,,-3.47,,,,,0
2004-12-07,,,,,-3.47,,,,,0
2004-12-08,,,,,-3.47,,,,,0
2004-12-09,,,,,-3.47,,,,,0
2004-12-10,,,,,-3.47,,,,,0
2004-12-13,,,,,-3.47,,,,,0
2004-12-14,,,,,-3.47,,,,,0
2004-12-15,,,,,-3.47,,,,,0
2004-12-16,,,,,-3.47,,,,,0
2004-12-17,,,,,-3.47,,,,,0
2004-12-20,,,,,-3.47,,,,,0
2004-12-21,,,,,-3.47,,,,,0
2004-12-22,,,,,-3.47,,,,,0
2004-12-23,,,,,-3.47,,,,,0
2004-12-24,,,,,-3.47,,,,,0
2004-12-27,,,,,-3.47,,,,,0
2004-12-28,,,,,-3.47,,,,,0
2004-12-29,,,,,-3.47,,,,,0
2004-12-30,,,,,-3.47,,,,,0
2004-12-31,,,,,-3.47,,,,,0
2005-01-03,23.1,23.1,23.1,23.1,-3.47,,,,,0
2005-01-04,23.25,23.25,23.25,23.25,-3.47,,,,,0
2005-01-05,21.25,21.25,21.25,21.25,-3.47,,,,,0
2005-01-06,20.4,20.4,20.4,20.4,-3.47,,,,,0
2005-01-07,22.45,22.45,22.45,22.45,-3.47,,,,,0
2005-01-10,25.15,25.15,25.15,25.15,-3.47,,,,,0
2005-01-11,23.35,23.35,23.35,23.35,-3.47,,,,,0
2005-01-12,21.05,21.05,21.05,21.05,-3.47,,,,,0
2005-01-13,22.35,22.35,22.35,22.35,-3.47,,,,,0
2005-01-14,21.75,21.75,21.75,21.75,-3.47,,,,,0
2005-01-17,21.2,21.2,21.2,21.2,-3.47,,,,,0
2005-01-18,21.55,21.55,21.55,21.55,-3.47,,,,,0
2005-01-19,21.0,21.0,21.0,21.0,-3.47,,,,,0
2005-01-20,20.85,20.85,20.85,20.85,-3.47,,,,,0
2005-01-21,20.85,20.85,20.85,20.85,-3.47,,,,,0
2005-01-24,20.85,20.85,20.85,20.85,-3.47,,,,,0
2005-01-25,21.4,21.4,21.4,21.4,-3.47,,,,,0
2005-01-26,21.4,21.4,21.4,21.4,-3.47,,,,,0
2005-01-27,22.3,22.3,22.3,22.3,-3.47,,,,,0
2005-01-28,21.85,21.85,21.85,21.85,-3.47,,,,,0
2005-01-31,21.4,21.4,21.4,21.4,-3.47,,,,,0
2005-02-01,22.25,22.25,22.25,22.25,-3.47,,,,,0
2005-02-02,22.65,22.65,22.65,22.65,-3.47,,,,,0
2005-02-03,23.7,23.7,23.7,23.7,-3.47,,,,,0
2005-02-04,23.9,23.9,23.9,23.9,-3.47,,,,,0
2005-02-07,23.9,23.9,23.9,23.9,-3.47,,,,,0
2005-02-08,24.0,24.0,24.0,24.0,-3.47,,,,,0
2005-02-09,24.6,24.6,24.6,24.6,-3.47,,,,,0
2005-02-10,23.8,23.8,23.8,23.8,-3.47,,,,,0
2005-02-11,23.5,23.5,23.5,23.5,-3.47,,,,,0
2005-02-14,22.8,22.8,22.8,22.8,-3.47,,,,,0
2005-02-15,22.05,22.05,22.05,22.05,-3.47,,,,,0
2005-02-16,21.85,21.85,21.85,21.85,-3.47,,,,,0
2005-02-17,22.8,22.8,22.8,22.8,-3.47,,,,,0
2005-02-18,22.35,22.35,22.35,22.35,-3.47,,,,,0
2005-02-21,22.1,22.1,22.1,22.1,-3.47,,,,,0
2005-02-22,22.05,22.05,22.05,22.05,-3.47,,,,,0
2005-02-23,22.3,22.3,22.3,22.3,-3.47,,,,,0
2005-02-24,22.7,22.7,22.7,22.7,-3.47,,,,,0
2005-02-25,22.35,22.35,22.35,22.35,-3.47,,,,,0
2005-02-28,21.95,21.95,21.95,21.95,-3.47,,,,,0
2005-03-01,20.8,20.8,20.8,20.8,-10.02,,,,,0
2005-03-02,20.8,20.8,20.8,20.8,-10.02,,,,,0
2005-03-03,21.35,21.35,21.35,21.35,-10.02,,,,,0
2005-03-04,20.85,20.85,20.85,20.85,-10.02,,,,,0
2005-03-07,20.4,20.4,20.4,20.4,-10.02,,,,,0
2005-03-08,20.8,20.8,20.8,20.8,-10.02,,,,,0
2005-03-09,19.95,19.95,19.95,19.95,-10.02,,,,,0
2005-03-10,19.8,19.8,19.8,19.8,-10.02,,,,,0
2005-03-11,20.0,20.0,20.0,20.0,-10.02,,,,,0
2005-03-14,21.2,21.2,21.2,21.2,-10.02,,,,,0
2005-03-15,21.45,21.45,21.45,21.45,-10.02,,,,,0
2005-03-16,22.1,22.1,22.1,22.1,-10.02,,,,,0
2005-03-17,21.5,21.5,21.5,21.5,-10.02,,,,,0
2005-03-18,20.8,20.8,20.8,20.8,-10.02,,,,,0
2005-03-21,21.6,21.6,21.6,21.6,-10.02,,,,,0
2005-03-22,20.35,20.35,20.35,20.35,-10.02,,,,,0
2005-03-23,19.45,19.45,19.45,19.45,-10.02,,,,,0
2005-03-24,18.8,18.8,18.8,18.8,-10.02,,,,,0
2005-03-25,18.8,18.8,18.8,18.8,-10.02,,,,,0
2005-03-28,19.25,19.25,19.25,19.25,-10.02,,,,,0
2005-03-29,17.55,17.55,17.55,17.55,-10.02,,,,,0
2005-03-30,18.45,18.45,18.45,18.45,-10.02,,,,,0
2005-03-31,18.8,18.8,18.8,18.8,-10.02,,,,,0
2005-04-01,19.6,19.6,19.6,19.6,-10.02,,,,,0
2005-04-04,19.65,19.65,19.65,19.65,-10.02,,,,,0
2005-04-05,19.15,19.15,19.15,19.15,-10.02,,,,,0
2005-04-06,20.4,20.4,20.4,20.4,-10.02,,,,,0
2005-04-07,20.05,20.05,20.05,20.05,-10.02,,,,,0
2005-04-08,19.65,19.65,19.65,19.65,-10.02,,,,,0
2005-04-11,19.15,19.15,19.15,19.15,-10.02,,,,,0
2005-04-12,19.5,19.5,19.5,19.5,-10.02,,,,,0
2005-04-13,19.3,19.3,19.3,19.3,-10.02,,,,,0
2005-04-14,19.3,19.3,19.3,19.3,-10.02,,,,,0
2005-04-15,18.7,18.7,18.7,18.7,-10.02,,,,,0
2005-04-18,18.3,18.3,18.3,18.3,-10.02,,,,,0
2005-04-19,18.1,18.1,18.1,18.1,-10.02,,,,,0
2005-04-20,17.9,17.9,17.9,17.9,-10.02,,,,,0
2005-04-21,18.45,18.45,18.45,18.45,-10.02,,,,,0
2005-04-22,18.5,18.5,18.5,18.5,-10.02,,,,,0
2005-04-25,18.5,18.5,18.5,18.5,-10.02,,,,,0
2005-04-26,18.5,18.5,18.5,18.5,-10.02,,,,,0
2005-04-27,18.3,18.3,18.3,18.3,-10.02,,,,,0
2005-04-28,18.35,18.35,18.35,18.35,-10.02,,,,,0
2005-04-29,18.45,18.45,18.45,18.45,-10.02,,,,,0
2005-05-02,18.2,18.2,18.2,18.2,-10.02,,,,,0
2005-05-03,18.3,18.3,18.3,18.3,-10.02,,,,,0
2005-05-04,18.3,18.3,18.3,18.3,-10.02,,,,,0
2005-05-05,18.8,18.8,18.8,18.8,-10.02,,,,,0
2005-05-06,19.15,19.15,19.15,19.15,-10.02,,,,,0
2005-05-09,20.05,20.05,20.05,20.05,-10.02,,,,,0
2005-05-10,20.1,20.1,20.1,20.1,-10.02,,,,,0
2005-05-11,20.35,20.35,20.35,20.35,-10.02,,,,,0
2005-05-12,21.05,21.05,21.05,21.05,-10.02,,,,,0
2005-05-13,21.4,21.4,21.4,21.4,-10.02,,,,,0
2005-05-16,21.65,21.65,21.65,21.65,-10.02,,,,,0
2005-05-17,20.95,20.95,20.95,20.95,-10.02,,,,,0
2005-05-18,20.85,20.85,20.85,20.85,-10.02,,,,,0
2005-05-19,22.65,22.65,22.65,22.65,-10.02,,,,,0
2005-05-20,21.95,21.95,21.95,21.95,-10.02,,,,,0
2005-05-23,22.45,22.45,22.45,22.45,-10.02,,,,,0
2005-05-24,22.0,22.0,22.0,22.0,-10.02,,,,,0
2005-05-25,22.35,22.35,22.35,22.35,-10.02,,,,,0
2005-05-26,22.25,22.25,22.25,22.25,-10.02,,,,,0
2005-05-27,21.6,21.6,21.6,21.6,-10.02,,,,,0
2005-05-30,21.9,21.9,21.9,21.9,-10.02,,,,,0
2005-05-31,21.55,21.55,21.55,21.55,-10.02,,,,,0
2005-06-01,22.15,22.15,22.15,22.15,-3.91,,,,,0
2005-06-02,22.2,22.2,22.2,22.2,-3.91,,,,,0
2005-06-03,22.55,22.55,22.55,22.55,-3.91,,,,,0
2005-06-04,22.45,22.45,22.45,22.45,-3.91,,,,,0
2005-06-06,22.4,22.4,22.4,22.4,-3.91,,,,,0
2005-06-07,23.15,23.15,23.15,23.15,-3.91,,,,,0
2005-06-08,23.65,23.65,23.65,23.65,-3.91,,,,,0
2005-06-09,23.9,23.9,23.9,23.9,-3.91,,,,,0
2005-06-10,23.45,23.45,23.45,23.45,-3.91,,,,,0
2005-06-13,23.15,23.15,23.15,23.15,-3.91,,,,,0
2005-06-14,22.95,22.95,22.95,22.95,-3.91,,,,,0
2005-06-15,22.8,22.8,22.8,22.8,-3.91,,,,,0
2005-06-16,22.6,22.6,22.6,22.6,-3.91,,,,,0
2005-06-17,21.5,21.5,21.5,21.5,-3.91,,,,,0
2005-06-20,21.2,21.2,21.2,21.2,-3.91,,,,,0
2005-06-21,21.25,21.25,21.25,21.25,-3.91,,,,,0
