Date,Open,High,Low,Close,EPS,PE,Median_PE_90,Median_PE_180,Median_PE_365,Valid_Period
2004-09-01,,,,,0.3,,,,,0
2004-09-02,,,,,0.3,,,,,0
2004-09-03,,,,,0.3,,,,,0
2004-09-06,,,,,0.3,,,,,0
2004-09-07,,,,,0.3,,,,,0
2004-09-08,,,,,0.3,,,,,0
2004-09-09,,,,,0.3,,,,,0
2004-09-10,,,,,0.3,,,,,0
2004-09-13,,,,,0.3,,,,,0
2004-09-14,,,,,0.3,,,,,0
2004-09-15,,,,,0.3,,,,,0
2004-09-16,,,,,0.3,,,,,0
2004-09-17,,,,,0.3,,,,,0
2004-09-20,,,,,0.3,,,,,0
2004-09-21,,,,,0.3,,,,,0
2004-09-22,,,,,0.3,,,,,0
2004-09-23,,,,,0.3,,,,,0
2004-09-24,,,,,0.3,,,,,0
2004-09-27,,,,,0.3,,,,,0
2004-09-28,,,,,0.3,,,,,0
2004-09-29,,,,,0.3,,,,,0
2004-09-30,,,,,0.3,,,,,0
2004-10-01,,,,,0.3,,,,,0
2004-10-04,,,,,0.3,,,,,0
2004-10-05,,,,,0.3,,,,,0
2004-10-06,,,,,0.3,,,,,0
2004-10-07,,,,,0.3,,,,,0
2004-10-08,,,,,0.3,,,,,0
2004-10-11,,,,,0.3,,,,,0
2004-10-12,,,,,0.3,,,,,0
2004-10-13,,,,,0.3,,,,,0
2004-10-14,,,,,0.3,,,,,0
2004-10-15,,,,,0.3,,,,,0
2004-10-18,,,,,0.3,,,,,0
2004-10-19,,,,,0.3,,,,,0
2004-10-20,,,,,0.3,,,,,0
2004-10-21,,,,,0.3,,,,,0
2004-10-22,,,,,0.3,,,,,0
2004-10-25,,,,,0.3,,,,,0
2004-10-26,,,,,0.3,,,,,0
2004-10-27,,,,,0.3,,,,,0
2004-10-28,,,,,0.3,,,,,0
2004-10-29,,,,,0.3,,,,,0
2004-11-01,,,,,0.3,,,,,0
2004-11-02,,,,,0.3,,,,,0
2004-11-03,,,,,0.3,,,,,0
2004-11-04,,,,,0.3,,,,,0
2004-11-05,,,,,0.3,,,,,0
2004-11-08,,,,,0.3,,,,,0
2004-11-09,,,,,0.3,,,,,0
2004-11-10,,,,,0.3,,,,,0
2004-11-11,,,,,0.3,,,,,0
2004-11-12,,,,,0.3,,,,,0
2004-11-15,,,,,0.3,,,,,0
2004-11-16,,,,,0.3,,,,,0
2004-11-17,,,,,0.3,,,,,0
2004-11-18,,,,,0.3,,,,,0
2004-11-19,,,,,0.3,,,,,0
2004-11-22,,,,,0.3,,,,,0
2004-11-23,,,,,0.3,,,,,0
2004-11-24,,,,,0.3,,,,,0
2004-11-25,,,,,0.3,,,,,0
2004-11-26,,,,,0.3,,,,,0
2004-11-29,,,,,0.3,,,,,0
2004-11-30,,,,,0.3,,,,,0
2004-12-01,,,,,0.46,,,,,0
2004-12-02,,,,,0.46,,,,,0
2004-12-03,,,,,0.46,,,,,0
2004-12-06,,,,,0.46,,,,,0
2004-12-07,,,,,0.46,,,,,0
2004-12-08,,,,,0.46,,,,,0
2004-12-09,,,,,0.46,,,,,0
2004-12-10,,,,,0.46,,,,,0
2004-12-13,,,,,0.46,,,,,0
2004-12-14,,,,,0.46,,,,,0
2004-12-15,,,,,0.46,,,,,0
2004-12-16,,,,,0.46,,,,,0
2004-12-17,,,,,0.46,,,,,0
2004-12-20,,,,,0.46,,,,,0
2004-12-21,,,,,0.46,,,,,0
2004-12-22,,,,,0.46,,,,,0
2004-12-23,,,,,0.46,,,,,0
2004-12-24,,,,,0.46,,,,,0
2004-12-27,,,,,0.46,,,,,0
2004-12-28,,,,,0.46,,,,,0
2004-12-29,,,,,0.46,,,,,0
2004-12-30,,,,,0.46,,,,,0
2004-12-31,,,,,0.46,,,,,0
2005-01-03,122.2,122.2,122.2,122.2,0.46,265.6521739130435,,,,0
2005-01-04,125.1,125.1,125.1,125.1,0.46,271.95652173913044,,,,0
2005-01-05,117.35,117.35,117.35,117.35,0.46,255.10869565217388,,,,0
2005-01-06,116.8,116.8,116.8,116.8,0.46,253.91304347826085,,,,0
2005-01-07,121.25,121.25,121.25,121.25,0.46,263.5869565217391,,,,0
2005-01-10,116.75,116.75,116.75,116.75,0.46,253.8043478260869,,,,0
2005-01-11,109.05,109.05,109.05,109.05,0.46,237.0652173913044,,,,0
2005-01-12,95.35,95.35,95.35,95.35,0.46,207.28260869565216,,,,0
2005-01-13,101.4,101.4,101.4,101.4,0.46,220.43478260869568,,,,0
2005-01-14,104.85,104.85,104.85,104.85,0.46,227.93478260869563,,,,0
2005-01-17,102.15,102.15,102.15,102.15,0.46,222.0652173913044,,,,0
2005-01-18,102.1,102.1,102.1,102.1,0.46,221.9565217391304,,,,0
2005-01-19,101.0,101.0,101.0,101.0,0.46,219.5652173913044,,,,0
2005-01-20,98.45,98.45,98.45,98.45,0.46,214.0217391304348,,,,0
2005-01-21,98.45,98.45,98.45,98.45,0.46,214.0217391304348,,,,0
2005-01-24,98.1,98.1,98.1,98.1,0.46,213.2608695652173,,,,0
2005-01-25,97.5,97.5,97.5,97.5,0.46,211.95652173913044,,,,0
2005-01-26,97.5,97.5,97.5,97.5,0.46,211.95652173913044,,,,0
2005-01-27,104.7,104.7,104.7,104.7,0.46,227.6086956521739,,,,0
2005-01-28,103.45,103.45,103.45,103.45,0.46,224.8913043478261,,,,0
2005-01-31,104.55,104.55,104.55,104.55,0.46,227.28260869565216,,,,0
2005-02-01,101.6,101.6,101.6,101.6,0.46,220.86956521739128,,,,0
2005-02-02,102.6,102.6,102.6,102.6,0.46,223.0434782608696,,,,0
2005-02-03,108.8,108.8,108.8,108.8,0.46,236.52173913043475,,,,0
2005-02-04,106.6,106.6,106.6,106.6,0.46,231.7391304347826,,,,0
2005-02-07,106.2,106.2,106.2,106.2,0.46,230.8695652173913,,,,0
2005-02-08,103.7,103.7,103.7,103.7,0.46,225.43478260869568,,,,0
2005-02-09,106.8,106.8,106.8,106.8,0.46,232.17391304347825,,,,0
2005-02-10,106.2,106.2,106.2,106.2,0.46,230.8695652173913,,,,0
2005-02-11,102.85,102.85,102.85,102.85,0.46,223.5869565217391,,,,0
2005-02-14,103.1,103.1,103.1,103.1,0.46,224.13043478260863,,,,0
2005-02-15,106.2,106.2,106.2,106.2,0.46,230.8695652173913,,,,0
2005-02-16,102.8,102.8,102.8,102.8,0.46,223.4782608695652,,,,0
2005-02-17,100.45,100.45,100.45,100.45,0.46,218.3695652173913,,,,0
2005-02-18,100.3,100.3,100.3,100.3,0.46,218.0434782608696,,,,0
2005-02-21,98.6,98.6,98.6,98.6,0.46,214.3478260869565,,,,0
2005-02-22,98.8,98.8,98.8,98.8,0.46,214.78260869565216,,,,0
2005-02-23,99.0,99.0,99.0,99.0,0.46,215.2173913043478,,,,0
2005-02-24,100.75,100.75,100.75,100.75,0.46,219.0217391304348,,,,0
2005-02-25,99.8,99.8,99.8,99.8,0.46,216.9565217391304,,,,0
2005-02-28,100.0,100.0,100.0,100.0,0.46,217.3913043478261,,,,0
2005-03-01,109.45,109.45,109.45,109.45,-0.47,,,,,0
2005-03-02,111.0,111.0,111.0,111.0,-0.47,,,,,0
2005-03-03,109.45,109.45,109.45,109.45,-0.47,,,,,0
2005-03-04,109.0,109.0,109.0,109.0,-0.47,,,,,0
2005-03-07,109.65,109.65,109.65,109.65,-0.47,,,,,0
2005-03-08,115.4,115.4,115.4,115.4,-0.47,,,,,0
2005-03-09,109.1,109.1,109.1,109.1,-0.47,,,,,0
2005-03-10,112.75,112.75,112.75,112.75,-0.47,,,,,0
2005-03-11,115.05,115.05,115.05,115.05,-0.47,,,,,0
2005-03-14,108.1,108.1,108.1,108.1,-0.47,,,,,0
2005-03-15,101.85,101.85,101.85,101.85,-0.47,,,,,0
2005-03-16,100.3,100.3,100.3,100.3,-0.47,,,,,0
2005-03-17,96.6,96.6,96.6,96.6,-0.47,,,,,0
2005-03-18,91.65,91.65,91.65,91.65,-0.47,,,,,0
2005-03-21,90.95,90.95,90.95,90.95,-0.47,,,,,0
2005-03-22,92.6,92.6,92.6,92.6,-0.47,,,,,0
2005-03-23,90.65,90.65,90.65,90.65,-0.47,,,,,0
2005-03-24,86.85,86.85,86.85,86.85,-0.47,,,,,0
2005-03-25,86.85,86.85,86.85,86.85,-0.47,,,,,0
2005-03-28,85.45,85.45,85.45,85.45,-0.47,,,,,0
2005-03-29,78.55,78.55,78.55,78.55,-0.47,,,,,0
2005-03-30,80.2,80.2,80.2,80.2,-0.47,,,,,0
2005-03-31,82.5,82.5,82.5,82.5,-0.47,,,,,0
2005-04-01,85.4,85.4,85.4,85.4,-0.47,,,,,0
2005-04-04,85.2,85.2,85.2,85.2,-0.47,,,,,0
2005-04-05,84.2,84.2,84.2,84.2,-0.47,,,,,0
2005-04-06,85.95,85.95,85.95,85.95,-0.47,,,,,0
2005-04-07,86.6,86.6,86.6,86.6,-0.47,,,,,0
2005-04-08,85.1,85.1,85.1,85.1,-0.47,,,,,0
2005-04-11,81.6,81.6,81.6,81.6,-0.47,,,,,0
2005-04-12,83.55,83.55,83.55,83.55,-0.47,,,,,0
2005-04-13,81.35,81.35,81.35,81.35,-0.47,,,,,0
2005-04-14,81.35,81.35,81.35,81.35,-0.47,,,,,0
2005-04-15,79.05,79.05,79.05,79.05,-0.47,,,,,0
2005-04-18,79.35,79.35,79.35,79.35,-0.47,,,,,0
2005-04-19,78.15,78.15,78.15,78.15,-0.47,,,,,0
2005-04-20,77.75,77.75,77.75,77.75,-0.47,,,,,0
2005-04-21,79.25,79.25,79.25,79.25,-0.47,,,,,0
2005-04-22,80.65,80.65,80.65,80.65,-0.47,,,,,0
2005-04-25,79.8,79.8,79.8,79.8,-0.47,,,,,0
2005-04-26,79.4,79.4,79.4,79.4,-0.47,,,,,0
2005-04-27,78.35,78.35,78.35,78.35,-0.47,,,,,0
2005-04-28,76.9,76.9,76.9,76.9,-0.47,,,,,0
2005-04-29,74.15,74.15,74.15,74.15,-0.47,,,,,0
2005-05-02,71.5,71.5,71.5,71.5,-0.47,,,,,0
2005-05-03,70.35,70.35,70.35,70.35,-0.47,,,,,0
2005-05-04,71.2,71.2,71.2,71.2,-0.47,,,,,0
2005-05-05,73.95,73.95,73.95,73.95,-0.47,,,,,0
2005-05-06,74.35,74.35,74.35,74.35,-0.47,,,,,0
2005-05-09,74.8,74.8,74.8,74.8,-0.47,,,,,0
2005-05-10,73.95,73.95,73.95,73.95,-0.47,,,,,0
2005-05-11,73.2,73.2,73.2,73.2,-0.47,,,,,0
2005-05-12,74.45,74.45,74.45,74.45,-0.47,,,,,0
2005-05-13,76.6,76.6,76.6,76.6,-0.47,,,,,0
2005-05-16,77.15,77.15,77.15,77.15,-0.47,,,,,0
2005-05-17,75.05,75.05,75.05,75.05,-0.47,,,,,0
2005-05-18,74.3,74.3,74.3,74.3,-0.47,,,,,0
2005-05-19,76.8,76.8,76.8,76.8,-0.47,,,,,0
2005-05-20,76.55,76.55,76.55,76.55,-0.47,,,,,0
2005-05-23,76.3,76.3,76.3,76.3,-0.47,,,,,0
2005-05-24,75.1,75.1,75.1,75.1,-0.47,,,,,0
2005-05-25,74.65,74.65,74.65,74.65,-0.47,,,,,0
2005-05-26,74.35,74.35,74.35,74.35,-0.47,,,,,0
2005-05-27,73.35,73.35,73.35,73.35,-0.47,,,,,0
2005-05-30,72.15,72.15,72.15,72.15,-0.47,,,,,0
2005-05-31,73.4,73.4,73.4,73.4,-0.47,,,,,0
2005-06-01,74.0,74.0,74.0,74.0,1.17,63.24786324786325,,,,0
2005-06-02,75.75,75.75,75.75,75.75,1.17,64.74358974358975,,,,0
2005-06-03,73.45,73.45,73.45,73.45,1.17,62.777777777777786,,,,0
2005-06-04,72.9,72.9,72.9,72.9,1.17,62.30769230769232,,,,0
2005-06-06,73.35,73.35,73.35,73.35,1.17,62.69230769230769,,,,0
2005-06-07,73.75,73.75,73.75,73.75,1.17,63.03418803418804,,,,0
2005-06-08,77.05,77.05,77.05,77.05,1.17,65.85470085470085,,,,0
2005-06-09,76.2,76.2,76.2,76.2,1.17,65.12820512820514,,,,0
2005-06-10,75.6,75.6,75.6,75.6,1.17,64.61538461538461,,,,0
2005-06-13,75.9,75.9,75.9,75.9,1.17,64.87179487179488,,,,0
2005-06-14,81.65,81.65,81.65,81.65,1.17,69.7863247863248,,,,0
2005-06-15,79.5,79.5,79.5,79.5,1.17,67.94871794871796,,,,0
2005-06-16,82.05,82.05,82.05,82.05,1.17,70.12820512820512,,,,0
2005-06-17,78.2,78.2,78.2,78.2,1.17,66.83760683760684,,,,0
2005-06-20,76.55,76.55,76.55,76.55,1.17,65.42735042735043,,,,0
2005-06-21,76.55,76.55,76.55,76.55,1.17,65.42735042735043,,,,0
2005-06-22,76.05,76.05,76.05,76.05,1.17,65.0,,,,0
2005-06-23,76.3,76.3,76.3,76.3,1.17,65.21367521367522,,,,0
2005-06-24,77.2,77.2,77.2,77.2,1.17,65.98290598290599,,,,0
2005-06-27,76.55,76.55,76.55,76.55,1.17,65.42735042735043,,,,0
2005-06-28,75.8,75.8,75.8,75.8,1.17,64.78632478632478,,,,0
2005-06-29,75.5,75.5,75.5,75.5,1.17,64.52991452991454,,,,0
2005-06-30,77.45,77.45,77.45,77.45,1.17,66.1965811965812,,,,0
2005-07-01,78.7,78.7,78.7,78.7,1.17,67.26495726495727,,,,0
2005-07-04,84.05,84.05,84.05,84.05,1.17,71.83760683760684,,,,0
2005-07-05,82.95,82.95,82.95,82.95,1.17,70.8974358974359,,,,0
2005-07-06,82.75,82.75,82.75,82.75,1.17,70.72649572649573,,,,0
2005-07-07,81.5,81.5,81.5,81.5,1.17,69.65811965811966,,,,0
2005-07-08,82.55,82.55,82.55,82.55,1.17,70.55555555555556,,,,0
2005-07-11,83.8,83.8,83.8,83.8,1.17,71.62393162393163,,,,0
2005-07-12,83.25,83.25,83.25,83.25,1.17,71.15384615384616,,,,0
2005-07-13,83.9,83.9,83.9,83.9,1.17,71.70940170940172,,,,0
2005-07-14,84.3,84.3,84.3,84.3,1.17,72.05128205128206,,,,0
2005-07-15,85.75,85.75,85.75,85.75,1.17,73.2905982905983,,,,0
2005-07-18,86.7,86.7,86.7,86.7,1.17,74.10256410256412,,,,0
2005-07-19,86.3,86.3,86.3,86.3,1.17,73.76068376068376,,,,0
2005-07-20,85.45,85.45,85.45,85.45,1.17,73.03418803418803,,,,0
2005-07-21,83.8,83.8,83.8,83.8,1.17,71.62393162393163,,,,0
2005-07-22,87.45,87.45,87.45,87.45,1.17,74.74358974358975,,,,0
2005-07-25,86.9,86.9,86.9,86.9,1.17,74.27350427350429,,,,0
2005-07-26,86.5,86.5,86.5,86.5,1.17,73.93162393162393,,,,0
2005-07-27,85.85,85.85,85.85,85.85,1.17,73.37606837606837,,,,0
2005-07-28,85.85,85.85,85.85,85.85,1.17,73.37606837606837,,,,0
2005-07-29,83.85,83.85,83.85,83.85,1.17,71.66666666666667,,,,0
2005-08-01,85.3,85.3,85.3,85.3,1.17,72.90598290598291,,,,0
2005-08-02,86.8,86.8,86.8,86.8,1.17,74.1880341880342,,,,0
2005-08-03,84.95,84.95,84.95,84.95,1.17,72.60683760683762,,,,0
2005-08-04,84.7,84.7,84.7,84.7,1.17,72.3931623931624,,,,0
2005-08-05,85.2,85.2,85.2,85.2,1.17,72.82051282051283,,,,0
2005-08-08,85.45,85.45,85.45,85.45,1.17,73.03418803418803,,,,0
2005-08-09,83.3,83.3,83.3,83.3,1.17,71.19658119658119,,,,0
2005-08-10,84.35,84.35,84.35,84.35,1.17,72.09401709401709,,,,0
2005-08-11,86.55,86.55,86.55,86.55,1.17,73.97435897435898,,,,0
2005-08-12,84.9,84.9,84.9,84.9,1.17,72.56410256410257,,,,0
2005-08-15,84.9,84.9,84.9,84.9,1.17,72.56410256410257,,,,0
2005-08-16,86.15,86.15,86.15,86.15,1.17,73.63247863247864,,,,0
2005-08-17,88.75,88.75,88.75,88.75,1.17,75.85470085470087,,,,0
2005-08-18,103.1,103.1,103.1,103.1,1.17,88.11965811965813,,,,0
2005-08-19,103.3,103.3,103.3,103.3,1.17,88.2905982905983,,,,0
2005-08-22,101.05,101.05,101.05,101.05,1.17,86.36752136752138,,,,0
2005-08-23,94.95,94.95,94.95,94.95,1.17,81.15384615384616,,,,0
2005-08-24,91.55,91.55,91.55,91.55,1.17,78.24786324786325,,,,0
2005-08-25,93.25,93.25,93.25,93.25,1.17,79.7008547008547,,,,0
2005-08-26,94.55,94.55,94.55,94.55,1.17,80.81196581196582,,,,0
2005-08-29,96.05,96.05,96.05,96.05,1.17,82.09401709401709,,,,0
2005-08-30,101.3,101.3,101.3,101.3,1.17,86.58119658119658,,,,0
2005-08-31,99.75,99.75,99.75,99.75,1.17,85.25641025641026,,,,0
2005-09-01,102.9,102.9,102.9,102.9,0.28,367.5,,,,0
2005-09-02,106.6,106.6,106.6,106.6,0.28,380.71428571428567,,,,0
2005-09-05,107.95,107.95,107.95,107.95,0.28,385.5357142857143,,,,0
2005-09-06,112.8,112.8,112.8,112.8,0.28,402.8571428571428,,,,0
2005-09-07,112.8,112.8,112.8,112.8,0.28,402.8571428571428,,,,0
2005-09-08,111.5,111.5,111.5,111.5,0.28,398.21428571428567,,,,0
2005-09-09,106.25,106.25,106.25,106.25,0.28,379.46428571428567,,,,0
2005-09-12,109.75,109.75,109.75,109.75,0.28,391.96428571428567,,,,0
2005-09-13,108.1,108.1,108.1,108.1,0.28,386.0714285714285,,,,0
2005-09-14,104.1,104.1,104.1,104.1,0.28,371.7857142857142,,,,0
2005-09-15,104.35,104.35,104.35,104.35,0.28,372.6785714285714,,,,0
2005-09-16,105.05,105.05,105.05,105.05,0.28,375.1785714285714,,,,0
2005-09-19,103.85,103.85,103.85,103.85,0.28,370.8928571428571,,,,0
2005-09-20,103.45,103.45,103.45,103.45,0.28,369.46428571428567,,,,0
2005-09-21,99.9,99.9,99.9,99.9,0.28,356.7857142857143,,,,0
2005-09-22,95.0,95.0,95.0,95.0,0.28,339.2857142857143,,,,0
2005-09-23,92.85,92.85,92.85,92.85,0.28,331.60714285714283,,,,0
2005-09-26,96.8,96.8,96.8,96.8,0.28,345.71428571428567,,,,0
2005-09-27,95.8,95.8,95.8,95.8,0.28,342.1428571428571,,,,0
2005-09-28,99.95,99.95,99.95,99.95,0.28,356.96428571428567,,,,0
2005-09-29,95.8,95.8,95.8,95.8,0.28,342.1428571428571,,,,0
2005-09-30,93.6,93.6,93.6,93.6,0.28,334.2857142857142,,,,0
2005-10-03,93.25,93.25,93.25,93.25,0.28,333.0357142857143,73.16239316239316,,,0
2005-10-04,95.5,95.5,95.5,95.5,0.28,341.07142857142856,73.33333333333334,,,0
2005-10-05,99.9,99.9,99.9,99.9,0.28,356.7857142857143,73.37606837606837,,,0
2005-10-06,104.0,104.0,104.0,104.0,0.28,371.4285714285714,73.5042735042735,,,0
2005-10-07,108.2,108.2,108.2,108.2,0.28,386.4285714285714,73.6965811965812,,,0
2005-10-10,107.0,107.0,107.0,107.0,0.28,382.1428571428571,73.84615384615384,,,0
2005-10-11,102.75,102.75,102.75,102.75,0.28,366.96428571428567,73.95299145299145,,,0
2005-10-12,102.75,102.75,102.75,102.75,0.28,366.96428571428567,74.03846153846155,,,0
2005-10-13,107.7,107.7,107.7,107.7,0.28,384.6428571428571,74.14529914529916,,,0
2005-10-14,104.95,104.95,104.95,104.95,0.28,374.82142857142856,74.23076923076924,,,0
2005-10-17,102.8,102.8,102.8,102.8,0.28,367.1428571428571,74.50854700854703,,,0
2005-10-18,104.1,104.1,104.1,104.1,0.28,371.7857142857142,75.29914529914531,,,0
2005-10-19,99.05,99.05,99.05,99.05,0.28,353.74999999999994,77.05128205128206,,,0
2005-10-20,94.25,94.25,94.25,94.25,0.28,336.60714285714283,78.97435897435898,,,0
2005-10-21,92.05,92.05,92.05,92.05,0.28,328.74999999999994,80.25641025641026,,,0
2005-10-24,92.05,92.05,92.05,92.05,0.28,328.74999999999994,80.98290598290599,,,0
2005-10-25,96.65,96.65,96.65,96.65,0.28,345.1785714285714,81.62393162393163,,,0
2005-10-26,97.85,97.85,97.85,97.85,0.28,349.46428571428567,83.67521367521368,,,0
2005-10-27,98.0,98.0,98.0,98.0,0.28,349.99999999999994,85.81196581196582,,,0
2005-10-28,93.7,93.7,93.7,93.7,0.28,334.6428571428571,86.47435897435898,,,0
2005-10-31,95.35,95.35,95.35,95.35,0.28,340.5357142857142,87.35042735042735,,,0
2005-11-01,100.15,100.15,100.15,100.15,0.28,357.6785714285714,88.2051282051282,,,0
2005-11-02,99.15,99.15,99.15,99.15,0.28,354.10714285714283,208.5202991452992,,,0
2005-11-03,99.15,99.15,99.15,99.15,0.28,354.10714285714283,328.74999999999994,,,0
2005-11-04,99.15,99.15,99.15,99.15,0.28,354.10714285714283,330.1785714285714,,,0
2005-11-07,101.65,101.65,101.65,101.65,0.28,363.0357142857143,332.32142857142856,,,0
2005-11-08,102.1,102.1,102.1,102.1,0.28,364.6428571428571,333.6607142857142,,,0
2005-11-09,107.25,107.25,107.25,107.25,0.28,383.0357142857143,334.46428571428567,,,0
2005-11-10,106.9,106.9,106.9,106.9,0.28,381.7857142857143,335.625,,,0
2005-11-11,106.05,106.05,106.05,106.05,0.28,378.75,337.94642857142856,,,0
2005-11-14,105.6,105.6,105.6,105.6,0.28,377.1428571428571,339.9107142857142,,,0
2005-11-15,105.6,105.6,105.6,105.6,0.28,377.1428571428571,340.8035714285714,,,0
2005-11-16,109.35,109.35,109.35,109.35,0.28,390.5357142857142,341.60714285714283,,,0
2005-11-17,108.15,108.15,108.15,108.15,0.28,386.25,342.1428571428571,,,0
2005-11-18,107.15,107.15,107.15,107.15,0.28,382.6785714285714,343.6607142857142,,,0
2005-11-21,105.8,105.8,105.8,105.8,0.28,377.8571428571428,345.44642857142856,,,0
2005-11-22,106.95,106.95,106.95,106.95,0.28,381.96428571428567,347.58928571428567,,,0
