Date,Open,High,Low,Close,EPS,PE,Median_PE_90,Median_PE_180,Median_PE_365,Valid_Period
2004-09-01,,,,,4.16,,,,,0
2004-09-02,,,,,4.16,,,,,0
2004-09-03,,,,,4.16,,,,,0
2004-09-06,,,,,4.16,,,,,0
2004-09-07,,,,,4.16,,,,,0
2004-09-08,,,,,4.16,,,,,0
2004-09-09,,,,,4.16,,,,,0
2004-09-10,,,,,4.16,,,,,0
2004-09-13,,,,,4.16,,,,,0
2004-09-14,,,,,4.16,,,,,0
2004-09-15,,,,,4.16,,,,,0
2004-09-16,,,,,4.16,,,,,0
2004-09-17,,,,,4.16,,,,,0
2004-09-20,,,,,4.16,,,,,0
2004-09-21,,,,,4.16,,,,,0
2004-09-22,,,,,4.16,,,,,0
2004-09-23,,,,,4.16,,,,,0
2004-09-24,,,,,4.16,,,,,0
2004-09-27,,,,,4.16,,,,,0
2004-09-28,,,,,4.16,,,,,0
2004-09-29,,,,,4.16,,,,,0
2004-09-30,,,,,4.16,,,,,0
2004-10-01,,,,,4.16,,,,,0
2004-10-04,,,,,4.16,,,,,0
2004-10-05,,,,,4.16,,,,,0
2004-10-06,,,,,4.16,,,,,0
2004-10-07,,,,,4.16,,,,,0
2004-10-08,,,,,4.16,,,,,0
2004-10-11,,,,,4.16,,,,,0
2004-10-12,,,,,4.16,,,,,0
2004-10-13,,,,,4.16,,,,,0
2004-10-14,,,,,4.16,,,,,0
2004-10-15,,,,,4.16,,,,,0
2004-10-18,,,,,4.16,,,,,0
2004-10-19,,,,,4.16,,,,,0
2004-10-20,,,,,4.16,,,,,0
2004-10-21,,,,,4.16,,,,,0
2004-10-22,,,,,4.16,,,,,0
2004-10-25,,,,,4.16,,,,,0
2004-10-26,,,,,4.16,,,,,0
2004-10-27,,,,,4.16,,,,,0
2004-10-28,,,,,4.16,,,,,0
2004-10-29,,,,,4.16,,,,,0
2004-11-01,,,,,4.16,,,,,0
2004-11-02,,,,,4.16,,,,,0
2004-11-03,,,,,4.16,,,,,0
2004-11-04,,,,,4.16,,,,,0
2004-11-05,,,,,4.16,,,,,0
2004-11-08,,,,,4.16,,,,,0
2004-11-09,,,,,4.16,,,,,0
2004-11-10,,,,,4.16,,,,,0
2004-11-11,,,,,4.16,,,,,0
2004-11-12,,,,,4.16,,,,,0
2004-11-15,,,,,4.16,,,,,0
2004-11-16,,,,,4.16,,,,,0
2004-11-17,,,,,4.16,,,,,0
2004-11-18,,,,,4.16,,,,,0
2004-11-19,,,,,4.16,,,,,0
2004-11-22,,,,,4.16,,,,,0
2004-11-23,,,,,4.16,,,,,0
2004-11-24,,,,,4.16,,,,,0
2004-11-25,,,,,4.16,,,,,0
2004-11-26,,,,,4.16,,,,,0
2004-11-29,,,,,4.16,,,,,0
2004-11-30,,,,,4.16,,,,,0
2004-12-01,,,,,3.69,,,,,0
2004-12-02,,,,,3.69,,,,,0
2004-12-03,,,,,3.69,,,,,0
2004-12-06,,,,,3.69,,,,,0
2004-12-07,,,,,3.69,,,,,0
2004-12-08,,,,,3.69,,,,,0
2004-12-09,,,,,3.69,,,,,0
2004-12-10,,,,,3.69,,,,,0
2004-12-13,,,,,3.69,,,,,0
2004-12-14,,,,,3.69,,,,,0
2004-12-15,,,,,3.69,,,,,0
2004-12-16,,,,,3.69,,,,,0
2004-12-17,,,,,3.69,,,,,0
2004-12-20,,,,,3.69,,,,,0
2004-12-21,,,,,3.69,,,,,0
2004-12-22,,,,,3.69,,,,,0
2004-12-23,,,,,3.69,,,,,0
2004-12-24,,,,,3.69,,,,,0
2004-12-27,,,,,3.69,,,,,0
2004-12-28,,,,,3.69,,,,,0
2004-12-29,,,,,3.69,,,,,0
2004-12-30,,,,,3.69,,,,,0
2004-12-31,,,,,3.69,,,,,0
2005-01-03,,,,,3.69,,,,,0
2005-01-04,,,,,3.69,,,,,0
2005-01-05,,,,,3.69,,,,,0
2005-01-06,,,,,3.69,,,,,0
2005-01-07,,,,,3.69,,,,,0
2005-01-10,,,,,3.69,,,,,0
2005-01-11,,,,,3.69,,,,,0
2005-01-12,,,,,3.69,,,,,0
2005-01-13,,,,,3.69,,,,,0
2005-01-14,,,,,3.69,,,,,0
2005-01-17,,,,,3.69,,,,,0
2005-01-18,,,,,3.69,,,,,0
2005-01-19,,,,,3.69,,,,,0
2005-01-20,,,,,3.69,,,,,0
2005-01-21,,,,,3.69,,,,,0
2005-01-24,,,,,3.69,,,,,0
2005-01-25,,,,,3.69,,,,,0
2005-01-26,,,,,3.69,,,,,0
2005-01-27,,,,,3.69,,,,,0
2005-01-28,,,,,3.69,,,,,0
2005-01-31,,,,,3.69,,,,,0
2005-02-01,,,,,3.69,,,,,0
2005-02-02,,,,,3.69,,,,,0
2005-02-03,,,,,3.69,,,,,0
2005-02-04,,,,,3.69,,,,,0
2005-02-07,,,,,3.69,,,,,0
2005-02-08,,,,,3.69,,,,,0
2005-02-09,,,,,3.69,,,,,0
2005-02-10,,,,,3.69,,,,,0
2005-02-11,,,,,3.69,,,,,0
2005-02-14,,,,,3.69,,,,,0
2005-02-15,,,,,3.69,,,,,0
2005-02-16,,,,,3.69,,,,,0
2005-02-17,,,,,3.69,,,,,0
2005-02-18,,,,,3.69,,,,,0
2005-02-21,,,,,3.69,,,,,0
2005-02-22,,,,,3.69,,,,,0
2005-02-23,,,,,3.69,,,,,0
2005-02-24,,,,,3.69,,,,,0
2005-02-25,,,,,3.69,,,,,0
2005-02-28,,,,,3.69,,,,,0
2005-03-01,,,,,2.58,,,,,0
2005-03-02,,,,,2.58,,,,,0
2005-03-03,,,,,2.58,,,,,0
2005-03-04,,,,,2.58,,,,,0
2005-03-07,,,,,2.58,,,,,0
2005-03-08,,,,,2.58,,,,,0
2005-03-09,,,,,2.58,,,,,0
2005-03-10,,,,,2.58,,,,,0
2005-03-11,,,,,2.58,,,,,0
2005-03-14,,,,,2.58,,,,,0
2005-03-15,,,,,2.58,,,,,0
2005-03-16,,,,,2.58,,,,,0
2005-03-17,,,,,2.58,,,,,0
2005-03-18,,,,,2.58,,,,,0
2005-03-21,,,,,2.58,,,,,0
2005-03-22,,,,,2.58,,,,,0
2005-03-23,,,,,2.58,,,,,0
2005-03-24,,,,,2.58,,,,,0
2005-03-25,,,,,2.58,,,,,0
2005-03-28,,,,,2.58,,,,,0
2005-03-29,,,,,2.58,,,,,0
2005-03-30,,,,,2.58,,,,,0
2005-03-31,,,,,2.58,,,,,0
2005-04-01,,,,,2.58,,,,,0
2005-04-04,,,,,2.58,,,,,0
2005-04-05,,,,,2.58,,,,,0
2005-04-06,,,,,2.58,,,,,0
2005-04-07,,,,,2.58,,,,,0
2005-04-08,,,,,2.58,,,,,0
2005-04-11,,,,,2.58,,,,,0
2005-04-12,,,,,2.58,,,,,0
2005-04-13,,,,,2.58,,,,,0
2005-04-14,,,,,2.58,,,,,0
2005-04-15,,,,,2.58,,,,,0
2005-04-18,,,,,2.58,,,,,0
2005-04-19,,,,,2.58,,,,,0
2005-04-20,,,,,2.58,,,,,0
2005-04-21,,,,,2.58,,,,,0
2005-04-22,,,,,2.58,,,,,0
2005-04-25,,,,,2.58,,,,,0
2005-04-26,,,,,2.58,,,,,0
2005-04-27,,,,,2.58,,,,,0
2005-04-28,,,,,2.58,,,,,0
2005-04-29,,,,,2.58,,,,,0
2005-05-02,,,,,2.58,,,,,0
2005-05-03,,,,,2.58,,,,,0
2005-05-04,,,,,2.58,,,,,0
2005-05-05,,,,,2.58,,,,,0
2005-05-06,,,,,2.58,,,,,0
2005-05-09,,,,,2.58,,,,,0
2005-05-10,,,,,2.58,,,,,0
2005-05-11,,,,,2.58,,,,,0
2005-05-12,,,,,2.58,,,,,0
2005-05-13,,,,,2.58,,,,,0
2005-05-16,,,,,2.58,,,,,0
2005-05-17,,,,,2.58,,,,,0
2005-05-18,,,,,2.58,,,,,0
2005-05-19,,,,,2.58,,,,,0
2005-05-20,,,,,2.58,,,,,0
2005-05-23,,,,,2.58,,,,,0
