Date,Open,High,Low,Close,EPS,PE,Median_PE_90,Median_PE_180,Median_PE_365,Valid_Period
2004-09-01,,,,,2.26,,,,,0
2004-09-02,,,,,2.26,,,,,0
2004-09-03,,,,,2.26,,,,,0
2004-09-06,,,,,2.26,,,,,0
2004-09-07,,,,,2.26,,,,,0
2004-09-08,,,,,2.26,,,,,0
2004-09-09,,,,,2.26,,,,,0
2004-09-10,,,,,2.26,,,,,0
2004-09-13,,,,,2.26,,,,,0
2004-09-14,,,,,2.26,,,,,0
2004-09-15,,,,,2.26,,,,,0
2004-09-16,,,,,2.26,,,,,0
2004-09-17,,,,,2.26,,,,,0
2004-09-20,,,,,2.26,,,,,0
2004-09-21,,,,,2.26,,,,,0
2004-09-22,,,,,2.26,,,,,0
2004-09-23,,,,,2.26,,,,,0
2004-09-24,,,,,2.26,,,,,0
2004-09-27,,,,,2.26,,,,,0
2004-09-28,,,,,2.26,,,,,0
2004-09-29,,,,,2.26,,,,,0
2004-09-30,,,,,2.26,,,,,0
2004-10-01,,,,,2.26,,,,,0
2004-10-04,,,,,2.26,,,,,0
2004-10-05,,,,,2.26,,,,,0
2004-10-06,,,,,2.26,,,,,0
2004-10-07,,,,,2.26,,,,,0
2004-10-08,,,,,2.26,,,,,0
2004-10-11,,,,,2.26,,,,,0
2004-10-12,,,,,2.26,,,,,0
2004-10-13,,,,,2.26,,,,,0
2004-10-14,,,,,2.26,,,,,0
2004-10-15,,,,,2.26,,,,,0
2004-10-18,,,,,2.26,,,,,0
2004-10-19,,,,,2.26,,,,,0
2004-10-20,,,,,2.26,,,,,0
2004-10-21,,,,,2.26,,,,,0
2004-10-22,,,,,2.26,,,,,0
2004-10-25,,,,,2.26,,,,,0
2004-10-26,,,,,2.26,,,,,0
2004-10-27,,,,,2.26,,,,,0
2004-10-28,,,,,2.26,,,,,0
2004-10-29,,,,,2.26,,,,,0
2004-11-01,,,,,2.26,,,,,0
2004-11-02,,,,,2.26,,,,,0
2004-11-03,,,,,2.26,,,,,0
2004-11-04,,,,,2.26,,,,,0
2004-11-05,,,,,2.26,,,,,0
2004-11-08,,,,,2.26,,,,,0
2004-11-09,,,,,2.26,,,,,0
2004-11-10,,,,,2.26,,,,,0
2004-11-11,,,,,2.26,,,,,0
2004-11-12,,,,,2.26,,,,,0
2004-11-15,,,,,2.26,,,,,0
2004-11-16,,,,,2.26,,,,,0
2004-11-17,,,,,2.26,,,,,0
2004-11-18,,,,,2.26,,,,,0
2004-11-19,,,,,2.26,,,,,0
2004-11-22,,,,,2.26,,,,,0
2004-11-23,,,,,2.26,,,,,0
2004-11-24,,,,,2.26,,,,,0
2004-11-25,,,,,2.26,,,,,0
2004-11-26,,,,,2.26,,,,,0
2004-11-29,,,,,2.26,,,,,0
2004-11-30,,,,,2.26,,,,,0
2004-12-01,,,,,1.04,,,,,0
2004-12-02,,,,,1.04,,,,,0
2004-12-03,,,,,1.04,,,,,0
2004-12-06,,,,,1.04,,,,,0
2004-12-07,,,,,1.04,,,,,0
2004-12-08,,,,,1.04,,,,,0
2004-12-09,,,,,1.04,,,,,0
2004-12-10,,,,,1.04,,,,,0
2004-12-13,,,,,1.04,,,,,0
2004-12-14,,,,,1.04,,,,,0
2004-12-15,,,,,1.04,,,,,0
2004-12-16,,,,,1.04,,,,,0
2004-12-17,,,,,1.04,,,,,0
2004-12-20,,,,,1.04,,,,,0
2004-12-21,,,,,1.04,,,,,0
2004-12-22,,,,,1.04,,,,,0
2004-12-23,,,,,1.04,,,,,0
2004-12-24,,,,,1.04,,,,,0
2004-12-27,,,,,1.04,,,,,0
2004-12-28,,,,,1.04,,,,,0
2004-12-29,,,,,1.04,,,,,0
2004-12-30,,,,,1.04,,,,,0
2004-12-31,,,,,1.04,,,,,0
2005-01-03,218.8,218.8,218.8,218.8,1.04,210.3846153846154,,,,0
2005-01-04,214.75,214.75,214.75,214.75,1.04,206.4903846153846,,,,0
2005-01-05,201.45,201.45,201.45,201.45,1.04,193.70192307692307,,,,0
2005-01-06,195.55,195.55,195.55,195.55,1.04,188.02884615384616,,,,0
2005-01-07,203.6,203.6,203.6,203.6,1.04,195.7692307692308,,,,0
2005-01-10,202.6,202.6,202.6,202.6,1.04,194.8076923076923,,,,0
2005-01-11,195.6,195.6,195.6,195.6,1.04,188.07692307692307,,,,0
2005-01-12,186.4,186.4,186.4,186.4,1.04,179.23076923076923,,,,0
2005-01-13,189.65,189.65,189.65,189.65,1.04,182.35576923076923,,,,0
2005-01-14,190.15,190.15,190.15,190.15,1.04,182.83653846153845,,,,0
2005-01-17,188.25,188.25,188.25,188.25,1.04,181.0096153846154,,,,0
2005-01-18,190.65,190.65,190.65,190.65,1.04,183.31730769230768,,,,0
2005-01-19,190.2,190.2,190.2,190.2,1.04,182.88461538461536,,,,0
2005-01-20,187.95,187.95,187.95,187.95,1.04,180.72115384615384,,,,0
2005-01-21,187.95,187.95,187.95,187.95,1.04,180.72115384615384,,,,0
2005-01-24,187.2,187.2,187.2,187.2,1.04,179.99999999999997,,,,0
2005-01-25,187.85,187.85,187.85,187.85,1.04,180.625,,,,0
2005-01-26,187.85,187.85,187.85,187.85,1.04,180.625,,,,0
2005-01-27,191.9,191.9,191.9,191.9,1.04,184.5192307692308,,,,0
2005-01-28,197.4,197.4,197.4,197.4,1.04,189.80769230769232,,,,0
2005-01-31,200.7,200.7,200.7,200.7,1.04,192.98076923076923,,,,0
2005-02-01,213.3,213.3,213.3,213.3,1.04,205.09615384615384,,,,0
2005-02-02,218.25,218.25,218.25,218.25,1.04,209.85576923076923,,,,0
2005-02-03,215.9,215.9,215.9,215.9,1.04,207.59615384615384,,,,0
2005-02-04,211.8,211.8,211.8,211.8,1.04,203.65384615384616,,,,0
2005-02-07,216.8,216.8,216.8,216.8,1.04,208.46153846153845,,,,1
2005-02-08,217.05,217.05,217.05,217.05,1.04,208.7019230769231,,,,1
2005-02-09,217.95,217.95,217.95,217.95,1.04,209.56730769230768,,,,1
2005-02-10,227.4,227.4,227.4,227.4,1.04,218.65384615384616,,,,1
2005-02-11,229.8,229.8,229.8,229.8,1.04,220.96153846153845,,,,1
2005-02-14,221.25,221.25,221.25,221.25,1.04,212.7403846153846,,,,1
2005-02-15,216.75,216.75,216.75,216.75,1.04,208.41346153846152,,,,1
2005-02-16,212.85,212.85,212.85,212.85,1.04,204.66346153846152,,,,1
2005-02-17,214.35,214.35,214.35,214.35,1.04,206.10576923076923,,,,1
