Date,Open,High,Low,Close,EPS,PE,Median_PE_90,Median_PE_180,Median_PE_365,Valid_Period
2004-09-01,,,,,1.21,,,,,0
2004-09-02,,,,,1.21,,,,,0
2004-09-03,,,,,1.21,,,,,0
2004-09-06,,,,,1.21,,,,,0
2004-09-07,,,,,1.21,,,,,0
2004-09-08,,,,,1.21,,,,,0
2004-09-09,,,,,1.21,,,,,0
2004-09-10,,,,,1.21,,,,,0
2004-09-13,,,,,1.21,,,,,0
2004-09-14,,,,,1.21,,,,,0
2004-09-15,,,,,1.21,,,,,0
2004-09-16,,,,,1.21,,,,,0
2004-09-17,,,,,1.21,,,,,0
2004-09-20,,,,,1.21,,,,,0
2004-09-21,,,,,1.21,,,,,0
2004-09-22,,,,,1.21,,,,,0
2004-09-23,,,,,1.21,,,,,0
2004-09-24,,,,,1.21,,,,,0
2004-09-27,,,,,1.21,,,,,0
2004-09-28,,,,,1.21,,,,,0
2004-09-29,,,,,1.21,,,,,0
2004-09-30,,,,,1.21,,,,,0
2004-10-01,,,,,1.21,,,,,0
2004-10-04,,,,,1.21,,,,,0
2004-10-05,,,,,1.21,,,,,0
2004-10-06,,,,,1.21,,,,,0
2004-10-07,,,,,1.21,,,,,0
2004-10-08,,,,,1.21,,,,,0
2004-10-11,,,,,1.21,,,,,0
2004-10-12,,,,,1.21,,,,,0
2004-10-13,,,,,1.21,,,,,0
2004-10-14,,,,,1.21,,,,,0
2004-10-15,,,,,1.21,,,,,0
2004-10-18,,,,,1.21,,,,,0
2004-10-19,,,,,1.21,,,,,0
2004-10-20,,,,,1.21,,,,,0
2004-10-21,,,,,1.21,,,,,0
2004-10-22,,,,,1.21,,,,,0
2004-10-25,,,,,1.21,,,,,0
2004-10-26,,,,,1.21,,,,,0
2004-10-27,,,,,1.21,,,,,0
2004-10-28,,,,,1.21,,,,,0
2004-10-29,,,,,1.21,,,,,0
2004-11-01,,,,,1.21,,,,,0
2004-11-02,,,,,1.21,,,,,0
2004-11-03,,,,,1.21,,,,,0
2004-11-04,,,,,1.21,,,,,0
2004-11-05,,,,,1.21,,,,,0
2004-11-08,,,,,1.21,,,,,0
2004-11-09,,,,,1.21,,,,,0
2004-11-10,,,,,1.21,,,,,0
2004-11-11,,,,,1.21,,,,,0
2004-11-12,,,,,1.21,,,,,0
2004-11-15,,,,,1.21,,,,,0
2004-11-16,,,,,1.21,,,,,0
2004-11-17,,,,,1.21,,,,,0
2004-11-18,,,,,1.21,,,,,0
2004-11-19,,,,,1.21,,,,,0
2004-11-22,,,,,1.21,,,,,0
2004-11-23,,,,,1.21,,,,,0
2004-11-24,,,,,1.21,,,,,0
2004-11-25,,,,,1.21,,,,,0
2004-11-26,,,,,1.21,,,,,0
2004-11-29,,,,,1.21,,,,,0
2004-11-30,,,,,1.21,,,,,0
2004-12-01,,,,,1.45,,,,,0
2004-12-02,,,,,1.45,,,,,0
2004-12-03,,,,,1.45,,,,,0
2004-12-06,,,,,1.45,,,,,0
2004-12-07,,,,,1.45,,,,,0
2004-12-08,,,,,1.45,,,,,0
2004-12-09,,,,,1.45,,,,,0
2004-12-10,,,,,1.45,,,,,0
2004-12-13,,,,,1.45,,,,,0
2004-12-14,,,,,1.45,,,,,0
2004-12-15,,,,,1.45,,,,,0
2004-12-16,,,,,1.45,,,,,0
2004-12-17,,,,,1.45,,,,,0
2004-12-20,,,,,1.45,,,,,0
2004-12-21,,,,,1.45,,,,,0
2004-12-22,,,,,1.45,,,,,0
2004-12-23,,,,,1.45,,,,,0
2004-12-24,,,,,1.45,,,,,0
2004-12-27,,,,,1.45,,,,,0
2004-12-28,,,,,1.45,,,,,0
2004-12-29,,,,,1.45,,,,,0
2004-12-30,,,,,1.45,,,,,0
2004-12-31,,,,,1.45,,,,,0
2005-01-03,3.308333,3.308333,3.308333,3.308333,1.45,2.2816089655172416,,,,0
2005-01-04,3.345833,3.345833,3.345833,3.345833,1.45,2.3074710344827585,,,,0
2005-01-05,3.15,3.15,3.15,3.15,1.45,2.1724137931034484,,,,0
2005-01-06,3.075,3.075,3.075,3.075,1.45,2.120689655172414,,,,0
2005-01-07,3.05,3.05,3.05,3.05,1.45,2.103448275862069,,,,0
2005-01-10,3.070833,3.070833,3.070833,3.070833,1.45,2.1178158620689653,,,,0
2005-01-11,2.9875,2.9875,2.9875,2.9875,1.45,2.060344827586207,,,,0
2005-01-12,2.645833,2.645833,2.645833,2.645833,1.45,1.824712413793104,,,,0
2005-01-13,2.766667,2.766667,2.766667,2.766667,1.45,1.908046206896552,,,,0
2005-01-14,2.9375,2.9375,2.9375,2.9375,1.45,2.0258620689655173,,,,0
2005-01-17,2.879167,2.879167,2.879167,2.879167,1.45,1.985632413793104,,,,0
