Date,Open,High,Low,Close,EPS,PE,Median_PE_90,Median_PE_180,Median_PE_365,Valid_Period
2004-09-01,,,,,1.33,,,,,0
2004-09-02,,,,,1.33,,,,,0
2004-09-03,,,,,1.33,,,,,0
2004-09-06,,,,,1.33,,,,,0
2004-09-07,,,,,1.33,,,,,0
2004-09-08,,,,,1.33,,,,,0
2004-09-09,,,,,1.33,,,,,0
2004-09-10,,,,,1.33,,,,,0
2004-09-13,,,,,1.33,,,,,0
2004-09-14,,,,,1.33,,,,,0
2004-09-15,,,,,1.33,,,,,0
2004-09-16,,,,,1.33,,,,,0
2004-09-17,,,,,1.33,,,,,0
2004-09-20,,,,,1.33,,,,,0
2004-09-21,,,,,1.33,,,,,0
2004-09-22,,,,,1.33,,,,,0
2004-09-23,,,,,1.33,,,,,0
2004-09-24,,,,,1.33,,,,,0
2004-09-27,,,,,1.33,,,,,0
2004-09-28,,,,,1.33,,,,,0
2004-09-29,,,,,1.33,,,,,0
2004-09-30,,,,,1.33,,,,,0
2004-10-01,,,,,1.33,,,,,0
2004-10-04,,,,,1.33,,,,,0
2004-10-05,,,,,1.33,,,,,0
2004-10-06,,,,,1.33,,,,,0
2004-10-07,,,,,1.33,,,,,0
2004-10-08,,,,,1.33,,,,,0
2004-10-11,,,,,1.33,,,,,0
2004-10-12,,,,,1.33,,,,,0
2004-10-13,,,,,1.33,,,,,0
2004-10-14,,,,,1.33,,,,,0
2004-10-15,,,,,1.33,,,,,0
2004-10-18,,,,,1.33,,,,,0
2004-10-19,,,,,1.33,,,,,0
2004-10-20,,,,,1.33,,,,,0
2004-10-21,,,,,1.33,,,,,0
2004-10-22,,,,,1.33,,,,,0
2004-10-25,,,,,1.33,,,,,0
2004-10-26,,,,,1.33,,,,,0
2004-10-27,,,,,1.33,,,,,0
2004-10-28,,,,,1.33,,,,,0
2004-10-29,,,,,1.33,,,,,0
2004-11-01,,,,,1.33,,,,,0
2004-11-02,,,,,1.33,,,,,0
2004-11-03,,,,,1.33,,,,,0
2004-11-04,,,,,1.33,,,,,0
2004-11-05,,,,,1.33,,,,,0
2004-11-08,,,,,1.33,,,,,0
2004-11-09,,,,,1.33,,,,,0
2004-11-10,,,,,1.33,,,,,0
2004-11-11,,,,,1.33,,,,,0
2004-11-12,,,,,1.33,,,,,0
2004-11-15,,,,,1.33,,,,,0
2004-11-16,,,,,1.33,,,,,0
2004-11-17,,,,,1.33,,,,,0
2004-11-18,,,,,1.33,,,,,0
2004-11-19,,,,,1.33,,,,,0
2004-11-22,,,,,1.33,,,,,0
2004-11-23,,,,,1.33,,,,,0
2004-11-24,,,,,1.33,,,,,0
2004-11-25,,,,,1.33,,,,,0
2004-11-26,,,,,1.33,,,,,0
2004-11-29,,,,,1.33,,,,,0
2004-11-30,,,,,1.33,,,,,0
2004-12-01,,,,,0.51,,,,,0
2004-12-02,,,,,0.51,,,,,0
2004-12-03,,,,,0.51,,,,,0
2004-12-06,,,,,0.51,,,,,0
2004-12-07,,,,,0.51,,,,,0
2004-12-08,,,,,0.51,,,,,0
2004-12-09,,,,,0.51,,,,,0
2004-12-10,,,,,0.51,,,,,0
2004-12-13,,,,,0.51,,,,,0
2004-12-14,,,,,0.51,,,,,0
2004-12-15,,,,,0.51,,,,,0
2004-12-16,,,,,0.51,,,,,0
2004-12-17,,,,,0.51,,,,,0
2004-12-20,,,,,0.51,,,,,0
2004-12-21,,,,,0.51,,,,,0
2004-12-22,,,,,0.51,,,,,0
2004-12-23,,,,,0.51,,,,,0
2004-12-24,,,,,0.51,,,,,0
2004-12-27,,,,,0.51,,,,,0
2004-12-28,,,,,0.51,,,,,0
2004-12-29,,,,,0.51,,,,,0
2004-12-30,,,,,0.51,,,,,0
2004-12-31,,,,,0.51,,,,,0
2005-01-03,69.6,69.6,69.6,69.6,0.51,136.47058823529412,,,,0
2005-01-04,69.4,69.4,69.4,69.4,0.51,136.07843137254903,,,,0
2005-01-05,66.45,66.45,66.45,66.45,0.51,130.29411764705884,,,,0
2005-01-06,64.5,64.5,64.5,64.5,0.51,126.47058823529412,,,,0
2005-01-07,65.15,65.15,65.15,65.15,0.51,127.74509803921568,,,,0
2005-01-10,64.6,64.6,64.6,64.6,0.51,126.66666666666666,,,,0
2005-01-11,63.55,63.55,63.55,63.55,0.51,124.60784313725487,,,,0
2005-01-12,60.55,60.55,60.55,60.55,0.51,118.72549019607844,,,,0
2005-01-13,63.15,63.15,63.15,63.15,0.51,123.8235294117647,,,,0
2005-01-14,62.05,62.05,62.05,62.05,0.51,121.66666666666666,,,,0
2005-01-17,61.85,61.85,61.85,61.85,0.51,121.27450980392156,,,,0
2005-01-18,57.6,57.6,57.6,57.6,0.51,112.94117647058825,,,,0
2005-01-19,56.9,56.9,56.9,56.9,0.51,111.5686274509804,,,,0
2005-01-20,55.45,55.45,55.45,55.45,0.51,108.72549019607844,,,,0
2005-01-21,55.45,55.45,55.45,55.45,0.51,108.72549019607844,,,,0
2005-01-24,55.65,55.65,55.65,55.65,0.51,109.11764705882352,,,,0
2005-01-25,54.95,54.95,54.95,54.95,0.51,107.74509803921568,,,,0
2005-01-26,54.95,54.95,54.95,54.95,0.51,107.74509803921568,,,,0
2005-01-27,55.4,55.4,55.4,55.4,0.51,108.62745098039215,,,,0
2005-01-28,56.85,56.85,56.85,56.85,0.51,111.47058823529412,,,,0
2005-01-31,57.9,57.9,57.9,57.9,0.51,113.52941176470588,,,,0
2005-02-01,58.95,58.95,58.95,58.95,0.51,115.58823529411764,,,,0
2005-02-02,59.75,59.75,59.75,59.75,0.51,117.15686274509804,,,,0
2005-02-03,59.65,59.65,59.65,59.65,0.51,116.96078431372548,,,,0
2005-02-04,58.65,58.65,58.65,58.65,0.51,115.0,,,,0
2005-02-07,59.35,59.35,59.35,59.35,0.51,116.37254901960785,,,,0
2005-02-08,59.9,59.9,59.9,59.9,0.51,117.45098039215686,,,,0
2005-02-09,63.95,63.95,63.95,63.95,0.51,125.3921568627451,,,,0
2005-02-10,64.85,64.85,64.85,64.85,0.51,127.15686274509802,,,,0
2005-02-11,65.45,65.45,65.45,65.45,0.51,128.33333333333334,,,,0
2005-02-14,65.2,65.2,65.2,65.2,0.51,127.84313725490196,,,,0
2005-02-15,65.2,65.2,65.2,65.2,0.51,127.84313725490196,,,,0
2005-02-16,64.75,64.75,64.75,64.75,0.51,126.96078431372548,,,,0
2005-02-17,65.9,65.9,65.9,65.9,0.51,129.2156862745098,,,,0
2005-02-18,68.7,68.7,68.7,68.7,0.51,134.7058823529412,,,,0
2005-02-21,65.85,65.85,65.85,65.85,0.51,129.1176470588235,,,,0
2005-02-22,65.95,65.95,65.95,65.95,0.51,129.31372549019608,,,,0
2005-02-23,66.1,66.1,66.1,66.1,0.51,129.6078431372549,,,,0
2005-02-24,65.1,65.1,65.1,65.1,0.51,127.6470588235294,,,,0
2005-02-25,63.6,63.6,63.6,63.6,0.51,124.70588235294116,,,,0
2005-02-28,62.85,62.85,62.85,62.85,0.51,123.23529411764706,,,,0
2005-03-01,62.0,62.0,62.0,62.0,3.45,17.97101449275362,,,,0
2005-03-02,68.3,68.3,68.3,68.3,3.45,19.79710144927536,,,,0
2005-03-03,66.2,66.2,66.2,66.2,3.45,19.18840579710145,,,,0
2005-03-04,69.9,69.9,69.9,69.9,3.45,20.26086956521739,,,,0
2005-03-07,70.2,70.2,70.2,70.2,3.45,20.347826086956523,,,,0
2005-03-08,68.65,68.65,68.65,68.65,3.45,19.898550724637683,,,,0
2005-03-09,66.2,66.2,66.2,66.2,3.45,19.18840579710145,,,,0
2005-03-10,65.05,65.05,65.05,65.05,3.45,18.85507246376812,,,,0
2005-03-11,63.95,63.95,63.95,63.95,3.45,18.536231884057973,,,,0
2005-03-14,64.0,64.0,64.0,64.0,3.45,18.55072463768116,,,,0
2005-03-15,63.45,63.45,63.45,63.45,3.45,18.39130434782609,,,,0
2005-03-16,63.4,63.4,63.4,63.4,3.45,18.3768115942029,,,,0
2005-03-17,61.4,61.4,61.4,61.4,3.45,17.79710144927536,,,,0
2005-03-18,60.0,60.0,60.0,60.0,3.45,17.391304347826086,,,,0
2005-03-21,58.95,58.95,58.95,58.95,3.45,17.08695652173913,,,,0
2005-03-22,58.35,58.35,58.35,58.35,3.45,16.913043478260867,,,,0
2005-03-23,55.05,55.05,55.05,55.05,3.45,15.956521739130434,,,,0
2005-03-24,54.25,54.25,54.25,54.25,3.45,15.72463768115942,,,,0
2005-03-25,54.25,54.25,54.25,54.25,3.45,15.72463768115942,,,,0
2005-03-28,56.95,56.95,56.95,56.95,3.45,16.507246376811594,,,,0
2005-03-29,55.35,55.35,55.35,55.35,3.45,16.043478260869566,,,,0
2005-03-30,56.4,56.4,56.4,56.4,3.45,16.34782608695652,,,,0
2005-03-31,58.7,58.7,58.7,58.7,3.45,17.014492753623188,,,,0
2005-04-01,58.95,58.95,58.95,58.95,3.45,17.08695652173913,,,,0
2005-04-04,58.9,58.9,58.9,58.9,3.45,17.07246376811594,,,,0
2005-04-05,58.3,58.3,58.3,58.3,3.45,16.89855072463768,,,,0
2005-04-06,60.25,60.25,60.25,60.25,3.45,17.463768115942027,,,,0
2005-04-07,61.1,61.1,61.1,61.1,3.45,17.71014492753623,,,,0
2005-04-08,59.85,59.85,59.85,59.85,3.45,17.34782608695652,,,,0
2005-04-11,61.4,61.4,61.4,61.4,3.45,17.79710144927536,,,,0
2005-04-12,61.25,61.25,61.25,61.25,3.45,17.753623188405797,,,,0
2005-04-13,61.45,61.45,61.45,61.45,3.45,17.81159420289855,,,,0
2005-04-14,61.45,61.45,61.45,61.45,3.45,17.81159420289855,,,,0
2005-04-15,60.6,60.6,60.6,60.6,3.45,17.565217391304348,,,,0
2005-04-18,61.55,61.55,61.55,61.55,3.45,17.840579710144926,,,,0
2005-04-19,61.4,61.4,61.4,61.4,3.45,17.79710144927536,,,,0
2005-04-20,60.45,60.45,60.45,60.45,3.45,17.52173913043478,,,,0
2005-04-21,61.25,61.25,61.25,61.25,3.45,17.753623188405797,,,,0
2005-04-22,60.4,60.4,60.4,60.4,3.45,17.507246376811594,,,,0
2005-04-25,60.75,60.75,60.75,60.75,3.45,17.60869565217391,,,,0
2005-04-26,62.7,62.7,62.7,62.7,3.45,18.17391304347826,,,,0
2005-04-27,61.95,61.95,61.95,61.95,3.45,17.956521739130434,,,,0
2005-04-28,61.1,61.1,61.1,61.1,3.45,17.71014492753623,,,,0
2005-04-29,61.0,61.0,61.0,61.0,3.45,17.681159420289855,,,,0
2005-05-02,61.0,61.0,61.0,61.0,3.45,17.681159420289855,,,,0
2005-05-03,61.05,61.05,61.05,61.05,3.45,17.695652173913043,,,,0
2005-05-04,61.0,61.0,61.0,61.0,3.45,17.681159420289855,,,,0
2005-05-05,61.0,61.0,61.0,61.0,3.45,17.681159420289855,,,,0
2005-05-06,60.8,60.8,60.8,60.8,3.45,17.623188405797098,19.49275362318841,,,0
2005-05-09,61.2,61.2,61.2,61.2,3.45,17.73913043478261,19.18840579710145,,,0
2005-05-10,62.4,62.4,62.4,62.4,3.45,18.08695652173913,19.021739130434785,,,0
2005-05-11,66.55,66.55,66.55,66.55,3.45,19.28985507246377,19.021739130434785,,,0
2005-05-12,66.5,66.5,66.5,66.5,3.45,19.27536231884058,19.021739130434785,,,0
2005-05-13,69.1,69.1,69.1,69.1,3.45,20.02898550724637,19.021739130434785,,,0
2005-05-16,74.0,74.0,74.0,74.0,3.45,21.44927536231884,19.021739130434785,,,0
2005-05-17,72.0,72.0,72.0,72.0,3.45,20.869565217391305,19.021739130434785,,,0
2005-05-18,72.55,72.55,72.55,72.55,3.45,21.02898550724637,19.021739130434785,,,0
2005-05-19,74.7,74.7,74.7,74.7,3.45,21.65217391304348,19.021739130434785,,,0
2005-05-20,76.0,76.0,76.0,76.0,3.45,22.02898550724637,19.021739130434785,,,0
2005-05-23,77.65,77.65,77.65,77.65,3.45,22.5072463768116,19.021739130434785,,,0
2005-05-24,80.3,80.3,80.3,80.3,3.45,23.27536231884058,19.021739130434785,,,0
2005-05-25,78.05,78.05,78.05,78.05,3.45,22.62318840579709,19.021739130434785,,,0
2005-05-26,76.0,76.0,76.0,76.0,3.45,22.02898550724637,19.021739130434785,,,0
2005-05-27,75.25,75.25,75.25,75.25,3.45,21.81159420289855,19.021739130434785,,,0
2005-05-30,73.55,73.55,73.55,73.55,3.45,21.318840579710145,19.021739130434785,,,0
2005-05-31,76.05,76.05,76.05,76.05,3.45,22.043478260869563,19.021739130434785,,,0
2005-06-01,76.2,76.2,76.2,76.2,1.89,40.31746031746032,19.021739130434785,,,0
2005-06-02,76.0,76.0,76.0,76.0,1.89,40.211640211640216,19.021739130434785,,,0
2005-06-03,81.1,81.1,81.1,81.1,1.89,42.91005291005291,19.021739130434785,,,0
2005-06-04,81.6,81.6,81.6,81.6,1.89,43.17460317460317,19.021739130434785,,,0
2005-06-06,79.4,79.4,79.4,79.4,1.89,42.01058201058201,19.021739130434785,,,0
2005-06-07,82.95,82.95,82.95,82.95,1.89,43.88888888888889,19.021739130434785,,,0
2005-06-08,82.75,82.75,82.75,82.75,1.89,43.78306878306879,19.021739130434785,,,0
2005-06-09,82.0,82.0,82.0,82.0,1.89,43.386243386243386,19.021739130434785,,,0
2005-06-10,80.9,80.9,80.9,80.9,1.89,42.80423280423281,19.021739130434785,,,0
2005-06-13,82.65,82.65,82.65,82.65,1.89,43.730158730158735,19.021739130434785,,,0
2005-06-14,86.75,86.75,86.75,86.75,1.89,45.8994708994709,19.021739130434785,,,0
2005-06-15,86.1,86.1,86.1,86.1,1.89,45.55555555555556,19.021739130434785,,,0
2005-06-16,83.8,83.8,83.8,83.8,1.89,44.33862433862434,19.021739130434785,,,0
2005-06-17,81.3,81.3,81.3,81.3,1.89,43.01587301587302,19.021739130434785,,,0
2005-06-20,79.25,79.25,79.25,79.25,1.89,41.93121693121693,19.021739130434785,,,0
