Date,Open,High,Low,Close,EPS,PE,Median_PE_90,Median_PE_180,Median_PE_365,Valid_Period
2004-09-01,,,,,3.06,,,,,0
2004-09-02,,,,,3.06,,,,,0
2004-09-03,,,,,3.06,,,,,0
2004-09-06,,,,,3.06,,,,,0
2004-09-07,,,,,3.06,,,,,0
2004-09-08,,,,,3.06,,,,,0
2004-09-09,,,,,3.06,,,,,0
2004-09-10,,,,,3.06,,,,,0
2004-09-13,,,,,3.06,,,,,0
2004-09-14,,,,,3.06,,,,,0
2004-09-15,,,,,3.06,,,,,0
2004-09-16,,,,,3.06,,,,,0
2004-09-17,,,,,3.06,,,,,0
2004-09-20,,,,,3.06,,,,,0
2004-09-21,,,,,3.06,,,,,0
2004-09-22,,,,,3.06,,,,,0
2004-09-23,,,,,3.06,,,,,0
2004-09-24,,,,,3.06,,,,,0
2004-09-27,,,,,3.06,,,,,0
2004-09-28,,,,,3.06,,,,,0
2004-09-29,,,,,3.06,,,,,0
2004-09-30,,,,,3.06,,,,,0
2004-10-01,,,,,3.06,,,,,0
2004-10-04,,,,,3.06,,,,,0
2004-10-05,,,,,3.06,,,,,0
2004-10-06,,,,,3.06,,,,,0
2004-10-07,,,,,3.06,,,,,0
2004-10-08,,,,,3.06,,,,,0
2004-10-11,,,,,3.06,,,,,0
2004-10-12,,,,,3.06,,,,,0
2004-10-13,,,,,3.06,,,,,0
2004-10-14,,,,,3.06,,,,,0
2004-10-15,,,,,3.06,,,,,0
2004-10-18,,,,,3.06,,,,,0
2004-10-19,,,,,3.06,,,,,0
2004-10-20,,,,,3.06,,,,,0
2004-10-21,,,,,3.06,,,,,0
2004-10-22,,,,,3.06,,,,,0
2004-10-25,,,,,3.06,,,,,0
2004-10-26,,,,,3.06,,,,,0
2004-10-27,,,,,3.06,,,,,0
2004-10-28,,,,,3.06,,,,,0
2004-10-29,,,,,3.06,,,,,0
2004-11-01,,,,,3.06,,,,,0
2004-11-02,,,,,3.06,,,,,0
2004-11-03,,,,,3.06,,,,,0
2004-11-04,,,,,3.06,,,,,0
2004-11-05,,,,,3.06,,,,,0
2004-11-08,,,,,3.06,,,,,0
2004-11-09,,,,,3.06,,,,,0
2004-11-10,,,,,3.06,,,,,0
2004-11-11,,,,,3.06,,,,,0
2004-11-12,,,,,3.06,,,,,0
2004-11-15,,,,,3.06,,,,,0
2004-11-16,,,,,3.06,,,,,0
2004-11-17,,,,,3.06,,,,,0
2004-11-18,,,,,3.06,,,,,0
2004-11-19,,,,,3.06,,,,,0
2004-11-22,,,,,3.06,,,,,0
2004-11-23,,,,,3.06,,,,,0
2004-11-24,,,,,3.06,,,,,0
2004-11-25,,,,,3.06,,,,,0
2004-11-26,,,,,3.06,,,,,0
2004-11-29,,,,,3.06,,,,,0
2004-11-30,,,,,3.06,,,,,0
2004-12-01,,,,,5.75,,,,,0
2004-12-02,,,,,5.75,,,,,0
2004-12-03,,,,,5.75,,,,,0
2004-12-06,,,,,5.75,,,,,0
2004-12-07,,,,,5.75,,,,,0
2004-12-08,,,,,5.75,,,,,0
2004-12-09,,,,,5.75,,,,,0
2004-12-10,,,,,5.75,,,,,0
2004-12-13,,,,,5.75,,,,,0
2004-12-14,,,,,5.75,,,,,0
2004-12-15,,,,,5.75,,,,,0
2004-12-16,,,,,5.75,,,,,0
2004-12-17,,,,,5.75,,,,,0
2004-12-20,,,,,5.75,,,,,0
2004-12-21,,,,,5.75,,,,,0
2004-12-22,,,,,5.75,,,,,0
2004-12-23,,,,,5.75,,,,,0
2004-12-24,,,,,5.75,,,,,0
2004-12-27,,,,,5.75,,,,,0
2004-12-28,,,,,5.75,,,,,0
2004-12-29,,,,,5.75,,,,,0
2004-12-30,,,,,5.75,,,,,0
2004-12-31,,,,,5.75,,,,,0
2005-01-03,20.35,20.35,20.35,20.35,5.75,3.539130434782609,,,,0
2005-01-04,20.635,20.635,20.635,20.635,5.75,3.588695652173913,,,,0
2005-01-05,20.08,20.08,20.08,20.08,5.75,3.492173913043478,,,,0
2005-01-06,20.12,20.12,20.12,20.12,5.75,3.4991304347826087,,,,0
2005-01-07,20.32,20.32,20.32,20.32,5.75,3.533913043478261,,,,0
2005-01-10,20.165,20.165,20.165,20.165,5.75,3.5069565217391303,,,,0
2005-01-11,19.515,19.515,19.515,19.515,5.75,3.393913043478261,,,,0
2005-01-12,19.4,19.4,19.4,19.4,5.75,3.3739130434782605,,,,0
2005-01-13,19.47,19.47,19.47,19.47,5.75,3.386086956521739,,,,0
2005-01-14,19.11,19.11,19.11,19.11,5.75,3.323478260869565,,,,0
2005-01-17,18.49,18.49,18.49,18.49,5.75,3.215652173913043,,,,0
2005-01-18,18.79,18.79,18.79,18.79,5.75,3.267826086956521,,,,0
2005-01-19,18.72,18.72,18.72,18.72,5.75,3.255652173913043,,,,0
2005-01-20,18.915,18.915,18.915,18.915,5.75,3.289565217391304,,,,0
2005-01-21,18.915,18.915,18.915,18.915,5.75,3.289565217391304,,,,0
2005-01-24,19.765,19.765,19.765,19.765,5.75,3.4373913043478264,,,,0
2005-01-25,20.305,20.305,20.305,20.305,5.75,3.531304347826087,,,,0
2005-01-26,20.305,20.305,20.305,20.305,5.75,3.531304347826087,,,,0
2005-01-27,20.85,20.85,20.85,20.85,5.75,3.62608695652174,,,,0
2005-01-28,21.43,21.43,21.43,21.43,5.75,3.7269565217391305,,,,0
2005-01-31,22.725,22.725,22.725,22.725,5.75,3.9521739130434783,,,,0
2005-02-01,23.095,23.095,23.095,23.095,5.75,4.016521739130434,,,,0
2005-02-02,25.405,25.405,25.405,25.405,5.75,4.418260869565217,,,,0
2005-02-03,27.115,27.115,27.115,27.115,5.75,4.715652173913044,,,,0
2005-02-04,25.965,25.965,25.965,25.965,5.75,4.515652173913043,,,,0
2005-02-07,25.985,25.985,25.985,25.985,5.75,4.519130434782609,,,,0
2005-02-08,25.905,25.905,25.905,25.905,5.75,4.505217391304348,,,,0
2005-02-09,26.005,26.005,26.005,26.005,5.75,4.522608695652174,,,,0
2005-02-10,25.7,25.7,25.7,25.7,5.75,4.469565217391304,,,,0
2005-02-11,26.215,26.215,26.215,26.215,5.75,4.559130434782609,,,,0
2005-02-14,26.385,26.385,26.385,26.385,5.75,4.5886956521739135,,,,0
2005-02-15,26.4,26.4,26.4,26.4,5.75,4.591304347826087,,,,0
2005-02-16,29.025,29.025,29.025,29.025,5.75,5.047826086956522,,,,0
2005-02-17,31.255,31.255,31.255,31.255,5.75,5.435652173913043,,,,0
2005-02-18,32.82,32.82,32.82,32.82,5.75,5.707826086956522,,,,0
2005-02-21,31.73,31.73,31.73,31.73,5.75,5.518260869565218,,,,0
2005-02-22,30.56,30.56,30.56,30.56,5.75,5.314782608695652,,,,0
2005-02-23,30.63,30.63,30.63,30.63,5.75,5.32695652173913,,,,0
2005-02-24,29.225,29.225,29.225,29.225,5.75,5.082608695652175,,,,0
2005-02-25,30.33,30.33,30.33,30.33,5.75,5.274782608695652,,,,0
2005-02-28,31.035,31.035,31.035,31.035,5.75,5.397391304347826,,,,0
2005-03-01,30.905,30.905,30.905,30.905,5.41,5.712569316081331,,,,0
2005-03-02,30.505,30.505,30.505,30.505,5.41,5.638632162661737,,,,0
2005-03-03,30.325,30.325,30.325,30.325,5.41,5.60536044362292,,,,0
2005-03-04,30.405,30.405,30.405,30.405,5.41,5.62014787430684,,,,0
2005-03-07,29.835,29.835,29.835,29.835,5.41,5.514787430683919,,,,0
2005-03-08,31.11,31.11,31.11,31.11,5.41,5.750462107208873,,,,0
2005-03-09,31.69,31.69,31.69,31.69,5.41,5.857670979667283,,,,0
2005-03-10,31.2,31.2,31.2,31.2,5.41,5.767097966728281,,,,0
2005-03-11,31.845,31.845,31.845,31.845,5.41,5.886321626617375,,,,0
2005-03-14,31.775,31.775,31.775,31.775,5.41,5.873382624768946,,,,0
2005-03-15,31.3,31.3,31.3,31.3,5.41,5.785582255083179,,,,0
2005-03-16,30.8,30.8,30.8,30.8,5.41,5.693160813308688,,,,0
2005-03-17,29.83,29.83,29.83,29.83,5.41,5.513863216266174,,,,0
2005-03-18,30.25,30.25,30.25,30.25,5.41,5.591497227356746,,,,0
2005-03-21,30.705,30.705,30.705,30.705,5.41,5.675600739371534,,,,0
2005-03-22,29.62,29.62,29.62,29.62,5.41,5.475046210720888,,,,0
2005-03-23,28.665,28.665,28.665,28.665,5.41,5.298521256931608,,,,0
