Date,Open,High,Low,Close,EPS,PE,Median_PE_90,Median_PE_180,Median_PE_365,Valid_Period
2004-09-01,,,,,-0.32,,,,,0
2004-09-02,,,,,-0.32,,,,,0
2004-09-03,,,,,-0.32,,,,,0
2004-09-06,,,,,-0.32,,,,,0
2004-09-07,,,,,-0.32,,,,,0
2004-09-08,,,,,-0.32,,,,,0
2004-09-09,,,,,-0.32,,,,,0
2004-09-10,,,,,-0.32,,,,,0
2004-09-13,,,,,-0.32,,,,,0
2004-09-14,,,,,-0.32,,,,,0
2004-09-15,,,,,-0.32,,,,,0
2004-09-16,,,,,-0.32,,,,,0
2004-09-17,,,,,-0.32,,,,,0
2004-09-20,,,,,-0.32,,,,,0
2004-09-21,,,,,-0.32,,,,,0
2004-09-22,,,,,-0.32,,,,,0
2004-09-23,,,,,-0.32,,,,,0
2004-09-24,,,,,-0.32,,,,,0
2004-09-27,,,,,-0.32,,,,,0
2004-09-28,,,,,-0.32,,,,,0
2004-09-29,,,,,-0.32,,,,,0
2004-09-30,,,,,-0.32,,,,,0
2004-10-01,,,,,-0.32,,,,,0
2004-10-04,,,,,-0.32,,,,,0
2004-10-05,,,,,-0.32,,,,,0
2004-10-06,,,,,-0.32,,,,,0
2004-10-07,,,,,-0.32,,,,,0
2004-10-08,,,,,-0.32,,,,,0
2004-10-11,,,,,-0.32,,,,,0
2004-10-12,,,,,-0.32,,,,,0
2004-10-13,,,,,-0.32,,,,,0
2004-10-14,,,,,-0.32,,,,,0
2004-10-15,,,,,-0.32,,,,,0
2004-10-18,,,,,-0.32,,,,,0
2004-10-19,,,,,-0.32,,,,,0
2004-10-20,,,,,-0.32,,,,,0
2004-10-21,,,,,-0.32,,,,,0
2004-10-22,,,,,-0.32,,,,,0
2004-10-25,,,,,-0.32,,,,,0
2004-10-26,,,,,-0.32,,,,,0
2004-10-27,,,,,-0.32,,,,,0
2004-10-28,,,,,-0.32,,,,,0
2004-10-29,,,,,-0.32,,,,,0
2004-11-01,,,,,-0.32,,,,,0
2004-11-02,,,,,-0.32,,,,,0
2004-11-03,,,,,-0.32,,,,,0
2004-11-04,,,,,-0.32,,,,,0
2004-11-05,,,,,-0.32,,,,,0
2004-11-08,,,,,-0.32,,,,,0
2004-11-09,,,,,-0.32,,,,,0
2004-11-10,,,,,-0.32,,,,,0
2004-11-11,,,,,-0.32,,,,,0
2004-11-12,,,,,-0.32,,,,,0
2004-11-15,,,,,-0.32,,,,,0
2004-11-16,,,,,-0.32,,,,,0
2004-11-17,,,,,-0.32,,,,,0
2004-11-18,,,,,-0.32,,,,,0
2004-11-19,,,,,-0.32,,,,,0
2004-11-22,,,,,-0.32,,,,,0
2004-11-23,,,,,-0.32,,,,,0
2004-11-24,,,,,-0.32,,,,,0
2004-11-25,,,,,-0.32,,,,,0
2004-11-26,,,,,-0.32,,,,,0
2004-11-29,,,,,-0.32,,,,,0
2004-11-30,,,,,-0.32,,,,,0
2004-12-01,,,,,0.18,,,,,0
2004-12-02,,,,,0.18,,,,,0
2004-12-03,,,,,0.18,,,,,0
2004-12-06,,,,,0.18,,,,,0
2004-12-07,,,,,0.18,,,,,0
2004-12-08,,,,,0.18,,,,,0
2004-12-09,,,,,0.18,,,,,0
2004-12-10,,,,,0.18,,,,,0
2004-12-13,,,,,0.18,,,,,0
2004-12-14,,,,,0.18,,,,,0
2004-12-15,,,,,0.18,,,,,0
2004-12-16,,,,,0.18,,,,,0
2004-12-17,,,,,0.18,,,,,0
2004-12-20,,,,,0.18,,,,,0
2004-12-21,,,,,0.18,,,,,0
2004-12-22,,,,,0.18,,,,,0
2004-12-23,,,,,0.18,,,,,0
2004-12-24,,,,,0.18,,,,,0
2004-12-27,,,,,0.18,,,,,0
2004-12-28,,,,,0.18,,,,,0
2004-12-29,,,,,0.18,,,,,0
2004-12-30,,,,,0.18,,,,,0
2004-12-31,,,,,0.18,,,,,0
2005-01-03,6.7,6.7,6.7,6.7,0.18,37.22222222222222,,,,0
2005-01-04,7.05,7.05,7.05,7.05,0.18,39.16666666666666,,,,0
2005-01-05,7.0,7.0,7.0,7.0,0.18,38.88888888888889,,,,0
2005-01-06,6.65,6.65,6.65,6.65,0.18,36.94444444444445,,,,0
2005-01-07,6.35,6.35,6.35,6.35,0.18,35.27777777777778,,,,0
2005-01-10,6.5,6.5,6.5,6.5,0.18,36.11111111111112,,,,0
2005-01-11,6.5,6.5,6.5,6.5,0.18,36.11111111111112,,,,0
2005-01-12,5.95,5.95,5.95,5.95,0.18,33.05555555555556,,,,0
2005-01-13,5.8,5.8,5.8,5.8,0.18,32.22222222222222,,,,0
2005-01-14,5.4,5.4,5.4,5.4,0.18,30.000000000000004,,,,0
2005-01-17,5.5,5.5,5.5,5.5,0.18,30.55555555555556,,,,0
2005-01-18,5.0,5.0,5.0,5.0,0.18,27.77777777777778,,,,0
2005-01-19,5.25,5.25,5.25,5.25,0.18,29.166666666666668,,,,0
2005-01-20,5.25,5.25,5.25,5.25,0.18,29.166666666666668,,,,0
2005-01-21,5.25,5.25,5.25,5.25,0.18,29.166666666666668,,,,0
2005-01-24,5.0,5.0,5.0,5.0,0.18,27.77777777777778,,,,0
2005-01-25,4.75,4.75,4.75,4.75,0.18,26.38888888888889,,,,0
2005-01-26,4.75,4.75,4.75,4.75,0.18,26.38888888888889,,,,0
2005-01-27,4.65,4.65,4.65,4.65,0.18,25.833333333333336,,,,0
2005-01-28,4.8,4.8,4.8,4.8,0.18,26.666666666666668,,,,0
2005-01-31,5.05,5.05,5.05,5.05,0.18,28.05555555555556,,,,0
2005-02-01,5.3,5.3,5.3,5.3,0.18,29.444444444444443,,,,0
2005-02-02,5.3,5.3,5.3,5.3,0.18,29.444444444444443,,,,0
2005-02-03,5.6,5.6,5.6,5.6,0.18,31.11111111111111,,,,0
2005-02-04,5.75,5.75,5.75,5.75,0.18,31.944444444444446,,,,0
2005-02-07,5.5,5.5,5.5,5.5,0.18,30.55555555555556,,,,0
2005-02-08,5.8,5.8,5.8,5.8,0.18,32.22222222222222,,,,0
2005-02-09,5.95,5.95,5.95,5.95,0.18,33.05555555555556,,,,0
2005-02-10,5.9,5.9,5.9,5.9,0.18,32.77777777777778,,,,0
2005-02-11,6.0,6.0,6.0,6.0,0.18,33.333333333333336,,,,0
2005-02-14,6.0,6.0,6.0,6.0,0.18,33.333333333333336,,,,0
2005-02-15,5.75,5.75,5.75,5.75,0.18,31.944444444444446,,,,0
2005-02-16,5.5,5.5,5.5,5.5,0.18,30.55555555555556,,,,0
2005-02-17,5.25,5.25,5.25,5.25,0.18,29.166666666666668,,,,0
2005-02-18,5.2,5.2,5.2,5.2,0.18,28.88888888888889,,,,0
2005-02-21,5.25,5.25,5.25,5.25,0.18,29.166666666666668,,,,0
2005-02-22,5.4,5.4,5.4,5.4,0.18,30.000000000000004,,,,0
