Date,Open,High,Low,Close,EPS,PE,Median_PE_90,Median_PE_180,Median_PE_365,Valid_Period
2004-09-01,,,,,2.47,,,,,0
2004-09-02,,,,,2.47,,,,,0
2004-09-03,,,,,2.47,,,,,0
2004-09-06,,,,,2.47,,,,,0
2004-09-07,,,,,2.47,,,,,0
2004-09-08,,,,,2.47,,,,,0
2004-09-09,,,,,2.47,,,,,0
2004-09-10,,,,,2.47,,,,,0
2004-09-13,,,,,2.47,,,,,0
2004-09-14,,,,,2.47,,,,,0
2004-09-15,,,,,2.47,,,,,0
2004-09-16,,,,,2.47,,,,,0
2004-09-17,,,,,2.47,,,,,0
2004-09-20,,,,,2.47,,,,,0
2004-09-21,,,,,2.47,,,,,0
2004-09-22,,,,,2.47,,,,,0
2004-09-23,,,,,2.47,,,,,0
2004-09-24,,,,,2.47,,,,,0
2004-09-27,,,,,2.47,,,,,0
2004-09-28,,,,,2.47,,,,,0
2004-09-29,,,,,2.47,,,,,0
2004-09-30,,,,,2.47,,,,,0
2004-10-01,,,,,2.47,,,,,0
2004-10-04,,,,,2.47,,,,,0
2004-10-05,,,,,2.47,,,,,0
2004-10-06,,,,,2.47,,,,,0
2004-10-07,,,,,2.47,,,,,0
2004-10-08,,,,,2.47,,,,,0
2004-10-11,,,,,2.47,,,,,0
2004-10-12,,,,,2.47,,,,,0
2004-10-13,,,,,2.47,,,,,0
2004-10-14,,,,,2.47,,,,,0
2004-10-15,,,,,2.47,,,,,0
2004-10-18,,,,,2.47,,,,,0
2004-10-19,,,,,2.47,,,,,0
2004-10-20,,,,,2.47,,,,,0
2004-10-21,,,,,2.47,,,,,0
2004-10-22,,,,,2.47,,,,,0
2004-10-25,,,,,2.47,,,,,0
2004-10-26,,,,,2.47,,,,,0
2004-10-27,,,,,2.47,,,,,0
2004-10-28,,,,,2.47,,,,,0
2004-10-29,,,,,2.47,,,,,0
2004-11-01,,,,,2.47,,,,,0
2004-11-02,,,,,2.47,,,,,0
2004-11-03,,,,,2.47,,,,,0
2004-11-04,,,,,2.47,,,,,0
2004-11-05,,,,,2.47,,,,,0
2004-11-08,,,,,2.47,,,,,0
2004-11-09,,,,,2.47,,,,,0
2004-11-10,,,,,2.47,,,,,0
2004-11-11,,,,,2.47,,,,,0
2004-11-12,,,,,2.47,,,,,0
2004-11-15,,,,,2.47,,,,,0
2004-11-16,,,,,2.47,,,,,0
2004-11-17,,,,,2.47,,,,,0
2004-11-18,,,,,2.47,,,,,0
2004-11-19,,,,,2.47,,,,,0
2004-11-22,,,,,2.47,,,,,0
2004-11-23,,,,,2.47,,,,,0
2004-11-24,,,,,2.47,,,,,0
2004-11-25,,,,,2.47,,,,,0
2004-11-26,,,,,2.47,,,,,0
2004-11-29,,,,,2.47,,,,,0
2004-11-30,,,,,2.47,,,,,0
2004-12-01,,,,,1.05,,,,,0
2004-12-02,,,,,1.05,,,,,0
2004-12-03,,,,,1.05,,,,,0
2004-12-06,,,,,1.05,,,,,0
2004-12-07,,,,,1.05,,,,,0
2004-12-08,,,,,1.05,,,,,0
2004-12-09,,,,,1.05,,,,,0
2004-12-10,,,,,1.05,,,,,0
2004-12-13,,,,,1.05,,,,,0
2004-12-14,,,,,1.05,,,,,0
2004-12-15,,,,,1.05,,,,,0
2004-12-16,,,,,1.05,,,,,0
2004-12-17,,,,,1.05,,,,,0
2004-12-20,,,,,1.05,,,,,0
2004-12-21,,,,,1.05,,,,,0
2004-12-22,,,,,1.05,,,,,0
2004-12-23,,,,,1.05,,,,,0
2004-12-24,,,,,1.05,,,,,0
2004-12-27,,,,,1.05,,,,,0
2004-12-28,,,,,1.05,,,,,0
2004-12-29,,,,,1.05,,,,,0
2004-12-30,,,,,1.05,,,,,0
2004-12-31,,,,,1.05,,,,,0
2005-01-03,48.224358,48.224358,48.224358,48.224358,1.05,45.92796,,,,0
2005-01-04,47.958967,47.958967,47.958967,47.958967,1.05,45.67520666666667,,,,0
2005-01-05,47.239535,47.239535,47.239535,47.239535,1.05,44.99003333333333,,,,0
2005-01-06,45.957346,45.957346,45.957346,45.957346,1.05,43.76890095238095,,,,0
2005-01-07,45.976531,45.976531,45.976531,45.976531,1.05,43.78717238095238,,,,0
2005-01-10,47.140413,47.140413,47.140413,47.140413,1.05,44.89563142857143,,,,0
2005-01-11,45.173964,45.173964,45.173964,45.173964,1.05,43.022822857142856,,,,0
2005-01-12,43.699927,43.699927,43.699927,43.699927,1.05,41.6189780952381,,,,0
2005-01-13,45.701548,45.701548,45.701548,45.701548,1.05,43.52528380952381,,,,0
2005-01-14,45.212334,45.212334,45.212334,45.212334,1.05,43.05936571428571,,,,0
2005-01-17,44.751897,44.751897,44.751897,44.751897,1.05,42.62085428571428,,,,0
2005-01-18,43.706322,43.706322,43.706322,43.706322,1.05,41.62506857142857,,,,0
2005-01-19,44.700738,44.700738,44.700738,44.700738,1.05,42.57213142857143,,,,0
2005-01-20,44.099612,44.099612,44.099612,44.099612,1.05,41.99963047619048,,,,0
2005-01-21,44.099612,44.099612,44.099612,44.099612,1.05,41.99963047619048,,,,0
2005-01-24,44.691145,44.691145,44.691145,44.691145,1.05,42.56299523809523,,,,0
2005-01-25,43.891776,43.891776,43.891776,43.891776,1.05,41.801691428571424,,,,0
2005-01-26,43.891776,43.891776,43.891776,43.891776,1.05,41.801691428571424,,,,0
2005-01-27,45.947754,45.947754,45.947754,45.947754,1.05,43.75976571428571,,,,0
2005-01-28,44.911771,44.911771,44.911771,44.911771,1.05,42.77311523809524,,,,0
2005-01-31,46.264304,46.264304,46.264304,46.264304,1.05,44.06124190476191,,,,0
2005-02-01,46.721544,46.721544,46.721544,46.721544,1.05,44.49670857142857,,,,0
2005-02-02,46.452956,46.452956,46.452956,46.452956,1.05,44.24091047619047,,,,0
2005-02-03,46.692766,46.692766,46.692766,46.692766,1.05,44.46930095238095,,,,0
2005-02-04,46.347439,46.347439,46.347439,46.347439,1.05,44.1404180952381,,,,0
2005-02-07,44.793465,44.793465,44.793465,44.793465,1.05,42.66044285714285,,,,0
2005-02-08,44.320238,44.320238,44.320238,44.320238,1.05,42.20975047619048,,,,0
2005-02-09,44.764687,44.764687,44.764687,44.764687,1.05,42.63303523809524,,,,0
2005-02-10,44.080427,44.080427,44.080427,44.080427,1.05,41.98135904761904,,,,0
2005-02-11,43.783062,43.783062,43.783062,43.783062,1.05,41.69815428571429,,,,0
2005-02-14,44.764687,44.764687,44.764687,44.764687,1.05,42.63303523809524,,,,1
2005-02-15,44.751897,44.751897,44.751897,44.751897,1.05,42.62085428571428,,,,1
2005-02-16,43.795852,43.795852,43.795852,43.795852,1.05,41.71033523809523,,,,1
2005-02-17,43.133974,43.133974,43.133974,43.133974,1.05,41.07997523809524,,,,1
