Date,Open,High,Low,Close,EPS,PE,Median_PE_90,Median_PE_180,Median_PE_365,Valid_Period
2004-09-01,,,,,1.76,,,,,0
2004-09-02,,,,,1.76,,,,,0
2004-09-03,,,,,1.76,,,,,0
2004-09-06,,,,,1.76,,,,,0
2004-09-07,,,,,1.76,,,,,0
2004-09-08,,,,,1.76,,,,,0
2004-09-09,,,,,1.76,,,,,0
2004-09-10,,,,,1.76,,,,,0
2004-09-13,,,,,1.76,,,,,0
2004-09-14,,,,,1.76,,,,,0
2004-09-15,,,,,1.76,,,,,0
2004-09-16,,,,,1.76,,,,,0
2004-09-17,,,,,1.76,,,,,0
2004-09-20,,,,,1.76,,,,,0
2004-09-21,,,,,1.76,,,,,0
2004-09-22,,,,,1.76,,,,,0
2004-09-23,,,,,1.76,,,,,0
2004-09-24,,,,,1.76,,,,,0
2004-09-27,,,,,1.76,,,,,0
2004-09-28,,,,,1.76,,,,,0
2004-09-29,,,,,1.76,,,,,0
2004-09-30,,,,,1.76,,,,,0
2004-10-01,,,,,1.76,,,,,0
2004-10-04,,,,,1.76,,,,,0
2004-10-05,,,,,1.76,,,,,0
2004-10-06,,,,,1.76,,,,,0
2004-10-07,,,,,1.76,,,,,0
2004-10-08,,,,,1.76,,,,,0
2004-10-11,,,,,1.76,,,,,0
2004-10-12,,,,,1.76,,,,,0
2004-10-13,,,,,1.76,,,,,0
2004-10-14,,,,,1.76,,,,,0
2004-10-15,,,,,1.76,,,,,0
2004-10-18,,,,,1.76,,,,,0
2004-10-19,,,,,1.76,,,,,0
2004-10-20,,,,,1.76,,,,,0
2004-10-21,,,,,1.76,,,,,0
2004-10-22,,,,,1.76,,,,,0
2004-10-25,,,,,1.76,,,,,0
2004-10-26,,,,,1.76,,,,,0
2004-10-27,,,,,1.76,,,,,0
2004-10-28,,,,,1.76,,,,,0
2004-10-29,,,,,1.76,,,,,0
2004-11-01,,,,,1.76,,,,,0
2004-11-02,,,,,1.76,,,,,0
2004-11-03,,,,,1.76,,,,,0
2004-11-04,,,,,1.76,,,,,0
2004-11-05,,,,,1.76,,,,,0
2004-11-08,,,,,1.76,,,,,0
2004-11-09,,,,,1.76,,,,,0
2004-11-10,,,,,1.76,,,,,0
2004-11-11,,,,,1.76,,,,,0
2004-11-12,,,,,1.76,,,,,0
2004-11-15,,,,,1.76,,,,,0
2004-11-16,,,,,1.76,,,,,0
2004-11-17,,,,,1.76,,,,,0
2004-11-18,,,,,1.76,,,,,0
2004-11-19,,,,,1.76,,,,,0
2004-11-22,,,,,1.76,,,,,0
2004-11-23,,,,,1.76,,,,,0
2004-11-24,,,,,1.76,,,,,0
2004-11-25,,,,,1.76,,,,,0
2004-11-26,,,,,1.76,,,,,0
2004-11-29,,,,,1.76,,,,,0
2004-11-30,,,,,1.76,,,,,0
2004-12-01,,,,,0.69,,,,,0
2004-12-02,,,,,0.69,,,,,0
2004-12-03,,,,,0.69,,,,,0
2004-12-06,,,,,0.69,,,,,0
2004-12-07,,,,,0.69,,,,,0
2004-12-08,,,,,0.69,,,,,0
2004-12-09,,,,,0.69,,,,,0
2004-12-10,,,,,0.69,,,,,0
2004-12-13,,,,,0.69,,,,,0
2004-12-14,,,,,0.69,,,,,0
2004-12-15,,,,,0.69,,,,,0
2004-12-16,,,,,0.69,,,,,0
2004-12-17,,,,,0.69,,,,,0
2004-12-20,,,,,0.69,,,,,0
2004-12-21,,,,,0.69,,,,,0
2004-12-22,,,,,0.69,,,,,0
2004-12-23,,,,,0.69,,,,,0
2004-12-24,,,,,0.69,,,,,0
2004-12-27,,,,,0.69,,,,,0
2004-12-28,,,,,0.69,,,,,0
2004-12-29,,,,,0.69,,,,,0
2004-12-30,,,,,0.69,,,,,0
2004-12-31,,,,,0.69,,,,,0
2005-01-03,37.35,37.35,37.35,37.35,0.69,54.1304347826087,,,,0
2005-01-04,36.6,36.6,36.6,36.6,0.69,53.04347826086957,,,,0
2005-01-05,34.3,34.3,34.3,34.3,0.69,49.71014492753624,,,,0
2005-01-06,33.85,33.85,33.85,33.85,0.69,49.05797101449276,,,,0
2005-01-07,35.3,35.3,35.3,35.3,0.69,51.15942028985507,,,,0
2005-01-10,35.4,35.4,35.4,35.4,0.69,51.30434782608696,,,,0
2005-01-11,33.05,33.05,33.05,33.05,0.69,47.89855072463768,,,,0
2005-01-12,29.9,29.9,29.9,29.9,0.69,43.333333333333336,,,,0
2005-01-13,33.95,33.95,33.95,33.95,0.69,49.20289855072465,,,,0
2005-01-14,32.8,32.8,32.8,32.8,0.69,47.53623188405797,,,,0
2005-01-17,33.45,33.45,33.45,33.45,0.69,48.478260869565226,,,,0
2005-01-18,32.95,32.95,32.95,32.95,0.69,47.75362318840581,,,,0
2005-01-19,32.25,32.25,32.25,32.25,0.69,46.73913043478261,,,,0
2005-01-20,31.35,31.35,31.35,31.35,0.69,45.434782608695656,,,,0
2005-01-21,31.35,31.35,31.35,31.35,0.69,45.434782608695656,,,,0
2005-01-24,30.05,30.05,30.05,30.05,0.69,43.55072463768117,,,,0
