Date,Open,High,Low,Close,EPS,PE,Median_PE_90,Median_PE_180,Median_PE_365,Valid_Period
2004-09-01,,,,,-0.18,,,,,0
2004-09-02,,,,,-0.18,,,,,0
2004-09-03,,,,,-0.18,,,,,0
2004-09-06,,,,,-0.18,,,,,0
2004-09-07,,,,,-0.18,,,,,0
2004-09-08,,,,,-0.18,,,,,0
2004-09-09,,,,,-0.18,,,,,0
2004-09-10,,,,,-0.18,,,,,0
2004-09-13,,,,,-0.18,,,,,0
2004-09-14,,,,,-0.18,,,,,0
2004-09-15,,,,,-0.18,,,,,0
2004-09-16,,,,,-0.18,,,,,0
2004-09-17,,,,,-0.18,,,,,0
2004-09-20,,,,,-0.18,,,,,0
2004-09-21,,,,,-0.18,,,,,0
2004-09-22,,,,,-0.18,,,,,0
2004-09-23,,,,,-0.18,,,,,0
2004-09-24,,,,,-0.18,,,,,0
2004-09-27,,,,,-0.18,,,,,0
2004-09-28,,,,,-0.18,,,,,0
2004-09-29,,,,,-0.18,,,,,0
2004-09-30,,,,,-0.18,,,,,0
2004-10-01,,,,,-0.18,,,,,0
2004-10-04,,,,,-0.18,,,,,0
2004-10-05,,,,,-0.18,,,,,0
2004-10-06,,,,,-0.18,,,,,0
2004-10-07,,,,,-0.18,,,,,0
2004-10-08,,,,,-0.18,,,,,0
2004-10-11,,,,,-0.18,,,,,0
2004-10-12,,,,,-0.18,,,,,0
2004-10-13,,,,,-0.18,,,,,0
2004-10-14,,,,,-0.18,,,,,0
2004-10-15,,,,,-0.18,,,,,0
2004-10-18,,,,,-0.18,,,,,0
2004-10-19,,,,,-0.18,,,,,0
2004-10-20,,,,,-0.18,,,,,0
2004-10-21,,,,,-0.18,,,,,0
2004-10-22,,,,,-0.18,,,,,0
2004-10-25,,,,,-0.18,,,,,0
2004-10-26,,,,,-0.18,,,,,0
2004-10-27,,,,,-0.18,,,,,0
2004-10-28,,,,,-0.18,,,,,0
2004-10-29,,,,,-0.18,,,,,0
2004-11-01,,,,,-0.18,,,,,0
2004-11-02,,,,,-0.18,,,,,0
2004-11-03,,,,,-0.18,,,,,0
2004-11-04,,,,,-0.18,,,,,0
2004-11-05,,,,,-0.18,,,,,0
2004-11-08,,,,,-0.18,,,,,0
2004-11-09,,,,,-0.18,,,,,0
2004-11-10,,,,,-0.18,,,,,0
2004-11-11,,,,,-0.18,,,,,0
2004-11-12,,,,,-0.18,,,,,0
2004-11-15,,,,,-0.18,,,,,0
2004-11-16,,,,,-0.18,,,,,0
2004-11-17,,,,,-0.18,,,,,0
2004-11-18,,,,,-0.18,,,,,0
2004-11-19,,,,,-0.18,,,,,0
2004-11-22,,,,,-0.18,,,,,0
2004-11-23,,,,,-0.18,,,,,0
2004-11-24,,,,,-0.18,,,,,0
2004-11-25,,,,,-0.18,,,,,0
2004-11-26,,,,,-0.18,,,,,0
2004-11-29,,,,,-0.18,,,,,0
2004-11-30,,,,,-0.18,,,,,0
2004-12-01,,,,,-0.89,,,,,0
2004-12-02,,,,,-0.89,,,,,0
2004-12-03,,,,,-0.89,,,,,0
2004-12-06,,,,,-0.89,,,,,0
2004-12-07,,,,,-0.89,,,,,0
2004-12-08,,,,,-0.89,,,,,0
2004-12-09,,,,,-0.89,,,,,0
2004-12-10,,,,,-0.89,,,,,0
2004-12-13,,,,,-0.89,,,,,0
2004-12-14,,,,,-0.89,,,,,0
2004-12-15,,,,,-0.89,,,,,0
2004-12-16,,,,,-0.89,,,,,0
2004-12-17,,,,,-0.89,,,,,0
2004-12-20,,,,,-0.89,,,,,0
2004-12-21,,,,,-0.89,,,,,0
2004-12-22,,,,,-0.89,,,,,0
2004-12-23,,,,,-0.89,,,,,0
2004-12-24,,,,,-0.89,,,,,0
2004-12-27,,,,,-0.89,,,,,0
2004-12-28,,,,,-0.89,,,,,0
2004-12-29,,,,,-0.89,,,,,0
2004-12-30,,,,,-0.89,,,,,0
2004-12-31,,,,,-0.89,,,,,0
2005-01-03,338.15,338.15,338.15,338.15,-0.89,,,,,0
2005-01-04,343.1,343.1,343.1,343.1,-0.89,,,,,0
2005-01-05,333.5,333.5,333.5,333.5,-0.89,,,,,0
2005-01-06,338.25,338.25,338.25,338.25,-0.89,,,,,0
2005-01-07,333.65,333.65,333.65,333.65,-0.89,,,,,0
2005-01-10,339.7,339.7,339.7,339.7,-0.89,,,,,0
2005-01-11,324.65,324.65,324.65,324.65,-0.89,,,,,0
2005-01-12,320.1,320.1,320.1,320.1,-0.89,,,,,0
2005-01-13,318.7,318.7,318.7,318.7,-0.89,,,,,0
2005-01-14,328.15,328.15,328.15,328.15,-0.89,,,,,0
2005-01-17,324.75,324.75,324.75,324.75,-0.89,,,,,0
2005-01-18,323.55,323.55,323.55,323.55,-0.89,,,,,0
2005-01-19,323.5,323.5,323.5,323.5,-0.89,,,,,0
2005-01-20,333.45,333.45,333.45,333.45,-0.89,,,,,0
2005-01-21,333.45,333.45,333.45,333.45,-0.89,,,,,0
2005-01-24,328.5,328.5,328.5,328.5,-0.89,,,,,0
2005-01-25,321.45,321.45,321.45,321.45,-0.89,,,,,0
2005-01-26,321.45,321.45,321.45,321.45,-0.89,,,,,0
2005-01-27,325.05,325.05,325.05,325.05,-0.89,,,,,0
2005-01-28,351.5,351.5,351.5,351.5,-0.89,,,,,0
2005-01-31,343.75,343.75,343.75,343.75,-0.89,,,,,0
2005-02-01,361.25,361.25,361.25,361.25,-0.89,,,,,0
2005-02-02,351.95,351.95,351.95,351.95,-0.89,,,,,0
2005-02-03,379.35,379.35,379.35,379.35,-0.89,,,,,0
2005-02-04,382.75,382.75,382.75,382.75,-0.89,,,,,0
2005-02-07,372.55,372.55,372.55,372.55,-0.89,,,,,0
2005-02-08,371.7,371.7,371.7,371.7,-0.89,,,,,0
2005-02-09,370.7,370.7,370.7,370.7,-0.89,,,,,0
2005-02-10,374.1,374.1,374.1,374.1,-0.89,,,,,0
2005-02-11,372.95,372.95,372.95,372.95,-0.89,,,,,0
2005-02-14,374.85,374.85,374.85,374.85,-0.89,,,,,0
2005-02-15,377.4,377.4,377.4,377.4,-0.89,,,,,0
2005-02-16,371.75,371.75,371.75,371.75,-0.89,,,,,0
2005-02-17,368.05,368.05,368.05,368.05,-0.89,,,,,0
2005-02-18,367.4,367.4,367.4,367.4,-0.89,,,,,0
2005-02-21,359.55,359.55,359.55,359.55,-0.89,,,,,0
2005-02-22,359.9,359.9,359.9,359.9,-0.89,,,,,0
2005-02-23,362.85,362.85,362.85,362.85,-0.89,,,,,0
2005-02-24,361.5,361.5,361.5,361.5,-0.89,,,,,0
2005-02-25,364.55,364.55,364.55,364.55,-0.89,,,,,0
2005-02-28,373.6,373.6,373.6,373.6,-0.89,,,,,0
