Date,Open,High,Low,Close,EPS,PE,Median_PE_90,Median_PE_180,Median_PE_365,Valid_Period
2004-09-01,,,,,4.57,,,,,0
2004-09-02,,,,,4.57,,,,,0
2004-09-03,,,,,4.57,,,,,0
2004-09-06,,,,,4.57,,,,,0
2004-09-07,,,,,4.57,,,,,0
2004-09-08,,,,,4.57,,,,,0
2004-09-09,,,,,4.57,,,,,0
2004-09-10,,,,,4.57,,,,,0
2004-09-13,,,,,4.57,,,,,0
2004-09-14,,,,,4.57,,,,,0
2004-09-15,,,,,4.57,,,,,0
2004-09-16,,,,,4.57,,,,,0
2004-09-17,,,,,4.57,,,,,0
2004-09-20,,,,,4.57,,,,,0
2004-09-21,,,,,4.57,,,,,0
2004-09-22,,,,,4.57,,,,,0
2004-09-23,,,,,4.57,,,,,0
2004-09-24,,,,,4.57,,,,,0
2004-09-27,,,,,4.57,,,,,0
2004-09-28,,,,,4.57,,,,,0
2004-09-29,,,,,4.57,,,,,0
2004-09-30,,,,,4.57,,,,,0
2004-10-01,,,,,4.57,,,,,0
2004-10-04,,,,,4.57,,,,,0
2004-10-05,,,,,4.57,,,,,0
2004-10-06,,,,,4.57,,,,,0
2004-10-07,,,,,4.57,,,,,0
2004-10-08,,,,,4.57,,,,,0
2004-10-11,,,,,4.57,,,,,0
2004-10-12,,,,,4.57,,,,,0
2004-10-13,,,,,4.57,,,,,0
2004-10-14,,,,,4.57,,,,,0
2004-10-15,,,,,4.57,,,,,0
2004-10-18,,,,,4.57,,,,,0
2004-10-19,,,,,4.57,,,,,0
2004-10-20,,,,,4.57,,,,,0
2004-10-21,,,,,4.57,,,,,0
2004-10-22,,,,,4.57,,,,,0
2004-10-25,,,,,4.57,,,,,0
2004-10-26,,,,,4.57,,,,,0
2004-10-27,,,,,4.57,,,,,0
2004-10-28,,,,,4.57,,,,,0
2004-10-29,,,,,4.57,,,,,0
2004-11-01,,,,,4.57,,,,,0
2004-11-02,,,,,4.57,,,,,0
2004-11-03,,,,,4.57,,,,,0
2004-11-04,,,,,4.57,,,,,0
2004-11-05,,,,,4.57,,,,,0
2004-11-08,,,,,4.57,,,,,0
2004-11-09,,,,,4.57,,,,,0
2004-11-10,,,,,4.57,,,,,0
2004-11-11,,,,,4.57,,,,,0
2004-11-12,,,,,4.57,,,,,0
2004-11-15,,,,,4.57,,,,,0
2004-11-16,,,,,4.57,,,,,0
2004-11-17,,,,,4.57,,,,,0
2004-11-18,,,,,4.57,,,,,0
2004-11-19,,,,,4.57,,,,,0
2004-11-22,,,,,4.57,,,,,0
2004-11-23,,,,,4.57,,,,,0
2004-11-24,,,,,4.57,,,,,0
2004-11-25,,,,,4.57,,,,,0
2004-11-26,,,,,4.57,,,,,0
2004-11-29,,,,,4.57,,,,,0
2004-11-30,,,,,4.57,,,,,0
2004-12-01,,,,,1.28,,,,,0
2004-12-02,,,,,1.28,,,,,0
2004-12-03,,,,,1.28,,,,,0
2004-12-06,,,,,1.28,,,,,0
2004-12-07,,,,,1.28,,,,,0
2004-12-08,,,,,1.28,,,,,0
2004-12-09,,,,,1.28,,,,,0
2004-12-10,,,,,1.28,,,,,0
2004-12-13,,,,,1.28,,,,,0
2004-12-14,,,,,1.28,,,,,0
2004-12-15,,,,,1.28,,,,,0
2004-12-16,,,,,1.28,,,,,0
2004-12-17,,,,,1.28,,,,,0
2004-12-20,,,,,1.28,,,,,0
2004-12-21,,,,,1.28,,,,,0
2004-12-22,,,,,1.28,,,,,0
2004-12-23,,,,,1.28,,,,,0
2004-12-24,,,,,1.28,,,,,0
2004-12-27,,,,,1.28,,,,,0
2004-12-28,,,,,1.28,,,,,0
2004-12-29,,,,,1.28,,,,,0
2004-12-30,,,,,1.28,,,,,0
2004-12-31,,,,,1.28,,,,,0
2005-01-03,109.45,109.45,109.45,109.45,1.28,85.5078125,,,,0
2005-01-04,114.25,114.25,114.25,114.25,1.28,89.2578125,,,,0
2005-01-05,108.05,108.05,108.05,108.05,1.28,84.4140625,,,,0
2005-01-06,103.8,103.8,103.8,103.8,1.28,81.09375,,,,0
2005-01-07,106.05,106.05,106.05,106.05,1.28,82.8515625,,,,0
2005-01-10,104.75,104.75,104.75,104.75,1.28,81.8359375,,,,0
2005-01-11,100.1,100.1,100.1,100.1,1.28,78.203125,,,,0
2005-01-12,94.35,94.35,94.35,94.35,1.28,73.7109375,,,,0
2005-01-13,101.75,101.75,101.75,101.75,1.28,79.4921875,,,,0
2005-01-14,102.35,102.35,102.35,102.35,1.28,79.9609375,,,,0
2005-01-17,104.35,104.35,104.35,104.35,1.28,81.5234375,,,,0
2005-01-18,103.2,103.2,103.2,103.2,1.28,80.625,,,,0
2005-01-19,99.8,99.8,99.8,99.8,1.28,77.96875,,,,0
2005-01-20,99.65,99.65,99.65,99.65,1.28,77.8515625,,,,0
2005-01-21,99.65,99.65,99.65,99.65,1.28,77.8515625,,,,0
2005-01-24,99.1,99.1,99.1,99.1,1.28,77.421875,,,,0
2005-01-25,102.8,102.8,102.8,102.8,1.28,80.3125,,,,0
2005-01-26,102.8,102.8,102.8,102.8,1.28,80.3125,,,,0
2005-01-27,110.0,110.0,110.0,110.0,1.28,85.9375,,,,0
2005-01-28,108.3,108.3,108.3,108.3,1.28,84.609375,,,,0
2005-01-31,110.4,110.4,110.4,110.4,1.28,86.25,,,,0
2005-02-01,110.2,110.2,110.2,110.2,1.28,86.09375,,,,0
2005-02-02,114.2,114.2,114.2,114.2,1.28,89.21875,,,,0
2005-02-03,118.35,118.35,118.35,118.35,1.28,92.4609375,,,,0
2005-02-04,116.15,116.15,116.15,116.15,1.28,90.7421875,,,,0
2005-02-07,116.7,116.7,116.7,116.7,1.28,91.171875,,,,0
2005-02-08,115.45,115.45,115.45,115.45,1.28,90.1953125,,,,0
2005-02-09,116.9,116.9,116.9,116.9,1.28,91.328125,,,,0
2005-02-10,117.15,117.15,117.15,117.15,1.28,91.5234375,,,,0
2005-02-11,117.6,117.6,117.6,117.6,1.28,91.875,,,,0
2005-02-14,116.3,116.3,116.3,116.3,1.28,90.859375,,,,0
2005-02-15,114.6,114.6,114.6,114.6,1.28,89.53125,,,,0
2005-02-16,115.15,115.15,115.15,115.15,1.28,89.9609375,,,,0
2005-02-17,112.25,112.25,112.25,112.25,1.28,87.6953125,,,,0
2005-02-18,107.95,107.95,107.95,107.95,1.28,84.3359375,,,,0
2005-02-21,105.6,105.6,105.6,105.6,1.28,82.5,,,,0
2005-02-22,113.2,113.2,113.2,113.2,1.28,88.4375,,,,0
2005-02-23,114.7,114.7,114.7,114.7,1.28,89.609375,,,,0
2005-02-24,112.15,112.15,112.15,112.15,1.28,87.6171875,,,,0
2005-02-25,110.75,110.75,110.75,110.75,1.28,86.5234375,,,,0
2005-02-28,120.4,120.4,120.4,120.4,1.28,94.0625,,,,0
2005-03-01,120.65,120.65,120.65,120.65,5.19,23.2466281310212,,,,0
2005-03-02,127.15,127.15,127.15,127.15,5.19,24.4990366088632,,,,0
2005-03-03,122.9,122.9,122.9,122.9,5.19,23.680154142581888,,,,0
2005-03-04,122.85,122.85,122.85,122.85,5.19,23.67052023121387,,,,0
2005-03-07,125.9,125.9,125.9,125.9,5.19,24.258188824662813,,,,0
2005-03-08,127.45,127.45,127.45,127.45,5.19,24.55684007707129,,,,0
2005-03-09,125.4,125.4,125.4,125.4,5.19,24.161849710982658,,,,0
2005-03-10,131.05,131.05,131.05,131.05,5.19,25.2504816955684,,,,0
2005-03-11,129.7,129.7,129.7,129.7,5.19,24.99036608863198,,,,0
2005-03-14,128.0,128.0,128.0,128.0,5.19,24.662813102119458,,,,0
2005-03-15,125.65,125.65,125.65,125.65,5.19,24.210019267822734,,,,0
2005-03-16,125.1,125.1,125.1,125.1,5.19,24.104046242774565,,,,0
2005-03-17,122.85,122.85,122.85,122.85,5.19,23.67052023121387,,,,0
2005-03-18,119.8,119.8,119.8,119.8,5.19,23.08285163776493,,,,0
2005-03-21,120.1,120.1,120.1,120.1,5.19,23.14065510597302,,,,0
2005-03-22,114.05,114.05,114.05,114.05,5.19,21.97495183044316,,,,0
2005-03-23,103.15,103.15,103.15,103.15,5.19,19.8747591522158,,,,0
2005-03-24,104.9,104.9,104.9,104.9,5.19,20.211946050096337,,,,0
2005-03-25,104.9,104.9,104.9,104.9,5.19,20.211946050096337,,,,0
2005-03-28,106.75,106.75,106.75,106.75,5.19,20.56840077071291,,,,0
2005-03-29,103.95,103.95,103.95,103.95,5.19,20.028901734104046,,,,0
2005-03-30,111.15,111.15,111.15,111.15,5.19,21.416184971098264,,,,0
2005-03-31,113.05,113.05,113.05,113.05,5.19,21.78227360308285,,,,0
2005-04-01,114.65,114.65,114.65,114.65,5.19,22.090558766859345,,,,0
2005-04-04,113.15,113.15,113.15,113.15,5.19,21.801541425818883,,,,0
2005-04-05,109.75,109.75,109.75,109.75,5.19,21.14643545279383,,,,0
2005-04-06,109.7,109.7,109.7,109.7,5.19,21.13680154142581,,,,0
2005-04-07,113.45,113.45,113.45,113.45,5.19,21.85934489402697,,,,0
2005-04-08,110.15,110.15,110.15,110.15,5.19,21.22350674373796,,,,0
2005-04-11,107.85,107.85,107.85,107.85,5.19,20.78034682080925,,,,0
2005-04-12,110.4,110.4,110.4,110.4,5.19,21.27167630057804,,,,0
2005-04-13,112.9,112.9,112.9,112.9,5.19,21.753371868978803,,,,0
2005-04-14,112.9,112.9,112.9,112.9,5.19,21.753371868978803,,,,0
2005-04-15,108.55,108.55,108.55,108.55,5.19,20.91522157996146,,,,0
2005-04-18,107.45,107.45,107.45,107.45,5.19,20.703275529865124,,,,0
2005-04-19,105.9,105.9,105.9,105.9,5.19,20.404624277456648,,,,0
2005-04-20,107.25,107.25,107.25,107.25,5.19,20.66473988439306,,,,0
2005-04-21,109.7,109.7,109.7,109.7,5.19,21.13680154142581,,,,0
2005-04-22,108.0,108.0,108.0,108.0,5.19,20.80924855491329,,,,0
2005-04-25,108.7,108.7,108.7,108.7,5.19,20.94412331406551,,,,0
2005-04-26,108.65,108.65,108.65,108.65,5.19,20.93448940269749,,,,0
2005-04-27,110.35,110.35,110.35,110.35,5.19,21.262042389210016,,,,0
2005-04-28,102.8,102.8,102.8,102.8,5.19,19.80732177263969,,,,0
2005-04-29,96.85,96.85,96.85,96.85,5.19,18.66088631984585,,,,0
2005-05-02,97.1,97.1,97.1,97.1,5.19,18.70905587668593,,,,0
2005-05-03,97.95,97.95,97.95,97.95,5.19,18.872832369942195,,,,0
2005-05-04,100.3,100.3,100.3,100.3,5.19,19.32562620423892,,,,0
2005-05-05,103.55,103.55,103.55,103.55,5.19,19.95183044315992,,,,0
2005-05-06,102.45,102.45,102.45,102.45,5.19,19.739884393063583,24.527938342967246,,,0
2005-05-09,103.3,103.3,103.3,103.3,5.19,19.903660886319845,24.37861271676301,,,0
2005-05-10,104.5,104.5,104.5,104.5,5.19,20.13487475915221,24.234104046242773,,,0
2005-05-11,102.55,102.55,102.55,102.55,5.19,19.759152215799613,24.185934489402698,,,0
2005-05-12,103.65,103.65,103.65,103.65,5.19,19.97109826589596,24.13294797687861,,,0
2005-05-13,104.65,104.65,104.65,104.65,5.19,20.16377649325626,23.892100192678228,,,0
2005-05-16,105.35,105.35,105.35,105.35,5.19,20.29865125240848,23.67533718689788,,,0
2005-05-17,102.85,102.85,102.85,102.85,5.19,19.816955684007706,23.67052023121387,,,0
2005-05-18,100.6,100.6,100.6,100.6,5.19,19.38342967244701,23.45857418111753,,,0
2005-05-19,101.95,101.95,101.95,101.95,5.19,19.643545279383428,23.19364161849711,,,0
2005-05-20,101.35,101.35,101.35,101.35,5.19,19.527938342967243,23.11175337186897,,,0
2005-05-23,102.8,102.8,102.8,102.8,5.19,19.80732177263969,22.58670520231214,,,0
2005-05-24,103.85,103.85,103.85,103.85,5.19,20.009633911368013,22.032755298651253,,,0
2005-05-25,104.7,104.7,104.7,104.7,5.19,20.17341040462428,21.917148362235068,,,0
2005-05-26,104.15,104.15,104.15,104.15,5.19,20.06743737957611,21.83044315992293,,,0
2005-05-27,104.2,104.2,104.2,104.2,5.19,20.07707129094412,21.791907514450862,,,0
2005-05-30,103.8,103.8,103.8,103.8,5.19,20.0,21.767822736030823,,,0
2005-05-31,104.7,104.7,104.7,104.7,5.19,20.17341040462428,21.753371868978803,,,0
2005-06-01,104.4,104.4,104.4,104.4,5.22,20.000000000000004,21.58477842003853,,,0
2005-06-02,104.2,104.2,104.2,104.2,5.22,19.96168582375479,21.343930635838152,,,0
2005-06-03,105.6,105.6,105.6,105.6,5.22,20.229885057471265,21.26685934489403,,,0
2005-06-04,105.85,105.85,105.85,105.85,5.22,20.27777777777778,21.24277456647399,,,0
2005-06-06,108.05,108.05,108.05,108.05,5.22,20.699233716475096,21.184971098265898,,,0
2005-06-07,109.6,109.6,109.6,109.6,5.22,20.99616858237548,21.14161849710982,,,0
2005-06-08,110.5,110.5,110.5,110.5,5.22,21.168582375478927,21.14161849710982,,,0
2005-06-09,109.65,109.65,109.65,109.65,5.22,21.005747126436784,21.13680154142581,,,0
2005-06-10,108.85,108.85,108.85,108.85,5.22,20.85249042145594,21.0712743339313,,,0
2005-06-13,108.65,108.65,108.65,108.65,5.22,20.81417624521073,21.00095785440613,,,0
2005-06-14,110.0,110.0,110.0,110.0,5.22,21.072796934865902,21.00095785440613,,,0
