Date,Open,High,Low,Close,EPS,PE,Median_PE_90,Median_PE_180,Median_PE_365,Valid_Period
2004-09-01,,,,,0.55,,,,,0
2004-09-02,,,,,0.55,,,,,0
2004-09-03,,,,,0.55,,,,,0
2004-09-06,,,,,0.55,,,,,0
2004-09-07,,,,,0.55,,,,,0
2004-09-08,,,,,0.55,,,,,0
2004-09-09,,,,,0.55,,,,,0
2004-09-10,,,,,0.55,,,,,0
2004-09-13,,,,,0.55,,,,,0
2004-09-14,,,,,0.55,,,,,0
2004-09-15,,,,,0.55,,,,,0
2004-09-16,,,,,0.55,,,,,0
2004-09-17,,,,,0.55,,,,,0
2004-09-20,,,,,0.55,,,,,0
2004-09-21,,,,,0.55,,,,,0
2004-09-22,,,,,0.55,,,,,0
2004-09-23,,,,,0.55,,,,,0
2004-09-24,,,,,0.55,,,,,0
2004-09-27,,,,,0.55,,,,,0
2004-09-28,,,,,0.55,,,,,0
2004-09-29,,,,,0.55,,,,,0
2004-09-30,,,,,0.55,,,,,0
2004-10-01,,,,,0.55,,,,,0
2004-10-04,,,,,0.55,,,,,0
2004-10-05,,,,,0.55,,,,,0
2004-10-06,,,,,0.55,,,,,0
2004-10-07,,,,,0.55,,,,,0
2004-10-08,,,,,0.55,,,,,0
2004-10-11,,,,,0.55,,,,,0
2004-10-12,,,,,0.55,,,,,0
2004-10-13,,,,,0.55,,,,,0
2004-10-14,,,,,0.55,,,,,0
2004-10-15,,,,,0.55,,,,,0
2004-10-18,,,,,0.55,,,,,0
2004-10-19,,,,,0.55,,,,,0
2004-10-20,,,,,0.55,,,,,0
2004-10-21,,,,,0.55,,,,,0
2004-10-22,,,,,0.55,,,,,0
2004-10-25,,,,,0.55,,,,,0
2004-10-26,,,,,0.55,,,,,0
2004-10-27,,,,,0.55,,,,,0
2004-10-28,,,,,0.55,,,,,0
2004-10-29,,,,,0.55,,,,,0
2004-11-01,,,,,0.55,,,,,0
2004-11-02,,,,,0.55,,,,,0
2004-11-03,,,,,0.55,,,,,0
2004-11-04,,,,,0.55,,,,,0
2004-11-05,,,,,0.55,,,,,0
2004-11-08,,,,,0.55,,,,,0
2004-11-09,,,,,0.55,,,,,0
2004-11-10,,,,,0.55,,,,,0
2004-11-11,,,,,0.55,,,,,0
2004-11-12,,,,,0.55,,,,,0
2004-11-15,,,,,0.55,,,,,0
2004-11-16,,,,,0.55,,,,,0
2004-11-17,,,,,0.55,,,,,0
2004-11-18,,,,,0.55,,,,,0
2004-11-19,,,,,0.55,,,,,0
2004-11-22,,,,,0.55,,,,,0
2004-11-23,,,,,0.55,,,,,0
2004-11-24,,,,,0.55,,,,,0
2004-11-25,,,,,0.55,,,,,0
2004-11-26,,,,,0.55,,,,,0
2004-11-29,,,,,0.55,,,,,0
2004-11-30,,,,,0.55,,,,,0
2004-12-01,,,,,6.3,,,,,0
2004-12-02,,,,,6.3,,,,,0
2004-12-03,,,,,6.3,,,,,0
2004-12-06,,,,,6.3,,,,,0
2004-12-07,,,,,6.3,,,,,0
2004-12-08,,,,,6.3,,,,,0
2004-12-09,,,,,6.3,,,,,0
2004-12-10,,,,,6.3,,,,,0
2004-12-13,,,,,6.3,,,,,0
2004-12-14,,,,,6.3,,,,,0
2004-12-15,,,,,6.3,,,,,0
2004-12-16,,,,,6.3,,,,,0
2004-12-17,,,,,6.3,,,,,0
2004-12-20,,,,,6.3,,,,,0
2004-12-21,,,,,6.3,,,,,0
2004-12-22,,,,,6.3,,,,,0
2004-12-23,,,,,6.3,,,,,0
2004-12-24,,,,,6.3,,,,,0
2004-12-27,,,,,6.3,,,,,0
2004-12-28,,,,,6.3,,,,,0
2004-12-29,,,,,6.3,,,,,0
2004-12-30,,,,,6.3,,,,,0
2004-12-31,,,,,6.3,,,,,0
2005-01-03,60.033333,60.033333,60.033333,60.033333,6.3,9.529100476190475,,,,0
2005-01-04,59.5,59.5,59.5,59.5,6.3,9.444444444444445,,,,0
2005-01-05,57.666667,57.666667,57.666667,57.666667,6.3,9.153439206349208,,,,0
2005-01-06,57.166667,57.166667,57.166667,57.166667,6.3,9.074074126984126,,,,0
2005-01-07,56.766667,56.766667,56.766667,56.766667,6.3,9.010582063492064,,,,0
2005-01-10,57.166667,57.166667,57.166667,57.166667,6.3,9.074074126984126,,,,0
2005-01-11,57.233333,57.233333,57.233333,57.233333,6.3,9.084656031746032,,,,0
2005-01-12,54.633333,54.633333,54.633333,54.633333,6.3,8.67195761904762,,,,0
2005-01-13,54.9,54.9,54.9,54.9,6.3,8.714285714285714,,,,0
2005-01-14,54.866667,54.866667,54.866667,54.866667,6.3,8.708994761904762,,,,0
2005-01-17,53.633333,53.633333,53.633333,53.633333,6.3,8.513227460317461,,,,0
2005-01-18,54.833333,54.833333,54.833333,54.833333,6.3,8.703703650793651,,,,0
2005-01-19,54.233333,54.233333,54.233333,54.233333,6.3,8.608465555555556,,,,0
2005-01-20,54.033333,54.033333,54.033333,54.033333,6.3,8.576719523809524,,,,0
2005-01-21,54.033333,54.033333,54.033333,54.033333,6.3,8.576719523809524,,,,0
2005-01-24,52.166667,52.166667,52.166667,52.166667,6.3,8.280423333333333,,,,0
2005-01-25,52.766667,52.766667,52.766667,52.766667,6.3,8.375661428571428,,,,0
2005-01-26,52.766667,52.766667,52.766667,52.766667,6.3,8.375661428571428,,,,0
2005-01-27,53.6,53.6,53.6,53.6,6.3,8.507936507936508,,,,0
2005-01-28,54.2,54.2,54.2,54.2,6.3,8.603174603174605,,,,0
2005-01-31,54.0,54.0,54.0,54.0,6.3,8.571428571428571,,,,0
2005-02-01,53.4,53.4,53.4,53.4,6.3,8.476190476190476,,,,0
2005-02-02,53.266667,53.266667,53.266667,53.266667,6.3,8.455026507936507,,,,0
2005-02-03,54.266667,54.266667,54.266667,54.266667,6.3,8.613756666666667,,,,1
2005-02-04,53.966667,53.966667,53.966667,53.966667,6.3,8.56613761904762,,,,1
2005-02-07,56.633333,56.633333,56.633333,56.633333,6.3,8.989417936507937,,,,1
2005-02-08,56.933333,56.933333,56.933333,56.933333,6.3,9.037036984126985,,,,1
2005-02-09,57.866667,57.866667,57.866667,57.866667,6.3,9.185185238095238,,,,1
2005-02-10,57.4,57.4,57.4,57.4,6.3,9.11111111111111,,,,1
2005-02-11,57.933333,57.933333,57.933333,57.933333,6.3,9.195767142857145,,,,1
2005-02-14,55.5,55.5,55.5,55.5,6.3,8.80952380952381,,,,1
2005-02-15,54.9,54.9,54.9,54.9,6.3,8.714285714285714,,,,1
2005-02-16,54.466667,54.466667,54.466667,54.466667,6.3,8.645502698412699,,,,1
2005-02-17,54.833333,54.833333,54.833333,54.833333,6.3,8.703703650793651,,,,1
2005-02-18,53.933333,53.933333,53.933333,53.933333,6.3,8.560846507936509,,,,1
2005-02-21,53.5,53.5,53.5,53.5,6.3,8.492063492063492,,,,1
2005-02-22,53.6,53.6,53.6,53.6,6.3,8.507936507936508,,,,1
2005-02-23,54.666667,54.666667,54.666667,54.666667,6.3,8.67724873015873,,,,1
2005-02-24,54.266667,54.266667,54.266667,54.266667,6.3,8.613756666666667,,,,1
2005-02-25,53.4,53.4,53.4,53.4,6.3,8.476190476190476,,,,1
2005-02-28,54.1,54.1,54.1,54.1,6.3,8.587301587301587,,,,1
2005-03-01,53.866667,53.866667,53.866667,53.866667,7.22,7.460757202216067,,,,1
2005-03-02,53.866667,53.866667,53.866667,53.866667,7.22,7.460757202216067,,,,1
2005-03-03,54.366667,54.366667,54.366667,54.366667,7.22,7.530009279778394,,,,1
2005-03-04,53.966667,53.966667,53.966667,53.966667,7.22,7.474607617728532,,,,1
2005-03-07,53.566667,53.566667,53.566667,53.566667,7.22,7.419205955678671,,,,1
2005-03-08,54.033333,54.033333,54.033333,54.033333,7.22,7.483841135734072,,,,1
2005-03-09,53.6,53.6,53.6,53.6,7.22,7.423822714681441,,,,1
2005-03-10,53.566667,53.566667,53.566667,53.566667,7.22,7.419205955678671,,,,1
2005-03-11,53.933333,53.933333,53.933333,53.933333,7.22,7.469990720221607,,,,1
2005-03-14,53.433333,53.433333,53.433333,53.433333,7.22,7.40073864265928,,,,1
2005-03-15,53.1,53.1,53.1,53.1,7.22,7.354570637119114,,,,1
2005-03-16,52.966667,52.966667,52.966667,52.966667,7.22,7.336103462603878,,,,1
2005-03-17,52.266667,52.266667,52.266667,52.266667,7.22,7.2391505540166206,,,,1
2005-03-18,51.633333,51.633333,51.633333,51.633333,7.22,7.151431163434904,,,,1
2005-03-21,53.2,53.2,53.2,53.2,7.22,7.36842105263158,,,,1
2005-03-22,51.9,51.9,51.9,51.9,7.22,7.188365650969529,,,,1
2005-03-23,50.866667,50.866667,50.866667,50.866667,7.22,7.045244736842106,,,,1
2005-03-24,49.966667,49.966667,49.966667,49.966667,7.22,6.920590997229917,,,,1
2005-03-25,49.966667,49.966667,49.966667,49.966667,7.22,6.920590997229917,,,,1
2005-03-28,50.233333,50.233333,50.233333,50.233333,7.22,6.957525346260388,,,,1
2005-03-29,49.966667,49.966667,49.966667,49.966667,7.22,6.920590997229917,,,,1
2005-03-30,49.933333,49.933333,49.933333,49.933333,7.22,6.915974099722992,,,,1
2005-03-31,50.266667,50.266667,50.266667,50.266667,7.22,6.962142243767313,,,,1
2005-04-01,51.866667,51.866667,51.866667,51.866667,7.22,7.18374889196676,,,,1
2005-04-04,52.766667,52.766667,52.766667,52.766667,7.22,7.308402631578947,,,,1
2005-04-05,52.733333,52.733333,52.733333,52.733333,7.22,7.303785734072022,,,,1
2005-04-06,53.066667,53.066667,53.066667,53.066667,7.22,7.349953878116344,,,,1
2005-04-07,51.466667,51.466667,51.466667,51.466667,7.22,7.128347229916898,,,,1
2005-04-08,52.233333,52.233333,52.233333,52.233333,7.22,7.234533656509695,,,,1
2005-04-11,53.7,53.7,53.7,53.7,7.22,7.437673130193906,,,,1
2005-04-12,54.866667,54.866667,54.866667,54.866667,7.22,7.599261357340721,,,,1
2005-04-13,58.533333,58.533333,58.533333,58.533333,7.22,8.107109833795015,,,,1
2005-04-14,58.533333,58.533333,58.533333,58.533333,7.22,8.107109833795015,,,,1
2005-04-15,56.333333,56.333333,56.333333,56.333333,7.22,7.802400692520776,,,,1
2005-04-18,55.966667,55.966667,55.966667,55.966667,7.22,7.75161592797784,,,,1
2005-04-19,55.9,55.9,55.9,55.9,7.22,7.742382271468144,,,,1
2005-04-20,55.2,55.2,55.2,55.2,7.22,7.645429362880887,,,,1
2005-04-21,55.533333,55.533333,55.533333,55.533333,7.22,7.691597368421053,,,,1
2005-04-22,57.166667,57.166667,57.166667,57.166667,7.22,7.917820914127423,,,,1
2005-04-25,57.366667,57.366667,57.366667,57.366667,7.22,7.945521745152355,,,,1
2005-04-26,58.0,58.0,58.0,58.0,7.22,8.033240997229917,,,,1
2005-04-27,58.033333,58.033333,58.033333,58.033333,7.22,8.037857756232688,,,,1
2005-04-28,57.966667,57.966667,57.966667,57.966667,7.22,8.028624238227147,,,,1
2005-04-29,56.7,56.7,56.7,56.7,7.22,7.853185595567868,,,,1
2005-05-02,55.1,55.1,55.1,55.1,7.22,7.631578947368421,,,,1
2005-05-03,56.166667,56.166667,56.166667,56.166667,7.22,7.77931675900277,,,,1
2005-05-04,56.233333,56.233333,56.233333,56.233333,7.22,7.78855027700831,,,,1
2005-05-05,57.866667,57.866667,57.866667,57.866667,7.22,8.014773822714682,,,,1
2005-05-06,58.566667,58.566667,58.566667,58.566667,7.22,8.111726731301939,8.035549376731304,,,1
2005-05-09,61.366667,61.366667,61.366667,61.366667,7.22,8.49953836565097,8.035549376731304,,,1
2005-05-10,61.233333,61.233333,61.233333,61.233333,7.22,8.48107105263158,8.035549376731304,,,1
2005-05-11,73.5,73.5,73.5,73.5,7.22,10.18005540166205,8.035549376731304,,,1
2005-05-12,79.1,79.1,79.1,79.1,7.22,10.955678670360111,8.035549376731304,,,1
2005-05-13,76.5,76.5,76.5,76.5,7.22,10.595567867036012,8.035549376731304,,,1
2005-05-16,83.866667,83.866667,83.866667,83.866667,7.22,11.61588185595568,8.035549376731304,,,1
2005-05-17,85.466667,85.466667,85.466667,85.466667,7.22,11.837488504155123,8.035549376731304,,,1
2005-05-18,82.0,82.0,82.0,82.0,7.22,11.357340720221607,8.035549376731304,,,1
2005-05-19,83.766667,83.766667,83.766667,83.766667,7.22,11.602031440443213,8.035549376731304,,,1
2005-05-20,82.933333,82.933333,82.933333,82.933333,7.22,11.486611218836568,8.035549376731304,,,1
2005-05-23,80.866667,80.866667,80.866667,80.866667,7.22,11.200369390581718,8.035549376731304,,,1
2005-05-24,80.3,80.3,80.3,80.3,7.22,11.121883656509697,8.035549376731304,,,1
2005-05-25,84.366667,84.366667,84.366667,84.366667,7.22,11.685133933518006,8.035549376731304,,,1
2005-05-26,89.866667,89.866667,89.866667,89.866667,7.22,12.446906786703602,8.035549376731304,,,1
2005-05-27,87.033333,87.033333,87.033333,87.033333,7.22,12.054478254847648,8.035549376731304,,,1
2005-05-30,87.166667,87.166667,87.166667,87.166667,7.22,12.072945567867038,8.035549376731304,,,1
2005-05-31,90.8,90.8,90.8,90.8,7.22,12.57617728531856,8.035549376731304,,,1
2005-06-01,91.566667,91.566667,91.566667,91.566667,8.57,10.684558576429405,8.035549376731304,,,1
2005-06-02,87.533333,87.533333,87.533333,87.533333,8.57,10.213924504084014,8.035549376731304,,,1
2005-06-03,93.433333,93.433333,93.433333,93.433333,8.57,10.902372578763128,8.035549376731304,,,1
2005-06-04,97.633333,97.633333,97.633333,97.633333,8.57,11.392454259043172,8.035549376731304,,,1
2005-06-06,93.6,93.6,93.6,93.6,8.57,10.921820303383896,8.035549376731304,,,1
2005-06-07,91.966667,91.966667,91.966667,91.966667,8.57,10.73123302217036,8.035549376731304,,,1
2005-06-08,91.733333,91.733333,91.733333,91.733333,8.57,10.70400618436406,8.035549376731304,,,1
2005-06-09,90.3,90.3,90.3,90.3,8.57,10.536756126021002,8.035549376731304,,,1
2005-06-10,87.333333,87.333333,87.333333,87.333333,8.57,10.190587281213537,8.035549376731304,,,1
2005-06-13,93.133333,93.133333,93.133333,93.133333,8.57,10.867366744457408,8.035549376731304,,,1
2005-06-14,91.033333,91.033333,91.033333,91.033333,8.57,10.622325904317384,8.035549376731304,,,1
2005-06-15,91.666667,91.666667,91.666667,91.666667,8.57,10.696227187864643,8.035549376731304,,,1
2005-06-16,88.5,88.5,88.5,88.5,8.57,10.326721120186695,8.035549376731304,,,1
2005-06-17,85.733333,85.733333,85.733333,85.733333,8.57,10.003889498249707,8.035549376731304,,,1
2005-06-20,84.133333,84.133333,84.133333,84.133333,8.57,9.81719171528588,8.035549376731304,,,1
2005-06-21,85.966667,85.966667,85.966667,85.966667,8.57,10.031116336056009,8.035549376731304,,,1
2005-06-22,86.433333,86.433333,86.433333,86.433333,8.57,10.085569778296383,8.035549376731304,,,1
2005-06-23,85.833333,85.833333,85.833333,85.833333,8.57,10.015558109684946,8.035549376731304,,,1
2005-06-24,84.7,84.7,84.7,84.7,8.57,9.883313885647608,8.035549376731304,,,1
2005-06-27,80.133333,80.133333,80.133333,80.133333,8.57,9.350447257876311,8.035549376731304,,,1
2005-06-28,81.233333,81.233333,81.233333,81.233333,8.57,9.478801983663944,8.035549376731304,,,1
2005-06-29,87.833333,87.833333,87.833333,87.833333,8.57,10.24893033838973,8.035549376731304,,,1
2005-06-30,84.866667,84.866667,84.866667,84.866667,8.57,9.902761610268378,8.035549376731304,,,1
2005-07-01,89.333333,89.333333,89.333333,89.333333,8.57,10.42395950991832,8.035549376731304,,,1
2005-07-04,92.333333,92.333333,92.333333,92.333333,8.57,10.774017852975495,8.072483795013852,,,1
