Date,Open,High,Low,Close,EPS,PE,Median_PE_90,Median_PE_180,Median_PE_365,Valid_Period
2004-09-01,,,,,-13.08,,,,,0
2004-09-02,,,,,-13.08,,,,,0
2004-09-03,,,,,-13.08,,,,,0
2004-09-06,,,,,-13.08,,,,,0
2004-09-07,,,,,-13.08,,,,,0
2004-09-08,,,,,-13.08,,,,,0
2004-09-09,,,,,-13.08,,,,,0
2004-09-10,,,,,-13.08,,,,,0
2004-09-13,,,,,-13.08,,,,,0
2004-09-14,,,,,-13.08,,,,,0
2004-09-15,,,,,-13.08,,,,,0
2004-09-16,,,,,-13.08,,,,,0
2004-09-17,,,,,-13.08,,,,,0
2004-09-20,,,,,-13.08,,,,,0
2004-09-21,,,,,-13.08,,,,,0
2004-09-22,,,,,-13.08,,,,,0
2004-09-23,,,,,-13.08,,,,,0
2004-09-24,,,,,-13.08,,,,,0
2004-09-27,,,,,-13.08,,,,,0
2004-09-28,,,,,-13.08,,,,,0
2004-09-29,,,,,-13.08,,,,,0
2004-09-30,,,,,-13.08,,,,,0
2004-10-01,,,,,-13.08,,,,,0
2004-10-04,,,,,-13.08,,,,,0
2004-10-05,,,,,-13.08,,,,,0
2004-10-06,,,,,-13.08,,,,,0
2004-10-07,,,,,-13.08,,,,,0
2004-10-08,,,,,-13.08,,,,,0
2004-10-11,,,,,-13.08,,,,,0
2004-10-12,,,,,-13.08,,,,,0
2004-10-13,,,,,-13.08,,,,,0
2004-10-14,,,,,-13.08,,,,,0
2004-10-15,,,,,-13.08,,,,,0
2004-10-18,,,,,-13.08,,,,,0
2004-10-19,,,,,-13.08,,,,,0
2004-10-20,,,,,-13.08,,,,,0
2004-10-21,,,,,-13.08,,,,,0
2004-10-22,,,,,-13.08,,,,,0
2004-10-25,,,,,-13.08,,,,,0
2004-10-26,,,,,-13.08,,,,,0
2004-10-27,,,,,-13.08,,,,,0
2004-10-28,,,,,-13.08,,,,,0
2004-10-29,,,,,-13.08,,,,,0
2004-11-01,,,,,-13.08,,,,,0
2004-11-02,,,,,-13.08,,,,,0
2004-11-03,,,,,-13.08,,,,,0
2004-11-04,,,,,-13.08,,,,,0
2004-11-05,,,,,-13.08,,,,,0
2004-11-08,,,,,-13.08,,,,,0
2004-11-09,,,,,-13.08,,,,,0
2004-11-10,,,,,-13.08,,,,,0
2004-11-11,,,,,-13.08,,,,,0
2004-11-12,,,,,-13.08,,,,,0
2004-11-15,,,,,-13.08,,,,,0
2004-11-16,,,,,-13.08,,,,,0
2004-11-17,,,,,-13.08,,,,,0
2004-11-18,,,,,-13.08,,,,,0
2004-11-19,,,,,-13.08,,,,,0
2004-11-22,,,,,-13.08,,,,,0
2004-11-23,,,,,-13.08,,,,,0
2004-11-24,,,,,-13.08,,,,,0
2004-11-25,,,,,-13.08,,,,,0
2004-11-26,,,,,-13.08,,,,,0
2004-11-29,,,,,-13.08,,,,,0
2004-11-30,,,,,-13.08,,,,,0
2004-12-01,,,,,-19.47,,,,,0
2004-12-02,,,,,-19.47,,,,,0
2004-12-03,,,,,-19.47,,,,,0
2004-12-06,,,,,-19.47,,,,,0
2004-12-07,,,,,-19.47,,,,,0
2004-12-08,,,,,-19.47,,,,,0
2004-12-09,,,,,-19.47,,,,,0
2004-12-10,,,,,-19.47,,,,,0
2004-12-13,,,,,-19.47,,,,,0
2004-12-14,,,,,-19.47,,,,,0
2004-12-15,,,,,-19.47,,,,,0
2004-12-16,,,,,-19.47,,,,,0
2004-12-17,,,,,-19.47,,,,,0
2004-12-20,,,,,-19.47,,,,,0
2004-12-21,,,,,-19.47,,,,,0
2004-12-22,,,,,-19.47,,,,,0
2004-12-23,,,,,-19.47,,,,,0
2004-12-24,,,,,-19.47,,,,,0
2004-12-27,,,,,-19.47,,,,,0
2004-12-28,,,,,-19.47,,,,,0
2004-12-29,,,,,-19.47,,,,,0
2004-12-30,,,,,-19.47,,,,,0
2004-12-31,,,,,-19.47,,,,,0
2005-01-03,29.2,29.2,29.2,29.2,-19.47,,,,,0
2005-01-04,27.75,27.75,27.75,27.75,-19.47,,,,,0
2005-01-05,26.4,26.4,26.4,26.4,-19.47,,,,,0
2005-01-06,25.1,25.1,25.1,25.1,-19.47,,,,,0
2005-01-07,23.85,23.85,23.85,23.85,-19.47,,,,,0
2005-01-10,22.7,22.7,22.7,22.7,-19.47,,,,,0
2005-01-11,21.6,21.6,21.6,21.6,-19.47,,,,,0
2005-01-12,20.55,20.55,20.55,20.55,-19.47,,,,,0
2005-01-13,19.55,19.55,19.55,19.55,-19.47,,,,,0
2005-01-14,18.6,18.6,18.6,18.6,-19.47,,,,,0
2005-01-17,17.85,17.85,17.85,17.85,-19.47,,,,,0
2005-01-18,17.0,17.0,17.0,17.0,-19.47,,,,,0
2005-01-19,16.15,16.15,16.15,16.15,-19.47,,,,,0
2005-01-20,15.35,15.35,15.35,15.35,-19.47,,,,,0
2005-01-21,15.35,15.35,15.35,15.35,-19.47,,,,,0
2005-01-24,16.15,16.15,16.15,16.15,-19.47,,,,,0
2005-01-25,17.0,17.0,17.0,17.0,-19.47,,,,,0
2005-01-26,17.0,17.0,17.0,17.0,-19.47,,,,,0
2005-01-27,17.85,17.85,17.85,17.85,-19.47,,,,,0
2005-01-28,18.75,18.75,18.75,18.75,-19.47,,,,,0
2005-01-31,17.85,17.85,17.85,17.85,-19.47,,,,,0
2005-02-01,17.1,17.1,17.1,17.1,-19.47,,,,,0
2005-02-02,18.0,18.0,18.0,18.0,-19.47,,,,,0
2005-02-03,18.25,18.25,18.25,18.25,-19.47,,,,,0
2005-02-04,17.65,17.65,17.65,17.65,-19.47,,,,,0
2005-02-07,18.0,18.0,18.0,18.0,-19.47,,,,,0
2005-02-08,17.6,17.6,17.6,17.6,-19.47,,,,,0
2005-02-09,17.4,17.4,17.4,17.4,-19.47,,,,,1
2005-02-10,17.1,17.1,17.1,17.1,-19.47,,,,,1
2005-02-11,16.65,16.65,16.65,16.65,-19.47,,,,,1
2005-02-14,16.6,16.6,16.6,16.6,-19.47,,,,,1
2005-02-15,15.85,15.85,15.85,15.85,-19.47,,,,,1
2005-02-16,15.9,15.9,15.9,15.9,-19.47,,,,,1
2005-02-17,15.55,15.55,15.55,15.55,-19.47,,,,,1
2005-02-18,15.7,15.7,15.7,15.7,-19.47,,,,,1
2005-02-21,15.6,15.6,15.6,15.6,-19.47,,,,,1
2005-02-22,15.35,15.35,15.35,15.35,-19.47,,,,,1
2005-02-23,15.4,15.4,15.4,15.4,-19.47,,,,,1
2005-02-24,16.2,16.2,16.2,16.2,-19.47,,,,,1
2005-02-25,16.45,16.45,16.45,16.45,-19.47,,,,,1
2005-02-28,15.95,15.95,15.95,15.95,-19.47,,,,,1
2005-03-01,15.45,15.45,15.45,15.45,-8.57,,,,,1
2005-03-02,15.8,15.8,15.8,15.8,-8.57,,,,,1
2005-03-03,15.8,15.8,15.8,15.8,-8.57,,,,,1
2005-03-04,15.25,15.25,15.25,15.25,-8.57,,,,,1
2005-03-07,15.0,15.0,15.0,15.0,-8.57,,,,,1
2005-03-08,15.05,15.05,15.05,15.05,-8.57,,,,,1
2005-03-09,15.4,15.4,15.4,15.4,-8.57,,,,,1
2005-03-10,16.2,16.2,16.2,16.2,-8.57,,,,,1
2005-03-11,17.05,17.05,17.05,17.05,-8.57,,,,,1
2005-03-14,17.9,17.9,17.9,17.9,-8.57,,,,,1
2005-03-15,18.8,18.8,18.8,18.8,-8.57,,,,,1
2005-03-16,19.65,19.65,19.65,19.65,-8.57,,,,,1
2005-03-17,18.7,18.7,18.7,18.7,-8.57,,,,,1
2005-03-18,17.85,17.85,17.85,17.85,-8.57,,,,,1
2005-03-21,17.0,17.0,17.0,17.0,-8.57,,,,,1
2005-03-22,16.25,16.25,16.25,16.25,-8.57,,,,,1
2005-03-23,15.5,15.5,15.5,15.5,-8.57,,,,,1
2005-03-24,14.95,14.95,14.95,14.95,-8.57,,,,,1
2005-03-25,14.95,14.95,14.95,14.95,-8.57,,,,,1
2005-03-28,14.2,14.2,14.2,14.2,-8.57,,,,,1
2005-03-29,13.55,13.55,13.55,13.55,-8.57,,,,,1
2005-03-30,14.2,14.2,14.2,14.2,-8.57,,,,,1
2005-03-31,14.95,14.95,14.95,14.95,-8.57,,,,,1
2005-04-01,15.7,15.7,15.7,15.7,-8.57,,,,,1
2005-04-04,15.5,15.5,15.5,15.5,-8.57,,,,,1
2005-04-05,15.25,15.25,15.25,15.25,-8.57,,,,,1
2005-04-06,16.05,16.05,16.05,16.05,-8.57,,,,,1
2005-04-07,16.15,16.15,16.15,16.15,-8.57,,,,,1
2005-04-08,15.6,15.6,15.6,15.6,-8.57,,,,,1
2005-04-11,15.0,15.0,15.0,15.0,-8.57,,,,,1
2005-04-12,15.15,15.15,15.15,15.15,-8.57,,,,,1
2005-04-13,15.2,15.2,15.2,15.2,-8.57,,,,,1
2005-04-14,15.2,15.2,15.2,15.2,-8.57,,,,,1
2005-04-15,14.75,14.75,14.75,14.75,-8.57,,,,,1
2005-04-18,14.6,14.6,14.6,14.6,-8.57,,,,,1
2005-04-19,14.55,14.55,14.55,14.55,-8.57,,,,,1
2005-04-20,14.2,14.2,14.2,14.2,-8.57,,,,,1
2005-04-21,14.05,14.05,14.05,14.05,-8.57,,,,,1
2005-04-22,14.6,14.6,14.6,14.6,-8.57,,,,,1
2005-04-25,14.8,14.8,14.8,14.8,-8.57,,,,,1
2005-04-26,14.25,14.25,14.25,14.25,-8.57,,,,,1
2005-04-27,14.15,14.15,14.15,14.15,-8.57,,,,,1
2005-04-28,13.9,13.9,13.9,13.9,-8.57,,,,,1
2005-04-29,13.75,13.75,13.75,13.75,-8.57,,,,,1
