Date,Open,High,Low,Close,EPS,PE,Median_PE_90,Median_PE_180,Median_PE_365,Valid_Period
2004-09-01,,,,,1.06,,,,,0
2004-09-02,,,,,1.06,,,,,0
2004-09-03,,,,,1.06,,,,,0
2004-09-06,,,,,1.06,,,,,0
2004-09-07,,,,,1.06,,,,,0
2004-09-08,,,,,1.06,,,,,0
2004-09-09,,,,,1.06,,,,,0
2004-09-10,,,,,1.06,,,,,0
2004-09-13,,,,,1.06,,,,,0
2004-09-14,,,,,1.06,,,,,0
2004-09-15,,,,,1.06,,,,,0
2004-09-16,,,,,1.06,,,,,0
2004-09-17,,,,,1.06,,,,,0
2004-09-20,,,,,1.06,,,,,0
2004-09-21,,,,,1.06,,,,,0
2004-09-22,,,,,1.06,,,,,0
2004-09-23,,,,,1.06,,,,,0
2004-09-24,,,,,1.06,,,,,0
2004-09-27,,,,,1.06,,,,,0
2004-09-28,,,,,1.06,,,,,0
2004-09-29,,,,,1.06,,,,,0
2004-09-30,,,,,1.06,,,,,0
2004-10-01,,,,,1.06,,,,,0
2004-10-04,,,,,1.06,,,,,0
2004-10-05,,,,,1.06,,,,,0
2004-10-06,,,,,1.06,,,,,0
2004-10-07,,,,,1.06,,,,,0
2004-10-08,,,,,1.06,,,,,0
2004-10-11,,,,,1.06,,,,,0
2004-10-12,,,,,1.06,,,,,0
2004-10-13,,,,,1.06,,,,,0
2004-10-14,,,,,1.06,,,,,0
2004-10-15,,,,,1.06,,,,,0
2004-10-18,,,,,1.06,,,,,0
2004-10-19,,,,,1.06,,,,,0
2004-10-20,,,,,1.06,,,,,0
2004-10-21,,,,,1.06,,,,,0
2004-10-22,,,,,1.06,,,,,0
2004-10-25,,,,,1.06,,,,,0
2004-10-26,,,,,1.06,,,,,0
2004-10-27,,,,,1.06,,,,,0
2004-10-28,,,,,1.06,,,,,0
2004-10-29,,,,,1.06,,,,,0
2004-11-01,,,,,1.06,,,,,0
2004-11-02,,,,,1.06,,,,,0
2004-11-03,,,,,1.06,,,,,0
2004-11-04,,,,,1.06,,,,,0
2004-11-05,,,,,1.06,,,,,0
2004-11-08,,,,,1.06,,,,,0
2004-11-09,,,,,1.06,,,,,0
2004-11-10,,,,,1.06,,,,,0
2004-11-11,,,,,1.06,,,,,0
2004-11-12,,,,,1.06,,,,,0
2004-11-15,,,,,1.06,,,,,0
2004-11-16,,,,,1.06,,,,,0
2004-11-17,,,,,1.06,,,,,0
2004-11-18,,,,,1.06,,,,,0
2004-11-19,,,,,1.06,,,,,0
2004-11-22,,,,,1.06,,,,,0
2004-11-23,,,,,1.06,,,,,0
2004-11-24,,,,,1.06,,,,,0
2004-11-25,,,,,1.06,,,,,0
2004-11-26,,,,,1.06,,,,,0
2004-11-29,,,,,1.06,,,,,0
2004-11-30,,,,,1.06,,,,,0
2004-12-01,,,,,0.29,,,,,0
2004-12-02,,,,,0.29,,,,,0
2004-12-03,,,,,0.29,,,,,0
2004-12-06,,,,,0.29,,,,,0
2004-12-07,,,,,0.29,,,,,0
2004-12-08,,,,,0.29,,,,,0
2004-12-09,,,,,0.29,,,,,0
2004-12-10,,,,,0.29,,,,,0
2004-12-13,,,,,0.29,,,,,0
2004-12-14,,,,,0.29,,,,,0
2004-12-15,,,,,0.29,,,,,0
2004-12-16,,,,,0.29,,,,,0
2004-12-17,,,,,0.29,,,,,0
2004-12-20,,,,,0.29,,,,,0
2004-12-21,,,,,0.29,,,,,0
2004-12-22,,,,,0.29,,,,,0
2004-12-23,,,,,0.29,,,,,0
2004-12-24,,,,,0.29,,,,,0
2004-12-27,,,,,0.29,,,,,0
2004-12-28,,,,,0.29,,,,,0
2004-12-29,,,,,0.29,,,,,0
2004-12-30,,,,,0.29,,,,,0
2004-12-31,,,,,0.29,,,,,0
2005-01-03,22.4,22.4,22.4,22.4,0.29,77.24137931034483,,,,0
2005-01-04,23.35,23.35,23.35,23.35,0.29,80.51724137931035,,,,0
2005-01-05,20.9,20.9,20.9,20.9,0.29,72.06896551724138,,,,0
2005-01-06,20.35,20.35,20.35,20.35,0.29,70.17241379310346,,,,0
2005-01-07,21.4,21.4,21.4,21.4,0.29,73.79310344827586,,,,0
2005-01-10,23.1,23.1,23.1,23.1,0.29,79.65517241379311,,,,0
2005-01-11,21.2,21.2,21.2,21.2,0.29,73.10344827586208,,,,0
2005-01-12,20.25,20.25,20.25,20.25,0.29,69.82758620689656,,,,0
2005-01-13,20.7,20.7,20.7,20.7,0.29,71.37931034482759,,,,0
2005-01-14,20.05,20.05,20.05,20.05,0.29,69.13793103448276,,,,0
2005-01-17,19.8,19.8,19.8,19.8,0.29,68.27586206896552,,,,0
2005-01-18,19.6,19.6,19.6,19.6,0.29,67.58620689655173,,,,0
2005-01-19,19.95,19.95,19.95,19.95,0.29,68.79310344827586,,,,0
2005-01-20,19.35,19.35,19.35,19.35,0.29,66.72413793103449,,,,0
2005-01-21,19.35,19.35,19.35,19.35,0.29,66.72413793103449,,,,0
2005-01-24,18.6,18.6,18.6,18.6,0.29,64.13793103448276,,,,0
2005-01-25,18.95,18.95,18.95,18.95,0.29,65.3448275862069,,,,0
2005-01-26,18.95,18.95,18.95,18.95,0.29,65.3448275862069,,,,0
2005-01-27,19.55,19.55,19.55,19.55,0.29,67.41379310344828,,,,0
2005-01-28,20.05,20.05,20.05,20.05,0.29,69.13793103448276,,,,0
2005-01-31,19.95,19.95,19.95,19.95,0.29,68.79310344827586,,,,0
2005-02-01,19.6,19.6,19.6,19.6,0.29,67.58620689655173,,,,0
2005-02-02,20.0,20.0,20.0,20.0,0.29,68.96551724137932,,,,0
2005-02-03,20.0,20.0,20.0,20.0,0.29,68.96551724137932,,,,0
2005-02-04,19.75,19.75,19.75,19.75,0.29,68.10344827586208,,,,0
2005-02-07,19.85,19.85,19.85,19.85,0.29,68.44827586206898,,,,0
2005-02-08,20.2,20.2,20.2,20.2,0.29,69.65517241379311,,,,0
2005-02-09,20.6,20.6,20.6,20.6,0.29,71.0344827586207,,,,0
2005-02-10,21.15,21.15,21.15,21.15,0.29,72.93103448275862,,,,0
2005-02-11,21.0,21.0,21.0,21.0,0.29,72.41379310344828,,,,0
2005-02-14,21.75,21.75,21.75,21.75,0.29,75.0,,,,0
2005-02-15,20.85,20.85,20.85,20.85,0.29,71.89655172413794,,,,0
2005-02-16,20.35,20.35,20.35,20.35,0.29,70.17241379310346,,,,0
